intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Apr 16 2024|  TO Mon Apr 22 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1713205800000,246,242,244,
1713206400000,243,239,241,
1713207000000,244,241,242,
1713207600000,245,241,240,
1713208200000,245,241,241,
1713208800000,246,242,242,
1713209400000,246,242,242,
1713210000000,244,241,242,
1713210600000,246,242,244,
1713211200000,246,241,245,
1713211800000,247,243,245,
1713212400000,247,243,246,
1713213000000,249,244,246,
1713213600000,249,244,245,
1713214200000,248,244,244,
1713214800000,248,244,244,
1713215400000,249,245,245,
1713216000000,249,245,247,
1713216600000,251,247,248,
1713217200000,251,246,248,
1713217800000,249,245,247,
1713218400000,250,246,248,
1713219000000,251,246,248,
1713219600000,251,247,247,
1713220200000,251,246,247,
1713220800000,251,247,247,
1713221400000,251,246,246,
1713222000000,251,247,246,
1713222600000,250,246,248,
1713223200000,250,246,247,
1713223800000,251,247,248,
1713224400000,251,246,248,
1713225000000,250,246,248,
1713225600000,250,246,247,
1713226200000,249,245,248,
1713226800000,250,245,245,
1713227400000,251,247,247,
1713228000000,250,246,247,
1713228600000,249,244,245,
1713229200000,247,244,244,
1713229800000,245,241,243,
1713230400000,244,240,242,
1713231000000,243,239,240,
1713231600000,243,239,241,
1713232200000,246,242,243,
1713232800000,246,242,244,
1713233400000,243,240,240,
1713234000000,244,240,241,
1713234600000,243,239,240,
1713235200000,245,241,243,
1713235800000,244,239,242,
1713236400000,245,240,241,
1713237000000,241,238,241,
1713237600000,243,239,240,
1713238200000,244,239,240,
1713238800000,247,241,242,
1713239400000,244,238,241,
1713240000000,244,239,241,
1713240600000,244,239,239,
1713241200000,243,237,241,
1713241800000,245,238,242,
1713242400000,244,237,238,
1713243000000,241,237,240,
1713243600000,244,239,240,
1713244200000,243,237,239,
1713244800000,244,237,241,
1713245400000,243,238,239,
1713246000000,244,237,241,
1713246600000,243,237,240,
1713247200000,243,237,239,
1713247800000,242,236,240,
1713248400000,244,237,240,
1713249000000,243,237,240,
1713249600000,243,237,240,
1713250199000,239,236,237,
1713250800000,242,237,238,
1713251400000,242,237,240,
1713252000000,242,237,238,
1713252600000,242,239,240,
1713253200000,241,236,238,
1713253800000,244,238,242,
1713254399000,242,235,239,
1713255000000,242,236,239,
1713255600000,241,235,239,
1713256200000,241,235,239,
1713256800000,243,238,241,
1713257400000,244,238,240,
1713258000000,243,237,238,
1713258600000,239,237,241,
1713259200000,241,237,241,
1713259800000,241,238,240,
1713260400000,241,238,239,
1713261000000,242,238,241,
1713261600000,239,235,238,
1713262200000,243,238,240,
1713262800000,239,235,239,
1713263400000,240,237,240,
1713264000000,240,237,239,
1713264600000,242,237,242,
1713265200000,243,238,240,
1713265800000,243,239,240,
1713266400000,244,239,243,
1713267000000,244,240,242,
1713267600000,244,240,244,
1713268200000,243,238,242,
1713268800000,243,239,240,
1713269400000,244,240,242,
