intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Dec 19 2023|  TO Mon Dec 25 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1702924200000,249,246,249,
1702924800000,247,246,246,
1702925400000,248,246,247,
1702926000000,248,246,248,
1702926600000,247,247,247,
1702927200000,248,246,247,
1702927800000,249,248,249,
1702928400000,250,248,249,
1702929000000,250,247,249,
1702929600000,250,249,250,
1702930200000,250,248,250,
1702930800000,250,249,250,
1702931400000,252,251,251,
1702932000000,251,249,249,
1702932600000,251,250,250,
1702933200000,251,249,250,
1702933800000,250,249,250,
1702934400000,251,250,251,
1702935000000,253,250,251,
1702935600000,250,248,250,
1702936200000,251,249,250,
1702936800000,252,249,250,
1702937400000,251,250,249,
1702938000000,251,249,250,
1702938600000,252,250,251,
1702939200000,251,248,250,
1702939800000,251,249,249,
1702940400000,251,248,250,
1702941000000,249,248,249,
1702941600000,250,247,249,
1702942200000,250,248,249,
1702942800000,249,248,249,
1702943400000,250,247,248,
1702944000000,250,247,248,
1702944600000,248,247,245,
1702945200000,246,244,245,
1702945800000,247,245,246,
1702946400000,244,243,244,
1702947000000,246,244,246,
1702947600000,245,244,244,
1702948200000,246,245,246,
1702948800000,247,244,244,
1702949400000,244,242,244,
1702950000000,244,243,243,
1702950600000,246,246,245,
1702951200000,244,243,245,
1702951800000,247,246,246,
1702952400000,246,245,246,
1702953000000,245,243,243,
1702953600000,245,244,245,
1702954199000,247,244,246,
1702954800000,246,244,245,
1702955400000,245,244,244,
1702956000000,245,244,242,
1702956600000,245,243,244,
1702957200000,245,244,244,
1702957800000,243,241,243,
1702958400000,246,243,244,
1702959000000,246,245,245,
1702959600000,246,244,245,
1702960200000,244,243,243,
1702960800000,244,243,243,
1702961400000,243,242,242,
1702962000000,245,242,243,
1702962600000,244,243,243,
1702963200000,246,245,245,
1702963800000,245,242,242,
1702964400000,245,242,243,
1702965000000,245,242,243,
1702965600000,245,241,243,
1702966200000,244,241,243,
1702966800000,242,241,243,
1702967400000,245,242,244,
1702968000000,242,241,242,
1702968600000,244,242,243,
1702969200000,244,241,242,
1702969800000,245,243,244,
1702970400000,245,243,243,
1702971000000,243,242,242,
1702971600000,246,242,244,
1702972200000,243,242,243,
1702972800000,245,242,244,
1702973400000,243,240,242,
1702974000000,245,242,244,
1702974600000,245,243,244,
1702975200000,242,239,241,
1702975800000,243,240,243,
1702976400000,241,242,243,
1702977000000,244,240,243,
1702977600000,242,240,241,
1702978200000,243,243,245,
1702978800000,244,242,243,
1702979400000,243,240,243,
1702980000000,243,242,244,
1702980599000,243,240,242,
1702981200000,242,241,242,
1702981800000,244,242,243,
1702982400000,246,245,245,
1702983000000,248,245,246,
1702983600000,247,246,247,
1702984200000,246,244,247,
1702984800000,245,245,247,
1702985400000,249,246,249,
1702986000000,251,250,250,
1702986600000,243,240,243,
1702987200000,243,242,242,
1702987800000,244,243,245,
1702988400000,244,243,244,
1702989000000,245,244,246,
1702989600000,244,244,245,
1702990200000,244,242,244,
1702990800000,244,243,244,
1702991400000,245,243,244,
1702992000000,245,245,244,
1702992600000,244,243,244,
1702993200000,244,243,245,
1702993800000,243,242,244,
1702994400000,245,245,245,
1702995000000,244,242,243,
1702995600000,244,242,243,
1702996200000,245,245,244,
1702996800000,245,244,244,
1702997400000,244,244,244,
1702998000000,246,244,244,
1702998600000,246,244,246,
1702999200000,245,245,245,
1702999800000,246,245,245,
1703000399000,245,244,244,
1703001000000,246,243,245,
1703001600000,245,244,244,
1703002200000,246,244,246,
1703002800000,248,245,247,
1703003400000,249,248,248,
1703004000000,248,245,246,
1703004600000,247,246,248,
1703005200000,247,245,246,
1703005800000,247,246,247,
1703006400000,248,245,247,
1703007000000,248,247,248,
1703007600000,247,245,245,
1703008200000,247,246,247,
1703008800000,248,245,247,
1703009400000,249,247,246,
1703010000000,249,248,247,
1703010600000,251,250,249,
1703011200000,247,244,246,
1703011800000,247,244,245,
1703012400000,246,245,245,
1703013000000,248,245,244,
1703013600000,247,246,245,
1703014200000,248,245,246,
1703014800000,248,247,246,
1703015400000,248,246,248,
1703016000000,248,247,246,
1703016600000,248,246,247,
1703017200000,248,248,247,
1703017800000,250,248,249,
1703018400000,249,246,248,
1703019000000,248,248,248,
1703019600000,249,248,248,
1703020200000,249,247,248,
1703020800000,249,248,248,
1703021400000,250,247,249,
1703022000000,249,247,248,
1703022600000,248,247,247,
1703023200000,248,245,248,
1703023800000,248,246,248,
1703024400000,248,247,247,
1703025000000,249,246,248,
1703025600000,248,246,247,
1703026200000,248,247,248,
1703026800000,248,247,246,
1703027400000,248,245,247,
