intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Jan 02 2024|  TO Mon Jan 08 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1704133800000,248,245,247,
1704134400000,246,243,243,
1704135000000,245,244,245,
1704135600000,246,244,244,
1704136200000,246,244,244,
1704136800000,246,245,245,
1704137400000,247,245,245,
1704138000000,247,246,245,
1704138600000,247,246,246,
1704139200000,247,246,245,
1704139800000,248,246,246,
1704140400000,248,245,248,
1704141000000,249,247,247,
1704141600000,249,246,246,
1704142200000,248,246,247,
1704142800000,249,247,247,
1704143400000,248,247,247,
1704144000000,248,246,247,
1704144600000,249,249,247,
1704145200000,249,246,247,
1704145800000,247,247,247,
1704146400000,248,246,246,
1704147000000,248,245,247,
1704147600000,248,247,247,
1704148200000,249,248,246,
1704148800000,247,245,247,
1704149400000,248,246,245,
1704150000000,248,246,247,
1704150600000,246,245,245,
1704151200000,246,244,244,
1704151800000,247,244,245,
1704152400000,246,244,246,
1704153000000,246,244,244,
1704153600000,246,244,245,
1704154200000,245,244,244,
1704154800000,246,244,246,
1704155400000,247,245,245,
1704156000000,244,244,245,
1704156599000,246,244,245,
1704157200000,244,243,244,
1704157800000,244,243,242,
1704158400000,247,245,246,
1704159000000,245,245,245,
1704159600000,246,243,244,
1704160200000,245,244,244,
1704160800000,248,246,247,
1704161400000,244,243,243,
1704162000000,247,246,245,
1704162600000,245,244,244,
1704163200000,244,244,243,
1704163800000,246,244,243,
1704164400000,245,243,245,
1704165000000,244,244,245,
1704165600000,244,244,246,
1704166199000,245,243,244,
1704166799000,245,244,245,
1704167400000,246,244,245,
1704168000000,245,243,245,
1704168600000,246,244,244,
1704169200000,246,244,245,
1704169800000,244,242,242,
1704170400000,246,242,243,
1704171000000,244,243,242,
1704171599000,245,243,244,
1704172200000,244,243,242,
1704172800000,245,243,243,
1704173400000,243,242,241,
1704174000000,244,242,241,
1704174600000,243,241,241,
1704175200000,244,243,242,
1704175800000,244,243,242,
1704176400000,242,239,240,
1704177000000,244,243,243,
1704177600000,244,243,242,
1704178200000,241,241,241,
1704178800000,243,241,240,
1704179400000,242,241,241,
1704180000000,244,242,241,
1704180600000,246,244,244,
1704181200000,244,242,242,
1704181800000,244,242,242,
1704182400000,246,242,243,
1704183000000,244,243,243,
1704183600000,245,243,242,
1704184200000,243,241,242,
1704184800000,244,243,244,
1704185400000,244,243,244,
1704186000000,242,240,242,
1704186600000,242,240,241,
1704187200000,245,243,243,
1704187800000,243,240,240,
1704188400000,242,240,240,
1704189000000,244,243,244,
1704189600000,243,240,241,
1704190200000,242,240,241,
1704190800000,242,240,240,
1704191400000,243,241,244,
1704192000000,248,244,245,
1704192600000,246,245,246,
1704193200000,247,245,245,
