intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Jul 02 2024|  TO Mon Jul 08 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1719858600000,250,248,249,
1719859200000,250,248,249,
1719859800000,250,248,248,
1719860400000,250,248,248,
1719861000000,250,248,249,
1719861600000,250,248,249,
1719862200000,250,248,249,
1719862800000,251,248,249,
1719863400000,251,248,250,
1719864000000,251,248,250,
1719864600000,250,248,249,
1719865200000,250,248,249,
1719865800000,251,249,249,
1719866400000,251,249,250,
1719867000000,251,249,250,
1719867600000,251,249,250,
1719868200000,252,249,251,
1719868800000,252,249,251,
1719869400000,252,250,251,
1719870000000,252,249,251,
1719870600000,252,249,250,
1719871200000,252,250,251,
1719871800000,252,250,250,
1719872400000,252,249,251,
1719873000000,252,249,251,
1719873600000,251,249,250,
1719874200000,251,249,250,
1719874800000,251,249,250,
1719875400000,252,248,250,
1719876000000,251,248,250,
1719876600000,252,248,250,
1719877200000,250,248,248,
1719877800000,249,246,248,
1719878400000,250,247,248,
1719879000000,249,246,248,
1719879600000,248,245,246,
1719880200000,248,244,245,
1719880800000,245,242,244,
1719881400000,243,240,241,
1719882000000,243,240,242,
1719882600000,245,242,242,
1719883200000,244,241,242,
1719883800000,245,241,243,
1719884400000,243,239,241,
1719885000000,246,242,244,
1719885599000,243,240,241,
1719886200000,243,239,240,
1719886800000,242,239,240,
1719887400000,247,243,245,
1719888000000,244,240,242,
1719888600000,246,242,244,
1719889200000,243,239,241,
1719889800000,245,241,243,
1719890400000,246,242,243,
1719891000000,243,240,241,
1719891600000,243,239,241,
1719892200000,244,240,242,
1719892800000,243,240,241,
1719893400000,243,239,242,
1719894000000,243,240,241,
1719894600000,243,241,242,
1719895200000,242,241,243,
1719895800000,241,240,242,
1719896400000,241,239,240,
1719897000000,242,239,239,
1719897600000,241,238,241,
1719898200000,242,239,240,
1719898800000,243,239,241,
1719899400000,243,239,241,
1719900000000,242,238,241,
1719900600000,242,238,239,
1719901200000,244,243,244,
1719901800000,243,240,241,
1719902400000,242,240,243,
1719903000000,244,242,243,
1719903600000,245,241,244,
1719904200000,240,240,240,
1719904800000,244,243,244,
1719905400000,245,243,244,
1719906000000,242,240,242,
1719906600000,242,240,241,
1719907200000,241,239,240,
1719907800000,244,243,241,
1719908400000,242,241,243,
1719909000000,241,239,240,
1719909600000,242,240,241,
1719910200000,242,240,241,
1719910800000,242,242,244,
1719911399000,243,241,242,
1719912000000,242,240,242,
1719912600000,243,241,242,
1719913200000,243,240,242,
1719913800000,241,238,238,
1719914400000,244,242,241,
1719915000000,241,238,239,
1719915600000,242,239,239,
1719916200000,243,239,241,
1719916800000,243,240,239,
1719917400000,243,242,241,
1719918000000,243,241,241,
1719918600000,244,241,242,
1719919200000,243,242,242,
1719919800000,244,243,244,
1719920400000,245,244,243,
1719921000000,245,244,246,
1719921600000,246,244,245,
1719922200000,246,244,245,
1719922800000,247,246,247,
1719923400000,249,247,248,
1719924000000,242,241,240,
1719924600000,243,241,243,
1719925200000,242,239,241,
1719925800000,243,241,242,
1719926400000,243,241,241,
1719927000000,242,240,241,
1719927600000,242,242,241,
1719928200000,243,242,242,
1719928800000,242,241,240,
1719929400000,243,242,241,
1719929999000,244,242,242,
1719930600000,242,241,240,
1719931200000,243,242,241,
1719931800000,243,242,242,
1719932400000,244,243,242,
1719933000000,243,243,242,
1719933600000,245,243,243,
1719934199000,243,242,242,
1719934800000,242,241,240,
1719935400000,242,241,242,
1719936000000,243,242,242,
1719936600000,244,242,243,
1719937200000,244,243,244,
1719937800000,245,244,245,
1719938400000,246,244,245,
1719939000000,246,245,245,
1719939600000,247,245,246,
1719940200000,247,246,247,
1719940800000,249,247,248,
1719941400000,250,248,249,
1719942000000,249,248,249,
1719942600000,249,247,248,
1719943200000,248,246,247,
1719943800000,246,245,244,
1719944400000,247,245,245,
1719945000000,248,247,246,
1719945600000,247,245,246,
1719946200000,247,246,246,
1719946800000,248,246,246,
1719947400000,247,246,246,
1719948000000,248,246,247,
1719948600000,248,246,247,
1719949200000,248,247,247,
1719949800000,249,247,247,
1719950400000,250,248,249,
1719951000000,249,247,248,
1719951600000,248,247,247,
1719952200000,250,248,248,
1719952800000,250,248,249,
1719953400000,250,248,248,
1719954000000,250,248,249,
1719954600000,250,248,249,
1719955200000,251,249,250,
1719955800000,251,249,249,
1719956400000,251,249,250,
1719957000000,250,248,249,
1719957600000,251,249,250,
1719958200000,250,249,250,
1719958800000,251,249,249,
