intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue May 21 2024|  TO Mon May 27 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1716229800000,246,242,245,
1716230400000,247,244,244,
1716231000000,248,244,246,
1716231600000,247,244,245,
1716232200000,249,244,247,
1716232800000,248,245,247,
1716233400000,249,245,248,
1716234000000,249,246,248,
1716234600000,249,246,247,
1716235200000,249,247,248,
1716235800000,250,245,248,
1716236400000,249,247,249,
1716237000000,250,246,249,
1716237600000,250,245,249,
1716238200000,249,247,249,
1716238800000,250,247,248,
1716239400000,250,247,247,
1716240000000,250,247,249,
1716240600000,251,246,250,
1716241200000,250,246,249,
1716241800000,250,246,249,
1716242400000,250,246,249,
1716243000000,250,247,247,
1716243600000,250,248,249,
1716244200000,250,247,249,
1716244800000,250,248,249,
1716245400000,249,246,249,
1716246000000,249,246,249,
1716246600000,250,246,248,
1716247200000,250,246,247,
1716247800000,249,247,247,
1716248400000,248,246,247,
1716249000000,248,245,246,
1716249600000,248,245,247,
1716250200000,247,243,246,
1716250800000,246,243,245,
1716251400000,245,243,243,
1716252000000,244,242,243,
1716252600000,246,242,245,
1716253200000,245,240,243,
1716253800000,245,244,245,
1716254400000,244,242,244,
1716254999000,244,241,243,
1716255599000,246,243,244,
1716256200000,245,242,244,
1716256800000,244,242,242,
1716257400000,247,244,247,
1716258000000,247,243,246,
1716258600000,249,245,248,
1716259200000,245,243,244,
1716259800000,246,243,245,
1716260400000,247,242,246,
1716261000000,246,241,245,
1716261600000,245,241,244,
1716262200000,245,240,244,
1716262800000,245,241,243,
1716263400000,246,240,246,
1716264000000,246,241,244,
1716264600000,245,238,244,
1716265200000,246,243,245,
1716265800000,245,239,243,
1716266400000,243,239,242,
1716267000000,244,241,245,
1716267600000,243,239,243,
1716268200000,246,241,246,
1716268800000,245,241,245,
1716269400000,244,241,245,
1716270000000,242,240,244,
1716270600000,244,241,245,
1716271200000,243,239,243,
1716271800000,243,240,245,
1716272400000,244,240,244,
1716273000000,245,240,244,
1716273600000,243,239,242,
1716274200000,245,241,245,
1716274800000,244,239,243,
1716275400000,244,241,242,
1716276000000,244,240,243,
1716276600000,246,241,244,
1716277200000,243,238,242,
1716277800000,244,240,244,
1716278400000,245,241,243,
1716279000000,243,240,242,
1716279600000,244,240,243,
1716280200000,244,241,244,
1716280800000,243,239,242,
1716281400000,242,238,242,
1716282000000,247,242,245,
1716282600000,246,240,245,
1716283200000,243,238,242,
1716283799000,244,238,243,
1716284400000,244,238,242,
1716285000000,244,237,243,
1716285600000,242,237,242,
1716286200000,242,235,240,
1716286800000,243,236,241,
1716287400000,245,239,244,
1716288000000,245,239,243,
1716288600000,244,239,243,
1716289200000,245,239,244,
1716289800000,244,238,243,
1716290400000,245,239,244,
1716291000000,245,241,244,
1716291600000,243,240,241,
1716292200000,246,241,244,
1716292800000,247,241,246,
1716293400000,244,238,243,
1716294000000,245,238,244,
1716294600000,244,241,243,
1716295200000,244,241,243,
1716295800000,242,239,241,
1716296400000,245,242,243,
1716297000000,245,240,244,
1716297600000,244,241,243,
1716298200000,246,242,245,
1716298800000,246,243,246,
1716299400000,246,244,245,
1716300000000,244,241,243,
1716300600000,245,241,244,
1716301200000,246,242,245,
1716301800000,247,244,246,
1716302400000,247,244,246,
1716303000000,248,244,247,
1716303600000,246,242,245,
1716304200000,247,243,246,
1716304800000,247,243,246,
1716305400000,247,244,246,
1716306000000,247,243,246,
1716306600000,245,241,242,
1716307200000,245,242,243,
1716307800000,248,244,247,
1716308400000,244,241,243,
1716309000000,245,242,244,
1716309600000,245,242,244,
1716310200000,245,242,243,
1716310800000,246,243,245,
1716311400000,246,243,245,
1716312000000,245,239,243,
1716312600000,248,243,247,
1716313200000,246,241,244,
1716313800000,246,241,244,
1716314400000,246,242,244,
1716315000000,246,240,245,
1716315600000,246,241,245,
1716316200000,247,240,246,
1716316800000,246,243,245,
1716317400000,246,242,246,
1716318000000,247,242,246,
1716318600000,247,243,246,
1716319200000,248,243,247,
1716319800000,249,243,248,
1716320400000,249,244,246,
1716321000000,249,246,247,
1716321600000,249,244,247,
1716322200000,250,244,248,
1716322800000,250,244,248,
1716323400000,250,245,248,
1716324000000,250,244,248,
1716324600000,250,244,248,
1716325200000,250,245,247,
1716325799000,250,246,247,
1716325800000,250,246,247,
1716326400000,250,246,248,
1716327000000,250,245,248,
1716327600000,249,245,248,
1716328200000,250,243,248,
1716328800000,249,246,247,
1716329400000,249,246,248,
1716330000000,250,246,248,
1716330600000,251,247,247,
1716331200000,250,245,247,
1716331800000,249,245,248,
1716332400000,250,244,248,
1716333000000,250,244,248,
1716333600000,249,245,247,
1716334200000,249,244,248,
1716334800000,249,245,246,
1716335400000,248,244,246,
