intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Jun 25 2024|  TO Mon Jul 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1719253800000,249,245,245,
1719254400000,249,245,244,
1719255000000,249,245,244,
1719255600000,248,245,245,
1719256200000,249,245,246,
1719256800000,249,246,246,
1719257399000,250,246,246,
1719257999000,250,246,246,
1719258600000,250,247,246,
1719259200000,250,246,246,
1719259800000,250,247,247,
1719260400000,251,247,247,
1719261000000,251,247,247,
1719261599000,251,247,247,
1719262200000,251,247,247,
1719262800000,252,247,247,
1719263400000,251,247,247,
1719264000000,251,248,248,
1719264600000,252,248,249,
1719265200000,251,248,248,
1719265800000,252,248,248,
1719266400000,252,248,248,
1719267000000,252,248,247,
1719267600000,252,248,247,
1719268200000,252,248,249,
1719268800000,251,248,248,
1719269400000,251,247,248,
1719270000000,251,247,247,
1719270600000,251,247,248,
1719271200000,251,247,247,
1719271800000,251,247,247,
1719272400000,251,246,246,
1719273000000,250,246,246,
1719273600000,249,245,246,
1719274200000,248,244,245,
1719274800000,247,243,244,
1719275399000,248,244,243,
1719276000000,246,242,241,
1719276600000,247,244,243,
1719277200000,245,242,242,
1719277800000,247,243,244,
1719278400000,246,242,242,
1719279000000,248,244,244,
1719279599000,246,242,243,
1719280200000,247,244,244,
1719280800000,248,243,243,
1719281400000,247,243,243,
1719282000000,248,245,245,
1719282600000,247,243,243,
1719283200000,246,242,242,
1719283800000,244,241,243,
1719284400000,245,241,242,
1719285000000,248,243,243,
1719285600000,246,243,244,
1719286200000,245,242,243,
1719286800000,246,243,244,
1719287400000,246,242,243,
1719288000000,247,242,244,
1719288600000,246,241,243,
1719289200000,245,241,241,
1719289800000,248,244,244,
1719290400000,246,241,242,
1719291000000,245,240,243,
1719291600000,246,239,242,
1719292200000,246,241,243,
1719292800000,246,241,243,
1719293400000,246,242,242,
1719293999000,247,242,242,
1719294600000,245,240,242,
1719295200000,246,240,243,
1719295800000,247,240,243,
1719296400000,245,242,242,
1719297000000,246,242,243,
1719297600000,245,242,243,
1719298200000,244,239,239,
1719298800000,245,239,242,
1719299400000,243,238,241,
1719300000000,244,241,241,
1719300600000,246,242,244,
1719301200000,245,241,243,
1719301800000,245,241,242,
1719302400000,244,241,243,
1719303000000,245,241,241,
1719303600000,245,242,243,
1719304200000,245,241,243,
1719304800000,245,240,242,
1719305400000,245,238,242,
1719306000000,245,240,241,
1719306600000,244,240,239,
1719307200000,245,240,241,
1719307800000,245,240,242,
1719308400000,245,241,241,
1719309000000,244,239,240,
1719309600000,244,240,241,
1719310200000,245,240,242,
1719310800000,245,240,241,
1719311400000,245,240,242,
1719312000000,245,242,243,
1719312600000,247,242,244,
1719313200000,245,241,244,
1719313800000,245,240,242,
1719314400000,243,240,242,
1719315000000,243,240,240,
