intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Mar 26 2024|  TO Mon Apr 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1711391400000,246,242,246,
1711392000000,244,240,242,
1711392600000,244,239,243,
1711393200000,244,241,243,
1711393800000,245,241,245,
1711394400000,246,242,245,
1711395000000,247,243,245,
1711395600000,247,243,246,
1711396200000,248,242,247,
1711396800000,248,243,247,
1711397400000,249,244,247,
1711398000000,248,244,246,
1711398600000,250,245,249,
1711399200000,249,245,248,
1711399800000,249,245,248,
1711400400000,249,245,249,
1711401000000,249,245,249,
1711401600000,250,246,249,
1711402200000,252,247,251,
1711402800000,250,246,250,
1711403400000,250,246,249,
1711404000000,250,245,250,
1711404600000,250,246,250,
1711405200000,251,246,249,
1711405800000,251,247,251,
1711406400000,251,248,249,
1711407000000,251,247,249,
1711407600000,251,247,250,
1711408200000,251,246,250,
1711408800000,251,246,250,
1711409400000,252,247,250,
1711410000000,250,246,249,
1711410600000,249,245,249,
1711411200000,249,245,249,
1711411800000,249,245,249,
1711412400000,249,245,247,
1711413000000,250,245,249,
1711413600000,246,242,246,
1711414200000,243,239,243,
1711414800000,246,241,245,
1711415400000,243,239,243,
1711416000000,245,241,245,
1711416600000,244,240,243,
1711417200000,245,240,244,
1711417800000,245,241,244,
1711418400000,244,239,244,
1711419000000,244,239,243,
1711419600000,246,242,245,
1711420200000,243,238,243,
1711420800000,244,239,242,
1711421400000,244,241,245,
1711422000000,243,240,240,
1711422600000,243,238,242,
1711423200000,245,241,244,
1711423800000,246,241,243,
1711424400000,245,240,243,
1711425000000,244,238,240,
1711425600000,244,239,243,
1711426200000,245,241,243,
1711426800000,243,240,242,
1711427400000,241,237,242,
1711428000000,244,239,241,
1711428600000,242,238,240,
1711429200000,243,238,240,
1711429800000,242,237,241,
1711430400000,243,238,240,
1711431000000,242,237,241,
1711431600000,243,238,239,
1711432200000,243,238,240,
1711432800000,241,236,241,
1711433400000,242,237,238,
1711434000000,242,238,240,
1711434600000,242,238,242,
1711435200000,241,237,240,
1711435800000,240,236,238,
1711436400000,242,237,239,
1711437000000,242,237,239,
1711437600000,243,237,241,
1711438200000,243,237,241,
1711438800000,241,235,239,
1711439400000,241,235,239,
1711440000000,243,238,242,
1711440600000,241,237,241,
1711441200000,241,239,241,
1711441800000,241,240,241,
1711442400000,239,237,241,
1711443000000,240,237,241,
1711443600000,242,237,240,
1711444200000,239,235,239,
1711444800000,237,234,238,
1711445400000,241,238,240,
1711446000000,240,238,241,
1711446600000,240,238,240,
1711447200000,238,237,239,
1711447800000,240,236,241,
1711448400000,240,237,239,
1711449000000,240,236,240,
1711449600000,238,234,239,
1711450200000,240,236,242,
1711450800000,239,237,241,
1711451400000,240,237,240,
1711452000000,241,237,242,
1711452600000,240,236,240,
1711453200000,242,239,241,
1711453800000,241,238,242,
1711454400000,240,237,241,
1711455000000,241,238,241,
1711455600000,239,238,241,
1711456200000,243,242,246,
1711456800000,246,244,247,
1711457400000,239,238,240,
1711458000000,241,239,242,
1711458600000,240,238,240,
1711459200000,242,241,243,
1711459800000,244,241,244,
1711460400000,241,237,241,
1711461000000,242,239,242,
1711461600000,241,239,241,
1711462200000,241,239,240,
1711462800000,242,240,240,
1711463400000,243,240,241,
1711464000000,243,239,242,
1711464600000,242,238,241,
1711465200000,244,240,243,
1711465800000,242,238,241,
1711466400000,242,239,241,
1711467000000,243,239,241,
1711467600000,243,239,242,
1711468200000,245,241,243,
1711468800000,242,240,241,
1711469400000,243,240,242,
1711470000000,244,240,243,
1711470600000,243,240,242,
1711471199000,243,239,242,
1711471800000,243,238,242,
1711472400000,243,239,241,
1711473000000,242,239,242,
1711473600000,243,240,242,
1711474200000,242,238,241,
1711474800000,242,238,241,
1711475400000,244,241,243,
1711476000000,244,241,243,
1711476600000,242,239,241,
1711477200000,243,240,241,
1711477800000,245,241,244,
1711478400000,242,239,240,
1711479000000,245,241,244,
1711479600000,245,242,244,
1711480200000,243,241,241,
1711480800000,244,240,242,
1711481400000,245,242,243,
1711482000000,244,241,243,
1711482600000,245,242,244,
1711483200000,246,243,244,
1711483800000,246,242,245,
1711484400000,246,242,245,
1711485000000,248,244,247,
1711485600000,245,242,244,
1711486200000,245,242,244,
1711486800000,246,242,244,
1711487400000,246,242,245,
1711488000000,246,243,245,
1711488600000,248,245,246,
1711489200000,247,244,245,
1711489800000,246,243,245,
1711490400000,247,244,246,
1711491000000,247,244,246,
1711491600000,248,244,246,
1711492200000,247,244,246,
1711492800000,247,243,246,
1711493400000,247,244,246,
1711494000000,248,244,246,
1711494600000,247,244,245,
1711495200000,247,243,245,
1711495800000,247,243,246,
1711496400000,247,243,245,
1711497000000,247,243,245,
1711497600000,247,242,245,
1711498200000,246,242,243,
1711498800000,245,241,243,
1711499400000,247,242,245,
1711500000000,246,243,244,
1711500600000,243,240,242,
1711501200000,244,242,243,
1711501800000,243,240,241,
1711502400000,245,241,243,
1711503000000,245,242,244,
1711503600000,243,240,241,
1711504200000,243,240,241,
1711504800000,244,240,242,
1711505400000,244,239,242,
1711506000000,244,241,242,
1711506600000,245,240,243,
1711507200000,244,240,242,
1711507800000,246,242,243,
1711508400000,243,239,241,
1711509000000,244,241,242,
1711509600000,245,241,241,
1711510200000,243,239,241,
1711510800000,246,241,244,
1711511400000,245,241,243,
1711512000000,244,240,243,
1711512600000,241,237,240,
1711513200000,242,238,240,
1711513800000,241,238,242,
1711514400000,241,237,239,
1711515000000,243,239,242,
1711515600000,239,235,237,
1711516200000,239,235,239,
1711516800000,241,238,241,
1711517400000,242,238,240,
1711518000000,241,237,241,
1711518600000,238,235,240,
1711519200000,239,236,237,
1711519800000,238,236,240,
1711520400000,237,235,238,
1711521000000,240,237,240,
1711521600000,241,237,241,
1711522200000,240,237,239,
1711522800000,241,237,241,
1711523400000,241,237,240,
1711524000000,238,235,239,
1711524600000,239,236,239,
1711525200000,241,239,240,
1711525799000,241,238,241,
1711526400000,239,236,239,
1711527000000,239,235,239,
1711527600000,239,236,240,
1711528200000,239,237,241,
1711528800000,240,236,241,
1711529400000,238,234,238,
1711529999000,238,236,240,
1711530600000,239,237,240,
1711531200000,238,237,237,
1711531800000,236,234,239,
1711532400000,238,237,238,
1711533000000,238,236,238,
1711533600000,240,236,238,
1711534200000,239,236,239,
1711534800000,238,237,241,
1711535400000,238,237,238,
1711536000000,237,236,239,
1711536600000,237,236,239,
1711537200000,238,235,238,
1711537800000,238,235,238,
1711538400000,238,235,239,
1711539000000,238,235,239,
1711539600000,240,237,239,
1711540200000,238,236,238,
1711540800000,241,238,241,
1711541400000,240,238,241,
1711542000000,241,238,241,
1711542600000,241,238,242,
1711543200000,243,240,243,
1711543800000,240,237,240,
1711544400000,238,235,238,
1711545000000,239,237,240,
1711545600000,239,236,239,
1711546200000,240,238,240,
1711546800000,240,237,240,
1711547400000,240,237,241,
1711548000000,238,235,238,
1711548600000,239,237,239,
1711549200000,239,237,240,
1711549800000,243,241,243,
1711550400000,241,240,241,
1711551000000,242,239,242,
1711551600000,242,239,242,
1711552200000,241,239,241,
1711552800000,242,239,242,
1711553400000,243,240,243,
1711554000000,243,239,241,
1711554600000,243,241,242,
1711555200000,243,240,243,
1711555800000,243,241,243,
1711556400000,241,239,241,
1711557000000,242,240,243,
1711557600000,243,240,243,
1711558200000,243,240,242,
1711558800000,242,240,243,
1711559400000,242,239,241,
1711560000000,242,240,242,
1711560600000,243,240,242,
1711561200000,243,241,243,
1711561800000,243,239,242,
1711562400000,243,240,242,
1711563000000,242,239,241,
1711563600000,242,239,242,
1711564200000,245,241,244,
1711564800000,244,241,243,
1711565400000,244,241,243,
1711566000000,242,239,242,
1711566600000,242,240,241,
1711567200000,242,241,241,
1711567800000,244,240,243,
1711568400000,244,240,243,
1711569000000,244,241,243,
1711569600000,245,242,244,
1711570200000,245,242,244,
1711570800000,245,242,244,
1711571400000,247,243,246,
1711572000000,246,243,244,
1711572600000,246,242,244,
1711573200000,247,242,245,
1711573800000,248,245,246,
1711574399000,248,244,246,
1711575000000,249,245,247,
1711575600000,248,244,246,
1711576200000,248,244,246,
1711576800000,249,244,246,
1711577400000,248,244,246,
1711578000000,249,244,247,
1711578600000,250,246,248,
1711579200000,248,246,246,
1711579800000,249,245,247,
1711580400000,250,245,248,
1711581000000,249,245,247,
1711581600000,249,244,248,
1711582200000,249,246,247,
1711582800000,249,245,247,
1711583400000,248,245,246,
1711584000000,247,244,246,
1711584600000,248,244,247,
