intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Dec 26 2023|  TO Mon Jan 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1703529000000,247,245,246,
1703529600000,246,243,245,
1703530200000,245,244,244,
1703530800000,246,244,245,
1703531400000,247,244,245,
1703532000000,245,244,245,
1703532600000,248,245,247,
1703533199000,247,246,246,
1703533800000,248,246,247,
1703534400000,247,245,247,
1703535000000,248,246,246,
1703535600000,248,246,247,
1703536200000,249,248,248,
1703536800000,248,245,248,
1703537400000,247,246,247,
1703538000000,248,246,247,
1703538600000,248,246,247,
1703539200000,248,247,248,
1703539800000,250,247,249,
1703540400000,247,247,247,
1703541000000,248,246,247,
1703541600000,248,246,246,
1703542200000,247,245,247,
1703542800000,248,246,247,
1703543400000,248,246,248,
1703544000000,247,245,246,
1703544600000,248,246,247,
1703545200000,248,245,246,
1703545800000,246,246,246,
1703546400000,247,245,246,
1703547000000,247,246,246,
1703547600000,247,246,247,
1703548200000,247,245,246,
1703548800000,246,245,246,
1703549400000,245,243,245,
1703550000000,246,244,246,
1703550600000,246,244,246,
1703551200000,245,243,244,
1703551800000,245,244,245,
1703552400000,246,244,245,
1703553000000,245,244,244,
1703553600000,245,244,245,
1703554200000,247,244,246,
1703554800000,246,244,245,
1703555400000,246,246,246,
1703556000000,247,245,246,
1703556600000,246,244,245,
1703557200000,245,243,245,
1703557800000,246,246,246,
1703558400000,246,243,244,
1703559000000,245,242,244,
1703559600000,246,245,246,
1703560200000,244,243,244,
1703560800000,247,244,246,
1703561400000,247,245,245,
1703562000000,245,243,244,
1703562600000,246,245,245,
1703563200000,247,244,247,
1703563800000,247,246,246,
1703564400000,243,242,243,
1703565000000,246,243,244,
1703565600000,245,242,245,
1703566200000,243,243,243,
1703566800000,245,242,243,
1703567400000,242,241,243,
1703568000000,244,240,242,
1703568600000,246,244,244,
1703569200000,245,242,243,
1703569800000,245,242,243,
1703570400000,247,244,243,
1703571000000,244,243,243,
1703571600000,247,243,244,
1703572200000,244,242,243,
1703572800000,244,243,244,
1703573400000,244,243,244,
1703574000000,245,243,243,
1703574600000,243,243,242,
1703575200000,243,242,243,
1703575800000,246,244,245,
1703576400000,245,244,244,
1703577000000,245,245,244,
1703577600000,246,244,244,
1703578200000,246,243,244,
1703578800000,246,244,245,
1703579400000,245,246,246,
1703580000000,244,243,243,
1703580600000,244,242,243,
1703581200000,243,241,242,
1703581800000,243,242,242,
1703582400000,243,241,244,
1703583000000,245,244,244,
1703583600000,245,244,244,
1703584200000,246,245,245,
1703584800000,247,246,245,
1703585400000,247,245,246,
1703586000000,247,244,246,
1703586600000,248,245,246,
1703587200000,249,247,248,
1703587800000,244,242,243,
1703588400000,244,241,242,
1703589000000,244,241,243,
1703589600000,244,241,242,
1703590200000,246,244,244,
1703590800000,246,244,244,
1703591400000,246,244,244,
1703592000000,246,243,245,
1703592600000,246,245,246,
1703593200000,246,243,244,
1703593800000,247,246,246,
1703594400000,244,242,242,
1703595000000,245,245,245,
1703595600000,245,244,245,
1703596200000,243,242,243,
1703596800000,244,242,243,
1703597400000,246,245,244,
1703598000000,246,244,245,
1703598600000,246,245,245,
1703599200000,244,241,242,
1703599800000,244,242,243,
1703600400000,243,244,242,
1703601000000,246,244,244,
1703601600000,245,243,244,
1703602200000,246,244,245,
1703602800000,245,245,245,
1703603400000,245,243,242,
1703603999000,245,245,243,
1703604600000,246,245,245,
1703605200000,244,243,243,
1703605800000,244,244,243,
1703606400000,245,244,245,
1703607000000,246,245,244,
1703607600000,247,246,247,
1703608200000,247,246,247,
1703608800000,245,245,246,
1703609400000,247,247,245,
1703610000000,247,246,246,
1703610600000,248,246,247,
1703611200000,248,248,248,
1703611800000,250,248,248,
1703612400000,248,247,246,
1703613000000,248,245,246,
1703613600000,248,247,247,
1703614200000,248,246,247,
1703614800000,249,247,248,
1703615400000,251,249,248,
1703616000000,248,247,247,
1703616600000,248,247,247,
1703617200000,249,249,248,
1703617800000,249,247,247,
1703618400000,249,248,247,
1703619000000,249,247,249,
1703619600000,249,249,248,
1703620200000,250,248,250,
1703620800000,250,250,249,
1703621400000,251,248,251,
1703622000000,251,251,251,
1703622600000,253,251,251,
1703623200000,251,249,250,
1703623800000,251,250,250,
