intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Sep 26 2023|  TO Mon Oct 02 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1695666600000,248,246,249,
1695667199000,247,246,247,
1695667800000,247,247,248,
1695668400000,248,247,249,
1695669000000,248,246,248,
1695669600000,247,247,248,
1695670200000,248,248,248,
1695670800000,248,249,250,
1695671400000,248,248,249,
1695672000000,248,248,249,
1695672600000,249,249,250,
1695673200000,248,248,249,
1695673800000,249,248,250,
1695674400000,249,248,250,
1695675000000,249,249,250,
1695675600000,249,249,250,
1695676199000,249,249,249,
1695676200000,249,249,249,
1695676800000,249,248,250,
1695677400000,251,251,252,
1695678000000,250,249,251,
1695678600000,249,249,250,
1695679200000,250,249,250,
1695679800000,249,249,250,
1695680400000,250,249,251,
1695681000000,250,249,251,
1695681600000,250,249,251,
1695682200000,250,249,251,
1695682800000,250,249,250,
1695683400000,250,248,250,
1695684000000,250,248,250,
1695684600000,250,248,250,
1695685200000,249,247,249,
1695685800000,248,246,249,
1695686400000,248,247,249,
1695687000000,247,245,247,
1695687600000,246,246,247,
1695688200000,247,247,248,
1695688800000,246,246,247,
1695689400000,245,245,246,
1695690000000,245,243,245,
1695690600000,243,242,244,
1695691200000,244,242,244,
1695691800000,245,244,246,
1695692400000,244,243,245,
1695693000000,244,242,244,
1695693600000,245,244,246,
1695694200000,245,243,246,
1695694800000,244,243,245,
1695695400000,244,242,245,
1695696000000,244,243,245,
1695696600000,245,244,245,
1695697200000,244,244,245,
1695697800000,245,245,246,
1695698400000,244,244,245,
1695699000000,244,244,245,
1695699600000,242,240,242,
1695700200000,247,247,247,
1695700800000,245,245,246,
1695701400000,244,244,246,
1695702000000,244,243,245,
1695702600000,245,244,246,
1695703200000,244,244,245,
1695703800000,244,244,244,
1695704400000,244,244,245,
1695705000000,241,240,242,
1695705600000,244,243,245,
1695706200000,244,242,245,
1695706800000,243,241,243,
1695707400000,243,241,243,
1695708000000,243,240,243,
1695708600000,244,241,244,
1695709200000,243,241,243,
1695709800000,243,241,244,
1695710400000,243,241,244,
1695711000000,244,242,243,
1695711600000,243,242,244,
1695712200000,243,243,244,
1695712800000,243,242,244,
1695713400000,243,242,243,
1695714000000,243,241,243,
1695714600000,243,241,243,
1695715200000,243,242,244,
1695715800000,243,242,244,
1695716400000,243,243,245,
1695717000000,241,240,243,
1695717600000,244,243,245,
1695718200000,242,240,243,
1695718800000,242,241,243,
1695719400000,244,243,245,
1695720000000,243,242,245,
1695720600000,244,243,246,
1695721199000,242,240,243,
1695721800000,243,240,243,
1695722400000,242,240,242,
1695723000000,244,240,243,
1695723600000,242,240,242,
1695724200000,244,243,245,
1695724800000,245,242,244,
1695725400000,245,241,244,
1695726000000,244,242,244,
1695726600000,244,241,244,
1695727200000,244,243,245,
