intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Feb 27 2024|  TO Mon Mar 04 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1708972200000,248,245,248,
1708972800000,242,240,243,
1708973400000,242,240,243,
1708974000000,244,241,242,
1708974600000,243,241,244,
1708975200000,243,241,244,
1708975800000,245,242,246,
1708976400000,246,242,246,
1708977000000,245,243,246,
1708977600000,246,244,246,
1708978200000,248,244,247,
1708978800000,247,245,247,
1708979400000,249,247,247,
1708980000000,248,246,248,
1708980600000,247,245,247,
1708981200000,248,245,248,
1708981800000,249,245,248,
1708982400000,248,246,248,
1708983000000,250,247,249,
1708983600000,248,245,248,
1708984200000,247,245,248,
1708984800000,249,245,247,
1708985400000,248,246,248,
1708986000000,249,247,248,
1708986600000,248,246,248,
1708987200000,248,246,248,
1708987800000,249,245,248,
1708988400000,248,246,248,
1708989000000,248,246,249,
1708989600000,249,246,248,
1708990200000,249,247,248,
1708990800000,249,247,249,
1708991400000,249,244,248,
1708992000000,247,245,247,
1708992600000,247,244,247,
1708993200000,247,243,245,
1708993800000,246,243,247,
1708994400000,247,244,247,
1708995000000,246,242,245,
1708995600000,244,242,244,
1708996200000,245,242,244,
1708996800000,246,241,244,
1708997400000,245,244,246,
1708998000000,246,244,245,
1708998600000,246,242,246,
1708999200000,245,243,245,
1708999800000,245,241,244,
1709000400000,244,241,244,
1709001000000,245,242,244,
1709001600000,247,243,246,
1709002200000,244,242,244,
1709002800000,243,241,243,
1709003400000,243,241,244,
1709004000000,245,241,243,
1709004600000,244,240,244,
1709005200000,246,242,246,
1709005799000,245,242,245,
1709006400000,244,241,244,
1709007000000,244,241,243,
1709007600000,242,240,243,
1709008200000,244,242,244,
1709008800000,243,239,242,
1709009400000,242,239,242,
1709010000000,240,237,242,
1709010600000,241,238,241,
1709011200000,241,238,242,
1709011800000,243,239,242,
1709012400000,240,236,240,
1709013000000,242,240,242,
1709013600000,240,238,241,
1709014200000,242,238,241,
1709014800000,243,237,240,
1709015400000,243,240,241,
1709016000000,242,239,240,
1709016600000,240,238,241,
1709017200000,241,238,241,
1709017800000,241,238,242,
1709018400000,244,239,243,
1709019000000,244,240,244,
1709019600000,241,238,241,
1709020200000,243,239,242,
1709020800000,243,240,243,
1709021400000,244,241,243,
1709022000000,242,240,243,
1709022600000,243,241,244,
1709023200000,242,240,243,
1709023800000,241,240,242,
1709024400000,241,239,242,
1709025000000,241,239,241,
1709025600000,241,239,241,
1709026200000,241,238,241,
1709026800000,240,237,241,
1709027400000,242,239,243,
1709028000000,242,240,243,
1709028600000,241,239,243,
1709029200000,242,240,243,
1709029800000,241,239,242,
1709030400000,243,240,244,
1709031000000,245,242,244,
1709031600000,244,241,245,
1709032200000,243,241,243,
1709032800000,243,239,242,
1709033400000,244,242,245,
1709034000000,245,242,244,
1709034600000,243,240,243,
1709035200000,242,241,244,
1709035800000,243,241,244,
1709036400000,244,242,245,
1709037000000,244,242,245,
1709037600000,246,245,248,
1709038200000,242,241,243,
1709038800000,243,241,244,
1709039400000,244,243,245,
1709040000000,244,241,244,
1709040600000,244,243,245,
1709041200000,243,241,244,
1709041800000,244,242,244,
1709042400000,243,241,243,
1709043000000,244,243,245,
1709043600000,245,244,246,
1709044200000,245,244,246,
1709044800000,244,242,245,
1709045400000,244,243,245,
1709046000000,246,244,246,
1709046600000,246,245,247,
1709047200000,247,245,247,
1709047800000,248,244,247,
1709048400000,244,243,244,
1709049000000,245,242,245,
1709049600000,243,240,243,
1709050199000,243,241,243,
1709050800000,243,242,245,
1709051400000,246,244,245,
1709052000000,243,240,244,
1709052600000,245,243,246,
1709053200000,244,240,243,
1709053800000,243,241,244,
1709054400000,243,241,244,
1709055000000,245,242,245,
1709055600000,246,242,246,
1709056200000,243,240,243,
1709056800000,244,242,244,
1709057400000,245,242,245,
1709058000000,246,242,245,
1709058600000,247,245,247,
1709059200000,244,241,244,
1709059800000,245,241,244,
1709060400000,245,242,245,
1709061000000,246,242,245,
1709061600000,246,242,245,
1709062200000,247,244,247,
1709062800000,248,246,247,
1709063400000,248,243,247,
1709064000000,248,245,248,
1709064600000,246,244,247,
1709065199000,246,244,247,
1709065800000,250,245,249,
1709066400000,248,245,248,
1709067000000,249,245,248,
1709067600000,248,245,249,
1709068200000,249,246,249,
1709068800000,249,245,249,
1709069400000,250,248,250,
1709070000000,250,247,249,
1709070600000,249,245,248,
1709071200000,249,247,248,
1709071800000,249,246,249,
1709072400000,249,246,248,
1709073000000,250,246,249,
1709073600000,249,247,248,
1709074200000,248,246,248,
1709074800000,249,246,249,
1709075400000,249,246,248,
1709076000000,249,245,248,
1709076600000,250,246,249,
1709077200000,249,246,249,
1709077800000,249,245,248,
1709078400000,249,246,248,
1709078999000,248,246,247,
1709079600000,248,244,246,
1709080200000,248,245,247,
1709080800000,247,245,247,
1709081400000,246,243,246,
1709082000000,244,241,244,
1709082600000,244,241,245,
1709083200000,245,243,245,
1709083800000,243,241,243,
1709084400000,245,242,245,
1709085000000,248,246,247,
1709085600000,245,243,245,
1709086200000,244,242,244,
1709086800000,245,242,245,
1709087400000,245,243,244,
1709088000000,246,242,244,
1709088600000,244,243,245,
1709089200000,242,240,244,
1709089800000,243,240,243,
1709090400000,244,241,244,
1709091000000,244,242,243,
1709091600000,244,241,244,
1709092200000,244,242,244,
1709092800000,243,240,243,
1709093400000,244,242,245,
1709094000000,242,240,242,
1709094600000,244,242,244,
1709095200000,243,239,243,
1709095800000,240,238,240,
1709096400000,244,241,245,
1709097000000,241,239,242,
1709097600000,243,242,245,
1709098199000,242,240,243,
1709098800000,242,239,243,
1709099400000,241,239,242,
1709100000000,241,239,242,
1709100600000,243,239,244,
1709101200000,241,236,241,
1709101800000,243,240,243,
1709102400000,241,237,240,
1709103000000,240,237,240,
1709103600000,241,239,242,
1709104200000,241,240,243,
1709104800000,243,240,243,
1709105400000,246,242,246,
1709106000000,244,241,244,
1709106600000,240,236,240,
1709107200000,244,241,244,
1709107800000,243,240,243,
1709108400000,243,239,243,
1709109000000,240,238,242,
1709109600000,238,236,240,
1709110200000,242,238,240,
1709110800000,238,236,239,
1709111400000,240,235,239,
1709112000000,239,235,239,
1709112600000,240,236,239,
1709113200000,241,236,239,
1709113800000,240,237,240,
1709114400000,239,236,240,
1709115000000,239,235,239,
1709115600000,240,239,242,
1709116200000,239,237,238,
1709116800000,241,237,241,
1709117400000,241,238,242,
1709118000000,242,237,241,
1709118600000,240,236,240,
1709119200000,238,237,239,
1709119800000,243,240,243,
1709120400000,242,238,241,
1709121000000,245,240,243,
1709121600000,244,241,244,
1709122200000,243,238,241,
1709122800000,243,239,243,
1709123400000,244,240,243,
1709124000000,243,240,242,
1709124600000,243,240,243,
1709125200000,243,240,242,
1709125800000,246,242,244,
1709126400000,243,241,244,
1709127000000,243,240,242,
1709127600000,243,242,244,
1709128200000,241,239,242,
1709128800000,243,239,242,
1709129400000,243,241,243,
1709130000000,244,240,243,
1709130600000,244,242,244,
1709131200000,244,241,245,
1709131799000,245,242,244,
1709132399000,242,240,242,
1709133000000,243,240,242,
1709133600000,242,241,243,
1709134200000,243,241,243,
1709134800000,242,240,242,
1709135400000,244,242,244,
1709136000000,245,243,245,
1709136600000,244,242,243,
1709137200000,242,239,242,
1709137800000,243,241,243,
1709138400000,244,240,243,
1709139000000,245,241,245,
1709139600000,244,240,243,
1709140200000,244,240,243,
1709140800000,246,240,245,
1709141400000,244,241,244,
1709142000000,245,240,244,
1709142600000,244,242,244,
1709143200000,245,242,244,
1709143800000,245,241,245,
1709144400000,244,241,243,
1709145000000,247,243,246,
1709145600000,244,241,244,
1709146200000,244,240,244,
1709146800000,245,243,245,
1709147400000,246,244,246,
1709148000000,246,245,245,
1709148600000,247,244,247,
1709149200000,247,245,247,
1709149800000,248,245,248,
1709150400000,248,246,249,
1709151000000,249,246,249,
1709151600000,249,247,249,
1709152200000,250,248,250,
1709152800000,249,247,249,
1709153400000,249,246,250,
1709154000000,250,247,251,
1709154600000,249,247,249,
1709155200000,250,247,250,
1709155800000,252,249,252,
1709156400000,250,248,249,
1709157000000,249,247,249,
1709157600000,251,248,250,
1709158200000,250,246,249,
1709158800000,250,247,249,
1709159400000,251,248,250,
1709160000000,250,248,250,
1709160600000,250,247,250,
1709161200000,250,247,250,
1709161800000,251,247,250,
1709162400000,250,247,250,
1709163000000,250,247,250,
1709163600000,250,248,250,
1709164200000,250,247,250,
1709164800000,249,248,249,
1709165400000,247,245,247,
1709165999000,248,244,248,
1709166600000,248,245,248,
1709167200000,249,246,248,
1709167800000,245,243,245,
1709168400000,244,241,245,
1709169000000,244,241,245,
1709169600000,244,240,244,
1709170200000,245,242,245,
1709170800000,245,242,245,
1709171400000,245,243,245,
1709172000000,245,242,245,
1709172600000,244,241,243,
1709173200000,244,242,243,
1709173800000,243,239,242,
1709174400000,244,239,244,
1709175000000,245,242,246,
1709175600000,245,241,245,
1709176200000,245,242,245,
1709176800000,245,241,245,
1709177400000,244,241,244,
1709178000000,241,239,242,
1709178600000,244,240,244,
1709179200000,246,242,246,
1709179800000,242,239,243,
1709180400000,242,239,242,
1709181000000,243,241,244,
1709181600000,242,240,243,
1709182200000,242,239,242,
1709182800000,242,240,242,
1709183400000,242,239,242,
1709184000000,242,240,244,
1709184600000,242,239,242,
1709185200000,242,239,242,
1709185800000,241,238,242,
1709186400000,242,238,241,
1709187000000,242,241,244,
1709187600000,242,239,242,
1709188200000,241,238,242,
1709188800000,243,239,242,
1709189400000,240,239,243,
1709190000000,242,239,242,
1709190600000,243,240,244,
1709191200000,240,238,242,
1709191800000,243,241,244,
1709192400000,243,240,243,
1709193000000,244,240,244,
1709193600000,244,242,245,
1709194200000,242,240,244,
1709194800000,242,240,243,
1709195400000,241,240,243,
1709196000000,242,240,243,
1709196600000,242,239,243,
1709197200000,241,238,242,
1709197800000,240,237,241,
1709198400000,241,237,241,
1709199000000,242,239,242,
1709199600000,243,240,243,
1709200200000,240,238,242,
1709200800000,243,239,243,
1709201400000,241,240,243,
1709202000000,242,239,243,
1709202600000,243,240,244,
1709203200000,244,241,245,
1709203800000,240,237,242,
1709204400000,243,238,241,
1709205000000,241,237,241,
1709205600000,243,238,241,
1709206199000,243,240,242,
1709206800000,240,236,239,
1709207400000,242,240,241,
1709208000000,243,240,243,
1709208600000,241,238,242,
1709209200000,243,241,244,
1709209800000,243,240,243,
1709210400000,241,239,241,
1709211000000,241,239,241,
1709211600000,240,237,240,
1709212200000,241,238,242,
1709212800000,243,240,243,
1709213400000,242,240,241,
1709214000000,242,239,242,
1709214600000,243,240,243,
1709215200000,244,241,244,
