intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue May 28 2024|  TO Mon Jun 03 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1716834600000,244,242,242,
1716835200000,244,242,243,
1716835800000,244,241,243,
1716836399000,245,243,244,
1716836400000,245,243,244,
1716837000000,244,242,245,
1716837600000,245,244,243,
1716838200000,245,243,243,
1716838799000,246,245,244,
1716838800000,246,245,244,
1716839400000,246,245,245,
1716839932000,246,245,245,
1716840000000,246,244,245,
1716840600000,246,244,246,
1716841200000,247,245,246,
1716841800000,244,243,244,
1716842400000,244,243,243,
1716843000000,244,242,243,
1716843600000,245,243,243,
1716844200000,245,243,244,
1716844800000,245,244,244,
1716845400000,245,243,244,
1716846000000,245,244,244,
1716846600000,245,244,244,
1716847200000,246,244,244,
1716847800000,246,245,244,
1716848399000,246,244,244,
1716849000000,246,245,244,
1716849600000,245,244,244,
1716850199000,246,245,245,
1716850799000,246,244,245,
1716850800000,246,244,245,
1716851400000,246,245,245,
1716852000000,246,245,245,
1716852600000,246,245,245,
1716853200000,246,244,244,
1716853800000,245,245,244,
1716854400000,245,244,243,
1716855000000,245,244,243,
1716855600000,244,243,242,
1716856200000,244,243,242,
1716856799000,245,244,244,
1716857400000,243,242,242,
1716858000000,245,243,244,
1716858600000,244,243,243,
1716859200000,246,244,245,
1716859800000,246,245,245,
1716860400000,245,243,244,
1716860998000,244,242,243,
1716861000000,244,242,243,
1716861599000,246,245,246,
1716862200000,245,244,244,
1716862800000,245,243,245,
1716863400000,246,244,245,
1716864000000,246,244,246,
1716864600000,245,242,244,
1716865059000,244,242,243,
1716865200000,247,245,245,
1716865800000,244,243,244,
1716866400000,245,245,246,
1716867000000,245,243,246,
1716867600000,245,243,244,
1716868200000,244,242,243,
1716868800000,246,244,244,
1716869400000,246,244,245,
1716870000000,243,241,243,
1716870600000,246,243,245,
1716871027000,245,243,244,
1716871200000,245,242,244,
1716871800000,245,243,243,
1716872400000,245,243,244,
1716873000000,245,243,245,
1716873600000,245,242,243,
1716874200000,245,244,244,
1716874799000,244,243,242,
1716874800000,244,242,242,
1716875400000,242,241,242,
1716876000000,242,239,241,
1716876600000,245,242,245,
1716877200000,242,238,243,
1716877800000,243,241,242,
1716878400000,244,243,244,
1716879000000,242,238,241,
1716879600000,245,243,243,
1716880200000,244,242,244,
1716880799000,242,240,242,
1716880800000,242,240,242,
1716881400000,246,244,246,
1716881999000,243,241,243,
1716882000000,243,241,243,
1716882600000,244,243,245,
1716883199000,242,241,241,
1716883732000,242,240,242,
1716883800000,242,240,241,
1716884400000,243,241,244,
1716885000000,245,243,245,
1716885600000,243,242,244,
1716886200000,243,241,243,
1716886800000,240,239,240,
1716887400000,243,241,243,
1716888000000,244,241,243,
1716888600000,242,238,240,
1716889200000,241,240,242,
1716889799000,242,241,241,
1716890400000,244,242,244,
1716891000000,241,239,241,
1716891600000,242,239,242,
1716892200000,242,239,240,
1716892800000,243,240,241,
1716893400000,243,240,241,
1716894000000,244,241,241,
1716894600000,244,240,242,
1716895200000,242,239,239,
1716895800000,242,239,241,
1716896400000,243,240,244,
1716897000000,244,239,243,
1716897600000,243,241,244,
1716898200000,242,239,242,
1716898800000,241,239,241,
1716899400000,243,240,244,
1716899946000,243,241,243,
1716900000000,243,240,243,
1716900600000,242,239,241,
1716901200000,241,239,241,
1716901800000,243,242,242,
1716902400000,243,241,242,
1716902783000,243,240,243,
1716903000000,244,241,243,
1716903600000,245,242,245,
1716904200000,243,239,241,
1716904800000,243,241,242,
1716905400000,243,241,243,
1716906000000,244,242,244,
1716906600000,243,241,242,
1716907200000,243,241,242,
1716907800000,243,242,242,
1716908400000,244,241,244,
1716908999000,243,240,244,
1716909000000,243,240,244,
1716909600000,244,240,244,
1716910200000,244,243,244,
1716910800000,244,242,244,
1716911400000,244,243,245,
1716912000000,245,242,245,
1716912600000,243,239,243,
1716913200000,243,240,243,
1716913800000,244,242,243,
1716914400000,245,242,245,
1716915000000,246,243,246,
1716915600000,243,241,243,
1716916200000,243,242,244,
1716916800000,243,242,243,
1716917399000,244,241,243,
1716917400000,244,241,243,
1716918000000,243,241,243,
1716918599000,244,242,245,
1716918600000,244,242,244,
1716919200000,245,242,244,
1716919800000,245,243,245,
1716920400000,243,239,243,
1716921000000,243,242,242,
1716921599000,243,242,242,
1716921600000,243,241,242,
1716922200000,243,242,243,
1716922800000,243,241,244,
1716923400000,243,242,244,
1716923993000,244,243,244,
1716924000000,244,241,244,
