intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Nov 28 2023|  TO Mon Dec 04 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1701109800000,249,247,249,
1701110400000,247,246,248,
1701111000000,248,248,249,
1701111600000,248,247,248,
1701112200000,248,247,249,
1701112800000,249,248,249,
1701113400000,250,248,250,
1701114000000,251,249,251,
1701114600000,249,250,249,
1701115200000,250,249,250,
1701115800000,250,247,250,
1701116400000,250,248,250,
1701117000000,251,250,250,
1701117600000,251,249,251,
1701118200000,250,248,250,
1701118800000,250,249,249,
1701119400000,250,250,251,
1701120000000,251,248,251,
1701120600000,251,249,251,
1701121200000,250,250,251,
1701121800000,250,248,250,
1701122400000,251,249,250,
1701123000000,250,250,251,
1701123600000,250,250,251,
1701124200000,251,249,251,
1701124800000,250,248,250,
1701125400000,250,249,250,
1701126000000,251,250,250,
1701126600000,250,248,251,
1701127200000,250,247,250,
1701127800000,248,249,248,
1701128399000,249,248,249,
1701129000000,248,248,248,
1701129600000,249,247,249,
1701130200000,248,245,248,
1701130800000,247,245,247,
1701131400000,247,245,247,
1701132000000,244,243,245,
1701132600000,245,243,245,
1701133200000,245,245,246,
1701133800000,246,244,246,
1701134400000,243,241,244,
1701135000000,245,244,246,
1701135600000,244,243,244,
1701136200000,244,243,244,
1701136800000,245,244,245,
1701137400000,243,241,243,
1701138000000,247,245,246,
1701138600000,246,244,246,
1701139200000,244,244,245,
1701139800000,243,243,244,
1701140400000,244,242,244,
1701141000000,244,243,245,
1701141600000,246,244,246,
1701142200000,244,243,246,
1701142800000,242,241,244,
1701143400000,246,244,245,
1701144000000,246,243,245,
1701144600000,244,242,243,
1701145200000,246,243,246,
1701145800000,245,244,245,
1701146400000,243,242,244,
1701147000000,244,243,244,
1701147600000,244,243,243,
1701148200000,241,242,244,
1701148800000,244,242,243,
1701149400000,243,244,245,
1701150000000,242,239,242,
1701150600000,243,239,242,
1701151200000,245,241,244,
1701151800000,243,242,243,
1701152400000,241,240,240,
1701153000000,243,242,243,
1701153600000,243,244,243,
1701154200000,244,243,243,
1701154800000,244,242,244,
1701155400000,243,242,244,
1701156000000,244,242,244,
1701156600000,245,243,243,
1701157200000,242,241,242,
1701157800000,244,244,244,
1701158400000,244,242,243,
1701159000000,244,242,243,
1701159600000,242,240,242,
1701160200000,241,240,243,
1701160800000,244,242,244,
1701161400000,243,244,243,
1701162000000,243,241,244,
1701162600000,245,242,244,
1701163200000,241,240,241,
1701163800000,244,241,242,
1701164400000,241,240,242,
1701165000000,243,240,242,
1701165600000,243,241,242,
1701166200000,244,241,244,
1701166800000,243,240,243,
1701167400000,244,241,244,
1701168000000,245,242,244,
1701168600000,244,242,244,
1701169200000,243,242,245,
1701169800000,245,243,244,
1701170400000,244,243,244,
1701171000000,242,242,242,
1701171600000,243,241,243,
1701172200000,242,240,242,
1701172800000,244,243,245,
1701173400000,243,241,243,
1701174000000,243,243,242,
1701174600000,243,244,244,
1701175200000,242,242,243,
1701175800000,242,241,243,
1701176400000,243,243,244,
1701177000000,244,243,243,
1701177600000,245,244,245,
1701178200000,242,243,243,
1701178800000,244,244,244,
1701179400000,244,244,245,
1701180000000,243,242,243,
1701180600000,243,243,244,
1701181200000,244,243,244,
1701181800000,246,245,246,
1701182400000,243,242,243,
1701183000000,244,243,244,
1701183600000,244,243,244,
1701184200000,245,245,246,
1701184800000,246,245,246,
1701185400000,243,243,243,
1701186000000,244,244,245,
1701186600000,244,244,245,
1701187200000,245,244,246,
1701187800000,243,242,243,
1701188400000,244,243,245,
1701189000000,246,245,246,
1701189600000,244,244,244,
1701190200000,244,244,245,
1701190800000,245,244,244,
1701191400000,246,244,246,
1701192000000,247,247,247,
1701192600000,246,245,246,
1701193200000,244,243,245,
1701193800000,245,244,245,
1701194400000,245,245,245,
1701195000000,247,245,247,
1701195600000,247,245,248,
1701196200000,247,246,247,
1701196800000,246,246,246,
1701197400000,246,246,246,
1701198000000,247,246,247,
1701198600000,247,246,247,
1701199200000,247,246,247,
1701199800000,248,247,247,
1701200400000,249,246,248,
1701201000000,248,249,248,
1701201600000,248,247,248,
1701202200000,249,247,248,
1701202800000,248,247,249,
1701203400000,250,248,250,
1701204000000,249,249,250,
1701204600000,250,248,248,
1701205200000,249,248,249,
1701205800000,249,248,249,
1701206400000,249,248,250,
1701207000000,250,249,250,
1701207600000,249,248,250,
1701208200000,249,248,249,
1701208800000,250,248,249,
1701209400000,249,248,249,
1701210000000,249,248,250,
1701210600000,250,250,250,
1701211200000,250,248,250,
1701211800000,250,248,249,
1701212400000,249,248,249,
1701213000000,249,247,249,
1701213600000,249,248,249,
1701214200000,248,248,249,
1701214800000,248,248,248,
1701215400000,248,247,248,
1701216000000,247,247,248,
1701216600000,247,244,246,
1701217200000,246,245,246,
1701217800000,246,244,246,
1701218400000,243,243,243,
1701219000000,245,244,245,
1701219600000,246,244,246,
1701220200000,243,243,242,
1701220800000,243,244,244,
1701221400000,244,242,244,
1701222000000,245,244,245,
1701222600000,244,243,244,
1701223200000,248,247,247,
1701223800000,245,245,245,
1701224400000,245,243,244,
1701225000000,245,245,245,
