intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Aug 29 2023|  TO Mon Sep 04 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1693247400000,247,245,247,
1693248000000,244,242,242,
1693248600000,243,241,244,
1693249199000,244,241,244,
1693249800000,246,243,246,
1693250305000,246,245,245,
1693250400000,246,244,247,
1693251000000,247,245,245,
1693251600000,246,244,244,
1693252175000,246,245,248,
1693252200000,246,245,248,
1693252800000,246,244,247,
1693253400000,247,245,247,
1693254000000,247,245,247,
1693254600000,248,246,246,
1693255200000,246,244,246,
1693255800000,246,243,246,
1693256400000,246,245,247,
1693257000000,245,244,246,
1693257600000,245,244,246,
1693258200000,246,246,246,
1693258799000,246,245,245,
1693258800000,246,245,244,
1693259400000,246,244,246,
1693260000000,246,245,247,
1693260553000,246,244,246,
1693260599000,245,244,246,
1693261200000,248,246,248,
1693261800000,248,247,248,
1693262400000,247,247,248,
1693263000000,247,245,247,
1693263597000,248,247,249,
1693263600000,249,247,249,
1693264200000,247,246,249,
1693264800000,248,246,246,
1693265400000,248,246,248,
1693266000000,247,246,247,
1693266600000,246,244,247,
1693267200000,246,244,247,
1693267800000,246,244,245,
1693268400000,245,243,246,
1693269000000,246,244,247,
1693269599000,247,245,247,
1693269600000,247,245,247,
1693270199000,244,242,245,
1693270800000,245,244,244,
1693271159000,244,243,245,
1693271400000,245,243,246,
1693272000000,245,243,246,
1693272600000,245,243,245,
1693273200000,244,242,244,
1693273800000,244,243,245,
1693274400000,244,243,244,
1693275000000,244,242,243,
1693275481000,243,242,244,
1693276200000,244,242,244,
1693276799000,244,243,245,
1693276800000,243,242,245,
1693277400000,243,242,243,
1693278000000,242,241,243,
1693278600000,242,242,244,
1693279200000,241,242,244,
1693279800000,243,242,241,
1693280400000,242,242,244,
1693281000000,243,241,243,
1693281600000,245,244,244,
1693282200000,244,244,246,
1693282800000,243,242,244,
1693283400000,243,242,243,
1693283999000,243,244,242,
1693284000000,243,244,242,
1693284600000,242,241,244,
1693285200000,241,242,243,
1693285800000,243,242,244,
1693286400000,242,240,243,
1693287000000,241,242,242,
1693287600000,241,240,242,
1693288200000,239,239,241,
1693288800000,241,239,241,
1693289400000,243,243,242,
1693290000000,241,241,242,
1693290545000,242,241,244,
1693290600000,243,241,244,
1693291200000,241,239,242,
1693291799000,242,240,241,
1693292400000,241,238,241,
1693293000000,242,239,240,
1693293600000,240,239,241,
1693294200000,243,241,244,
1693294800000,241,239,241,
