intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Jan 30 2024|  TO Mon Feb 05 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1706553000000,247,245,247,
1706553600000,243,241,243,
1706554200000,243,241,243,
1706554800000,244,242,243,
1706555399000,244,244,244,
1706556000000,244,243,244,
1706556600000,245,242,245,
1706557200000,246,244,244,
1706557800000,245,243,245,
1706558400000,246,245,246,
1706559000000,246,244,246,
1706559600000,247,245,247,
1706560200000,247,246,248,
1706560800000,247,247,247,
1706561400000,247,244,246,
1706562000000,247,245,247,
1706562600000,247,246,247,
1706563200000,248,246,247,
1706563800000,249,248,248,
1706564400000,246,245,246,
1706565000000,247,247,245,
1706565600000,247,245,246,
1706566200000,247,246,246,
1706566800000,247,245,246,
1706567400000,247,246,246,
1706568000000,247,245,246,
1706568600000,247,246,246,
1706569200000,246,245,246,
1706569800000,246,244,246,
1706570400000,246,244,247,
1706571000000,247,245,247,
1706571600000,247,247,247,
1706572200000,247,245,246,
1706572800000,246,246,246,
1706573400000,245,244,245,
1706574000000,244,243,244,
1706574600000,244,243,245,
1706575200000,244,242,244,
1706575800000,246,244,245,
1706576400000,245,244,245,
1706577000000,246,244,245,
1706577600000,245,244,244,
1706578200000,244,242,243,
1706578800000,244,241,243,
1706579400000,245,244,245,
1706580000000,245,242,245,
1706580600000,244,243,244,
1706581200000,245,244,244,
1706581800000,245,243,245,
1706582400000,242,242,243,
1706583000000,245,243,244,
1706583600000,244,243,244,
1706584200000,243,242,246,
1706584800000,244,244,245,
1706585400000,245,243,245,
1706586000000,242,242,243,
1706586600000,242,240,241,
1706587200000,244,242,244,
1706587800000,242,241,243,
1706588400000,241,240,242,
1706589000000,242,240,242,
1706589600000,242,242,243,
1706590200000,243,242,243,
1706590800000,244,241,243,
1706591400000,241,240,242,
1706592000000,242,240,242,
1706592600000,243,239,241,
1706593200000,242,239,241,
1706593800000,243,242,243,
1706594400000,245,242,244,
1706595000000,243,240,242,
1706595600000,242,241,243,
1706596200000,242,240,242,
1706596800000,242,240,242,
1706597400000,242,239,242,
1706598000000,242,239,242,
1706598600000,242,240,242,
1706599200000,243,242,244,
1706599800000,244,243,244,
1706600400000,243,240,243,
1706601000000,243,242,243,
1706601600000,244,242,244,
1706602200000,245,242,244,
1706602800000,244,242,244,
1706603400000,245,243,244,
1706604000000,242,241,243,
1706604600000,244,241,243,
1706605200000,242,240,242,
1706605800000,242,238,242,
1706606400000,242,238,241,
1706607000000,243,239,242,
1706607600000,243,239,242,
1706608200000,242,241,243,
1706608800000,241,239,243,
1706609400000,243,242,244,
1706610000000,243,241,243,
1706610600000,244,241,243,
1706611200000,244,243,244,
1706611800000,241,239,240,
1706612400000,240,239,241,
1706613000000,241,239,241,
1706613600000,242,239,242,
1706614200000,243,240,243,
1706614800000,243,240,242,
1706615400000,241,238,240,
1706616000000,241,238,240,
1706616600000,243,238,241,
1706617200000,243,240,241,
1706617800000,244,240,243,
1706618400000,243,239,241,
1706619000000,242,236,240,
1706619600000,242,239,241,
1706620200000,241,239,239,
1706620800000,241,238,240,
1706621400000,242,240,242,
1706622000000,240,238,240,
1706622600000,242,238,241,
1706623200000,242,239,241,
1706623800000,244,240,243,
1706624400000,242,239,241,
1706625000000,243,240,243,
1706625600000,244,241,241,
1706626200000,242,241,242,
1706626800000,244,243,243,
1706627400000,246,243,245,
1706628000000,248,246,247,
1706628600000,249,246,248,
1706629200000,245,244,245,
1706629800000,244,243,244,
1706630400000,245,244,245,
1706631000000,244,242,243,
1706631600000,244,242,244,
1706632200000,246,243,245,
1706632800000,245,242,245,
1706633400000,246,243,245,
1706634000000,244,240,243,
1706634600000,244,242,243,
1706635200000,245,243,244,
1706635800000,246,243,246,
1706636400000,244,242,242,
1706637000000,245,242,244,
1706637600000,246,242,245,
1706638200000,246,242,245,
1706638800000,247,243,245,
1706639400000,246,242,244,
1706640000000,246,243,245,
1706640600000,246,243,245,
1706641200000,244,241,243,
1706641800000,245,240,244,
1706642400000,246,242,244,
1706643000000,245,242,244,
1706643600000,247,243,245,
1706644200000,246,244,246,
1706644800000,243,242,243,
1706645400000,243,241,243,
1706646000000,244,241,243,
1706646600000,245,244,243,
1706647200000,245,242,244,
1706647800000,244,243,244,
1706648400000,245,243,244,
1706649000000,244,242,242,
1706649600000,245,242,244,
1706650200000,247,244,246,
1706650800000,245,242,244,
1706651400000,245,242,244,
1706652000000,245,241,243,
1706652600000,245,243,244,
1706653200000,245,243,244,
1706653800000,247,243,245,
1706654400000,246,244,245,
1706655000000,247,243,245,
1706655600000,246,242,244,
1706656200000,245,243,244,
1706656800000,245,242,244,
1706657400000,246,242,245,
1706658000000,245,243,244,
1706658600000,245,242,244,
1706659200000,246,243,243,
1706659800000,243,241,243,
1706660400000,246,243,245,
1706661000000,246,244,245,
1706661600000,246,243,244,
1706662200000,245,241,244,
1706662800000,246,243,245,
1706663400000,244,241,243,
1706664000000,245,243,244,
1706664600000,245,242,244,
1706665200000,247,245,246,
1706665800000,247,245,246,
1706666400000,247,244,246,
1706667000000,247,245,246,
1706667600000,245,241,244,
1706668200000,243,243,244,
1706668799000,244,242,244,
1706669400000,246,243,246,
1706670000000,244,243,244,
1706670600000,244,241,243,
1706671200000,244,241,242,
1706671800000,246,242,245,
1706672400000,245,244,243,
1706673000000,244,240,243,
1706673600000,247,244,246,
1706674200000,243,242,243,
1706674800000,244,241,243,
1706675400000,245,243,245,
1706676000000,244,241,243,
1706676600000,243,240,243,
1706677200000,243,238,242,
1706677799000,241,238,242,
1706678400000,244,241,244,
1706679000000,244,242,245,
1706679600000,240,237,240,
1706680200000,241,239,242,
1706680800000,244,242,244,
1706681400000,242,238,241,
1706682000000,242,237,242,
1706682600000,243,239,242,
1706683200000,243,239,243,
1706683800000,243,239,242,
1706684400000,244,239,243,
1706685000000,243,240,243,
1706685600000,244,240,243,
1706686200000,244,240,242,
1706686800000,243,240,242,
1706687400000,243,240,243,
1706688000000,244,240,244,
1706688600000,245,239,243,
1706689200000,241,237,240,
1706689800000,243,238,241,
1706690400000,240,238,242,
1706691000000,242,240,243,
1706691600000,243,239,243,
1706692200000,242,239,242,
1706692800000,240,238,241,
1706693400000,241,238,241,
1706694000000,240,238,242,
1706694600000,240,238,241,
1706695200000,241,240,242,
1706695800000,243,241,242,
1706696400000,241,239,241,
1706697000000,243,241,244,
1706697600000,241,239,242,
1706698200000,240,238,242,
1706698800000,242,240,244,
1706699400000,241,239,241,
1706700000000,241,240,243,
1706700600000,241,241,244,
1706701200000,240,240,242,
1706701800000,240,241,243,
1706702400000,242,240,242,
1706703000000,243,242,243,
1706703600000,243,241,243,
1706704200000,246,244,245,
1706704800000,243,242,244,
1706705400000,243,242,243,
1706706000000,242,239,242,
1706706600000,244,243,244,
1706707200000,243,243,242,
1706707800000,245,243,244,
1706708400000,243,241,244,
1706709000000,244,242,243,
1706709600000,244,244,245,
1706710200000,244,243,245,
1706710800000,243,240,242,
1706711400000,244,243,245,
1706712000000,243,243,243,
1706712600000,244,242,244,
1706713200000,244,242,245,
1706713800000,242,241,244,
1706714400000,243,242,244,
1706715000000,243,244,245,
1706715600000,242,242,243,
1706716200000,244,242,246,
