intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Apr 30 2024|  TO Mon May 06 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1714415400000,244,241,244,
1714416000000,245,240,245,
1714416600000,245,239,245,
1714417200000,243,239,243,
1714417800000,245,239,244,
1714418399000,245,241,245,
1714418400000,245,241,245,
1714419000000,245,241,245,
1714419600000,245,240,245,
1714420200000,245,240,246,
1714420800000,246,240,246,
1714421400000,244,239,244,
1714422000000,244,239,244,
1714422600000,245,240,246,
1714423200000,244,239,245,
1714423800000,243,239,244,
1714424400000,244,240,244,
1714425000000,245,240,245,
1714425600000,246,240,245,
1714426200000,247,242,247,
1714426800000,246,241,246,
1714427400000,246,242,246,
1714428000000,245,242,246,
1714428600000,246,243,246,
1714429200000,247,242,247,
1714429800000,247,241,246,
1714430400000,247,242,246,
1714431000000,246,242,247,
1714431600000,247,243,247,
1714432200000,246,241,246,
1714432800000,246,241,246,
1714433400000,247,243,246,
1714434000000,247,242,247,
1714434600000,245,243,246,
1714435200000,245,242,246,
1714435800000,245,240,245,
1714436399000,245,240,245,
1714436400000,245,240,245,
1714437000000,246,240,246,
1714437600000,245,240,245,
1714438200000,243,239,244,
1714438800000,245,242,245,
1714439400000,243,240,243,
1714440000000,245,240,246,
1714440600000,245,239,244,
1714441200000,243,238,244,
1714441800000,245,241,244,
1714442400000,245,241,244,
1714443000000,244,238,244,
1714443600000,245,239,244,
1714444200000,246,240,245,
1714444800000,245,240,246,
1714445400000,244,237,243,
1714446000000,246,241,246,
1714446600000,244,240,244,
1714447200000,244,240,245,
1714447800000,246,241,246,
1714448400000,243,237,243,
1714449000000,245,240,245,
1714449600000,243,238,245,
1714450200000,243,238,244,
1714450800000,242,237,243,
1714451400000,243,238,243,
1714452000000,244,240,246,
1714452600000,243,239,245,
1714453200000,243,238,244,
1714453800000,242,238,242,
1714454370000,240,238,243,
1714454400000,241,238,242,
1714455000000,241,235,242,
1714455600000,242,237,243,
1714456200000,241,238,241,
1714456800000,241,236,242,
1714457400000,242,238,242,
1714458000000,242,237,242,
1714458600000,241,238,241,
1714459200000,241,239,243,
1714459799000,240,236,242,
1714459800000,240,236,242,
1714460400000,240,237,241,
1714461000000,241,236,241,
1714461600000,241,238,241,
1714462200000,241,239,241,
1714462800000,242,237,242,
1714463400000,242,238,243,
1714464000000,243,239,243,
1714464600000,243,237,243,
1714465199000,242,238,242,
1714465800000,242,238,242,
1714466400000,240,239,242,
1714467000000,241,240,243,
1714467600000,238,236,241,
1714468200000,240,237,242,
1714468800000,240,238,242,
1714469400000,239,238,242,
1714470000000,241,238,242,
1714470599000,241,238,241,
1714471200000,241,239,242,
1714471800000,241,236,241,
1714472400000,240,235,240,
1714473000000,241,236,242,
1714473453000,241,238,241,
1714473600000,240,237,240,
1714474200000,240,237,241,
1714474800000,239,238,242,
1714475211000,241,237,242,
1714475400000,242,237,242,
1714476000000,240,236,240,
1714476600000,240,235,240,
1714477200000,242,238,242,
1714477800000,240,237,241,
1714478400000,240,237,241,
1714479000000,241,238,241,
1714479600000,242,238,243,
1714480200000,244,242,245,
1714480795000,240,237,241,
1714480800000,239,237,240,
1714481400000,242,237,242,
1714482000000,243,240,243,
1714482557000,242,239,243,
1714482600000,242,239,243,
1714483200000,241,238,242,
1714483800000,241,238,242,
1714484400000,241,240,242,
1714485000000,240,237,241,
1714485600000,241,238,241,
1714486200000,242,239,242,
1714486657000,243,240,243,
1714486800000,243,241,243,
1714487400000,242,239,241,
1714488000000,243,240,243,
1714488600000,243,240,243,
1714489200000,243,240,243,
1714489799000,243,242,243,
1714489800000,243,242,243,
1714490400000,241,239,241,
1714491000000,242,241,243,
1714491600000,242,240,242,
1714492200000,242,239,242,
1714492799000,241,239,241,
1714492800000,241,239,241,
1714493400000,244,241,244,
1714494000000,241,238,241,
1714494600000,241,239,241,
1714495199000,241,237,240,
1714495800000,241,238,240,
1714496400000,243,240,242,
1714497000000,243,240,242,
1714497600000,244,240,243,
1714498200000,241,238,240,
1714498800000,241,238,239,
1714499400000,241,238,240,
1714500000000,242,238,241,
1714500597000,243,239,242,
1714500600000,243,239,242,
