intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Oct 31 2023|  TO Mon Nov 06 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1698690600000,248,246,248,
1698691200000,247,245,247,
1698691800000,247,244,247,
1698692400000,246,246,246,
1698693000000,246,246,247,
1698693600000,246,245,246,
1698694200000,247,247,247,
1698694800000,247,245,247,
1698695400000,247,246,247,
1698696000000,247,246,247,
1698696600000,247,245,247,
1698697200000,248,246,248,
1698697800000,248,246,247,
1698698400000,248,246,248,
1698699000000,248,247,248,
1698699600000,248,246,248,
1698700200000,247,246,248,
1698700800000,248,246,248,
1698701400000,248,247,249,
1698702000000,248,248,248,
1698702600000,249,248,248,
1698703200000,249,248,248,
1698703800000,249,247,250,
1698704400000,249,247,249,
1698705000000,249,247,250,
1698705600000,248,247,249,
1698706200000,248,247,249,
1698706800000,248,248,249,
1698707400000,248,248,248,
1698708000000,248,248,248,
1698708600000,248,247,248,
1698709200000,248,247,249,
1698709800000,248,246,248,
1698710400000,247,247,248,
1698711000000,247,246,247,
1698711600000,246,245,247,
1698712200000,246,245,247,
1698712800000,245,244,244,
1698713400000,243,242,243,
1698714000000,243,243,245,
1698714600000,244,243,244,
1698715200000,243,242,244,
1698715800000,245,244,245,
1698716400000,243,243,244,
1698717000000,243,243,244,
1698717600000,243,242,244,
1698718200000,245,244,245,
1698718800000,246,245,247,
1698719400000,245,244,245,
1698720000000,243,242,243,
1698720600000,244,244,244,
1698721200000,245,243,245,
1698721800000,245,243,245,
1698722400000,244,243,244,
1698723000000,244,244,244,
1698723600000,243,243,245,
1698724200000,243,242,244,
1698724800000,243,242,244,
1698725400000,244,244,245,
1698726000000,243,245,247,
1698726600000,242,242,244,
1698727200000,243,243,245,
1698727800000,243,242,244,
1698728400000,243,242,244,
1698729000000,243,241,244,
1698729600000,240,240,243,
1698730200000,240,242,244,
1698730800000,244,244,246,
1698731400000,241,241,244,
1698732000000,242,241,244,
1698732600000,241,241,244,
1698733200000,241,242,244,
1698733800000,242,243,244,
1698734400000,242,243,244,
1698735000000,241,241,245,
1698735600000,242,243,245,
1698736200000,239,240,244,
1698736800000,241,240,243,
