intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Jun 04 2024|  TO Mon Jun 10 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1717440000000,244,242,244,
1717440600000,244,243,243,
1717441200000,245,243,245,
1717442400000,245,242,245,
1717443000000,246,244,246,
1717443600000,247,246,247,
1717444200000,247,246,247,
1717444800000,248,245,247,
1717445400000,248,246,247,
1717446000000,247,245,247,
1717446600000,249,246,248,
1717447200000,248,245,248,
1717447800000,248,247,248,
1717448400000,249,246,248,
1717449000000,249,246,249,
1717449600000,249,246,248,
1717450200000,249,246,249,
1717450800000,248,247,247,
1717451400000,248,245,248,
1717451999000,249,247,248,
1717452600000,249,247,249,
1717453200000,249,246,248,
1717453800000,250,247,249,
1717454400000,249,246,249,
1717455000000,249,246,249,
1717455600000,250,247,248,
1717456199000,249,247,248,
1717456800000,248,246,248,
1717457400000,249,246,248,
1717458000000,248,246,248,
1717458600000,248,246,247,
1717459200000,246,243,246,
1717459800000,246,243,245,
1717460400000,244,242,244,
1717461000000,244,242,244,
1717461600000,245,243,244,
1717462200000,243,241,243,
1717462800000,246,243,246,
1717463400000,244,242,244,
1717464000000,246,244,246,
1717464600000,246,242,245,
1717465200000,247,244,246,
1717465800000,245,243,245,
1717466400000,245,243,245,
1717467000000,245,243,244,
1717467600000,245,241,244,
1717468200000,246,244,246,
1717468800000,245,243,245,
1717469400000,246,243,245,
1717470000000,244,240,243,
1717470600000,246,243,244,
1717471200000,243,242,242,
1717471800000,247,242,243,
1717472400000,243,241,244,
1717473000000,244,241,243,
1717473600000,244,243,245,
1717474200000,245,242,245,
1717474800000,243,241,245,
1717475400000,246,242,245,
1717476000000,244,242,243,
1717476600000,245,240,243,
1717477200000,243,241,243,
1717477800000,246,242,246,
1717478400000,244,240,246,
1717479000000,245,241,246,
1717479600000,241,238,241,
1717480200000,244,241,243,
1717480800000,243,242,243,
1717481400000,244,242,241,
1717482000000,244,241,242,
1717482600000,241,238,241,
1717483200000,242,239,241,
1717483800000,241,239,241,
1717484400000,241,240,241,
1717485000000,241,240,242,
1717485600000,242,240,241,
1717486200000,241,240,240,
1717486800000,242,241,242,
1717487400000,242,243,243,
1717488000000,242,241,241,
1717488600000,243,242,243,
1717489200000,242,241,243,
1717489800000,241,240,243,
1717490400000,242,240,243,
1717491000000,242,240,242,
1717491600000,245,242,243,
1717492200000,242,238,242,
1717492800000,244,241,245,
1717493400000,242,238,242,
1717494000000,243,242,243,
1717494600000,243,242,243,
1717495200000,242,239,241,
1717495800000,245,243,243,
1717496400000,243,242,244,
1717497000000,244,242,244,
1717497600000,244,243,242,
1717498200000,242,240,242,
1717498800000,242,240,243,
1717499399000,243,241,241,
1717500000000,243,241,241,
1717500600000,244,241,243,
1717501200000,243,241,243,
1717501800000,245,242,243,
1717502400000,242,240,243,
1717503000000,243,240,242,
1717503600000,244,243,244,
1717504199000,244,243,243,
1717504800000,244,242,245,
1717505400000,242,240,241,
1717506000000,243,241,244,
1717506600000,243,242,242,
1717507200000,244,243,244,
1717507800000,244,242,242,
1717508400000,244,242,244,
1717509000000,244,242,245,
1717509600000,242,241,242,
1717510200000,243,242,244,
1717510800000,244,242,245,
1717511400000,242,241,242,
1717512000000,242,240,242,
1717512600000,244,242,241,
1717513200000,244,241,244,
1717513800000,245,242,244,
1717514400000,245,242,244,
1717515000000,246,243,244,
1717515600000,245,242,243,
1717516200000,245,243,244,
1717516800000,245,243,245,
1717517400000,245,242,243,
1717518000000,245,242,244,
1717518600000,244,243,244,
1717519200000,243,241,243,
1717519800000,244,242,243,
1717520400000,244,242,243,
1717521000000,244,243,244,
1717521600000,245,243,244,
1717522200000,243,242,243,
1717522800000,243,242,243,
1717523400000,244,243,244,
1717524000000,245,243,245,
1717524600000,246,245,246,
1717525200000,247,245,246,
1717525800000,247,245,247,
1717526400000,247,246,247,
1717527000000,248,245,247,
1717527600000,248,245,248,
1717528200000,248,246,248,
1717528800000,248,247,249,
1717529400000,248,247,248,
1717530000000,249,247,249,
1717530600000,249,247,249,
1717531200000,249,247,249,
1717531800000,250,247,250,
1717532400000,250,248,250,
1717533000000,250,248,250,
1717533600000,250,248,250,
1717534200000,250,247,250,
1717534800000,250,248,250,
1717535400000,251,248,250,
1717536000000,250,248,250,
1717536600000,250,249,250,
1717537200000,251,249,250,
1717537800000,251,249,250,
1717538400000,250,248,250,
1717539000000,251,249,251,
1717539600000,251,248,251,
1717540200000,251,249,250,
1717540800000,250,248,250,
1717541400000,250,248,249,
1717542000000,252,249,250,
1717542600000,252,249,250,
1717543200000,251,249,251,
1717543800000,250,249,250,
1717544400000,250,248,250,
1717545000000,249,247,249,
1717545600000,249,247,248,
1717546199000,248,246,248,
1717546800000,248,245,248,
1717547400000,247,245,246,
1717548000000,244,242,244,
1717548600000,245,243,245,
