intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Nov 07 2023|  TO Mon Nov 13 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1699295400000,250,249,251,
1699296000000,250,248,250,
1699296600000,250,248,249,
1699297200000,251,250,250,
1699297800000,250,247,250,
1699298400000,251,250,251,
1699299000000,251,250,251,
1699299600000,251,250,251,
1699300200000,251,249,251,
1699300800000,251,249,252,
1699301400000,252,249,252,
1699302000000,251,250,252,
1699302600000,251,251,253,
1699303199000,252,249,253,
1699303800000,251,249,252,
1699304400000,252,250,252,
1699304999000,252,251,253,
1699305000000,252,251,253,
1699305600000,252,250,253,
1699306200000,253,251,253,
1699306800000,252,250,252,
1699307400000,251,250,252,
1699308000000,253,251,252,
1699308600000,253,250,252,
1699309200000,252,251,252,
1699309800000,254,250,254,
1699310400000,253,249,253,
1699311000000,251,251,253,
1699311600000,253,252,253,
1699312200000,252,251,253,
1699312800000,251,250,253,
1699313400000,252,250,253,
1699314000000,250,249,251,
1699314600000,250,249,250,
1699315200000,250,249,250,
1699315800000,248,247,248,
1699316400000,248,245,248,
1699317000000,250,248,250,
1699317600000,246,245,247,
1699318200000,245,244,244,
1699318800000,245,245,247,
1699319400000,244,243,245,
1699320000000,246,243,246,
1699320600000,244,242,245,
1699321200000,246,245,247,
1699321800000,245,244,245,
1699322400000,244,244,245,
1699323000000,247,244,247,
1699323600000,246,245,247,
1699324200000,244,242,244,
1699324800000,248,248,248,
1699325400000,245,243,245,
1699326000000,246,243,245,
1699326600000,246,243,246,
1699327200000,244,242,245,
1699327800000,245,243,245,
1699328400000,243,242,244,
1699329000000,245,242,246,
1699329600000,245,242,245,
1699330200000,242,242,243,
1699330800000,242,243,244,
1699331400000,244,242,245,
1699332000000,243,242,245,
1699332600000,245,243,246,
1699333200000,243,242,246,
1699333800000,242,243,245,
1699334400000,243,243,244,
1699335000000,244,241,244,
1699335600000,243,243,243,
1699336200000,243,241,243,
1699336800000,244,241,243,
1699337400000,243,242,243,
1699338000000,243,242,243,
1699338600000,242,241,241,
1699339200000,243,242,243,
1699339800000,243,243,245,
1699340400000,244,242,244,
1699341000000,244,243,245,
1699341600000,242,240,243,
1699342200000,244,243,244,
1699342800000,245,241,244,
1699343400000,242,239,243,
1699344000000,242,241,242,
1699344600000,244,243,244,
1699345200000,242,241,243,
1699345800000,244,241,245,
1699346400000,241,242,244,
1699347000000,244,243,245,
1699347600000,244,243,245,
1699348200000,242,243,244,
1699348800000,242,242,245,
1699349400000,240,239,242,
1699350000000,244,242,245,
1699350600000,242,239,242,
1699351200000,242,240,242,
1699351800000,241,239,243,
1699352400000,241,239,243,
1699353000000,243,239,243,
1699353600000,244,240,243,
1699354200000,244,240,245,
1699354800000,243,240,244,
1699355400000,243,242,245,
1699356000000,244,242,245,
1699356600000,242,242,244,
1699357200000,244,240,244,
1699357800000,243,240,243,
1699358400000,243,242,244,
1699359000000,243,241,244,
1699359600000,245,243,246,
1699360200000,242,243,244,
1699360800000,243,242,244,
1699361400000,242,240,243,
1699362000000,242,242,243,
1699362600000,243,242,244,
1699363200000,243,242,244,
1699363800000,244,244,245,
1699364400000,245,245,246,
1699365000000,245,244,246,
1699365600000,243,243,244,
1699366200000,243,243,245,
1699366800000,245,244,247,
1699367400000,244,242,244,
1699368000000,244,243,245,
1699368600000,245,242,245,
