intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Fri Jul 12 2024|  TO Fri Jul 19 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1720722600000,231,229,230,
1720723200000,231,229,230,
1720723800000,231,229,230,
1720724400000,231,229,231,
1720725000000,231,229,230,
1720725600000,231,229,230,
1720726200000,230,229,230,
1720726800000,231,230,230,
1720727400000,230,230,230,
1720728000000,230,229,230,
1720728600000,230,229,230,
1720729200000,231,229,230,
1720729800000,231,229,230,
1720730400000,230,229,231,
1720731000000,230,229,230,
1720731600000,231,229,230,
1720732200000,230,229,230,
1720732800000,231,230,230,
1720733400000,230,229,230,
1720734000000,231,229,230,
1720734600000,231,229,230,
1720735200000,232,230,230,
1720735800000,231,229,230,
1720736400000,230,230,230,
1720737000000,231,230,230,
1720737600000,230,230,230,
1720738200000,230,230,230,
1720738800000,230,229,231,
1720739400000,230,229,230,
1720740000000,230,229,230,
1720740600000,231,229,230,
1720741200000,231,230,230,
1720741800000,231,229,230,
1720742400000,231,229,230,
1720743000000,231,229,230,
1720743600000,231,230,231,
1720744200000,231,229,230,
1720744800000,231,229,230,
1720745400000,232,229,231,
1720746000000,231,230,230,
1720746600000,230,229,230,
1720747200000,230,229,229,
1720747800000,232,231,231,
1720748400000,230,230,230,
1720749000000,230,230,230,
1720749600000,231,230,230,
1720750200000,231,230,230,
1720750800000,230,229,230,
1720751400000,230,230,230,
1720752000000,231,229,229,
1720752600000,231,229,230,
1720753200000,230,229,230,
1720753800000,231,230,230,
1720754400000,231,229,230,
1720755000000,230,229,229,
1720755600000,231,231,230,
1720756200000,230,230,229,
1720756800000,230,230,230,
1720757400000,230,230,229,
1720758000000,230,229,229,
1720758600000,230,230,229,
1720759200000,230,229,229,
1720759800000,230,229,229,
1720760400000,230,229,229,
1720761000000,230,229,229,
1720761600000,230,229,229,
1720762200000,230,230,229,
