intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Tue Apr 16 2024|  TO Tue Apr 23 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1713205800000,230,229,230,
1713206400000,230,230,230,
1713207000000,230,229,230,
1713207600000,230,230,230,
1713208200000,230,229,230,
1713208800000,230,230,230,
1713209400000,230,230,230,
1713210000000,231,230,230,
1713210600000,230,230,230,
1713211200000,230,230,230,
1713211800000,230,229,230,
1713212400000,230,230,230,
1713213000000,230,229,230,
1713213600000,230,230,230,
1713214200000,230,229,230,
1713214800000,230,229,230,
1713215400000,230,231,230,
1713216000000,231,230,231,
1713216600000,230,230,230,
1713217200000,230,230,230,
1713217800000,230,229,230,
1713218400000,230,230,230,
1713219000000,230,230,230,
1713219600000,230,230,230,
1713220200000,230,230,230,
1713220800000,231,230,231,
1713221400000,230,230,230,
1713222000000,230,229,230,
1713222600000,230,230,230,
1713223200000,230,230,230,
1713223800000,230,230,230,
1713224400000,230,229,230,
1713225000000,230,230,230,
1713225600000,230,230,230,
1713226200000,231,230,230,
1713226800000,230,230,231,
1713227400000,230,230,230,
1713228000000,230,230,230,
1713228600000,231,230,230,
1713229200000,230,230,230,
1713229800000,230,230,230,
1713230400000,230,230,229,
1713231000000,230,230,230,
1713231600000,230,230,230,
1713232200000,230,230,230,
1713232800000,230,230,229,
1713233400000,230,230,229,
1713234000000,231,230,230,
1713234600000,230,230,229,
1713235200000,230,230,230,
1713235800000,230,230,229,
1713236400000,231,230,230,
1713237000000,230,230,229,
1713237600000,230,230,229,
1713238200000,231,229,230,
1713238800000,230,229,229,
1713239400000,230,229,229,
1713240000000,230,229,229,
1713240600000,230,229,229,
1713241200000,230,230,230,
1713241800000,230,230,229,
1713242400000,230,230,229,
1713243000000,230,229,229,
1713243600000,230,229,229,
1713244200000,230,230,229,
1713244800000,229,229,229,
1713245400000,230,229,229,
1713246000000,230,230,229,
1713246600000,229,229,229,
1713247200000,229,230,229,
1713247800000,230,230,230,
1713248400000,230,228,229,
1713249000000,230,228,229,
1713249600000,229,228,228,
1713250200000,230,229,229,
1713250800000,230,230,229,
1713251400000,229,229,228,
1713252000000,229,229,229,
1713252600000,229,229,229,
1713253200000,230,229,229,
1713253800000,230,230,229,
1713254400000,230,229,228,
1713255000000,230,229,229,
1713255600000,230,229,229,
1713256200000,230,228,228,
1713256800000,230,228,228,
1713257400000,230,229,229,
1713258000000,230,228,229,
1713258600000,229,228,228,
1713259200000,229,228,228,
1713259800000,230,229,228,
1713260400000,230,228,228,
1713261000000,230,228,228,
1713261600000,230,228,228,
1713262200000,230,229,229,
1713262800000,230,229,229,
1713263400000,229,228,228,
1713264000000,229,229,228,
1713264600000,230,229,228,
1713265200000,230,229,228,
1713265800000,230,229,228,
1713266400000,229,229,228,
1713267000000,230,229,228,
1713267600000,229,229,228,
1713268200000,230,230,229,
1713268800000,230,230,230,
1713269400000,230,229,229,
1713270000000,230,229,228,
1713270600000,230,229,229,
1713271200000,230,229,229,
1713271800000,230,229,229,
1713272400000,230,229,229,
1713273000000,230,229,229,
1713273600000,230,229,229,
1713274200000,230,229,230,
1713274800000,230,229,229,
1713275400000,230,229,229,
1713276000000,230,229,230,
1713276600000,231,229,230,
1713277200000,230,229,229,
1713277800000,230,229,229,
1713278400000,230,229,230,
1713279000000,230,230,230,
1713279600000,231,229,230,
1713280200000,230,229,230,
1713280800000,230,229,230,
1713281400000,230,229,230,
1713282000000,230,229,230,
1713282600000,230,229,230,
1713283200000,230,229,230,
1713283800000,230,230,230,
1713284400000,230,230,230,
1713285000000,230,229,230,
1713285600000,230,229,230,
1713286200000,230,230,230,
1713286800000,231,229,230,
1713287400000,231,230,230,
1713288000000,231,229,230,
1713288600000,231,229,230,
1713289200000,231,230,231,
1713289800000,231,229,230,
1713290400000,231,230,230,
1713291000000,231,230,230,
1713291600000,231,230,230,
1713292200000,231,230,230,
1713292800000,231,229,230,
1713293400000,230,230,230,
1713294000000,230,229,230,
1713294600000,230,230,230,
1713295200000,230,229,229,
1713295800000,230,229,230,
1713296400000,230,230,230,
1713297000000,231,230,230,
1713297600000,231,230,230,
1713298200000,230,229,230,
1713298800000,230,230,230,
1713299400000,230,230,231,
1713300000000,230,230,230,
1713300600000,230,230,230,
1713301200000,231,230,230,
1713301800000,230,230,230,
1713302400000,231,230,230,
1713303000000,232,230,230,
1713303600000,230,230,230,
1713304200000,230,229,230,
1713304800000,230,230,230,
1713305400000,230,230,231,
1713306000000,230,230,230,
1713306600000,230,230,230,
1713307200000,230,230,231,
1713307800000,230,229,230,
1713308400000,230,230,230,
1713309000000,230,230,230,
1713309600000,230,230,231,
1713310200000,230,230,230,
1713310800000,230,230,230,
1713311400000,230,230,230,
1713312000000,230,230,230,
1713312600000,230,230,230,
1713313200000,230,230,230,
1713313800000,230,230,230,
1713314400000,230,230,230,
1713315000000,230,230,231,
1713315600000,230,230,230,
1713316200000,230,230,230,
1713316800000,230,230,230,
1713317400000,230,229,230,
1713318000000,232,230,231,
1713318600000,232,230,231,
1713319200000,231,229,230,
1713319800000,231,230,230,
1713320400000,231,229,230,
1713321000000,231,229,230,
1713321600000,231,230,230,
1713322200000,232,230,230,
1713322800000,232,230,230,
1713323400000,231,229,230,
1713324000000,230,229,230,
1713324600000,230,229,229,
1713325200000,230,229,229,
1713325800000,231,229,229,
1713326400000,231,229,229,
1713327000000,230,229,229,
1713327600000,230,229,229,
1713328200000,231,229,230,
1713328800000,230,229,229,
1713329400000,230,228,229,
1713330000000,230,229,229,
1713330600000,230,229,229,
1713331200000,230,229,229,
1713331800000,229,229,229,
1713332400000,229,229,229,
1713333000000,229,229,229,
1713333600000,230,230,230,
1713334200000,230,228,230,
1713334800000,229,228,228,
1713335400000,230,228,228,
1713336000000,229,229,229,
1713336600000,229,228,229,
1713337200000,229,228,228,
1713337800000,230,229,228,
1713338400000,229,228,228,
1713339000000,230,229,229,
1713339600000,230,229,229,
1713340200000,230,229,228,
1713340800000,230,229,228,
1713341400000,230,229,229,
1713342000000,231,229,229,
1713342600000,229,228,228,
1713343200000,229,228,229,
1713343800000,229,228,229,
1713344400000,230,229,229,
1713345000000,230,228,228,
1713345600000,230,228,228,
1713346200000,230,228,229,
1713346800000,230,229,229,
1713347400000,230,228,228,
1713348000000,229,228,228,
1713348600000,230,228,229,
1713349200000,230,229,229,
1713349800000,231,229,229,
1713350400000,230,228,228,
1713351000000,230,229,229,
1713351600000,230,228,228,
1713352200000,230,229,228,
1713352800000,230,229,228,
1713353400000,230,229,229,
1713354000000,230,229,229,
1713354600000,230,229,228,
1713355200000,230,229,228,
1713355800000,230,229,229,
1713356400000,231,229,229,
1713357000000,230,229,229,
1713357600000,230,229,229,
1713358200000,230,229,229,
1713358800000,230,229,229,
1713359400000,230,229,229,
1713360000000,230,229,229,
1713360600000,230,229,229,
1713361200000,230,230,230,
1713361800000,230,230,230,
1713362400000,230,229,229,
1713363000000,230,229,229,
1713363600000,230,230,230,
1713364200000,230,229,230,
1713364800000,230,229,229,
1713365400000,230,230,230,
1713366000000,230,229,230,
1713366600000,231,230,230,
1713367200000,231,230,230,
1713367800000,230,229,230,
1713368400000,230,229,230,
1713369000000,230,230,230,
1713369600000,230,229,229,
1713370200000,231,230,230,
1713370800000,230,229,229,
1713371400000,232,230,230,
1713372000000,230,230,230,
1713372600000,230,229,230,
1713373200000,230,229,230,
1713373800000,230,230,230,
1713374400000,230,230,230,
1713375000000,230,229,229,
1713375600000,230,229,229,
1713376200000,230,229,230,
1713376800000,231,230,231,
1713377400000,230,229,230,
1713378000000,231,230,230,
1713378600000,230,229,230,
1713379200000,230,230,230,
1713379800000,230,229,230,
1713380400000,230,230,230,
1713381000000,230,230,230,
1713381600000,230,230,230,
1713382200000,230,230,230,
1713382800000,230,229,230,
1713383400000,230,229,230,
1713384000000,230,229,230,
1713384600000,230,230,230,
1713385200000,230,230,230,
1713385800000,230,230,230,
1713386400000,230,230,230,
1713387000000,231,229,230,
1713387600000,230,230,230,
1713388200000,230,230,230,
1713388800000,230,229,230,
1713389400000,230,230,230,
1713390000000,230,230,230,
1713390600000,230,230,230,
1713391200000,230,230,230,
1713391800000,230,230,230,
1713392400000,230,230,229,
1713393000000,230,230,230,
1713393600000,231,230,231,
1713394200000,231,230,230,
1713394800000,230,229,230,
1713395400000,230,230,230,
1713396000000,230,229,230,
1713396600000,231,230,231,
1713397200000,230,230,230,
1713397800000,230,230,231,
1713398400000,230,230,230,
1713399000000,230,230,230,
1713399600000,230,230,230,
1713400200000,230,230,230,
1713400800000,230,230,230,
1713401400000,230,229,229,
1713402000000,230,230,230,
1713402600000,230,230,230,
1713403200000,231,230,230,
1713403800000,230,230,229,
1713404400000,230,230,230,
1713405000000,231,230,230,
1713405600000,230,230,230,
1713406200000,230,229,230,
1713406800000,230,229,229,
1713407400000,230,229,229,
1713408000000,230,229,229,
1713408600000,231,229,230,
1713409200000,231,229,229,
1713409800000,230,230,230,
1713410400000,230,229,229,
1713411000000,231,229,230,
1713411600000,231,229,229,
1713412200000,231,229,229,
1713412800000,231,229,229,
1713413400000,230,229,229,
1713414000000,230,229,229,
1713414600000,229,229,229,
1713415200000,230,229,229,
1713415800000,230,229,229,
1713416400000,230,229,229,
1713417000000,230,229,229,
1713417600000,230,229,229,
1713418200000,229,228,229,
1713418800000,229,229,229,
1713419400000,230,229,228,
1713420000000,230,229,228,
1713420600000,230,229,228,
1713421200000,230,229,229,
1713421800000,230,228,228,
1713422400000,229,228,229,
1713423000000,229,228,228,
1713423600000,230,228,229,
1713424200000,230,229,228,
1713424800000,229,228,228,
1713425400000,230,228,228,
1713426000000,231,229,229,
1713426600000,230,228,228,
1713427200000,230,229,228,
1713427800000,230,228,228,
1713428400000,230,229,229,
1713429000000,230,228,229,
1713429600000,230,228,229,
1713430200000,231,229,229,
1713430800000,230,229,229,
1713431400000,230,229,228,
1713432000000,230,228,228,
1713432600000,230,229,229,
1713433200000,229,228,229,
1713433800000,230,229,228,
1713434400000,230,228,228,
1713435000000,230,228,229,
