intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Apr 24 2024|  TO Wed May 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1713897000000,230,229,230,
1713897600000,230,230,230,
1713898200000,230,229,230,
1713898800000,230,230,230,
1713899400000,230,230,230,
1713900000000,230,230,231,
1713900600000,230,229,230,
1713901200000,230,230,230,
1713901800000,230,230,230,
1713902400000,229,230,231,
1713903000000,230,230,230,
1713903600000,230,230,230,
1713904200000,230,230,230,
1713904800000,230,229,230,
1713905400000,230,231,231,
1713906000000,231,230,231,
1713906600000,230,230,230,
1713907200000,231,229,230,
1713907800000,230,230,230,
1713908400000,231,230,230,
1713909000000,230,229,230,
1713909600000,231,230,230,
1713910199000,230,230,230,
1713910200000,230,230,230,
1713910800000,230,230,230,
1713911400000,230,229,229,
1713912000000,231,231,231,
1713912600000,230,230,230,
1713913200000,231,230,230,
1713913800000,230,230,230,
1713914400000,230,230,230,
1713915000000,230,229,230,
1713915600000,231,230,230,
1713916200000,231,230,230,
1713916800000,231,230,230,
1713917400000,231,231,230,
1713918000000,231,230,230,
1713918600000,230,230,230,
1713919200000,231,230,230,
1713919800000,231,230,230,
1713920400000,230,230,230,
1713921000000,231,229,230,
1713921600000,231,230,230,
1713922200000,231,230,230,
1713922800000,231,230,230,
1713923400000,231,229,230,
1713924000000,231,229,230,
1713924600000,231,229,230,
1713925200000,231,229,230,
1713925800000,230,229,229,
1713926400000,231,229,230,
1713927000000,231,229,230,
1713927600000,231,230,230,
1713928200000,231,229,230,
1713928800000,231,230,229,
1713929400000,230,230,229,
1713930000000,230,229,229,
1713930600000,230,229,230,
1713931200000,230,230,229,
1713931800000,230,229,229,
1713932400000,230,229,229,
1713933000000,231,229,229,
1713933600000,230,229,229,
1713934200000,230,229,229,
1713934800000,230,229,229,
1713935400000,231,230,230,
1713936000000,230,229,229,
1713936600000,230,229,229,
1713937200000,230,229,229,
1713937800000,230,229,229,
1713938400000,229,228,229,
1713939000000,229,228,229,
1713939600000,229,229,229,
1713940200000,229,228,229,
1713940800000,229,228,229,
1713941400000,230,229,229,
1713942000000,229,228,228,
1713942600000,230,228,229,
1713943200000,230,229,230,
1713943800000,229,228,228,
1713944400000,230,228,228,
1713945000000,230,228,229,
1713945600000,230,228,229,
1713946200000,230,228,228,
1713946800000,229,228,228,
1713947400000,230,229,229,
1713948000000,230,228,229,
1713948600000,229,228,229,
1713949200000,229,228,228,
1713949800000,229,229,229,
1713950400000,229,228,229,
1713951000000,230,229,229,
1713951600000,230,228,228,
1713952200000,229,228,229,
1713952800000,229,228,229,
1713953400000,229,228,228,
1713954000000,229,228,228,
1713954600000,230,229,229,
1713955200000,229,228,229,
1713955800000,229,228,229,
1713956400000,229,228,229,
1713957000000,230,229,229,
1713957600000,230,228,229,
1713958200000,229,228,229,
1713958800000,230,229,229,
1713959400000,230,229,229,
1713960000000,230,229,228,
1713960600000,230,229,229,
1713961200000,230,229,229,
1713961800000,230,229,229,
1713962400000,229,229,229,
1713963000000,230,229,229,
1713963600000,229,229,229,
1713964200000,231,229,230,
1713964800000,230,229,229,
1713965400000,230,229,229,
1713966000000,231,229,230,
1713966600000,230,229,230,
1713967200000,230,229,230,
1713967800000,230,229,230,
1713968400000,230,229,230,
1713969000000,230,229,230,
1713969600000,230,229,230,
1713970200000,230,229,230,
1713970800000,230,229,230,
1713971400000,230,229,230,
1713972000000,230,229,230,
1713972600000,230,229,230,
1713973200000,230,229,230,
1713973800000,230,229,230,
1713974400000,230,229,230,
1713975000000,231,229,230,
1713975599000,230,229,230,
1713976200000,230,229,230,
1713976800000,230,229,230,
1713977400000,230,229,230,
1713978000000,230,229,230,
1713978600000,230,229,230,
1713979200000,230,229,230,
1713979800000,230,229,230,
1713980400000,231,230,230,
1713981000000,230,229,231,
1713981600000,230,230,230,
1713982200000,230,229,230,
1713982800000,230,229,230,
1713983400000,230,229,230,
1713984000000,230,230,230,
1713984600000,230,229,230,
1713985200000,229,229,230,
1713985800000,230,230,230,
1713986400000,230,230,230,
1713987000000,230,230,230,
1713987600000,230,230,230,
1713988200000,230,229,230,
1713988800000,230,230,230,
1713989400000,230,230,230,
1713990000000,230,230,230,
1713990600000,230,230,230,
1713991200000,230,230,230,
1713991800000,230,230,230,
1713992400000,230,229,230,
1713993000000,231,230,230,
1713993600000,230,230,230,
1713994200000,231,229,230,
1713994800000,230,229,230,
1713995400000,230,230,230,
1713996000000,230,229,230,
1713996600000,230,230,230,
1713997200000,230,230,230,
1713997800000,230,230,230,
1713998400000,230,230,230,
1713999000000,230,230,230,
1713999600000,231,230,231,
1714000200000,231,230,230,
1714000800000,231,231,231,
1714001400000,231,230,230,
1714002000000,230,230,231,
1714002600000,231,230,230,
1714003200000,231,229,230,
1714003800000,231,231,230,
1714004400000,230,229,230,
1714005000000,231,230,230,
1714005600000,231,230,230,
1714006200000,231,230,230,
1714006800000,231,230,230,
1714007400000,230,229,229,
1714007999000,231,229,230,
1714008600000,231,229,230,
1714009200000,231,230,230,
1714009800000,231,230,230,
1714010400000,231,229,230,
1714011000000,231,230,230,
1714011600000,231,229,230,
1714012200000,231,230,231,
1714012800000,230,229,230,
1714013400000,231,231,231,
1714014000000,230,230,230,
1714014600000,230,229,230,
1714015200000,230,229,230,
1714015800000,231,230,230,
1714016400000,230,229,230,
1714017000000,230,229,229,
1714017600000,230,230,229,
1714018200000,230,229,229,
1714018800000,230,229,229,
1714019400000,230,229,229,
1714020000000,230,229,229,
1714020600000,229,229,229,
1714021200000,230,229,229,
1714021800000,230,229,229,
1714022400000,230,228,229,
1714023000000,230,228,229,
1714023600000,230,228,228,
1714024200000,230,229,229,
1714024800000,230,229,229,
1714025400000,231,229,229,
1714026000000,229,228,228,
1714026600000,230,228,228,
1714027200000,231,229,229,
1714027800000,230,229,228,
1714028400000,230,228,228,
1714029000000,230,229,228,
1714029600000,231,229,229,
1714030200000,230,229,228,
1714030800000,230,228,228,
1714031400000,230,228,228,
1714032000000,231,229,229,
1714032600000,231,229,229,
1714033200000,230,229,229,
1714033800000,230,228,229,
1714034400000,230,229,229,
1714035000000,230,229,229,
1714035600000,230,228,228,
1714036200000,230,229,229,
1714036800000,230,229,228,
1714037400000,230,228,228,
1714038000000,229,228,228,
1714038600000,229,228,228,
1714039200000,229,228,228,
1714039800000,229,229,228,
1714040400000,230,228,228,
1714041000000,229,228,228,
1714041600000,230,229,229,
1714042200000,230,228,229,
1714042800000,230,229,229,
1714043400000,230,228,229,
1714044000000,230,229,229,
1714044600000,230,229,230,
1714045200000,231,230,230,
1714045800000,230,229,228,
1714046400000,230,229,229,
1714047000000,230,229,229,
1714047600000,230,229,229,
1714048200000,230,229,229,
1714048800000,229,229,229,
1714049400000,230,229,230,
1714050000000,229,229,229,
1714050600000,230,229,229,
1714051200000,230,229,229,
1714051800000,230,229,229,
1714052400000,230,229,229,
1714053000000,230,229,229,
1714053600000,230,229,230,
1714054200000,230,229,230,
1714054800000,230,229,229,
1714055400000,230,229,230,
1714056000000,230,229,230,
1714056600000,230,229,230,
1714057200000,230,229,230,
1714057800000,231,230,230,
1714058400000,230,229,230,
1714059000000,230,229,229,
1714059600000,231,230,230,
1714060200000,230,229,230,
1714060800000,231,229,230,
1714061400000,230,229,230,
1714062000000,230,229,229,
1714062600000,230,229,229,
1714063200000,230,229,230,
1714063800000,230,229,229,
1714064400000,231,229,229,
1714065000000,231,229,230,
1714065600000,230,229,230,
1714066200000,231,229,230,
1714066800000,230,229,229,
1714067400000,230,229,230,
1714068000000,230,229,230,
1714068600000,230,229,230,
1714069200000,231,230,231,
1714069800000,230,229,230,
1714070400000,230,229,230,
1714071000000,231,229,230,
1714071600000,230,229,230,
1714072200000,230,229,230,
1714072800000,230,229,230,
1714073400000,231,230,231,
1714074000000,231,229,230,
1714074600000,230,229,230,
1714075200000,231,229,230,
1714075800000,230,229,230,
1714076400000,231,230,230,
1714077000000,231,231,230,
1714077600000,231,231,230,
1714078200000,230,229,230,
1714078800000,230,229,230,
1714079400000,230,230,230,
1714080000000,230,230,231,
1714080600000,230,231,230,
1714081200000,230,229,230,
1714081800000,231,230,230,
1714082400000,231,229,230,
1714083000000,231,230,230,
1714083600000,231,230,230,
1714084200000,230,229,230,
1714084800000,230,229,230,
1714085400000,231,229,230,
