intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Mon Apr 08 2024|  TO Mon Apr 15 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1712514600000,230,229,230,
1712515200000,230,229,230,
1712515800000,230,229,230,
1712516400000,230,229,230,
1712517000000,230,229,230,
1712517600000,230,229,230,
1712518200000,230,229,230,
1712518800000,230,229,230,
1712519400000,230,229,230,
1712520000000,230,229,230,
1712520600000,230,229,230,
1712521200000,230,229,230,
1712521800000,230,229,230,
1712522400000,230,229,230,
1712523000000,230,229,230,
1712523600000,230,229,230,
1712524200000,230,229,230,
1712524800000,230,229,230,
1712525400000,230,229,230,
1712526000000,230,229,230,
1712526600000,230,229,230,
1712527200000,230,230,230,
1712527800000,230,230,231,
1712528400000,230,230,230,
1712529000000,230,230,230,
1712529600000,231,229,230,
1712530200000,230,229,230,
1712530800000,230,229,230,
1712531400000,230,230,230,
1712532000000,230,229,230,
1712532600000,230,229,230,
1712533200000,230,229,230,
1712533800000,230,229,230,
1712534400000,230,229,230,
1712535000000,230,230,230,
1712535600000,230,229,230,
1712536200000,230,229,230,
1712536800000,231,230,230,
1712537400000,231,230,230,
1712538000000,231,230,230,
1712538600000,231,230,230,
1712539200000,231,230,230,
1712539800000,231,229,230,
1712540400000,231,229,230,
1712541000000,231,229,230,
1712541600000,231,229,230,
1712542200000,231,229,230,
1712542800000,231,229,230,
1712543400000,231,229,230,
1712544000000,231,229,230,
1712544600000,231,229,230,
1712545200000,230,229,230,
1712545800000,230,229,230,
1712546400000,230,229,230,
1712547000000,230,229,230,
1712547600000,231,229,230,
1712548200000,231,230,230,
1712548800000,231,230,230,
1712549400000,230,229,229,
1712550000000,230,229,229,
1712550600000,230,228,229,
1712551200000,230,229,229,
1712551800000,231,228,229,
1712552400000,231,228,228,
1712553000000,230,228,229,
1712553600000,230,228,229,
1712554200000,229,228,228,
1712554800000,230,228,229,
1712555400000,230,228,229,
1712556000000,230,228,229,
1712556600000,230,228,228,
1712557200000,230,228,228,
1712557800000,230,228,229,
1712558400000,229,228,229,
1712559000000,231,229,229,
1712559600000,229,228,229,
1712560200000,230,228,228,
1712560800000,230,228,228,
1712561400000,230,228,228,
1712562000000,230,228,229,
1712562600000,230,229,229,
1712563200000,230,228,229,
1712563800000,230,228,229,
1712564400000,230,228,229,
1712565000000,230,228,229,
1712565600000,229,228,229,
1712566200000,229,228,229,
1712566800000,230,229,229,
1712567400000,231,229,229,
1712568000000,230,228,228,
1712568600000,229,228,228,
1712569200000,230,229,229,
1712569800000,230,228,229,
1712570400000,230,228,228,
1712571000000,229,228,228,
1712571600000,230,228,229,
1712572200000,230,228,229,
1712572800000,230,228,228,
1712573400000,229,228,228,
1712574000000,230,228,228,
1712574600000,230,228,229,
1712575200000,230,228,228,
1712575800000,229,228,228,
