intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Aug 16 2023|  TO Wed Aug 23 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1692124200000,230,229,230,
1692124800000,230,229,230,
1692125400000,230,229,231,
1692126000000,230,229,230,
1692126600000,230,230,230,
1692127200000,230,229,231,
1692127800000,231,230,232,
1692128400000,230,230,230,
1692129000000,230,230,230,
1692129600000,231,230,231,
1692130200000,230,230,231,
1692130800000,230,230,231,
1692131400000,230,231,230,
1692132000000,230,230,230,
1692132600000,230,230,230,
1692133200000,230,230,230,
1692133800000,230,230,230,
1692134400000,230,230,231,
1692135000000,230,229,231,
1692135600000,231,230,230,
1692136200000,230,229,230,
1692136800000,230,229,230,
1692137400000,230,229,230,
1692138000000,231,230,231,
1692138600000,231,230,232,
1692139200000,230,230,230,
1692139800000,231,230,230,
1692140400000,230,230,231,
1692141000000,231,230,231,
1692141600000,230,230,230,
1692142200000,232,230,231,
1692142800000,230,229,230,
1692143400000,230,229,231,
1692144000000,230,229,231,
1692144600000,230,230,230,
1692145200000,231,230,231,
1692145800000,230,229,230,
1692146400000,230,230,230,
1692147000000,231,230,231,
1692147600000,231,229,232,
1692148200000,231,230,232,
1692148800000,231,230,230,
1692149400000,231,230,230,
1692150000000,230,230,230,
1692150600000,231,231,231,
1692151200000,232,230,231,
1692151800000,230,230,230,
1692152400000,231,230,230,
1692153000000,230,230,231,
1692153600000,230,230,229,
1692154200000,232,230,230,
1692154800000,230,230,230,
1692155400000,232,230,230,
1692156000000,231,230,231,
1692156600000,230,230,230,
1692157200000,230,230,229,
1692157800000,231,230,230,
1692158400000,231,230,231,
1692159000000,231,230,230,
1692159600000,231,231,229,
1692160200000,230,230,228,
1692160800000,230,230,229,
1692161400000,230,230,229,
1692162000000,230,230,229,
1692162600000,230,229,229,
1692163200000,230,229,229,
1692163800000,229,229,229,
1692164400000,229,229,228,
1692165000000,230,229,229,
1692165600000,230,229,229,
1692166200000,229,229,228,
1692166800000,229,230,229,
1692167400000,229,228,228,
1692168000000,229,228,229,
1692168600000,229,229,229,
1692169200000,229,228,228,
1692169800000,229,229,229,
1692170400000,229,229,229,
1692171000000,229,229,228,
1692171600000,229,229,229,
1692172200000,229,229,228,
1692172800000,229,229,229,
1692173400000,229,229,228,
1692174000000,229,229,228,
1692174600000,230,229,228,
1692175200000,229,229,228,
1692175800000,228,229,228,
1692176400000,228,229,228,
1692177000000,228,229,229,
1692177600000,228,229,228,
1692178200000,228,229,228,
1692178800000,228,229,229,
1692179400000,228,229,228,
1692180000000,229,229,228,
1692180600000,229,229,229,
1692181200000,229,230,228,
1692181800000,228,229,228,
1692182400000,229,229,229,
1692183000000,228,229,228,
1692183600000,229,229,229,
1692184200000,229,230,228,
1692184800000,230,230,229,
1692185400000,229,229,228,
1692186000000,229,229,228,
1692186600000,229,229,228,
1692187200000,230,230,230,
1692187800000,229,229,229,
1692188400000,229,229,229,
1692189000000,229,229,229,
1692189600000,229,229,229,
1692190200000,230,230,230,
1692190800000,230,229,229,
1692191400000,230,229,230,
1692192000000,229,229,230,
1692192600000,230,229,231,
1692193200000,230,229,230,
1692193800000,230,229,230,
1692194400000,230,230,231,
1692195000000,230,229,230,
1692195600000,230,229,229,
1692196200000,230,229,229,
1692196800000,230,229,230,
1692197400000,230,229,230,
1692198000000,230,229,230,
1692198600000,230,229,230,
1692199200000,230,229,230,
1692199800000,230,229,229,
1692200400000,230,229,229,
1692201000000,230,229,230,
1692201600000,230,229,230,
1692202200000,230,229,230,
1692202800000,230,229,230,
1692203400000,230,229,230,
1692204000000,230,229,230,
1692204600000,230,229,230,
1692205200000,230,229,230,
1692205800000,230,230,230,
1692206400000,230,230,230,
1692207000000,230,230,230,
1692207600000,230,230,231,
1692208200000,230,230,230,
1692208800000,230,229,230,
1692209400000,230,229,230,
1692210000000,230,229,230,
1692210600000,230,230,231,
1692211200000,230,230,231,
1692211800000,231,230,231,
1692212400000,230,230,231,
1692213000000,230,230,230,
1692213600000,230,230,230,
1692214200000,230,229,230,
1692214800000,230,230,231,
1692215400000,230,230,232,
1692216000000,231,230,232,
1692216600000,230,230,231,
1692217200000,230,229,230,
1692217800000,230,229,230,
1692218400000,230,230,230,
1692219000000,230,230,230,
1692219600000,230,230,231,
1692220200000,230,230,231,
1692220800000,230,229,230,
1692221400000,230,229,230,
1692222000000,230,229,231,
1692222600000,230,229,231,
1692223200000,230,229,231,
1692223800000,230,229,231,
1692224400000,230,230,230,
1692225000000,230,229,230,
1692225600000,230,229,231,
1692226200000,230,230,230,
1692226800000,231,230,231,
1692227400000,230,230,230,
1692228000000,231,230,231,
1692228600000,230,230,231,
1692229200000,231,230,231,
1692229800000,230,229,230,
1692230400000,230,229,230,
1692231000000,230,229,230,
1692231600000,230,230,231,
1692232200000,230,230,231,
1692232800000,230,229,230,
1692233400000,230,230,230,
1692234000000,231,231,232,
1692234600000,231,230,231,
1692235200000,231,230,231,
1692235800000,230,230,230,
1692236400000,230,230,230,
1692237000000,230,230,230,
1692237600000,230,230,231,
1692238200000,230,230,231,
1692238800000,230,230,230,
1692239400000,230,230,230,
1692240000000,231,229,231,
1692240600000,231,230,231,
1692241200000,230,230,230,
1692241800000,231,229,230,
1692242400000,230,230,231,
1692243000000,230,230,231,
1692243600000,230,229,230,
1692244200000,230,230,230,
1692244800000,230,230,229,
1692245400000,230,230,229,
1692246000000,230,230,229,
1692246600000,231,230,229,
1692247200000,230,230,229,
1692247800000,229,230,229,
1692248400000,229,229,229,
1692249000000,229,229,229,
1692249600000,229,229,229,
1692250200000,230,229,229,
1692250800000,230,229,229,
1692251400000,229,230,228,
1692252000000,229,229,228,
1692252600000,229,229,228,
1692253200000,229,229,227,
1692253800000,229,229,227,
1692254400000,229,229,228,
1692255000000,230,230,229,
1692255600000,229,229,228,
1692256200000,230,229,228,
1692256800000,229,229,228,
1692257400000,229,229,228,
1692258000000,229,229,228,
1692258600000,230,229,228,
1692259200000,230,229,228,
1692259800000,229,229,229,
1692260400000,230,229,229,
1692261000000,229,229,228,
1692261600000,229,229,227,
1692262200000,229,229,228,
1692262800000,229,229,228,
1692263400000,229,229,229,
1692264000000,229,229,229,
1692264600000,229,229,229,
1692265200000,229,229,228,
1692265800000,229,229,228,
1692266400000,228,229,228,
1692267000000,229,229,228,
1692267600000,229,229,228,
1692268200000,229,229,228,
1692268800000,229,229,228,
1692269400000,229,229,228,
1692270000000,229,229,228,
1692270600000,229,229,228,
1692271200000,229,229,229,
1692271800000,229,229,229,
1692272400000,229,229,229,
1692273000000,229,229,229,
1692273600000,229,229,229,
1692274200000,229,228,229,
1692274800000,229,228,230,
1692275400000,230,230,229,
1692275999000,229,229,230,
1692276600000,229,229,230,
1692277200000,229,229,230,
1692277800000,230,229,230,
1692278400000,230,229,230,
1692279000000,230,228,230,
1692279600000,230,229,230,
1692280200000,230,229,230,
1692280800000,230,229,230,
1692281400000,230,229,230,
1692282000000,230,229,230,
1692282600000,230,229,230,
1692283200000,230,229,230,
1692283800000,230,229,230,
1692284400000,230,229,230,
1692285000000,230,229,230,
1692285600000,229,229,230,
1692286200000,229,229,230,
1692286800000,229,229,230,
1692287400000,230,229,231,
1692288000000,230,229,231,
1692288600000,230,229,231,
1692289200000,230,229,231,
1692289800000,230,229,230,
1692290400000,230,229,230,
1692291000000,230,229,230,
1692291600000,230,229,230,
1692292200000,230,229,230,
1692292800000,230,229,231,
1692293400000,230,230,231,
1692294000000,230,230,231,
1692294600000,230,230,231,
1692295200000,231,230,231,
1692295800000,230,230,231,
1692296400000,230,229,230,
1692297000000,230,230,231,
1692297600000,230,229,230,
1692298200000,230,230,232,
1692298800000,230,230,230,
1692299400000,230,230,231,
1692300000000,230,230,231,
1692300600000,230,229,230,
1692301200000,230,230,230,
1692301800000,230,230,230,
1692302400000,230,230,230,
1692303000000,230,230,230,
1692303600000,230,230,230,
1692304200000,230,230,230,
1692304800000,230,230,231,
1692305400000,230,230,231,
1692306000000,230,230,231,
1692306600000,230,230,231,
1692307200000,229,230,231,
1692307800000,230,229,230,
1692308400000,230,229,230,
1692309000000,230,229,231,
1692309600000,230,229,230,
1692310200000,230,229,230,
1692310800000,230,229,230,
1692311400000,229,229,230,
1692312000000,230,229,230,
1692312600000,230,229,231,
1692313200000,230,229,231,
1692313800000,230,229,231,
1692314400000,231,230,231,
1692315000000,230,229,231,
1692315600000,230,229,231,
1692316200000,230,229,231,
1692316800000,230,230,231,
1692317400000,230,229,230,
1692318000000,230,230,231,
1692318600000,230,229,230,
1692319200000,230,229,230,
1692319800000,230,230,230,
1692320400000,230,229,230,
1692321000000,230,229,230,
1692321600000,230,229,230,
1692322200000,230,230,231,
1692322800000,230,229,231,
1692323400000,230,229,231,
1692324000000,230,230,231,
1692324600000,230,229,230,
1692325200000,230,230,230,
1692325800000,230,230,230,
1692326400000,230,230,230,
1692327000000,230,229,230,
1692327600000,230,229,230,
1692328200000,230,229,230,
1692328800000,230,230,231,
1692329400000,230,230,231,
1692329999000,230,229,231,
1692330000000,230,229,231,
1692330600000,231,229,230,
1692331200000,230,229,229,
1692331800000,230,230,230,
1692332400000,229,229,229,
1692333000000,230,230,229,
1692333600000,230,230,230,
1692334200000,230,229,230,
1692334800000,230,229,230,
1692335400000,229,229,230,
1692336000000,230,230,231,
1692336600000,230,229,230,
1692337200000,229,229,230,
1692337800000,230,228,230,
1692338400000,229,228,229,
1692339000000,230,228,229,
1692339600000,230,229,229,
1692340200000,230,229,229,
1692340800000,230,230,229,
1692341400000,230,229,229,
1692342000000,230,229,229,
1692342600000,229,229,229,
1692343200000,230,230,230,
1692343800000,229,229,229,
1692344400000,230,229,229,
1692345000000,229,229,229,
1692345600000,230,229,229,
