intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Aug 24 2023|  TO Thu Aug 31 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1692815400000,230,229,230,
1692816000000,230,230,230,
1692816600000,230,230,230,
1692817200000,230,229,230,
1692817800000,230,230,230,
1692818400000,229,230,230,
1692819000000,230,230,230,
1692819600000,230,230,230,
1692820200000,230,230,230,
1692820800000,230,230,230,
1692821400000,230,230,230,
1692822000000,230,230,231,
1692822600000,230,230,230,
1692823200000,230,230,230,
1692823800000,230,230,230,
1692824400000,230,229,230,
1692825000000,231,230,231,
1692825600000,230,230,230,
1692826200000,231,230,230,
1692826800000,230,230,231,
1692827400000,230,230,231,
1692828000000,231,231,231,
1692828600000,230,230,230,
1692829200000,231,231,231,
1692829800000,232,231,231,
1692830400000,231,230,230,
1692831000000,230,230,230,
1692831600000,230,230,230,
1692832200000,230,230,230,
1692832800000,231,230,231,
1692833400000,230,230,230,
1692834000000,230,230,230,
1692834600000,230,230,230,
1692835200000,230,230,231,
1692835800000,231,230,231,
1692836400000,231,230,229,
1692837000000,230,230,231,
1692837600000,230,230,231,
1692838200000,230,230,230,
1692838800000,230,230,230,
1692839400000,231,230,230,
1692840000000,230,230,230,
1692840600000,231,229,231,
1692841200000,231,230,231,
1692841800000,230,230,230,
1692842400000,230,230,230,
1692843000000,231,231,231,
1692843600000,230,230,230,
1692844200000,230,230,230,
1692844800000,230,229,230,
1692845400000,231,230,231,
1692846000000,231,230,231,
1692846600000,230,230,230,
1692847200000,230,229,229,
1692847800000,231,230,230,
1692848400000,231,230,231,
1692849000000,231,230,230,
1692849600000,230,230,229,
1692850200000,231,231,230,
1692850800000,230,230,229,
1692851400000,231,231,230,
1692852000000,230,230,229,
1692852600000,230,230,229,
1692853200000,229,229,229,
1692853800000,230,230,229,
1692854400000,229,230,229,
1692855000000,229,230,229,
1692855600000,229,230,228,
1692856200000,229,229,228,
1692856800000,229,230,228,
1692857400000,229,230,228,
1692858000000,229,230,228,
1692858600000,229,230,229,
1692859200000,229,229,229,
