intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Tue Aug 08 2023|  TO Tue Aug 15 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1691433000000,230,229,230,
1691433600000,230,229,230,
1691434200000,230,230,230,
1691434800000,230,229,230,
1691435400000,230,229,230,
1691436000000,230,229,230,
1691436600000,231,230,231,
1691437200000,230,230,230,
1691437800000,230,230,231,
1691438400000,230,229,230,
1691439000000,230,229,230,
1691439600000,230,230,230,
1691440200000,231,229,230,
1691440800000,230,229,230,
1691441400000,230,230,230,
1691442000000,230,230,230,
1691442600000,230,229,230,
1691443200000,230,230,230,
1691443800000,230,230,231,
1691444400000,231,230,230,
1691445000000,231,231,231,
1691445600000,231,231,231,
1691446200000,231,231,231,
1691446800000,231,230,230,
1691447400000,230,229,230,
1691448000000,230,229,231,
1691448600000,230,229,230,
1691449200000,230,230,230,
1691449800000,230,230,230,
1691450400000,230,230,230,
1691451000000,230,230,230,
1691451600000,230,230,230,
1691452200000,230,230,230,
1691452800000,230,230,231,
1691453400000,231,230,231,
1691454000000,230,230,230,
1691454600000,230,229,230,
1691455200000,230,230,231,
1691455800000,230,229,231,
1691456400000,230,230,231,
1691457000000,230,229,230,
1691457600000,230,230,230,
1691458200000,230,230,231,
1691458800000,230,230,231,
1691459400000,230,229,230,
1691460000000,230,229,230,
1691460600000,230,230,230,
1691461200000,230,230,231,
1691461800000,230,230,230,
1691462400000,230,230,230,
1691463000000,230,230,230,
1691463600000,230,229,230,
1691464200000,230,229,230,
1691464800000,230,229,230,
1691465400000,231,230,231,
1691466000000,231,229,230,
1691466600000,230,229,230,
1691467200000,230,230,229,
1691467800000,230,230,229,
1691468400000,230,230,229,
1691469000000,230,229,230,
1691469600000,229,230,229,
1691470200000,230,229,229,
1691470800000,231,230,230,
1691471400000,230,229,229,
1691472000000,231,230,230,
1691472600000,231,230,230,
1691473200000,230,229,229,
1691473800000,230,229,228,
1691474400000,230,230,228,
1691475000000,230,230,228,
1691475600000,229,230,228,
1691476200000,230,230,228,
1691476800000,229,230,228,
1691477400000,230,230,228,
1691478000000,230,230,228,
1691478600000,230,231,229,
1691479200000,230,231,228,
1691479800000,230,230,229,
1691480400000,230,229,228,
1691481000000,230,229,229,
1691481600000,230,229,229,
1691482200000,230,229,228,
1691482800000,230,229,228,
1691483400000,230,230,229,
1691484000000,231,231,230,
1691484600000,230,229,229,
1691485200000,230,230,228,
1691485800000,229,229,229,
1691486400000,230,229,229,
1691487000000,230,230,229,
1691487600000,230,229,229,
1691488200000,230,231,229,
1691488800000,230,229,229,
1691489400000,229,229,229,
1691490000000,230,229,229,
1691490600000,230,229,229,
1691491200000,229,229,229,
1691491800000,230,229,229,
1691492400000,230,230,229,
1691493000000,230,229,228,
1691493600000,229,230,229,
1691494200000,230,229,229,
1691494800000,230,229,229,
1691495400000,230,229,229,
1691496000000,230,229,229,
1691496600000,230,229,229,
1691497200000,230,229,229,
1691497800000,230,229,229,
1691498400000,230,229,230,
1691499000000,230,230,230,
1691499600000,230,229,230,
1691500200000,230,229,229,
1691500800000,230,229,230,
1691501400000,230,229,230,
1691502000000,230,229,230,
1691502600000,230,229,230,
1691503200000,230,229,229,
1691503800000,230,229,229,
1691504400000,230,229,230,
1691505000000,230,229,230,
1691505600000,230,230,230,
1691506200000,231,229,230,
1691506800000,231,230,231,
1691507400000,230,229,230,
1691508000000,230,229,230,
1691508600000,231,230,231,
1691509200000,230,229,231,
1691509800000,230,229,230,
1691510400000,230,229,230,
1691511000000,230,229,230,
1691511600000,230,229,230,
1691512200000,230,229,230,
1691512800000,230,229,231,
1691513400000,230,229,230,
1691514000000,230,229,230,
1691514600000,230,229,231,
1691515200000,230,229,231,
1691515800000,230,230,231,
1691516400000,230,230,230,
1691517000000,230,229,230,
1691517600000,230,229,230,
1691518200000,231,230,231,
1691518800000,230,230,230,
1691519400000,230,229,230,
1691520000000,230,230,230,
1691520600000,230,229,231,
1691521200000,230,230,231,
1691521800000,231,230,231,
1691522400000,230,230,230,
1691523000000,230,230,230,
1691523600000,230,230,230,
1691524200000,230,229,231,
1691524800000,230,229,230,
1691525400000,230,229,230,
1691526000000,231,230,231,
1691526600000,230,230,231,
1691527200000,230,230,230,
1691527800000,230,230,230,
1691528400000,230,230,231,
1691529000000,230,230,230,
1691529600000,230,230,231,
1691530200000,230,230,231,
1691530800000,230,230,230,
1691531400000,230,230,231,
1691532000000,230,230,231,
1691532600000,230,230,230,
1691533200000,230,229,230,
1691533800000,230,230,231,
1691534400000,230,230,230,
1691535000000,231,230,231,
1691535600000,230,230,230,
1691536200000,231,230,231,
1691536800000,231,231,232,
1691537400000,230,230,231,
1691538000000,230,230,231,
1691538600000,230,230,231,
1691539200000,230,230,231,
1691539800000,231,230,231,
1691540400000,230,230,231,
1691541000000,230,230,230,
1691541600000,230,230,230,
1691542200000,230,230,231,
1691542800000,230,230,231,
1691543400000,230,230,230,
1691544000000,230,230,230,
1691544600000,230,230,231,
1691545200000,231,231,232,
1691545800000,230,230,231,
1691546400000,230,230,230,
1691547000000,231,230,230,
1691547600000,230,230,231,
1691548200000,230,230,231,
1691548800000,231,230,230,
1691549400000,230,230,230,
1691550000000,230,230,231,
1691550600000,231,231,232,
1691551200000,231,230,231,
1691551800000,230,230,230,
1691552400000,230,229,230,
1691553000000,230,229,230,
1691553600000,230,230,229,
1691554200000,230,230,229,
1691554800000,230,230,229,
1691555400000,230,229,230,
1691556000000,230,230,229,
1691556600000,229,229,229,
1691557200000,230,229,229,
1691557800000,229,229,229,
1691558400000,230,229,229,
1691559000000,229,229,229,
1691559600000,230,229,228,
1691560200000,230,229,229,
1691560800000,229,230,228,
1691561400000,229,230,228,
1691562000000,229,229,228,
1691562600000,230,229,228,
1691563200000,230,230,228,
1691563800000,230,230,228,
1691564400000,229,230,228,
1691565000000,229,230,228,
1691565600000,229,229,228,
1691566200000,229,229,228,
1691566800000,230,229,228,
1691567400000,230,230,228,
1691568000000,229,230,228,
1691568600000,230,229,229,
1691569200000,229,229,229,
1691569800000,229,230,228,
1691570400000,229,229,228,
1691571000000,229,229,228,
1691571600000,229,229,229,
1691572200000,229,229,229,
1691572800000,229,229,229,
1691573400000,229,228,229,
1691574000000,229,229,230,
1691574600000,229,229,229,
1691575200000,229,229,229,
1691575800000,229,229,230,
1691576400000,228,228,228,
1691577000000,229,228,229,
1691577600000,229,228,229,
1691578200000,229,229,230,
1691578800000,229,229,229,
1691579400000,229,229,229,
1691580000000,229,229,229,
1691580600000,229,229,229,
1691581200000,229,229,229,
1691581800000,230,229,229,
1691582400000,230,229,229,
1691583000000,230,229,230,
1691583600000,230,229,230,
1691584200000,231,229,229,
1691584800000,230,229,229,
1691585400000,230,229,229,
1691586000000,230,229,229,
1691586600000,230,229,229,
1691587200000,230,229,229,
1691587800000,230,229,229,
1691588400000,230,229,230,
1691589000000,230,229,230,
1691589600000,230,229,229,
1691590200000,230,228,229,
1691590800000,229,230,229,
1691591400000,230,229,230,
1691592000000,230,229,229,
1691592600000,230,229,229,
1691593200000,230,229,230,
1691593800000,230,229,230,
1691594400000,230,229,230,
1691595000000,230,229,230,
1691595600000,230,229,230,
1691596200000,230,229,230,
1691596800000,230,229,230,
1691597400000,230,229,230,
1691598000000,231,229,231,
1691598600000,230,230,230,
1691599200000,230,229,230,
1691599800000,230,229,230,
1691600400000,230,230,231,
1691601000000,230,229,230,
1691601600000,230,229,230,
1691602200000,230,229,231,
1691602800000,230,229,230,
1691603400000,230,229,230,
1691604000000,230,229,230,
1691604600000,230,229,230,
1691605200000,231,229,230,
1691605800000,230,230,230,
1691606400000,230,229,230,
1691607000000,230,229,230,
1691607600000,230,229,230,
1691608200000,230,229,230,
1691608800000,230,229,230,
1691609400000,230,229,230,
1691610000000,230,229,230,
1691610600000,230,229,231,
1691611200000,230,229,230,
1691611800000,230,229,230,
1691612400000,230,228,230,
1691613000000,231,229,230,
1691613600000,230,230,230,
1691614200000,230,229,230,
1691614800000,230,229,230,
1691615400000,231,229,230,
1691616000000,230,229,230,
1691616600000,230,229,231,
1691617200000,230,230,230,
1691617800000,230,229,230,
1691618400000,230,229,230,
1691619000000,231,230,230,
1691619600000,230,229,230,
1691620200000,230,230,230,
1691620800000,230,229,230,
1691621400000,230,229,230,
1691622000000,230,230,230,
1691622600000,230,229,230,
1691623200000,230,229,230,
1691623800000,230,229,230,
1691624400000,230,229,230,
1691625000000,230,229,230,
1691625600000,230,230,231,
1691626200000,231,230,231,
1691626800000,230,230,231,
1691627400000,230,229,230,
1691628000000,231,229,231,
1691628600000,230,229,230,
1691629200000,230,229,230,
1691629800000,230,230,230,
1691630400000,231,231,231,
1691631000000,230,230,230,
1691631600000,231,231,232,
1691632200000,230,230,230,
1691632800000,230,230,231,
1691633400000,230,229,230,
1691634000000,230,229,230,
1691634600000,231,229,230,
1691635200000,230,230,230,
1691635800000,230,229,230,
1691636400000,230,230,230,
1691637000000,231,230,232,
1691637600000,230,229,230,
1691638200000,230,229,230,
1691638800000,230,229,230,
1691639400000,230,229,230,
1691640000000,230,229,230,
1691640600000,230,230,230,
1691641200000,230,230,229,
1691641800000,230,229,229,
1691642400000,230,229,230,
1691643000000,230,229,229,
1691643600000,231,229,230,
1691644200000,230,229,229,
1691644800000,229,229,229,
1691645400000,229,229,229,
1691646000000,230,229,229,
1691646600000,229,229,229,
1691647200000,230,229,228,
1691647800000,229,229,228,
1691648400000,230,230,228,
1691649000000,229,230,229,
1691649600000,230,230,229,
1691650200000,229,229,228,
1691650800000,229,229,229,
1691651400000,230,229,229,
1691652000000,231,230,230,
1691652600000,229,229,229,
1691653200000,230,229,229,
1691653800000,230,229,229,
1691654400000,230,230,229,
1691655000000,231,231,230,
1691655600000,230,230,229,
1691656200000,229,229,229,
1691656800000,230,229,229,
1691657400000,230,230,229,
1691658000000,230,229,229,
1691658600000,230,229,229,
1691659200000,229,229,229,
1691659800000,229,230,228,
1691660400000,229,229,230,
