intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Dec 14 2023|  TO Thu Dec 21 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1702492200000,231,230,230,
1702492800000,231,230,231,
1702493400000,231,231,231,
1702494000000,231,230,230,
1702494600000,230,230,231,
1702495200000,230,230,231,
1702495800000,230,230,230,
1702496400000,231,230,230,
1702497000000,230,229,230,
1702497600000,231,230,230,
1702498200000,231,230,231,
1702498800000,231,230,230,
1702499400000,232,230,231,
1702500000000,231,230,230,
1702500600000,232,230,231,
1702501200000,230,230,230,
1702501800000,230,230,230,
1702502400000,231,230,231,
1702503000000,231,230,231,
1702503600000,232,230,231,
1702504200000,230,230,231,
1702504800000,231,230,231,
1702505400000,230,230,230,
1702506000000,231,230,230,
1702506600000,231,230,231,
1702507200000,230,230,230,
1702507800000,231,230,231,
1702508400000,231,229,230,
1702509000000,231,231,231,
1702509600000,232,230,232,
1702510200000,231,230,231,
1702510800000,230,229,230,
1702511400000,230,230,231,
1702512000000,231,230,231,
1702512600000,231,231,232,
1702513200000,231,230,231,
1702513800000,230,230,231,
1702514400000,230,230,231,
1702515000000,230,230,231,
1702515600000,231,230,231,
1702516200000,230,230,231,
1702516800000,230,230,231,
1702517400000,231,231,231,
1702518000000,230,230,230,
1702518600000,230,230,230,
1702519200000,230,230,231,
1702519800000,230,230,230,
1702520400000,230,229,230,
1702521000000,230,230,231,
1702521600000,231,229,230,
1702522200000,231,230,230,
1702522800000,230,230,231,
1702523400000,231,231,231,
1702524000000,231,230,230,
1702524600000,230,230,230,
1702525200000,231,230,230,
1702525800000,231,230,230,
1702526400000,230,230,231,
1702527000000,230,230,230,
1702527600000,230,229,230,
1702528200000,231,230,230,
1702528800000,230,230,230,
1702529400000,230,230,230,
1702530000000,231,229,230,
1702530600000,230,230,230,
1702531200000,232,230,230,
1702531800000,230,229,229,
1702532400000,230,230,229,
1702533000000,230,230,229,
1702533600000,230,229,229,
1702534200000,230,229,229,
1702534800000,230,230,229,
1702535400000,230,229,229,
1702536000000,230,229,229,
1702536600000,230,229,229,
1702537200000,230,229,229,
1702537800000,230,230,230,
1702538400000,230,230,230,
1702539000000,230,230,230,
1702539600000,230,229,229,
1702540200000,230,229,230,
1702540800000,231,230,230,
1702541400000,230,230,230,
1702542000000,230,229,230,
1702542600000,230,229,230,
1702543200000,230,230,230,
1702543800000,231,230,231,
1702544400000,230,230,230,
1702545000000,230,229,229,
1702545600000,230,229,229,
1702546200000,230,230,229,
1702546800000,230,229,230,
1702547400000,231,229,231,
1702548000000,230,229,229,
1702548600000,231,230,230,
1702549200000,230,230,231,
1702549800000,230,229,230,
1702550400000,230,229,229,
1702551000000,230,229,229,
1702551600000,231,230,230,
1702552200000,230,229,229,
1702552800000,230,229,229,
1702553400000,230,229,229,
1702554000000,230,229,229,
1702554600000,231,230,230,
1702555200000,231,230,230,
1702555800000,230,230,230,
1702556400000,230,230,230,
1702557000000,230,229,230,
1702557600000,230,230,230,
1702558200000,230,229,230,
1702558800000,230,230,230,
