intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Fri Dec 22 2023|  TO Fri Dec 29 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1703183400000,230,229,230,
1703184000000,230,229,230,
1703184600000,231,230,230,
1703185200000,231,230,231,
1703185800000,231,230,231,
1703186400000,230,229,230,
1703187000000,231,230,231,
1703187600000,230,230,231,
1703188200000,230,230,232,
1703188800000,230,230,230,
1703189400000,230,229,230,
1703190000000,230,230,230,
1703190600000,230,229,230,
1703191200000,231,230,231,
1703191800000,230,230,231,
1703192400000,230,229,230,
1703193000000,230,229,231,
1703193600000,230,229,230,
1703194200000,231,229,230,
1703194800000,231,230,230,
1703195400000,230,230,231,
1703196000000,230,230,230,
1703196600000,230,230,231,
1703197200000,231,230,231,
1703197800000,230,229,230,
1703198400000,230,230,231,
1703199000000,231,230,231,
1703199600000,230,230,230,
1703200200000,230,229,230,
1703200800000,231,230,230,
1703201400000,230,230,231,
1703202000000,230,230,231,
1703202600000,231,230,231,
1703203200000,230,230,230,
1703203800000,231,230,231,
1703204400000,230,229,230,
1703205000000,230,230,231,
1703205600000,231,230,231,
1703206200000,231,230,230,
1703206800000,231,230,231,
1703207400000,230,230,231,
1703208000000,231,230,230,
1703208600000,231,230,231,
1703209200000,230,230,230,
1703209800000,231,230,230,
1703210400000,231,230,231,
1703211000000,231,230,231,
1703211600000,230,230,231,
1703212200000,230,230,230,
1703212800000,231,230,231,
1703213400000,230,230,231,
1703214000000,230,230,230,
1703214600000,230,230,231,
1703215200000,230,230,230,
1703215800000,230,231,231,
1703216400000,230,229,230,
1703217000000,230,230,230,
1703217600000,230,230,230,
1703218200000,230,230,230,
1703218800000,230,229,230,
1703219400000,230,229,230,
1703220000000,230,229,230,
1703220600000,230,229,230,
1703221200000,231,230,230,
1703221800000,230,229,230,
1703222400000,230,230,230,
1703223000000,230,229,229,
1703223600000,230,230,229,
1703224200000,230,229,230,
1703224800000,230,230,230,
1703225400000,230,229,230,
1703226000000,230,230,230,
1703226600000,229,230,230,
1703227200000,230,229,230,
1703227800000,230,229,230,
1703228400000,230,230,230,
1703229000000,230,230,230,
1703229600000,230,230,230,
1703230200000,230,229,229,
1703230800000,230,229,230,
1703231400000,230,229,229,
1703232000000,230,229,229,
1703232600000,230,229,229,
1703233200000,230,229,230,
1703233800000,230,229,230,
1703234400000,230,229,230,
1703235000000,230,229,230,
1703235600000,230,229,229,
1703236200000,230,229,229,
1703236800000,230,229,229,
1703237400000,230,229,229,
1703238000000,230,229,229,
1703238600000,230,229,229,
1703239200000,230,230,231,
1703239800000,229,229,230,
1703240400000,230,229,229,
1703241000000,230,229,229,
1703241600000,230,229,229,
1703242200000,230,229,229,
1703242800000,231,229,228,
1703243400000,230,229,229,
1703244000000,230,229,229,
1703244600000,230,229,229,
1703245200000,230,230,229,
1703245800000,230,229,230,
1703246400000,231,229,230,
1703247000000,230,229,231,
1703247600000,230,229,230,
1703248200000,231,229,231,
1703248800000,230,229,230,
1703249400000,230,229,230,
1703250000000,231,229,230,
1703250600000,231,229,231,
1703251200000,230,229,230,
1703251800000,231,230,232,
1703252400000,230,229,231,
1703253000000,230,229,231,
1703253600000,231,230,232,
1703254200000,230,229,231,
1703254800000,230,229,232,
1703255400000,230,229,231,
1703256000000,230,229,230,
1703256600000,231,229,231,
1703257200000,230,229,231,
1703257800000,231,230,231,
1703258400000,230,229,231,
1703259000000,231,229,232,
1703259600000,230,229,231,
1703260200000,230,230,232,
1703260800000,230,229,231,
1703261400000,230,230,231,
1703262000000,231,230,232,
1703262600000,230,229,231,
1703263200000,230,230,231,
1703263800000,230,229,231,
1703264400000,230,229,231,
1703265000000,230,230,231,
1703265600000,230,229,231,
1703266200000,230,229,231,
1703266800000,231,230,232,
1703267400000,230,229,231,
1703268000000,230,229,231,
1703268600000,230,230,231,
1703269200000,231,230,232,
1703269800000,230,229,231,
1703270400000,231,230,231,
1703271000000,230,230,231,
1703271600000,230,230,231,
1703272200000,230,230,231,
1703272800000,230,229,231,
1703273400000,230,229,231,
1703274000000,230,229,231,
1703274600000,230,229,231,
1703275200000,230,230,230,
1703275800000,231,230,232,
1703276400000,230,229,230,
1703277000000,230,230,231,
1703277600000,230,230,231,
1703278200000,230,229,231,
1703278800000,230,230,231,
1703279400000,230,230,231,
1703280000000,231,229,232,
1703280600000,230,230,231,
1703281200000,230,230,231,
1703281800000,230,229,231,
1703282400000,230,230,232,
1703283000000,230,230,231,
1703283600000,230,230,231,
1703284200000,230,230,231,
1703284800000,230,229,230,
1703285400000,230,230,231,
1703286000000,230,230,231,
1703286600000,230,229,231,
1703287200000,230,229,231,
1703287800000,230,229,231,
1703288400000,230,229,231,
1703289000000,230,230,231,
1703289600000,230,230,231,
1703290200000,230,230,231,
1703290800000,230,230,231,
1703291400000,230,230,231,
1703292000000,230,230,231,
1703292600000,230,230,231,
1703293200000,230,230,231,
1703293800000,231,230,232,
1703294400000,231,230,232,
1703295000000,230,230,231,
1703295600000,230,230,231,
1703296200000,230,230,231,
1703296800000,230,229,231,
1703297400000,230,230,230,
1703298000000,230,229,230,
1703298600000,230,229,231,
1703299200000,230,230,231,
1703299800000,230,229,231,
1703300400000,230,230,231,
1703301000000,230,230,231,
1703301600000,231,230,231,
1703302200000,231,230,230,
1703302800000,230,229,231,
1703303400000,230,230,231,
1703304000000,231,230,231,
1703304600000,231,230,232,
1703305200000,230,230,231,
1703305800000,230,230,231,
1703306400000,231,230,232,
1703307000000,231,230,232,
1703307600000,231,230,231,
1703308200000,230,229,231,
1703308800000,230,229,230,
1703309400000,230,229,230,
1703310000000,231,229,231,
1703310600000,231,229,231,
1703311200000,231,229,230,
1703311800000,231,230,232,
1703312400000,230,229,230,
1703313000000,230,229,230,
1703313600000,231,229,230,
1703314200000,230,230,230,
1703314800000,230,229,230,
1703315400000,231,229,230,
1703316000000,230,229,230,
1703316600000,230,229,230,
1703317200000,231,229,230,
1703317800000,230,229,230,
1703318400000,230,229,230,
1703319000000,230,230,230,
1703319600000,231,230,231,
1703320200000,230,229,230,
1703320800000,230,230,231,
1703321400000,231,230,231,
1703322000000,230,229,230,
1703322600000,230,230,231,
1703323200000,231,229,231,
1703323800000,230,229,230,
1703324400000,231,230,230,
1703325000000,230,229,230,
1703325600000,232,230,231,
1703326200000,230,229,230,
1703326800000,230,229,230,
1703327400000,231,229,230,
1703328000000,230,229,230,
1703328600000,231,230,231,
1703329200000,231,230,231,
1703329800000,230,230,231,
1703330400000,231,229,230,
1703331000000,230,229,230,
1703331600000,230,229,230,
1703332200000,230,229,230,
1703332800000,230,230,231,
1703333400000,230,229,230,
1703334000000,230,230,231,
1703334600000,230,230,231,
1703335200000,231,230,230,
1703335800000,231,230,231,
1703336400000,231,230,230,
1703337000000,231,230,231,
1703337600000,231,230,232,
1703338200000,231,230,231,
1703338800000,230,230,230,
1703339400000,231,229,232,
1703340000000,230,230,231,
1703340600000,230,230,231,
1703341200000,230,230,231,
1703341800000,230,229,231,
1703342400000,230,230,230,
1703343000000,231,230,231,
1703343600000,231,230,231,
1703344200000,231,230,230,
1703344800000,231,230,231,
1703345400000,230,230,231,
1703346000000,231,230,232,
1703346600000,231,230,231,
1703347200000,230,230,231,
1703347800000,230,230,230,
1703348400000,231,230,231,
1703349000000,231,230,231,
1703349600000,230,230,231,
1703350200000,231,229,230,
1703350800000,231,230,231,
1703351400000,230,229,231,
1703352000000,231,230,231,
1703352600000,230,229,231,
1703353200000,231,230,231,
1703353800000,230,230,231,
1703354400000,232,231,231,
1703355000000,231,230,232,
1703355600000,231,230,231,
1703356200000,230,229,231,
1703356800000,232,230,231,
1703357400000,231,230,231,
1703358000000,231,230,231,
1703358600000,230,230,231,
1703359200000,231,230,231,
1703359800000,231,230,231,
1703360400000,231,230,231,
1703361000000,231,229,230,
1703361600000,230,230,231,
1703362200000,230,230,231,
1703362800000,230,229,230,
1703363400000,231,230,231,
1703364000000,231,230,231,
1703364600000,231,230,231,
1703365200000,230,230,230,
1703365800000,231,231,232,
1703366400000,231,230,231,
1703367000000,231,230,231,
1703367600000,230,230,231,
1703368200000,231,230,231,
1703368800000,231,230,231,
1703369400000,231,230,232,
1703370000000,231,229,231,
1703370600000,230,230,231,
1703371200000,232,230,231,
1703371800000,231,229,231,
1703372400000,231,230,231,
1703373000000,231,230,231,
1703373600000,230,230,230,
1703374200000,230,230,231,
1703374800000,230,229,231,
1703375400000,230,230,230,
1703376000000,231,230,231,
1703376600000,231,230,232,
1703377200000,231,230,232,
1703377800000,230,230,230,
1703378400000,231,230,231,
1703379000000,230,230,231,
1703379600000,230,230,231,
1703380200000,230,230,231,
1703380800000,231,230,231,
1703381400000,231,230,231,
1703382000000,231,230,231,
1703382600000,230,231,231,
1703383200000,230,230,231,
1703383800000,231,230,232,
1703384400000,231,229,231,
1703385000000,231,230,231,
1703385600000,231,229,230,
1703386200000,231,229,231,
1703386800000,231,230,231,
1703387400000,231,230,230,
1703388000000,231,230,231,
1703388600000,231,229,230,
1703389200000,231,229,230,
1703389800000,231,229,230,
1703390400000,230,230,231,
1703391000000,231,230,231,
1703391600000,230,229,230,
1703392200000,231,230,231,
1703392800000,231,230,231,
1703393400000,231,230,231,
1703394000000,232,230,231,
1703394600000,231,230,231,
1703395200000,231,229,231,
1703395800000,230,229,230,
1703396400000,231,230,231,
1703397000000,231,230,231,
1703397600000,230,229,230,
1703398200000,230,230,231,
1703398800000,231,229,230,
1703399400000,231,230,230,
1703400000000,230,230,231,
1703400600000,231,229,231,
1703401200000,231,229,230,
1703401800000,231,230,230,
1703402400000,231,229,231,
1703403000000,231,229,230,
1703403600000,232,229,231,
1703404200000,231,229,230,
1703404800000,232,230,231,
1703405400000,231,229,230,
1703406000000,230,229,231,
1703406600000,231,229,230,
1703407200000,231,229,230,
1703407800000,231,230,231,
1703408400000,231,229,230,
1703409000000,231,230,231,
1703409600000,230,229,230,
1703410200000,230,229,230,
1703410800000,231,229,230,
1703411400000,230,230,231,
1703412000000,231,230,231,
1703412600000,231,229,230,
1703413200000,231,230,230,
1703413800000,231,230,231,
1703414400000,230,229,230,
1703415000000,231,230,230,
1703415600000,230,229,231,
1703416200000,231,229,231,
1703416800000,232,230,231,
1703417400000,230,229,230,
1703418000000,231,230,231,
1703418600000,231,229,230,
1703419200000,231,229,230,
1703419800000,230,230,230,
1703420400000,230,229,230,
1703421000000,231,229,230,
1703421600000,230,230,231,
1703422200000,232,230,230,
1703422800000,231,229,230,
1703423400000,231,230,231,
1703424000000,230,230,231,
1703424600000,231,229,230,
1703425200000,230,229,230,
1703425800000,231,231,231,
1703426400000,231,230,231,
1703427000000,231,230,230,
1703427600000,230,230,231,
1703428200000,230,230,231,
1703428800000,231,230,231,
1703429400000,231,230,230,
1703430000000,231,230,231,
1703430600000,230,230,231,
1703431200000,231,229,230,
1703431800000,230,229,230,
1703432400000,230,230,231,
1703433000000,231,231,231,
1703433600000,230,230,229,
1703434200000,231,230,231,
1703434800000,230,230,231,
1703435400000,230,229,230,
1703436000000,231,230,232,
1703436600000,231,230,231,
1703437200000,230,229,230,
1703437800000,231,230,231,
1703438400000,231,230,231,
1703439000000,230,230,231,
1703439600000,231,230,230,
1703440200000,231,229,231,
1703440800000,230,229,230,
1703441400000,230,229,230,
1703442000000,232,229,232,
1703442600000,230,230,231,
1703443200000,231,229,232,
1703443800000,231,230,231,
1703444400000,230,230,231,
1703445000000,230,230,231,
1703445600000,231,230,231,
1703446200000,231,230,231,
1703446800000,231,230,231,
1703447400000,230,230,231,
1703448000000,230,229,230,
1703448600000,230,230,231,
1703449200000,231,230,231,
1703449800000,230,229,231,
1703450400000,230,230,231,
1703451000000,230,230,231,
1703451600000,231,230,232,
1703452200000,231,230,231,
1703452800000,231,230,231,
1703453400000,230,229,230,
1703454000000,230,230,231,
1703454600000,230,230,231,
1703455200000,231,230,231,
1703455800000,230,230,230,
1703456400000,230,229,230,
1703457000000,230,229,230,
1703457600000,230,230,232,
1703458200000,231,230,231,
1703458800000,231,229,230,
1703459400000,231,230,231,
1703460000000,230,230,231,
1703460600000,231,230,231,
1703461200000,230,229,230,
1703461800000,230,230,231,
1703462400000,230,230,231,
1703463000000,231,230,231,
1703463600000,230,230,231,
1703464200000,230,230,231,
1703464800000,231,230,231,
1703465400000,230,230,231,
1703466000000,230,230,230,
1703466600000,230,230,231,
1703467200000,230,230,231,
1703467800000,230,230,231,
1703468400000,230,230,230,
1703469000000,230,230,231,
1703469600000,231,230,231,
1703470200000,230,231,231,
1703470800000,230,230,231,
1703471400000,231,230,231,
1703472000000,230,229,231,
1703472600000,230,229,231,
1703473200000,230,229,230,
1703473800000,230,229,231,
1703474400000,231,229,231,
1703475000000,231,230,231,
1703475600000,230,229,230,
1703476200000,230,229,231,
1703476800000,231,231,232,
1703477400000,230,230,231,
1703478000000,231,229,230,
1703478600000,231,230,230,
1703479200000,231,230,231,
1703479800000,231,230,230,
1703480400000,230,230,230,
1703481000000,230,230,230,
1703481600000,230,229,230,
1703482200000,231,230,230,
1703482800000,231,230,230,
1703483400000,230,230,230,
1703484000000,230,230,230,
1703484600000,231,230,231,
1703485200000,230,230,231,
1703485800000,231,230,230,
1703486400000,230,230,230,
1703487000000,230,229,230,
1703487600000,230,230,230,
1703488200000,231,230,231,
1703488800000,230,229,230,
1703489400000,230,229,230,
1703490000000,232,230,231,
1703490600000,231,230,231,
1703491200000,230,229,231,
1703491800000,231,229,230,
1703492400000,231,229,230,
1703493000000,231,229,230,
1703493600000,230,229,230,
1703494200000,232,230,232,
1703494800000,231,229,230,
1703495400000,230,230,230,
1703496000000,231,229,230,
1703496600000,230,229,230,
1703497200000,231,229,230,
1703497800000,230,229,230,
1703498400000,231,229,230,
1703499000000,230,229,230,
1703499600000,230,229,230,
1703500200000,231,229,230,
1703500800000,231,230,230,
1703501400000,231,230,231,
1703502000000,230,229,230,
1703502600000,231,230,230,
1703503200000,231,229,230,
1703503800000,231,229,230,
1703504400000,231,229,230,
1703505000000,230,229,230,
1703505600000,231,229,230,
1703506200000,231,230,230,
1703506800000,231,229,230,
1703507400000,230,230,231,
1703508000000,230,229,230,
1703508600000,231,230,231,
1703509200000,231,230,231,
1703509800000,230,230,231,
1703510400000,230,230,230,
1703511000000,230,230,230,
1703511600000,230,230,231,
1703512200000,231,230,231,
1703512800000,230,229,230,
1703513400000,231,230,231,
1703514000000,231,230,232,
1703514600000,230,230,231,
1703515200000,231,230,232,
1703515800000,230,229,231,
1703516400000,230,229,230,
1703517000000,231,230,231,
1703517600000,230,230,231,
1703518200000,231,230,231,
1703518800000,230,229,230,
1703519400000,231,230,232,
1703520000000,231,230,231,
1703520600000,230,230,231,
1703521200000,231,230,231,
1703521800000,230,229,231,
1703522400000,230,230,231,
1703523000000,230,230,230,
1703523600000,231,230,231,
1703524200000,231,230,230,
1703524800000,230,230,231,
1703525400000,231,230,230,
1703526000000,230,229,230,
1703526600000,231,230,231,
1703527200000,231,230,232,
1703527800000,231,230,231,
1703528400000,230,230,232,
1703529000000,231,230,232,
1703529600000,230,230,231,
1703530200000,231,230,232,
1703530800000,230,230,231,
1703531400000,230,230,231,
1703532000000,230,230,231,
1703532600000,230,229,231,
1703533200000,230,230,231,
1703533800000,231,230,231,
1703534400000,231,230,231,
1703535000000,230,230,231,
1703535600000,230,230,231,
1703536200000,231,230,232,
1703536800000,230,229,232,
1703537400000,230,230,231,
1703538000000,231,230,231,
1703538600000,231,230,231,
1703539200000,231,230,231,
1703539800000,230,230,231,
1703540400000,230,229,230,
1703541000000,231,230,231,
1703541600000,231,230,232,
1703542200000,230,230,231,
1703542800000,231,230,231,
1703543400000,231,230,231,
1703544000000,230,230,231,
1703544600000,231,230,232,
1703545200000,231,230,231,
1703545800000,231,230,232,
1703546400000,230,230,231,
1703547000000,230,230,231,
1703547600000,230,230,231,
1703548200000,231,230,232,
1703548800000,231,230,231,
1703549400000,231,230,231,
1703550000000,231,229,230,
1703550600000,230,230,231,
1703551199000,231,230,231,
1703551800000,231,230,232,
1703552400000,230,229,230,
1703553000000,231,229,231,
1703553600000,231,230,231,
1703554200000,230,230,231,
1703554800000,231,230,231,
1703555400000,231,230,231,
1703556000000,231,229,231,
1703556600000,231,229,231,
1703557200000,231,229,231,
1703557800000,231,230,231,
1703558400000,231,230,231,
1703559000000,231,230,231,
1703559600000,231,229,231,
1703560200000,230,229,231,
1703560800000,231,230,231,
1703561400000,231,230,230,
1703562000000,230,230,231,
1703562600000,231,230,231,
1703563200000,231,230,231,
1703563800000,232,230,230,
1703564400000,231,230,230,
1703565000000,230,230,231,
1703565600000,231,230,231,
1703566200000,231,229,231,
1703566800000,230,229,230,
1703567400000,230,229,230,
1703568000000,230,229,230,
1703568600000,230,229,230,
1703569200000,230,229,230,
1703569800000,231,229,230,
1703570400000,231,229,230,
1703571000000,231,229,230,
1703571600000,230,228,230,
1703572200000,231,229,229,
1703572800000,231,229,229,
1703573400000,231,229,230,
1703574000000,231,228,229,
1703574600000,231,229,230,
1703575200000,231,229,230,
1703575800000,231,229,230,
1703576400000,231,229,230,
1703577000000,231,229,230,
1703577600000,231,229,230,
1703578200000,230,229,229,
1703578800000,230,229,230,
1703579400000,230,229,229,
1703580000000,231,229,230,
1703580600000,230,229,231,
1703581200000,230,229,230,
1703581800000,230,229,229,
1703582400000,231,229,229,
1703583000000,230,229,229,
1703583600000,230,229,229,
1703584200000,230,229,229,
1703584800000,230,229,229,
1703585400000,230,229,229,
1703586000000,230,229,229,
1703586600000,230,229,229,
1703587200000,230,229,229,
1703587800000,230,229,230,
1703588400000,230,229,230,
1703589000000,230,229,230,
1703589600000,231,229,230,
1703590200000,230,229,230,
1703590800000,230,229,229,
1703591400000,230,229,229,
1703592000000,230,229,230,
1703592600000,230,229,230,
1703593200000,230,229,230,
1703593800000,230,229,230,
1703594400000,231,230,231,
1703595000000,230,230,231,
1703595600000,231,230,231,
1703596200000,230,229,230,
1703596800000,230,230,231,
1703597400000,230,229,230,
1703598000000,230,229,230,
1703598600000,231,229,231,
1703599200000,231,230,231,
1703599800000,230,230,231,
1703600400000,230,229,231,
1703601000000,230,229,231,
1703601600000,230,229,230,
1703602200000,230,229,230,
1703602800000,230,230,230,
1703603400000,230,229,230,
1703604000000,230,229,230,
1703604600000,230,229,230,
