intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sat Dec 30 2023|  TO Sat Jan 06 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1703874600000,230,230,230,
1703875200000,230,230,231,
1703875800000,230,230,231,
1703876400000,230,229,230,
1703877000000,230,229,231,
1703877600000,230,230,231,
1703878200000,230,229,231,
1703878800000,230,230,231,
1703879400000,230,230,231,
1703880000000,230,229,231,
1703880600000,230,230,231,
1703881200000,231,230,231,
1703881800000,231,230,232,
1703882400000,231,230,232,
1703883000000,230,229,230,
1703883600000,230,230,231,
1703884200000,230,230,231,
1703884800000,230,230,231,
1703885400000,230,230,231,
1703886000000,230,230,231,
1703886600000,230,230,231,
1703887200000,230,230,231,
1703887800000,231,230,231,
1703888400000,230,230,231,
1703889000000,230,230,231,
1703889600000,230,230,231,
1703890200000,230,230,231,
1703890800000,230,230,231,
1703891400000,230,230,230,
1703892000000,230,230,231,
1703892600000,231,230,231,
1703893200000,230,230,231,
1703893800000,230,230,232,
1703894400000,229,230,231,
1703895000000,230,229,231,
1703895600000,230,230,231,
1703896200000,230,230,231,
1703896800000,230,230,231,
1703897400000,230,229,231,
1703898000000,231,230,231,
1703898600000,230,230,230,
1703899200000,230,230,231,
1703899800000,230,230,231,
1703900400000,231,230,231,
1703901000000,231,230,231,
1703901600000,230,230,231,
1703902200000,231,230,231,
1703902800000,231,230,232,
1703903400000,230,229,231,
1703904000000,230,229,230,
1703904600000,230,229,230,
1703905200000,230,229,230,
1703905800000,230,230,231,
1703906400000,230,230,231,
1703907000000,230,230,232,
1703907600000,230,230,231,
1703908200000,230,230,232,
1703908800000,230,229,230,
1703909400000,230,229,230,
1703910000000,230,229,230,
1703910600000,230,229,230,
1703911200000,230,229,232,
1703911800000,230,229,231,
1703912400000,230,229,232,
1703913000000,230,229,230,
1703913600000,230,229,230,
1703914200000,230,229,230,
1703914800000,230,229,230,
1703915400000,230,229,230,
1703916000000,230,229,230,
1703916600000,230,229,230,
1703917200000,230,229,230,
1703917800000,230,229,231,
1703918400000,230,230,231,
