intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Dec 06 2023|  TO Wed Dec 13 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1701801000000,231,229,230,
1701801600000,230,229,230,
1701802200000,231,231,230,
1701802800000,230,230,230,
1701803400000,231,230,231,
1701804000000,230,230,231,
1701804600000,231,230,231,
1701805200000,230,230,230,
1701805800000,230,230,231,
1701806400000,230,230,230,
1701807000000,230,230,231,
1701807600000,230,230,231,
1701808200000,230,230,230,
1701808800000,230,229,231,
1701809400000,230,230,231,
1701810000000,231,229,231,
1701810600000,230,230,230,
1701811200000,230,230,231,
1701811800000,230,229,230,
1701812399000,231,231,232,
1701812400000,231,231,232,
1701812999000,231,230,231,
1701813000000,231,230,231,
1701813599000,230,230,231,
1701813600000,230,230,231,
1701814200000,230,230,231,
1701814800000,230,230,231,
1701815362000,231,230,231,
1701815400000,231,230,232,
1701816000000,230,230,231,
1701816600000,230,230,231,
1701817200000,231,231,231,
1701817800000,230,229,230,
1701818400000,230,230,231,
1701819000000,230,229,230,
1701819600000,231,230,232,
1701820199000,230,230,231,
1701820799000,231,230,230,
1701820800000,231,230,231,
1701821400000,230,230,231,
1701822000000,230,230,231,
1701822600000,230,230,231,
1701823199000,230,230,230,
1701823200000,230,230,230,
1701823800000,231,230,231,
1701824400000,231,230,231,
1701825000000,231,230,231,
1701825575000,230,230,230,
1701825600000,230,230,230,
1701826200000,230,230,230,
1701826800000,230,230,231,
1701827400000,230,230,231,
1701828000000,230,230,231,
1701828600000,230,230,231,
1701829200000,230,230,230,
1701829800000,230,230,230,
1701830400000,231,231,231,
1701831000000,230,230,231,
1701831600000,230,230,231,
1701832200000,230,229,230,
1701832800000,230,230,230,
1701833400000,230,230,230,
1701834000000,230,230,230,
1701834600000,231,230,230,
1701835199000,230,230,229,
1701835200000,230,230,229,
1701835800000,231,229,230,
1701836400000,230,230,230,
1701837000000,230,230,229,
1701837600000,230,230,230,
1701838200000,230,229,230,
1701838800000,230,230,231,
1701839400000,230,229,230,
1701840000000,230,229,230,
1701840600000,230,229,230,
1701841200000,231,229,230,
1701841800000,230,230,230,
1701842400000,230,229,230,
1701843000000,230,229,229,
1701843600000,231,231,231,
1701844200000,230,229,229,
1701844800000,231,229,230,
1701845400000,230,229,229,
1701846000000,231,230,230,
1701846600000,230,229,230,
1701847200000,231,230,231,
1701847800000,230,229,230,
1701848400000,230,230,231,
1701849000000,230,229,230,
1701849600000,230,229,229,
1701850200000,230,229,230,
1701850800000,230,229,230,
1701851400000,230,230,230,
1701852000000,230,229,230,
1701852600000,230,229,229,
1701853200000,230,230,230,
1701853800000,230,230,230,
1701854400000,230,229,230,
1701855000000,230,229,229,
1701855600000,230,229,229,
1701856200000,230,229,229,
1701856800000,230,229,229,
1701857400000,230,229,229,
1701858000000,230,229,229,
1701858600000,230,229,229,
1701859200000,231,230,230,
1701859800000,230,229,230,
1701860400000,230,229,229,
1701861000000,230,230,230,
1701861600000,230,230,230,
1701862200000,231,229,230,
1701862800000,230,229,230,
1701863400000,230,230,230,
1701864000000,230,229,230,
1701864600000,230,229,230,
1701865200000,230,230,230,
1701865800000,230,230,230,
1701866400000,231,229,230,
1701867000000,230,229,230,
1701867600000,230,230,230,
1701868200000,230,229,230,
1701868800000,231,230,231,
1701869400000,230,229,230,
1701870000000,230,229,230,
1701870600000,231,230,231,
1701871200000,231,230,231,
1701871800000,230,229,230,
1701872400000,230,230,230,
1701873000000,230,229,230,
1701873600000,230,230,230,
1701874200000,230,229,230,
1701874800000,231,229,231,
1701875400000,230,229,229,
1701876000000,230,230,231,
1701876600000,230,230,231,
1701877200000,230,230,230,
1701877800000,231,230,230,
1701878400000,230,230,232,
1701879000000,230,230,230,
1701879600000,231,230,232,
1701880200000,230,230,230,
1701880800000,230,230,231,
1701881400000,231,230,231,
1701882000000,230,230,230,
1701882600000,231,230,231,
1701883200000,230,230,231,
1701883800000,230,230,230,
1701884400000,231,230,231,
1701885000000,230,230,231,
1701885600000,230,230,232,
1701886200000,230,229,230,
1701886800000,230,230,230,
1701887400000,231,230,230,
1701888000000,230,229,230,
1701888600000,230,230,231,
1701889200000,230,230,231,
1701889800000,231,230,231,
1701890400000,230,230,231,
1701891000000,231,231,232,
1701891600000,230,230,230,
1701892200000,230,229,230,
1701892800000,230,230,232,
1701893400000,230,230,230,
1701894000000,230,230,230,
1701894600000,230,230,230,
1701895200000,230,229,230,
1701895800000,230,230,231,
1701896400000,230,230,231,
1701897000000,230,230,230,
1701897600000,230,230,230,
1701898200000,231,230,232,
1701898800000,231,231,231,
1701899400000,230,230,231,
1701900000000,230,230,231,
1701900600000,230,230,231,
1701901200000,231,231,232,
1701901800000,230,230,230,
1701902400000,230,230,231,
1701903000000,230,230,231,
1701903600000,230,230,231,
1701904200000,231,231,232,
1701904800000,230,230,230,
1701905400000,231,230,232,
1701906000000,230,230,231,
1701906600000,231,230,232,
1701907200000,230,230,231,
1701907800000,230,230,230,
1701908400000,230,230,231,
1701909000000,229,230,231,
1701909600000,230,230,231,
1701910200000,230,230,232,
1701910800000,230,230,231,
1701911400000,230,230,232,
1701912000000,231,230,231,
1701912600000,231,230,231,
1701913200000,230,230,231,
1701913800000,230,230,231,
1701914400000,231,230,230,
1701915000000,230,230,231,
1701915600000,230,230,231,
1701916200000,230,230,231,
1701916800000,230,229,230,
1701917400000,230,230,230,
1701918000000,230,230,230,
1701918600000,230,230,230,
1701919200000,230,229,230,
1701919800000,231,230,231,
1701920400000,230,230,230,
1701921000000,230,230,230,
1701921600000,230,229,230,
1701922200000,230,229,230,
1701922800000,229,230,230,
1701923400000,230,229,230,
1701924000000,230,229,230,
1701924600000,230,229,230,
1701925200000,230,229,230,
1701925800000,230,229,230,
1701926400000,230,229,230,
1701927000000,230,229,229,
1701927600000,230,229,229,
1701928200000,230,229,230,
1701928800000,230,229,230,
1701929400000,230,229,230,
