intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sun Feb 11 2024|  TO Sun Feb 18 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1707589800000,231,230,231,
1707590400000,230,230,230,
1707591000000,230,229,230,
1707591600000,230,229,230,
1707592200000,231,230,231,
1707592800000,230,229,230,
1707593400000,231,229,230,
1707594000000,230,230,231,
1707594600000,230,229,230,
1707595200000,231,230,231,
1707595800000,230,230,230,
1707596400000,231,230,230,
1707597000000,230,230,230,
1707597600000,230,230,230,
1707598200000,230,230,230,
1707598800000,230,230,231,
1707599400000,230,230,230,
1707600000000,230,230,231,
1707600600000,231,230,231,
1707601200000,230,230,230,
1707601800000,230,230,230,
1707602400000,231,230,231,
1707603000000,230,230,230,
1707603600000,231,230,230,
1707604200000,230,230,230,
1707604800000,230,230,230,
1707605400000,230,230,231,
1707606000000,230,230,230,
1707606600000,230,230,230,
1707607200000,230,230,230,
1707607800000,230,229,230,
1707608400000,230,229,230,
1707609000000,230,230,230,
1707609600000,230,230,230,
1707610200000,230,230,230,
1707610800000,231,230,231,
1707611400000,230,229,230,
1707612000000,230,230,230,
1707612600000,230,230,230,
1707613200000,230,230,230,
1707613800000,230,230,230,
1707614400000,230,230,230,
1707615000000,230,230,230,
1707615600000,230,230,231,
1707616200000,230,230,230,
1707616800000,230,230,230,
1707617400000,231,230,230,
1707618000000,230,230,230,
1707618600000,230,230,230,
1707619200000,230,230,230,
1707619800000,230,230,230,
1707620400000,230,230,230,
1707621000000,231,230,231,
1707621600000,230,230,231,
1707622200000,230,229,230,
1707622800000,230,230,230,
1707623400000,230,229,230,
1707624000000,230,230,230,
1707624600000,231,229,230,
1707625200000,231,230,230,
1707625800000,230,229,230,
1707626400000,231,229,230,
1707627000000,230,229,230,
1707627600000,231,229,230,
1707628200000,230,229,230,
1707628800000,230,230,230,
1707629400000,230,230,230,
1707630000000,230,229,230,
1707630600000,232,230,231,
1707631200000,230,229,229,
1707631800000,230,229,230,
1707632400000,231,229,230,
1707633000000,231,229,230,
1707633600000,231,230,230,
1707634199000,231,229,230,
1707634800000,231,229,230,
1707635400000,230,229,230,
1707636000000,231,229,230,
1707636600000,230,229,230,
1707637200000,230,229,231,
1707637800000,231,229,231,
1707638400000,231,229,231,
1707639000000,231,229,230,
1707639600000,230,229,231,
1707640200000,230,229,230,
1707640800000,231,229,230,
1707641400000,230,230,230,
1707642000000,231,229,230,
1707642600000,232,229,231,
1707643200000,231,230,231,
1707643800000,231,229,231,
1707644400000,230,229,230,
1707645000000,231,229,230,
1707645600000,231,229,230,
1707646200000,231,229,231,
1707646800000,230,229,230,
1707647400000,230,229,230,
1707648000000,231,229,230,
1707648600000,231,229,230,
1707649200000,230,229,230,
1707649800000,230,229,231,
1707650400000,230,229,230,
1707651000000,230,229,230,
1707651600000,230,229,230,
1707652200000,231,229,230,
1707652800000,230,229,230,
1707653400000,230,229,230,
1707654000000,230,229,230,
1707654600000,231,229,230,
1707655200000,231,229,230,
1707655800000,231,229,230,
1707656400000,230,229,230,
1707657000000,230,229,230,
1707657600000,230,229,230,
1707658200000,230,229,230,
1707658800000,230,229,230,
1707659400000,230,229,230,
1707660000000,230,229,231,
1707660600000,230,229,230,
1707661200000,230,229,230,
1707661800000,230,229,231,
1707662400000,230,229,230,
1707663000000,231,229,231,
1707663600000,230,229,231,
1707664200000,230,229,230,
1707664800000,230,229,231,
1707665400000,230,230,230,
1707666000000,230,230,230,
1707666600000,230,229,230,
1707667200000,231,230,230,
1707667800000,230,229,230,
