intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Mon Feb 19 2024|  TO Mon Feb 26 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1708281000000,230,229,230,
1708281600000,230,229,231,
1708282200000,231,230,231,
1708282800000,231,230,231,
1708283400000,230,230,231,
1708284000000,231,229,231,
1708284600000,230,229,230,
1708285200000,231,230,232,
1708285800000,231,230,231,
1708286400000,230,230,231,
1708287000000,230,230,231,
1708287600000,230,230,230,
1708288200000,231,230,231,
1708288800000,231,230,231,
1708289400000,230,230,231,
1708290000000,230,229,230,
1708290600000,231,229,230,
1708291200000,231,230,231,
1708291800000,230,229,230,
1708292400000,230,230,231,
1708293000000,231,230,231,
1708293600000,230,230,231,
1708294200000,230,229,231,
1708294800000,231,229,231,
1708295400000,230,229,231,
1708296000000,230,229,231,
1708296600000,231,230,232,
1708297200000,231,230,231,
1708297800000,230,230,231,
1708298400000,231,230,232,
1708299000000,230,230,231,
1708299600000,231,230,231,
1708300200000,230,230,231,
1708300800000,230,230,230,
1708301400000,230,229,231,
1708302000000,230,229,231,
1708302600000,230,230,231,
1708303200000,230,230,231,
1708303800000,230,230,231,
1708304400000,230,230,230,
1708305000000,230,230,231,
1708305600000,230,230,231,
1708306200000,230,230,231,
1708306800000,230,230,230,
1708307400000,230,230,231,
1708308000000,230,230,230,
1708308600000,230,230,230,
1708309200000,230,229,230,
1708309800000,230,229,230,
1708310400000,230,229,230,
1708311000000,230,230,230,
1708311600000,231,229,230,
1708312200000,230,229,230,
1708312800000,230,229,230,
1708313400000,230,229,230,
1708314000000,231,230,231,
1708314600000,231,229,231,
1708315200000,231,229,230,
1708315800000,230,229,230,
1708316400000,230,229,230,
1708317000000,230,229,230,
1708317600000,230,230,230,
1708318200000,230,229,229,
1708318800000,230,229,229,
1708319400000,230,229,229,
1708320000000,230,229,229,
1708320600000,230,229,229,
1708321200000,231,229,230,
1708321800000,230,229,229,
1708322400000,230,229,229,
1708323000000,230,229,229,
1708323600000,230,229,229,
1708324200000,230,229,229,
1708324800000,229,229,229,
1708325400000,229,229,229,
1708326000000,229,229,229,
1708326600000,229,229,229,
1708327200000,230,228,229,
1708327800000,230,228,229,
1708328400000,229,229,229,
1708329000000,230,229,229,
1708329600000,230,229,229,
1708330200000,231,229,230,
1708330800000,230,229,229,
1708331400000,230,229,229,
1708332000000,230,229,229,
1708332600000,230,229,229,
1708333200000,230,228,229,
1708333800000,229,228,229,
1708334400000,230,228,229,
1708335000000,231,230,230,
1708335600000,230,228,229,
1708336200000,230,229,229,
1708336800000,230,228,229,
1708337400000,230,228,229,
1708338000000,230,228,229,
1708338600000,230,229,229,
1708339200000,230,229,229,
1708339800000,230,229,229,
1708340400000,230,229,229,
1708341000000,230,229,229,
1708341600000,231,230,230,
1708342200000,230,229,229,
1708342800000,230,229,229,
1708343400000,230,229,229,
1708344000000,231,229,229,
1708344600000,230,229,229,
1708345200000,230,230,230,
1708345800000,230,229,229,
1708346400000,230,229,230,
1708347000000,230,229,230,
1708347600000,231,229,230,
1708348200000,230,229,230,
1708348800000,230,229,230,
1708349400000,230,229,229,
1708350000000,230,229,230,
1708350600000,230,229,230,
1708351200000,230,229,230,
1708351800000,230,229,230,
1708352400000,230,229,230,
1708353000000,230,229,230,
1708353600000,231,229,230,
1708354200000,231,229,230,
1708354800000,231,229,230,
1708355400000,230,229,230,
1708356000000,230,229,230,
1708356600000,230,229,230,
1708357200000,230,229,230,
1708357800000,230,229,230,
1708358400000,230,229,230,
1708359000000,230,229,230,
1708359600000,230,229,230,
1708360200000,230,229,230,
1708360800000,230,229,230,
1708361400000,230,229,230,
1708362000000,230,229,230,
1708362600000,230,229,230,
1708363200000,230,229,230,
1708363800000,230,229,230,
1708364400000,230,229,230,
1708365000000,230,229,229,
1708365600000,230,229,230,
1708366200000,230,229,230,
1708366800000,231,229,230,
1708367400000,231,229,230,
1708368000000,230,229,229,
1708368600000,230,230,230,
1708369200000,230,229,230,
1708369800000,230,229,230,
1708370400000,231,229,230,
1708371000000,231,229,230,
1708371600000,230,229,230,
1708372200000,230,230,231,
1708372800000,230,230,230,
1708373400000,232,230,231,
1708374000000,231,230,231,
1708374600000,230,229,231,
1708375200000,230,229,230,
1708375800000,230,229,231,
1708376400000,231,230,230,
1708377000000,231,230,231,
1708377600000,230,229,230,
1708378200000,230,230,230,
1708378800000,230,230,230,
1708379400000,231,230,231,
1708380000000,230,229,230,
1708380600000,230,230,230,
1708381200000,231,230,231,
1708381800000,231,229,230,
1708382400000,230,229,230,
1708383000000,230,229,230,
1708383600000,230,230,231,
1708384200000,231,230,230,
1708384800000,230,229,230,
1708385400000,230,229,230,
1708386000000,230,230,230,
1708386600000,230,229,231,
1708387200000,231,229,230,
1708387800000,230,229,230,
1708388400000,230,230,230,
1708389000000,230,229,230,
1708389600000,230,229,230,
1708390200000,231,229,230,
1708390800000,231,230,230,
1708391400000,230,229,230,
1708392000000,231,230,230,
1708392600000,230,229,231,
1708393200000,231,229,230,
1708393800000,231,229,230,
1708394400000,230,230,230,
1708395000000,231,229,230,
1708395600000,231,229,230,
1708396200000,230,229,230,
1708396800000,230,229,230,
1708397400000,230,229,230,
1708398000000,230,230,230,
1708398600000,230,230,230,
1708399200000,230,229,230,
1708399800000,231,230,231,
1708400400000,230,229,230,
1708401000000,230,229,230,
1708401600000,230,230,230,
1708402200000,230,229,229,
1708402800000,230,229,229,
1708403400000,230,229,230,
1708404000000,230,229,229,
1708404600000,230,229,230,
1708405200000,230,229,230,
1708405800000,230,229,230,
1708406400000,230,229,229,
1708407000000,230,229,229,
1708407600000,230,229,229,
1708408200000,230,229,229,
1708408800000,230,229,229,
1708409400000,230,229,229,
1708410000000,230,229,229,
1708410600000,230,229,229,
1708411200000,230,229,229,
1708411800000,231,229,230,
1708412400000,230,228,229,
1708413000000,230,229,229,
1708413600000,230,229,229,
1708414200000,230,229,229,
1708414800000,230,229,229,
1708415400000,231,229,230,
1708416000000,230,229,229,
1708416600000,230,229,229,
1708417200000,229,229,230,
1708417800000,229,229,229,
1708418400000,230,229,229,
1708419000000,230,229,229,
1708419600000,230,229,229,
1708420200000,229,229,229,
1708420800000,229,228,229,
1708421400000,229,229,229,
1708422000000,230,229,229,
1708422600000,229,229,229,
1708423200000,229,229,229,
1708423800000,229,229,228,
1708424400000,230,228,229,
1708425000000,229,229,229,
1708425600000,229,229,229,
1708426200000,230,228,229,
1708426800000,230,228,229,
1708427400000,229,229,229,
1708428000000,230,229,229,
1708428600000,229,229,229,
1708429200000,230,229,229,
1708429800000,230,229,229,
1708430400000,230,229,229,
1708431000000,230,229,229,
1708431600000,230,229,229,
1708432200000,230,229,230,
1708432800000,230,229,230,
1708433400000,230,229,230,
1708434000000,230,229,231,
1708434600000,229,229,230,
1708435200000,230,229,230,
1708435800000,230,229,230,
1708436400000,230,229,229,
1708436999000,230,229,230,
1708437600000,231,230,231,
1708438200000,230,229,230,
1708438800000,230,230,230,
1708439400000,230,229,230,
1708440000000,230,229,230,
1708440600000,230,229,230,
1708441200000,230,229,230,
1708441800000,230,229,230,
1708442400000,230,229,230,
1708443000000,231,230,231,
1708443600000,230,230,231,
1708444200000,230,229,230,
1708444800000,230,229,230,
1708445400000,231,229,231,
1708446000000,230,229,230,
1708446600000,230,229,230,
1708447200000,230,229,230,
1708447800000,230,229,230,
1708448400000,231,229,230,
1708449000000,230,229,230,
1708449600000,230,229,230,
1708450200000,230,229,230,
1708450800000,230,229,230,
1708451400000,230,229,230,
1708452000000,230,229,230,
1708452600000,230,229,230,
1708453200000,231,229,230,
1708453800000,231,229,230,
1708454400000,230,229,230,
1708455000000,231,229,230,
1708455600000,231,230,230,
1708456200000,230,230,230,
1708456800000,231,230,230,
1708457400000,231,229,230,
1708458000000,231,230,231,
1708458600000,231,230,231,
1708459200000,231,230,230,
1708459800000,231,230,230,
1708460400000,232,230,231,
1708461000000,230,229,230,
1708461600000,230,230,230,
1708462200000,231,229,230,
1708462800000,231,230,231,
1708463400000,231,230,231,
1708464000000,230,230,230,
1708464600000,231,230,231,
1708465200000,231,229,230,
1708465800000,231,229,231,
1708466400000,230,229,231,
