intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Tue Feb 27 2024|  TO Tue Mar 05 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1708972200000,230,229,230,
1708972800000,230,229,230,
1708973400000,230,229,230,
1708974000000,230,229,230,
1708974600000,230,229,230,
1708975200000,230,229,230,
1708975800000,230,229,230,
1708976400000,230,229,231,
1708977000000,230,229,231,
1708977600000,230,229,230,
1708978200000,230,229,230,
1708978800000,230,229,230,
1708979400000,230,229,230,
1708980000000,230,229,230,
1708980600000,230,229,231,
1708981200000,230,229,230,
1708981800000,230,229,230,
1708982400000,230,229,231,
1708983000000,230,229,230,
1708983600000,230,229,230,
1708984200000,230,229,230,
1708984800000,230,229,231,
1708985400000,230,229,231,
1708986000000,230,229,230,
1708986600000,230,229,230,
1708987200000,230,229,230,
1708987800000,230,229,230,
1708988400000,230,229,231,
1708989000000,230,229,230,
1708989600000,230,229,230,
1708990200000,230,229,230,
1708990800000,230,229,231,
1708991400000,230,229,231,
1708992000000,230,229,230,
1708992600000,230,229,230,
1708993200000,230,229,230,
1708993800000,230,229,230,
1708994400000,230,229,231,
1708995000000,230,229,231,
1708995600000,230,229,230,
1708996200000,230,229,230,
1708996800000,231,229,230,
1708997400000,231,229,230,
1708998000000,231,229,230,
1708998600000,231,229,230,
1708999200000,231,229,230,
1708999800000,230,230,231,
1709000400000,230,229,230,
1709001000000,230,229,231,
1709001600000,230,229,230,
1709002200000,230,229,230,
1709002800000,230,229,230,
1709003400000,230,229,230,
1709004000000,230,229,230,
1709004600000,230,229,230,
1709005200000,230,229,230,
1709005800000,230,229,230,
1709006400000,230,229,229,
1709007000000,230,229,229,
1709007600000,230,229,229,
1709008200000,230,229,229,
1709008800000,230,229,229,
1709009400000,230,229,229,
1709010000000,230,229,229,
1709010600000,230,229,229,
1709011200000,230,229,229,
1709011800000,230,229,229,
1709012400000,230,229,229,
1709013000000,229,229,229,
1709013600000,230,229,229,
1709014200000,230,229,229,
1709014800000,229,229,229,
1709015400000,229,229,229,
1709016000000,229,229,228,
1709016600000,229,229,229,
1709017200000,229,230,229,
1709017800000,229,229,229,
1709018400000,229,229,229,
1709019000000,229,229,229,
1709019600000,229,229,229,
1709020200000,230,229,230,
1709020800000,230,230,229,
1709021400000,229,229,229,
1709022000000,230,230,230,
1709022600000,230,230,230,
1709023200000,229,229,229,
1709023800000,230,228,229,
1709024400000,229,229,229,
1709025000000,229,229,229,
1709025600000,229,229,229,
1709026200000,229,229,228,
1709026800000,229,229,229,
1709027400000,229,229,229,
1709028000000,229,229,228,
1709028600000,230,229,229,
1709029200000,230,229,229,
