intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sat Feb 03 2024|  TO Sat Feb 10 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1706898600000,230,229,230,
1706899200000,230,229,230,
1706899800000,230,229,230,
1706900400000,230,229,230,
1706901000000,230,229,230,
1706901600000,230,229,230,
1706902200000,230,229,230,
1706902800000,231,229,230,
1706903400000,230,229,230,
1706904000000,230,229,230,
1706904600000,230,229,230,
1706905200000,230,229,230,
1706905800000,230,229,230,
1706906400000,230,229,231,
1706907000000,230,229,231,
1706907600000,230,229,230,
1706908200000,230,229,230,
1706908800000,230,229,230,
1706909400000,230,229,231,
1706910000000,230,229,231,
1706910600000,230,229,231,
1706911200000,230,229,230,
1706911800000,230,229,230,
1706912400000,230,229,230,
1706913000000,230,229,230,
1706913600000,230,229,230,
1706914200000,230,229,230,
1706914800000,230,229,230,
1706915400000,230,229,230,
1706916000000,230,229,230,
1706916600000,230,229,230,
1706917200000,230,229,230,
1706917800000,230,229,230,
1706918400000,230,229,230,
1706919000000,230,229,230,
1706919600000,230,229,230,
1706920200000,230,229,230,
1706920800000,230,229,231,
1706921400000,230,229,231,
1706922000000,230,229,231,
1706922600000,230,230,230,
1706923200000,230,230,230,
1706923800000,230,230,231,
1706924400000,230,229,230,
1706925000000,230,230,231,
1706925600000,230,230,230,
1706926200000,230,229,230,
1706926800000,231,229,230,
1706927400000,230,229,230,
1706928000000,230,230,230,
1706928600000,230,229,230,
1706929200000,230,229,230,
1706929800000,230,230,230,
1706930400000,231,230,230,
1706931000000,230,230,230,
1706931600000,230,229,230,
1706932200000,230,229,230,
1706932800000,230,229,230,
1706933400000,230,229,230,
1706934000000,230,229,230,
1706934600000,230,229,230,
1706935200000,229,229,230,
1706935800000,230,229,230,
1706936400000,230,229,230,
1706937000000,230,229,230,
1706937600000,230,229,230,
1706938200000,230,229,230,
1706938800000,230,230,230,
1706939400000,230,229,230,
1706940000000,230,229,229,
1706940600000,230,229,230,
1706941200000,230,229,230,
1706941800000,230,229,230,
1706942400000,230,229,230,
1706943000000,230,229,230,
1706943600000,230,230,230,
1706944200000,230,229,230,
1706944800000,229,229,230,
1706945400000,230,229,230,
1706946000000,230,230,230,
1706946600000,230,229,230,
1706947200000,230,229,230,
1706947800000,230,229,230,
1706948400000,230,229,231,
1706949000000,230,229,230,
1706949600000,230,229,230,
1706950200000,230,230,230,
1706950800000,230,229,230,
1706951400000,230,229,229,
1706952000000,230,229,229,
1706952600000,230,229,229,
1706953200000,230,229,229,
1706953800000,230,229,230,
1706954400000,230,229,229,
1706955000000,230,229,230,
1706955600000,230,230,230,
1706956200000,230,229,230,
1706956800000,230,229,230,
1706957400000,229,229,230,
1706958000000,230,229,230,
1706958600000,229,229,230,
1706959200000,230,229,230,
1706959800000,229,229,230,
1706960400000,230,230,230,
1706961000000,229,229,230,
1706961600000,230,229,230,
1706962200000,230,230,231,
1706962800000,230,229,230,
1706963400000,230,229,230,
1706964000000,230,229,230,
1706964600000,230,229,230,
1706965200000,230,229,230,
1706965800000,230,229,230,
1706966400000,230,229,230,
1706967000000,230,229,230,
1706967600000,230,229,230,
1706968200000,230,229,230,
1706968800000,230,229,230,
1706969400000,230,229,230,
1706970000000,230,229,230,
1706970600000,230,229,230,
1706971200000,230,229,230,
1706971800000,230,229,230,
1706972400000,230,229,230,
1706973000000,230,229,230,
1706973600000,230,229,230,
1706974200000,230,229,230,
1706974800000,230,229,231,
1706975400000,230,229,230,
1706976000000,230,229,230,
1706976600000,230,229,230,
1706977200000,230,229,231,
1706977800000,230,229,230,
1706978400000,230,229,230,
1706979000000,230,229,230,
1706979600000,230,229,231,
1706980200000,230,229,230,
1706980800000,230,230,230,
1706981400000,231,230,231,
1706982000000,230,229,230,
1706982600000,230,229,230,
1706983200000,230,229,230,
1706983800000,230,229,230,
1706984400000,230,229,230,
1706985000000,230,229,230,
1706985600000,230,229,230,
1706986200000,230,229,230,
1706986800000,230,229,230,
1706987400000,231,229,230,
1706988000000,230,229,230,
1706988600000,230,229,230,
1706989200000,230,229,231,
1706989800000,230,229,231,
1706990400000,230,229,230,
1706991000000,230,229,230,
1706991600000,230,229,230,
1706992200000,230,229,230,
1706992800000,230,230,231,
1706993400000,230,229,231,
1706994000000,230,230,231,
1706994600000,230,229,230,
1706995200000,230,229,230,
1706995800000,230,229,230,
1706996400000,230,229,230,
1706997000000,230,229,231,
1706997600000,230,229,230,
1706998200000,230,229,230,
1706998800000,230,229,230,
1706999400000,230,229,230,
1707000000000,230,229,230,
1707000600000,230,229,230,
1707001200000,230,229,230,
1707001800000,230,229,231,
1707002400000,230,229,230,
1707003000000,230,229,230,
1707003600000,230,229,231,
1707004200000,231,230,231,
1707004800000,230,229,230,
1707005400000,230,229,230,
1707006000000,230,229,230,
1707006600000,230,229,230,
1707007200000,230,230,230,
1707007800000,230,229,230,
1707008400000,230,229,230,
1707009000000,230,230,230,
1707009600000,230,229,230,
1707010200000,230,230,230,
1707010800000,230,229,230,
1707011400000,231,230,230,
1707012000000,230,230,230,
1707012600000,230,230,230,
1707013200000,230,230,230,
1707013800000,230,230,230,
1707014400000,230,229,230,
1707015000000,230,230,230,
1707015600000,230,230,230,
1707016200000,230,231,231,
1707016800000,230,230,230,
1707017400000,230,230,230,
1707018000000,230,230,230,
1707018600000,230,230,229,
1707019200000,230,230,230,
1707019800000,230,230,230,
1707020400000,230,230,229,
1707021000000,230,230,230,
1707021600000,230,229,230,
1707022200000,229,230,230,
1707022800000,230,230,230,
1707023400000,230,230,230,
1707024000000,230,230,230,
1707024600000,230,230,230,
1707025200000,230,230,230,
1707025800000,230,230,230,
1707026400000,230,230,230,
1707027000000,230,230,230,
1707027600000,230,230,229,
1707028200000,229,229,230,
1707028800000,230,230,230,
1707029400000,230,229,230,
1707030000000,231,230,231,
1707030600000,230,230,230,
1707031200000,230,229,230,
1707031800000,230,230,230,
1707032400000,230,229,231,
1707033000000,230,230,230,
1707033600000,230,229,230,
1707034200000,230,229,230,
1707034800000,230,229,230,
1707035400000,230,229,230,
1707036000000,230,229,230,
1707036600000,230,230,230,
1707037200000,230,229,230,
1707037800000,230,229,230,
1707038400000,230,229,230,
1707039000000,230,230,230,
1707039600000,230,230,230,
1707040200000,230,230,230,
1707040800000,230,229,229,
1707041400000,230,229,230,
1707042000000,230,229,230,
1707042600000,230,229,230,
1707043200000,230,229,230,
1707043800000,229,229,230,
1707044400000,230,229,231,
1707045000000,230,230,231,
1707045600000,230,230,230,
1707046200000,229,229,230,
1707046800000,230,229,230,
1707047400000,230,229,230,
1707048000000,229,229,230,
1707048600000,230,229,230,
1707049200000,230,230,231,
1707049800000,229,229,230,
1707050400000,231,229,230,
1707051000000,230,229,230,
1707051600000,230,229,230,
1707052200000,230,229,231,
1707052800000,230,229,230,
1707053400000,229,229,230,
1707054000000,230,229,230,
1707054600000,230,229,230,
