intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Jan 10 2024|  TO Wed Jan 17 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1704825000000,230,229,230,
1704825600000,231,230,231,
1704826200000,230,230,230,
1704826800000,231,230,230,
1704827400000,230,230,231,
1704828000000,231,230,230,
1704828600000,230,230,230,
1704829200000,230,230,231,
1704829800000,230,230,231,
1704830400000,231,230,231,
1704831000000,230,230,231,
1704831600000,230,230,231,
1704832200000,230,230,230,
1704832800000,231,231,232,
1704833400000,230,230,231,
1704834000000,231,229,231,
1704834600000,230,230,231,
1704835200000,230,230,230,
1704835800000,230,230,231,
1704836400000,231,230,232,
1704837000000,231,230,230,
1704837600000,231,231,232,
1704838200000,230,230,231,
1704838800000,230,230,231,
1704839400000,230,230,231,
1704840000000,230,230,231,
1704840600000,230,230,231,
1704841200000,230,230,231,
1704841800000,230,230,231,
1704842400000,230,230,231,
1704843000000,230,230,231,
1704843600000,230,230,231,
1704844200000,230,229,230,
1704844800000,231,230,231,
1704845400000,230,230,231,
1704846000000,230,230,231,
1704846600000,230,230,231,
1704847200000,230,230,231,
1704847800000,230,230,230,
1704848400000,230,230,230,
1704849000000,231,230,231,
1704849600000,230,230,231,
1704850200000,230,230,231,
1704850800000,230,230,230,
1704851400000,230,230,230,
1704852000000,230,230,231,
1704852600000,230,230,231,
1704853200000,230,230,231,
1704853800000,230,230,231,
1704854400000,231,230,231,
1704855000000,231,230,231,
1704855600000,231,230,230,
1704856200000,230,229,230,
1704856800000,230,229,230,
1704857400000,230,230,230,
1704858000000,230,230,230,
1704858600000,230,229,230,
1704859200000,230,230,231,
1704859800000,230,230,230,
1704860400000,230,229,230,
1704861000000,230,229,230,
1704861600000,230,229,230,
1704862200000,230,229,230,
1704862800000,230,229,230,
1704863400000,230,229,230,
1704864000000,230,229,230,
1704864600000,230,229,230,
1704865200000,230,229,230,
1704865800000,230,229,230,
1704866400000,230,229,229,
1704867000000,230,229,230,
1704867600000,231,229,230,
1704868200000,230,229,230,
1704868800000,231,229,230,
1704869400000,230,229,230,
1704870000000,230,229,230,
1704870600000,231,230,231,
1704871200000,230,229,230,
1704871800000,230,229,230,
1704872400000,230,229,230,
1704873000000,230,229,229,
1704873600000,231,229,231,
1704874200000,230,229,230,
1704874800000,230,229,230,
1704875400000,230,229,230,
1704876000000,230,230,230,
1704876600000,230,229,230,
1704877200000,230,229,230,
1704877800000,230,229,230,
1704878400000,231,230,230,
1704879000000,231,230,230,
1704879600000,230,229,230,
1704880200000,231,229,231,
1704880800000,230,229,229,
1704881400000,230,230,230,
1704882000000,230,229,230,
1704882600000,230,229,229,
1704883200000,230,229,229,
1704883800000,230,229,230,
1704884400000,230,229,229,
1704885000000,230,229,229,
1704885600000,230,230,229,
1704886200000,230,229,230,
1704886800000,230,229,230,
1704887400000,230,229,230,
1704888000000,230,229,230,
1704888600000,230,229,230,
1704889200000,230,229,230,
1704889800000,230,229,230,
1704890400000,230,229,230,
1704891000000,230,229,230,
1704891600000,230,229,230,
1704892200000,230,229,230,
1704892800000,230,229,230,
1704893400000,230,229,230,
1704894000000,230,229,230,
1704894600000,230,229,230,
1704895200000,230,229,230,
1704895800000,230,229,230,
1704896400000,230,229,230,
1704897000000,230,229,230,
1704897600000,231,230,231,
1704898200000,230,229,230,
1704898800000,230,229,230,
1704899400000,230,229,230,
1704900000000,230,229,230,
1704900600000,230,229,230,
1704901200000,230,229,230,
1704901800000,230,229,230,
1704902400000,230,229,230,
1704903000000,230,229,230,
1704903600000,230,229,230,
1704904200000,230,229,230,
1704904800000,230,229,231,
1704905400000,230,229,230,
1704906000000,230,229,230,
1704906600000,230,229,230,
1704907200000,231,230,231,
1704907800000,230,229,230,
1704908400000,230,229,230,
1704909000000,230,230,231,
1704909600000,230,230,231,
1704910200000,230,229,230,
1704910800000,230,230,230,
1704911400000,230,229,230,
1704912000000,230,229,231,
1704912600000,230,230,230,
1704913200000,230,229,231,
1704913800000,230,229,231,
1704914400000,230,230,230,
1704915000000,230,229,230,
1704915600000,230,230,230,
1704916200000,230,229,230,
1704916800000,230,229,230,
1704917400000,230,229,230,
1704918000000,230,230,230,
1704918600000,230,229,230,
1704919200000,230,229,230,
1704919800000,230,230,231,
1704920400000,230,230,231,
1704921000000,230,229,231,
1704921600000,230,229,231,
1704922200000,230,230,231,
1704922800000,230,230,231,
1704923400000,230,230,231,
1704924000000,230,230,231,
1704924600000,230,230,231,
1704925200000,230,230,231,
1704925800000,230,229,230,
1704926400000,230,230,231,
1704927000000,230,230,231,
1704927600000,230,229,230,
1704928200000,230,230,231,
1704928800000,230,230,230,
1704929400000,230,230,231,
1704930000000,230,230,231,
1704930600000,230,230,231,
1704931200000,230,230,231,
1704931800000,230,230,231,
1704932400000,230,230,231,
1704933000000,230,229,231,
1704933600000,230,230,231,
1704934200000,230,230,231,
1704934800000,230,229,230,
1704935400000,230,230,231,
1704936000000,230,230,231,
1704936600000,230,230,231,
1704937200000,230,230,231,
1704937800000,230,229,230,
1704938400000,230,230,231,
1704939000000,230,230,231,
1704939600000,230,230,231,
1704940200000,230,229,231,
1704940800000,231,230,231,
1704941400000,230,230,231,
1704942000000,230,230,230,
1704942600000,230,229,230,
1704943200000,230,229,230,
1704943800000,230,229,230,
1704944400000,230,229,230,
1704945000000,230,230,230,
1704945600000,230,229,230,
1704946200000,230,229,230,
1704946800000,230,229,230,
1704947400000,230,229,230,
1704948000000,230,229,230,
1704948600000,230,229,230,
1704949200000,230,229,230,
1704949800000,230,229,230,
1704950400000,230,230,231,
1704951000000,230,230,230,
1704951600000,230,229,230,
1704952200000,230,229,229,
1704952800000,231,230,230,
1704953400000,230,229,229,
1704954000000,230,229,229,
1704954600000,230,229,229,
1704955200000,230,229,229,
1704955800000,230,229,229,
1704956400000,230,230,230,
1704957000000,230,229,229,
1704957600000,230,229,229,
1704958200000,230,229,229,
1704958800000,230,229,229,
1704959400000,230,229,229,
1704960000000,230,229,229,
1704960600000,230,229,229,
1704961200000,230,229,229,
1704961800000,230,229,230,
1704962400000,230,230,231,
1704963000000,230,229,230,
1704963600000,230,229,230,
1704964200000,230,229,230,
1704964800000,230,229,230,
1704965400000,230,229,229,
1704966000000,230,229,230,
1704966600000,230,229,229,
1704967200000,230,229,229,
1704967800000,230,229,230,
1704968400000,231,230,230,
1704969000000,229,229,229,
1704969600000,230,229,230,
1704970200000,229,229,230,
1704970800000,229,229,229,
1704971400000,229,229,230,
1704972000000,230,229,229,
1704972600000,230,229,230,
1704973200000,230,229,230,
1704973800000,229,229,230,
1704974400000,230,229,230,
1704975000000,230,229,230,
1704975600000,230,230,230,
1704976200000,230,229,230,
1704976800000,230,229,230,
1704977400000,230,229,230,
1704978000000,231,229,230,
1704978600000,230,229,231,
1704979200000,231,229,230,
1704979800000,230,229,230,
1704980400000,230,229,230,
1704981000000,230,229,230,
1704981600000,230,229,230,
1704982200000,231,229,231,
1704982800000,230,229,230,
1704983400000,230,229,231,
1704984000000,230,229,230,
1704984600000,230,229,230,
1704985200000,230,229,230,
1704985800000,230,229,230,
1704986400000,231,230,231,
1704987000000,231,230,230,
1704987600000,230,229,231,
1704988200000,230,229,230,
1704988800000,230,229,230,
1704989400000,230,229,230,
1704990000000,230,230,230,
1704990600000,230,229,230,
1704991200000,231,230,231,
1704991800000,230,230,231,
1704992400000,230,230,231,
1704993000000,230,230,230,
1704993600000,230,230,230,
1704994200000,230,229,230,
1704994800000,230,229,230,
1704995400000,230,230,230,
1704996000000,230,230,230,
1704996600000,231,230,231,
1704997200000,230,230,230,
1704997800000,230,230,231,
1704998400000,230,230,231,
1704999000000,230,230,231,
1704999600000,230,230,231,
1705000200000,230,229,230,
1705000800000,230,229,230,
1705001400000,230,229,230,
1705002000000,230,230,231,
1705002600000,230,230,231,
1705003200000,230,229,231,
1705003800000,230,230,231,
1705004400000,230,230,231,
1705005000000,230,229,231,
1705005600000,230,230,231,
1705006200000,230,230,230,
1705006799000,230,230,231,
1705007400000,230,229,230,
1705008000000,230,230,231,
1705008600000,230,229,231,
1705009200000,230,230,231,
1705009800000,230,230,231,
1705010400000,230,230,230,
1705011000000,230,230,230,
1705011600000,230,230,231,
1705012200000,230,229,230,
1705012800000,230,230,231,
1705013400000,230,230,231,
1705014000000,230,230,230,
1705014600000,230,230,231,
1705015200000,230,230,231,
1705015800000,230,230,230,
1705016400000,230,229,230,
1705017000000,230,230,230,
1705017600000,230,230,231,
1705018200000,230,230,231,
1705018800000,232,230,232,
1705019400000,230,230,231,
1705020000000,230,230,231,
1705020600000,231,230,231,
1705021200000,231,230,230,
1705021800000,230,230,230,
1705022400000,231,230,231,
1705023000000,230,230,231,
1705023600000,230,230,231,
1705024200000,230,230,231,
1705024800000,230,229,230,
1705025400000,230,230,230,
1705026000000,230,230,230,
1705026600000,230,230,231,
1705027200000,231,230,232,
1705027800000,230,230,231,
1705028400000,230,231,232,
1705029000000,230,230,231,
1705029600000,230,229,230,
1705030200000,230,229,230,
1705030800000,230,230,230,
1705031400000,230,229,230,
1705032000000,230,230,230,
1705032600000,230,229,230,
1705033200000,230,230,230,
1705033800000,230,229,230,
1705034400000,230,229,230,
1705035000000,230,229,229,
1705035600000,230,229,230,
1705036200000,230,229,230,
1705036800000,230,229,230,
1705037400000,230,229,230,
1705038000000,230,229,230,
1705038600000,230,229,230,
