intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Jan 18 2024|  TO Thu Jan 25 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1705516200000,230,230,231,
1705516800000,230,230,231,
1705517400000,230,230,231,
1705518000000,231,230,232,
1705518600000,230,230,231,
1705519200000,230,229,231,
1705519800000,230,230,231,
1705520400000,230,230,231,
1705521000000,230,230,231,
1705521600000,231,230,231,
1705522200000,230,230,231,
1705522800000,230,230,231,
1705523400000,230,230,231,
1705524000000,230,230,231,
1705524600000,230,230,232,
1705525200000,231,230,232,
1705525800000,231,230,232,
1705526400000,230,230,231,
1705527000000,230,229,231,
1705527600000,231,230,232,
1705528200000,230,230,231,
1705528800000,231,230,231,
1705529400000,230,230,231,
1705530000000,230,230,231,
1705530600000,230,229,231,
1705531200000,230,230,231,
1705531800000,230,230,231,
1705532400000,230,229,231,
1705533000000,230,229,231,
1705533600000,230,230,231,
1705534200000,230,230,231,
1705534800000,230,230,231,
1705535400000,230,230,231,
1705536000000,230,230,231,
1705536600000,231,230,231,
1705537200000,230,229,231,
1705537800000,230,230,231,
1705538400000,230,230,231,
1705539000000,230,230,231,
1705539600000,230,229,231,
1705540200000,230,230,231,
1705540800000,230,230,231,
1705541400000,230,229,231,
1705542000000,230,229,231,
1705542600000,230,229,231,
1705543200000,230,229,231,
1705543800000,231,230,231,
1705544400000,230,230,231,
1705545000000,230,230,231,
1705545600000,231,230,231,
1705546200000,230,230,231,
1705546800000,230,230,230,
1705547400000,230,230,230,
1705548000000,230,230,231,
1705548600000,230,230,231,
1705549200000,230,230,230,
1705549800000,230,230,230,
1705550400000,230,230,230,
1705551000000,230,230,230,
1705551600000,230,230,231,
1705552200000,230,229,230,
1705552800000,230,229,231,
1705553400000,230,229,231,
1705554000000,230,229,230,
1705554600000,230,229,229,
1705555200000,230,229,229,
1705555800000,230,229,229,
1705556400000,230,229,229,
1705557000000,230,230,230,
1705557600000,230,229,229,
1705558200000,230,229,229,
1705558800000,230,229,229,
1705559400000,230,229,229,
1705560000000,230,230,230,
1705560600000,230,229,230,
1705561200000,230,229,229,
1705561800000,230,229,230,
1705562400000,230,229,229,
1705563000000,230,229,229,
1705563600000,230,229,229,
1705564200000,230,229,230,
1705564800000,230,229,230,
1705565400000,230,230,230,
