intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Tue Jan 02 2024|  TO Tue Jan 09 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1704133800000,230,230,231,
1704134400000,230,230,231,
1704135000000,231,230,231,
1704135600000,231,230,231,
1704136200000,230,230,231,
1704136800000,230,229,231,
1704137400000,230,230,231,
1704138000000,230,229,231,
1704138600000,230,230,231,
1704139200000,230,230,231,
1704139800000,231,230,231,
1704140400000,231,230,231,
1704141000000,230,229,231,
1704141600000,231,230,231,
1704142200000,230,230,231,
1704142800000,230,230,231,
1704143400000,230,230,231,
1704144000000,231,230,232,
1704144600000,230,230,230,
1704145200000,230,230,231,
1704145800000,230,230,231,
1704146400000,230,230,231,
1704147000000,231,230,231,
1704147600000,231,229,231,
1704148200000,230,229,231,
1704148800000,230,229,230,
1704149400000,230,230,230,
1704150000000,230,230,231,
1704150600000,230,230,231,
1704151200000,231,230,231,
1704151800000,230,230,231,
1704152400000,230,230,231,
1704153000000,230,230,230,
1704153600000,230,230,231,
1704154200000,230,230,231,
1704154800000,230,230,231,
1704155400000,230,229,231,
1704156000000,230,230,231,
1704156600000,230,230,231,
1704157200000,230,230,231,
1704157800000,230,230,231,
1704158400000,230,229,230,
1704159000000,230,230,230,
1704159600000,230,230,231,
1704160200000,231,230,232,
1704160800000,230,229,230,
1704161400000,231,231,232,
1704162000000,230,230,230,
1704162600000,230,230,231,
1704163200000,230,229,230,
1704163800000,230,230,230,
1704164400000,230,230,230,
1704165000000,230,229,231,
1704165600000,230,230,231,
1704166200000,230,230,231,
1704166800000,230,229,230,
1704167400000,230,229,230,
1704168000000,230,229,231,
1704168600000,230,229,230,
1704169200000,230,230,230,
1704169800000,230,229,230,
1704170400000,231,230,230,
1704171000000,230,229,230,
1704171600000,230,229,230,
1704172200000,230,229,230,
1704172800000,230,229,230,
1704173400000,230,229,230,
1704174000000,230,229,230,
1704174600000,230,229,230,
1704175200000,230,230,230,
1704175800000,231,230,230,
1704176400000,230,229,229,
1704177000000,230,229,229,
1704177600000,230,229,230,
1704178200000,230,228,229,
1704178800000,230,229,229,
1704179400000,231,229,230,
1704180000000,230,229,229,
1704180600000,230,229,230,
1704181200000,231,230,230,
1704181800000,231,229,230,
1704182400000,230,229,230,
1704183000000,230,229,230,
1704183600000,230,229,230,
1704184200000,230,229,230,
1704184800000,230,229,229,
1704185400000,230,229,229,
1704186000000,230,229,230,
1704186600000,230,229,229,
1704187200000,230,229,230,
1704187800000,230,229,229,
1704188400000,230,229,229,
1704189000000,231,229,230,
1704189600000,230,229,229,
1704190200000,230,229,230,
1704190800000,230,229,230,
1704191400000,230,229,229,
1704192000000,230,229,230,
1704192600000,230,229,229,
1704193200000,230,230,230,
1704193800000,230,229,230,
1704194400000,230,229,230,
1704195000000,230,229,229,
1704195600000,230,229,230,
1704196200000,230,229,230,
1704196800000,231,229,230,
1704197400000,230,229,230,
1704198000000,230,229,230,
1704198600000,230,229,230,
1704199200000,231,230,230,
1704199800000,230,229,230,
1704200400000,231,230,231,
1704201000000,230,229,230,
1704201600000,231,230,230,
1704202200000,230,230,231,
1704202800000,231,230,231,
1704203400000,230,229,230,
1704204000000,230,230,230,
1704204600000,230,230,231,
1704205200000,230,230,230,
1704205800000,230,230,231,
1704206400000,230,229,230,
1704207000000,230,229,230,
1704207600000,230,230,231,
1704208200000,230,230,230,
1704208800000,231,230,232,
1704209400000,230,230,231,
1704210000000,230,229,230,
1704210600000,230,230,231,
1704211200000,230,229,231,
1704211800000,230,229,230,
1704212400000,230,230,231,
1704213000000,230,229,230,
1704213600000,230,229,230,
1704214200000,230,229,230,
1704214800000,230,229,230,
1704215400000,230,230,231,
1704216000000,230,229,230,
1704216600000,230,230,231,
1704217200000,230,230,231,
1704217800000,231,230,231,
1704218400000,230,229,230,
1704219000000,230,229,230,
1704219600000,230,229,230,
1704220200000,230,229,230,
1704220800000,230,230,231,
1704221400000,231,230,231,
1704222000000,230,230,231,
1704222600000,230,230,230,
1704223200000,231,230,230,
1704223800000,230,230,230,
1704224400000,230,230,231,
1704225000000,230,230,230,
1704225600000,231,230,231,
1704226200000,230,230,231,
1704226800000,230,230,231,
