intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Fri Jan 26 2024|  TO Fri Feb 02 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1706207400000,230,229,231,
1706208000000,231,230,231,
1706208600000,230,229,230,
1706209200000,231,230,231,
1706209800000,230,229,230,
1706210400000,231,229,230,
1706211000000,230,230,231,
1706211600000,231,229,230,
1706212200000,231,229,231,
1706212800000,230,229,230,
1706213400000,230,229,230,
1706214000000,231,230,230,
1706214600000,231,229,231,
1706215200000,231,230,231,
1706215800000,231,230,231,
1706216400000,230,230,231,
1706217000000,230,229,230,
1706217600000,230,229,231,
1706218200000,230,229,230,
1706218800000,230,229,230,
1706219400000,231,230,230,
1706220000000,231,230,230,
1706220600000,231,230,231,
1706221200000,231,230,231,
1706221800000,230,230,231,
1706222400000,230,229,230,
1706223000000,230,230,231,
1706223600000,231,230,231,
1706224200000,231,230,231,
1706224800000,230,230,231,
1706225400000,231,230,231,
1706226000000,230,230,231,
1706226600000,230,229,231,
1706227200000,231,230,231,
1706227800000,230,229,231,
1706228400000,231,230,231,
1706229000000,230,229,231,
1706229600000,230,229,231,
1706230200000,230,230,231,
1706230800000,230,230,231,
1706231400000,230,230,231,
1706232000000,230,230,230,
1706232600000,230,230,231,
1706233200000,231,230,231,
1706233800000,230,229,230,
1706234400000,230,229,231,
1706235000000,230,229,230,
1706235600000,231,230,231,
1706236200000,230,229,231,
1706236800000,230,230,231,
1706237400000,231,231,231,
1706238000000,231,230,230,
1706238600000,231,230,230,
1706239200000,230,230,230,
1706239800000,231,230,231,
1706240400000,231,230,230,
1706241000000,230,230,230,
1706241600000,231,230,231,
1706242200000,231,229,230,
1706242800000,230,229,230,
1706243400000,231,230,231,
1706244000000,231,230,231,
1706244600000,230,229,230,
1706245200000,231,229,230,
1706245800000,230,230,230,
1706246400000,231,230,231,
1706247000000,230,229,231,
1706247600000,231,230,231,
1706248200000,230,229,230,
1706248800000,231,230,231,
1706249400000,230,229,230,
1706250000000,230,229,230,
1706250600000,230,229,230,
1706251200000,230,229,230,
1706251800000,230,229,230,
1706252400000,230,229,230,
1706253000000,231,229,231,
1706253600000,230,229,231,
1706254200000,230,229,230,
1706254800000,231,229,231,
1706255400000,230,229,231,
1706256000000,230,229,231,
1706256600000,230,229,230,
1706257200000,231,230,231,
1706257800000,231,229,230,
1706258400000,230,229,230,
1706259000000,230,229,230,
1706259600000,230,229,230,
1706260200000,230,229,230,
1706260800000,231,229,230,
1706261400000,230,229,230,
1706262000000,230,229,230,
1706262600000,231,229,230,
1706263200000,230,229,230,
1706263800000,230,229,230,
1706264400000,230,229,230,
1706265000000,230,229,230,
1706265600000,231,229,230,
1706266200000,230,229,230,
1706266800000,231,229,230,
1706267400000,231,230,230,
1706268000000,230,229,230,
1706268600000,231,229,230,
1706269200000,230,229,231,
1706269800000,231,229,230,
1706270400000,231,229,230,
1706271000000,232,230,231,
1706271600000,231,230,231,
1706272200000,230,229,230,
1706272800000,230,229,230,
1706273400000,231,230,231,
1706274000000,230,229,230,
1706274600000,230,229,230,
1706275200000,230,229,230,
1706275800000,230,229,231,
1706276400000,230,229,230,
1706277000000,230,229,231,
1706277600000,230,229,230,
1706278200000,231,230,231,
1706278800000,230,229,231,
1706279400000,230,229,230,
1706280000000,230,229,231,
1706280600000,230,229,230,
1706281200000,230,229,230,
1706281800000,230,229,230,
1706282400000,231,229,231,
1706283000000,230,229,231,
1706283600000,230,229,232,
1706284200000,230,229,231,
1706284800000,231,230,232,
1706285400000,230,229,230,
1706286000000,230,230,230,
1706286600000,230,229,230,
1706287200000,231,230,230,
1706287800000,230,229,230,
1706288400000,230,230,231,
1706289000000,230,230,230,
1706289600000,231,230,231,
1706290200000,230,229,230,
1706290800000,231,230,231,
1706291400000,230,230,230,
1706292000000,230,229,231,
1706292600000,230,230,231,
1706293200000,231,230,231,
1706293800000,230,229,230,
1706294400000,230,229,230,
1706295000000,230,230,230,
1706295600000,230,229,230,
1706296200000,231,230,231,
1706296800000,231,230,231,
1706297400000,230,230,231,
1706298000000,230,230,230,
1706298600000,230,230,230,
1706299200000,230,230,230,
1706299800000,230,230,231,
1706300400000,231,230,231,
1706301000000,230,230,230,
1706301600000,230,230,231,
1706302200000,230,230,230,
1706302800000,230,230,231,
1706303400000,230,230,231,
1706304000000,230,230,231,
1706304600000,230,230,231,
1706305200000,230,230,231,
1706305800000,230,229,230,
1706306400000,230,229,230,
1706307000000,230,229,230,
1706307600000,231,230,231,
1706308200000,230,229,231,
1706308800000,230,230,231,
1706309400000,231,230,231,
1706310000000,230,230,231,
1706310600000,231,230,231,
1706311200000,230,230,231,
1706311800000,230,230,231,
1706312400000,231,230,231,
1706313000000,230,230,231,
1706313600000,230,229,231,
1706314200000,231,231,231,
1706314800000,230,230,232,
1706315400000,230,230,231,
