intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sat Jul 20 2024|  TO Sat Jul 27 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1721413800000,230,230,230,
1721414400000,230,230,230,
1721415000000,231,230,230,
1721415600000,230,230,230,
1721416200000,230,230,230,
1721416800000,231,230,231,
1721417400000,230,230,230,
1721418000000,231,230,230,
1721418600000,230,229,230,
1721419200000,230,229,230,
1721419800000,230,229,231,
1721420400000,231,231,231,
1721421000000,230,230,230,
1721421600000,230,230,230,
1721422200000,230,230,230,
1721422800000,230,229,230,
1721423400000,230,230,230,
1721424000000,230,230,230,
1721424600000,230,229,230,
1721425200000,231,230,230,
1721425800000,230,229,230,
1721426400000,230,230,230,
1721427000000,230,229,230,
1721427600000,231,230,230,
1721428200000,230,230,230,
1721428800000,230,229,230,
1721429400000,230,231,230,
1721430000000,231,230,230,
1721430600000,231,230,230,
1721431200000,231,230,230,
1721431800000,230,230,230,
1721432400000,230,230,230,
1721433000000,231,230,230,
1721433600000,230,230,230,
1721434200000,230,229,230,
1721434800000,230,230,230,
1721435400000,230,230,230,
1721436000000,231,230,230,
1721436600000,230,230,231,
1721437200000,231,230,230,
1721437800000,230,230,231,
1721438400000,231,230,230,
1721439000000,231,230,230,
1721439600000,231,230,230,
1721440200000,230,230,230,
1721440800000,231,230,230,
1721441400000,231,230,230,
1721442000000,232,230,231,
1721442600000,230,230,230,
1721443200000,232,231,231,
1721443800000,231,230,230,
1721444400000,231,230,230,
1721445000000,230,230,230,
1721445600000,230,230,230,
1721446200000,230,230,230,
1721446800000,230,230,230,
1721447400000,231,230,230,
1721448000000,230,230,230,
1721448600000,230,229,230,
1721449200000,230,229,230,
1721449800000,231,230,230,
1721450400000,230,229,230,
1721451000000,231,229,230,
1721451600000,231,229,230,
1721452200000,231,229,230,
1721452800000,232,230,230,
1721453400000,231,229,230,
1721454000000,230,229,229,
1721454600000,231,229,230,
1721455200000,231,229,230,
1721455800000,231,230,230,
1721456400000,231,229,230,
1721457000000,230,229,229,
1721457600000,231,229,230,
1721458200000,231,230,230,
1721458800000,230,229,229,
1721459400000,230,229,230,
1721460000000,231,229,230,
1721460600000,231,229,229,
1721461200000,231,230,230,
1721461800000,231,230,230,
1721462400000,231,229,230,
1721463000000,230,229,230,
1721463600000,231,230,231,
1721464200000,231,230,230,
1721464800000,231,229,230,
1721465400000,230,229,229,
1721466000000,231,229,229,
1721466600000,231,229,230,
1721467200000,231,229,230,
1721467800000,231,229,229,
1721468400000,231,230,230,
1721469000000,231,229,230,
1721469600000,231,229,230,
1721470200000,230,229,230,
1721470800000,231,229,230,
1721471400000,230,230,230,
1721472000000,230,229,230,
1721472600000,231,229,229,
1721473200000,231,230,230,
1721473800000,231,230,230,
1721474400000,230,230,230,
1721475000000,232,231,230,
1721475600000,231,229,229,
1721476200000,231,230,230,
1721476800000,231,229,230,
1721477400000,230,229,230,
1721478000000,231,229,230,
1721478600000,231,229,230,
1721479200000,231,229,230,
1721479800000,231,230,230,
1721480400000,230,229,230,
1721481000000,231,229,230,
1721481600000,231,230,230,
1721482200000,230,230,230,
1721482800000,230,229,230,
1721483400000,230,229,230,
1721484000000,230,229,230,
1721484600000,230,229,230,
1721485200000,230,229,230,
1721485800000,231,229,230,
1721486400000,230,229,230,
1721487000000,231,230,231,
1721487600000,230,229,229,
1721488200000,230,229,230,
1721488800000,230,229,230,
1721489400000,230,230,230,
1721490000000,230,229,230,
1721490600000,231,229,230,
1721491200000,231,230,231,
1721491800000,231,230,230,
1721492400000,230,230,230,
1721493000000,230,229,230,
1721493600000,230,229,229,
1721494200000,230,229,229,
1721494800000,231,230,230,
1721495400000,231,229,230,
1721496000000,230,229,230,
1721496600000,231,230,230,
1721497200000,232,230,230,
1721497800000,231,229,230,
1721498400000,231,230,230,
1721499000000,231,231,230,
1721499600000,232,231,231,
1721500200000,231,231,230,
1721500800000,230,230,230,
1721501400000,230,230,230,
1721502000000,231,231,231,
1721502600000,231,230,230,
1721503200000,230,230,230,
1721503800000,230,230,230,
1721504400000,231,230,230,
1721505000000,230,230,230,
1721505600000,231,231,230,
1721506200000,230,230,230,
1721506800000,230,230,231,
1721507400000,230,229,230,
1721508000000,231,230,230,
1721508600000,230,230,230,
1721509200000,230,230,230,
1721509800000,231,230,230,
1721510400000,230,230,230,
1721511000000,230,230,230,
1721511600000,230,230,230,
1721512200000,230,230,230,
1721512800000,230,229,230,
1721513400000,231,230,230,
1721514000000,231,230,230,
1721514600000,230,230,230,
1721515200000,230,230,230,
1721515800000,230,230,230,
1721516400000,231,230,230,
1721517000000,230,230,230,
1721517600000,231,231,231,
1721518200000,231,230,230,
1721518800000,231,230,230,
1721519400000,230,230,230,
1721520000000,230,230,230,
1721520600000,231,230,230,
1721521200000,230,230,230,
1721521800000,230,230,230,
1721522400000,232,230,230,
1721523000000,231,230,230,
1721523600000,231,230,230,
1721524200000,231,231,231,
1721524800000,230,230,230,
1721525400000,231,230,230,
1721526000000,231,231,231,
1721526600000,231,230,230,
1721527200000,232,231,230,
1721527800000,230,230,230,
1721528400000,231,230,230,
1721529000000,230,230,230,
1721529600000,231,230,230,
1721530200000,230,230,230,
1721530800000,231,231,230,
1721531400000,231,231,230,
1721532000000,230,230,230,
1721532600000,231,230,230,
1721533200000,231,230,230,
1721533800000,231,231,231,
1721534400000,230,230,230,
1721535000000,231,230,230,
1721535600000,232,231,230,
1721536200000,231,230,230,
1721536800000,231,229,230,
1721537400000,231,230,230,
1721538000000,231,230,230,
1721538600000,231,230,230,
1721539200000,230,230,230,
1721539800000,231,231,231,
1721540400000,230,230,230,
1721541000000,231,230,230,
1721541600000,231,230,229,
1721542200000,231,230,230,
1721542800000,231,230,230,
1721543400000,230,230,229,
1721544000000,231,230,230,
1721544600000,231,230,230,
1721545200000,231,230,230,
1721545800000,230,230,229,
1721546400000,231,229,230,
1721547000000,231,230,230,
1721547600000,230,229,230,
1721548200000,231,230,230,
1721548800000,231,230,230,
1721549400000,231,230,230,
1721550000000,231,229,230,
1721550600000,231,230,230,
1721551200000,230,230,230,
1721551800000,230,230,230,
1721552400000,230,230,230,
1721553000000,231,230,230,
1721553600000,231,230,230,
1721554200000,232,231,230,
1721554800000,231,230,230,
1721555400000,231,230,230,
1721556000000,230,230,230,
1721556600000,231,230,230,
1721557200000,231,230,230,
1721557800000,231,230,230,
1721558400000,231,230,230,
1721559000000,230,230,230,
1721559600000,231,230,230,
1721560200000,231,230,230,
1721560800000,231,230,230,
1721561400000,230,230,230,
1721562000000,230,230,230,
1721562600000,231,230,230,
1721563200000,231,230,230,
1721563800000,232,231,230,
1721564400000,230,230,230,
1721565000000,230,229,230,
1721565600000,230,230,230,
1721566200000,230,230,230,
1721566800000,231,230,230,
1721567400000,231,231,230,
1721568000000,230,230,230,
1721568600000,231,230,230,
1721569200000,231,230,230,
1721569800000,230,229,230,
1721570400000,231,230,230,
1721571000000,230,229,229,
1721571600000,230,230,230,
1721572200000,230,229,230,
1721572800000,230,229,229,
1721573400000,230,229,229,
1721574000000,230,229,230,
1721574600000,231,229,230,
1721575200000,230,230,230,
1721575800000,230,229,230,
1721576400000,230,230,230,
1721577000000,230,229,230,
1721577600000,231,230,230,
1721578200000,230,229,230,
1721578800000,231,230,230,
1721579400000,230,229,230,
1721580000000,230,230,230,
1721580600000,230,229,230,
1721581200000,230,230,230,
1721581800000,231,229,230,
1721582400000,230,230,230,
1721583000000,231,229,230,
1721583600000,231,230,230,
1721584200000,230,230,229,
1721584800000,231,230,230,
1721585400000,230,230,230,
1721586000000,230,230,230,
1721586600000,230,230,230,
1721587200000,230,230,230,
1721587800000,230,230,230,
1721588400000,230,230,230,
1721589000000,230,230,230,
1721589600000,230,230,230,
1721590200000,230,230,230,
1721590800000,230,230,230,
1721591400000,231,230,231,
1721592000000,231,230,230,
1721592600000,230,230,230,
1721593200000,230,230,230,
1721593800000,231,230,230,
1721594400000,231,230,230,
1721595000000,230,229,230,
1721595600000,230,230,230,
1721596200000,231,230,230,
1721596800000,230,230,230,
1721597400000,230,230,230,
1721598000000,231,230,230,
1721598600000,231,230,230,
1721599200000,231,230,231,
1721599799000,230,230,230,
1721600400000,230,230,230,
1721601000000,230,230,230,
