intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sun Jul 28 2024|  TO Tue Jul 30 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1722105000000,230,229,230,
1722105600000,230,230,230,
1722106200000,232,231,231,
1722106800000,230,230,230,
1722107400000,231,230,230,
1722108000000,231,230,230,
1722108600000,231,230,230,
1722109200000,231,230,230,
1722109800000,231,230,230,
1722110400000,231,231,230,
1722111000000,230,230,230,
1722111600000,231,230,230,
1722112200000,230,230,230,
1722112800000,230,229,229,
1722113400000,230,229,230,
1722114000000,231,230,230,
1722114600000,230,229,230,
1722115200000,230,229,230,
1722115800000,231,230,230,
1722116400000,230,229,230,
1722117000000,231,230,230,
1722117600000,230,230,230,
1722118200000,231,230,230,
1722118800000,230,230,230,
1722119400000,230,229,230,
1722120000000,230,230,230,
1722120600000,230,229,230,
1722121200000,230,230,230,
1722121800000,230,229,230,
1722122400000,230,229,230,
1722123000000,230,230,230,
1722123600000,230,229,230,
1722124200000,231,230,231,
1722124800000,230,230,230,
1722125400000,231,230,230,
1722126000000,230,230,230,
1722126600000,230,230,230,
1722127200000,231,230,230,
1722127800000,232,230,231,
1722128400000,231,230,231,
1722129000000,231,230,231,
1722129600000,231,230,231,
1722130200000,231,230,230,
1722130800000,231,230,230,
1722131400000,231,230,230,
1722132000000,231,230,230,
1722132600000,232,230,231,
1722133200000,231,230,230,
1722133800000,230,230,230,
1722134400000,231,230,230,
1722135000000,231,230,230,
1722135600000,231,230,230,
1722136200000,231,230,230,
1722136800000,231,231,231,
1722137400000,231,230,230,
1722138000000,231,230,231,
1722138600000,231,230,230,
1722139200000,231,230,230,
1722139800000,231,230,230,
1722140400000,231,230,230,
1722141000000,231,230,230,
1722141600000,230,230,230,
1722142200000,231,230,230,
1722142800000,231,230,230,
1722143400000,231,230,230,
1722144000000,231,230,229,
1722144600000,231,230,230,
1722145200000,231,230,230,
1722145800000,231,230,230,
1722146400000,231,231,230,
1722147000000,231,230,230,
1722147600000,231,230,230,
1722148200000,231,230,230,
1722148800000,231,230,230,
1722149400000,231,230,230,
1722150000000,231,230,230,
1722150600000,230,230,230,
1722151200000,231,230,230,
1722151800000,231,230,230,
1722152400000,231,230,230,
1722153000000,231,230,230,
1722153600000,231,230,230,
1722154200000,231,230,230,
1722154800000,232,230,230,
1722155400000,231,229,230,
1722156000000,231,230,230,
1722156600000,230,230,230,
1722157200000,231,230,230,
1722157800000,230,229,230,
1722158400000,231,230,230,
1722159000000,232,230,230,
1722159600000,232,231,230,
1722160200000,230,230,229,
1722160800000,230,230,229,
1722161400000,230,230,229,
1722162000000,230,231,229,
1722162600000,230,230,230,
1722163200000,230,231,229,
1722163800000,230,230,229,
1722164400000,230,230,229,
1722165000000,229,231,229,
1722165600000,230,231,229,
1722166200000,230,230,230,
1722166800000,230,230,229,
1722167400000,230,230,229,
1722168000000,230,230,229,
1722168600000,230,231,229,
1722169200000,230,231,229,
1722169800000,230,230,229,
1722170400000,230,231,230,
1722171000000,230,231,229,
1722171600000,230,231,229,
1722172200000,230,231,229,
1722172800000,230,230,229,
1722173400000,230,231,229,
1722174000000,230,231,229,
1722174600000,230,230,229,
1722175200000,230,230,229,
1722175800000,230,231,229,
1722176400000,230,231,229,
1722177000000,230,231,229,
1722177600000,230,230,229,
1722178200000,230,230,229,
1722178800000,230,231,229,
1722179400000,230,231,229,
1722180000000,230,230,229,
1722180600000,230,231,229,
1722181200000,230,231,230,
1722181800000,230,231,229,
1722182400000,230,231,229,
1722183000000,230,230,229,
1722183600000,230,231,230,
1722184200000,230,231,229,
1722184800000,230,231,229,
1722185400000,230,230,229,
1722186000000,230,230,229,
1722186600000,230,231,229,
1722187200000,230,231,229,
1722187800000,230,231,229,
1722188400000,230,231,229,
1722189000000,230,231,229,
1722189600000,230,231,229,
1722190200000,230,230,229,
1722190800000,230,230,229,
1722191400000,230,230,229,
1722192000000,230,231,229,
1722192600000,230,230,230,
1722193200000,230,231,229,
1722193800000,230,230,229,
1722194400000,230,230,229,
1722195000000,230,231,230,
1722195600000,230,231,229,
1722196200000,230,231,229,
1722196800000,230,230,229,
1722197400000,230,230,229,
1722198000000,230,230,229,
1722198600000,230,231,229,
1722199200000,230,231,229,
1722199800000,230,231,229,
1722200400000,230,231,229,
1722201000000,230,230,229,
1722201600000,230,231,229,
1722202200000,230,230,229,
1722202800000,230,231,229,
1722203400000,230,231,229,
1722204000000,230,231,229,
1722204600000,230,231,229,
1722205200000,230,230,229,
1722205800000,230,231,229,
1722206400000,230,230,229,
1722207000000,230,231,229,
1722207600000,230,231,229,
1722208200000,230,231,229,
1722208800000,230,231,229,
1722209400000,230,230,229,
1722210000000,230,230,229,
1722210600000,230,230,229,
1722211200000,230,231,229,
1722211800000,230,231,229,
1722212400000,230,231,229,
1722213000000,230,231,229,
1722213600000,230,231,229,
1722214200000,230,230,229,
1722214800000,230,231,229,
1722215400000,230,231,229,
1722216000000,230,231,229,
1722216600000,230,231,230,
1722217200000,230,231,229,
1722217800000,230,230,229,
1722218400000,230,231,230,
1722219000000,230,231,230,
1722219600000,230,231,230,
1722220200000,230,230,230,
1722220800000,230,230,229,
1722221400000,230,230,229,
1722222000000,230,231,230,
1722222600000,230,231,229,
1722223200000,230,231,229,
1722223800000,230,230,229,
1722224400000,230,230,229,
1722225000000,230,230,229,
1722225600000,230,230,229,
1722226200000,230,230,229,
1722226800000,230,230,229,
1722227400000,229,230,229,
1722228000000,230,230,229,
1722228600000,230,230,229,
1722229200000,230,230,229,
1722229800000,230,230,229,
1722230400000,229,230,228,
1722231000000,229,230,229,
1722231600000,239,240,236,
1722232200000,239,240,239,
1722232800000,241,241,242,
1722233400000,239,240,242,
1722234000000,241,241,238,
1722234600000,238,243,243,
1722235200000,238,239,239,
1722235800000,242,241,240,
1722236400000,240,238,240,
1722237000000,241,239,240,
1722237600000,240,238,236,
1722238200000,242,240,241,
1722238800000,238,240,240,
1722239400000,243,238,240,
1722240000000,242,241,242,
1722240600000,241,242,242,
1722241200000,238,240,239,
1722241800000,242,241,242,
1722242400000,242,238,241,
1722243000000,241,237,242,
1722243600000,242,238,243,
1722244200000,239,237,240,
1722244800000,241,238,241,
1722245400000,239,238,239,
1722246000000,242,239,240,
1722246600000,243,240,242,
1722247200000,243,239,240,
1722247800000,244,240,241,
1722248400000,245,241,241,
1722249000000,245,241,242,
1722249600000,242,242,243,
1722250200000,243,240,241,
1722250800000,241,241,242,
1722251400000,241,242,242,
1722252000000,239,240,242,
1722252600000,242,240,243,
1722253200000,245,242,242,
1722253800000,245,242,244,
1722254400000,244,243,246,
1722255000000,242,244,245,
1722255600000,242,241,246,
1722256200000,246,242,246,
1722256800000,230,230,229,
1722257400000,230,230,229,
1722258000000,230,230,229,
1722258600000,237,237,242,
1722259200000,229,230,228,
1722259800000,229,231,229,
1722260400000,229,231,229,
1722261000000,229,231,228,
1722261600000,229,230,229,
1722262200000,230,230,229,
1722262800000,230,231,229,
1722263400000,230,230,229,
1722264000000,230,231,229,
1722264600000,229,230,229,
1722265200000,230,230,229,
1722265800000,230,231,229,
1722266400000,230,231,229,
1722267000000,230,231,229,
1722267600000,230,230,229,
1722268200000,230,231,229,
