intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Mon Jul 31 2023|  TO Mon Aug 07 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1690741800000,230,229,230,
1690742400000,230,229,230,
1690743000000,230,230,231,
1690743600000,231,230,230,
1690744200000,230,230,230,
1690744800000,230,230,230,
1690745400000,230,230,231,
1690746000000,230,230,230,
1690746600000,230,229,231,
1690747200000,230,230,231,
1690747800000,230,230,230,
1690748400000,230,230,230,
1690749000000,230,230,230,
1690749600000,230,230,230,
1690750200000,230,230,230,
1690750800000,230,230,231,
1690751400000,230,230,230,
1690752000000,231,231,231,
1690752600000,230,230,230,
1690753200000,230,230,230,
1690753800000,230,230,230,
1690754400000,230,229,230,
1690755000000,230,229,231,
1690755600000,230,230,230,
1690756200000,230,229,230,
1690756800000,230,230,230,
1690757400000,231,230,230,
1690758000000,231,230,230,
1690758600000,230,229,230,
1690759200000,231,230,232,
1690759800000,230,229,230,
1690760400000,230,229,230,
1690761000000,230,229,230,
1690761600000,230,230,231,
1690762200000,231,230,230,
1690762800000,230,229,230,
1690763400000,230,230,230,
1690764000000,230,229,231,
1690764600000,230,229,230,
1690765200000,230,230,230,
1690765800000,230,230,231,
1690766400000,231,229,231,
1690767000000,230,230,230,
1690767600000,231,230,231,
1690768200000,230,230,230,
1690768800000,230,230,230,
1690769400000,230,230,231,
1690770000000,232,230,230,
1690770600000,230,229,230,
1690771200000,230,230,230,
1690771800000,230,230,230,
1690772400000,230,230,230,
1690773000000,231,230,230,
1690773600000,230,229,230,
1690774200000,230,230,230,
1690774800000,231,231,231,
1690775400000,230,230,230,
1690776000000,230,230,229,
1690776600000,230,230,229,
1690777200000,230,230,228,
1690777800000,230,230,230,
1690778400000,230,230,229,
1690779000000,230,230,229,
1690779600000,229,230,230,
1690780200000,230,230,229,
1690780800000,231,231,230,
1690781400000,230,230,230,
