intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Jul 04 2024|  TO Thu Jul 11 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1720031400000,230,230,230,
1720032000000,230,230,230,
1720032600000,230,230,230,
1720033200000,230,230,230,
1720033800000,230,230,230,
1720034400000,230,230,230,
1720035000000,230,230,230,
1720035600000,230,230,230,
1720036200000,230,230,230,
1720036800000,230,229,229,
1720037400000,230,230,230,
1720038000000,230,230,230,
1720038600000,230,230,230,
1720039200000,230,230,230,
1720039800000,230,229,230,
1720040400000,230,229,230,
1720041000000,230,230,230,
1720041600000,230,230,230,
1720042200000,230,230,230,
1720042800000,230,229,230,
1720043400000,230,230,230,
1720044000000,230,230,230,
1720044600000,230,230,230,
1720045200000,231,230,230,
1720045800000,230,230,230,
1720046400000,230,230,230,
1720047000000,230,229,230,
1720047600000,230,230,230,
1720048200000,230,230,230,
1720048800000,230,229,230,
1720049400000,230,230,230,
1720050000000,230,230,230,
1720050600000,230,230,230,
1720051200000,231,230,230,
1720051800000,230,230,230,
1720052400000,230,230,230,
1720053000000,230,230,230,
1720053600000,230,230,230,
1720054200000,230,230,230,
1720054800000,230,230,230,
1720055400000,230,230,230,
1720056000000,231,230,230,
1720056600000,230,230,230,
1720057200000,230,230,230,
1720057800000,230,229,230,
1720058400000,230,230,230,
1720059000000,230,230,230,
1720059600000,230,230,230,
1720060200000,230,229,230,
1720060800000,231,230,230,
1720061400000,231,230,231,
1720062000000,231,230,230,
1720062600000,230,230,230,
1720063200000,231,230,230,
1720063800000,230,229,229,
1720064400000,231,230,230,
1720065000000,230,230,230,
1720065600000,230,230,230,
1720066200000,230,230,230,
1720066800000,230,230,230,
1720067400000,229,230,230,
1720068000000,230,230,230,
1720068600000,230,230,229,
1720069200000,230,230,229,
1720069800000,230,230,229,
1720070400000,230,230,230,
1720071000000,230,229,229,
1720071600000,230,229,229,
1720072200000,230,229,230,
1720072800000,230,229,229,
1720073400000,230,229,229,
1720074000000,230,229,229,
1720074600000,230,229,229,
1720075200000,230,229,229,
1720075800000,230,230,229,
1720076400000,230,229,229,
1720077000000,230,230,229,
1720077600000,230,229,229,
1720078200000,230,229,229,
1720078800000,230,229,229,
1720079400000,230,229,229,
1720080000000,230,229,229,
1720080600000,230,229,229,
1720081200000,231,229,229,
1720081800000,230,230,229,
1720082400000,230,229,229,
1720083000000,231,229,229,
1720083600000,230,229,229,
1720084200000,230,229,229,
1720084800000,230,229,230,
1720085400000,230,229,229,
1720086000000,230,229,229,
1720086600000,230,229,229,
1720087200000,230,229,229,
1720087800000,230,229,229,
1720088400000,230,229,229,
1720089000000,231,229,229,
1720089600000,230,229,229,
1720090200000,230,229,229,
1720090800000,231,229,230,
1720091400000,231,229,229,
1720092000000,231,230,229,
1720092600000,230,229,229,
1720093200000,231,229,229,
1720093800000,231,229,229,
1720094400000,231,230,230,
1720095000000,230,229,229,
1720095600000,231,229,229,
1720096200000,232,230,230,
1720096800000,230,229,229,
1720097400000,230,229,229,
1720098000000,230,229,229,
1720098600000,231,229,229,
1720099200000,230,229,230,
1720099800000,230,230,230,
