intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Mon Jun 10 2024|  TO Mon Jun 17 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1717957800000,230,229,230,
1717958400000,230,229,230,
1717959000000,230,229,230,
1717959600000,230,229,230,
1717960200000,231,230,230,
1717960800000,230,229,230,
1717961400000,230,229,230,
1717962000000,231,231,230,
1717962600000,230,230,230,
1717963200000,230,229,230,
1717963800000,230,229,230,
1717964400000,230,229,230,
1717965000000,230,229,230,
1717965600000,230,229,230,
1717966200000,230,229,230,
1717966800000,230,230,230,
1717967400000,230,229,230,
1717968000000,230,229,230,
1717968600000,231,230,230,
1717969200000,231,230,230,
1717969800000,230,229,230,
1717970400000,230,229,230,
1717971000000,230,229,230,
1717971600000,230,229,230,
1717972200000,230,229,230,
1717972800000,230,229,230,
1717973400000,230,229,230,
1717974000000,230,230,230,
1717974600000,230,229,230,
1717975200000,230,230,230,
1717975800000,230,230,230,
1717976400000,230,229,230,
1717977000000,230,229,230,
1717977600000,231,229,230,
1717978200000,231,230,230,
1717978800000,230,230,230,
1717979400000,231,229,230,
1717980000000,231,230,231,
1717980600000,230,230,230,
1717981200000,231,229,230,
1717981800000,231,230,230,
1717982400000,231,231,231,
1717983000000,230,230,230,
1717983600000,231,230,231,
1717984200000,231,230,230,
1717984800000,231,230,230,
1717985400000,231,230,230,
1717986000000,231,230,230,
1717986600000,231,230,230,
1717987200000,231,230,230,
1717987800000,230,230,230,
1717988400000,231,230,230,
1717989000000,231,229,230,
1717989600000,231,229,230,
1717990200000,231,229,230,
1717990800000,231,229,229,
1717991400000,231,230,230,
1717992000000,231,229,229,
1717992600000,231,230,229,
1717993200000,230,229,229,
1717993800000,230,230,230,
1717994400000,230,229,229,
1717995000000,230,229,229,
1717995600000,230,229,229,
1717996200000,230,229,229,
1717996800000,230,229,229,
1717997400000,230,229,229,
1717998000000,230,229,229,
1717998600000,230,229,228,
1717999200000,230,230,229,
1717999800000,231,230,230,
1718000400000,230,229,229,
1718001000000,230,229,229,
1718001600000,230,229,229,
1718002200000,230,229,229,
1718002800000,230,229,229,
1718003400000,230,229,229,
1718004000000,230,229,229,
1718004600000,230,229,229,
1718005200000,231,230,230,
1718005800000,231,229,229,
1718006400000,230,229,229,
1718007000000,231,229,229,
1718007600000,230,229,229,
1718008200000,230,229,229,
1718008800000,230,229,229,
1718009400000,231,229,229,
1718010000000,230,229,229,
1718010600000,230,230,229,
1718011200000,230,229,229,
1718011800000,230,229,229,
1718012400000,230,230,229,
1718013000000,230,229,229,
1718013600000,230,229,229,
1718014200000,230,229,229,
1718014800000,231,230,230,
1718015400000,230,229,229,
1718016000000,230,229,229,
1718016600000,230,230,230,
1718017200000,230,229,229,
1718017800000,230,229,229,
1718018400000,230,229,230,
1718019000000,230,229,229,
1718019600000,230,228,229,
1718020200000,231,229,229,
1718020800000,230,229,229,
1718021400000,230,230,229,
1718022000000,230,229,229,
1718022600000,230,229,229,
1718023200000,230,229,229,
1718023800000,230,229,229,
1718024400000,230,229,229,
1718025000000,230,229,230,
1718025600000,230,229,230,
1718026200000,230,229,229,
1718026800000,230,229,229,
1718027400000,230,229,230,
1718028000000,230,229,230,
1718028600000,230,229,230,
1718029200000,230,229,230,
1718029800000,230,230,230,
1718030400000,230,229,230,
1718031000000,230,229,230,
1718031600000,230,229,230,
1718032200000,231,229,230,
1718032800000,231,229,230,
1718033400000,230,229,230,
1718034000000,231,229,230,
1718034600000,230,229,230,
1718035200000,230,229,230,
1718035800000,230,230,230,
1718036399000,230,229,229,
1718037000000,230,229,230,
1718037600000,231,230,230,
1718038200000,230,229,230,
1718038800000,230,229,230,
1718039400000,231,230,230,
1718040000000,230,230,230,
