intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Tue Jun 18 2024|  TO Tue Jun 25 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1718649000000,230,230,230,
1718649600000,230,230,230,
1718650200000,231,230,230,
1718650800000,231,230,230,
1718651400000,230,230,230,
1718652000000,230,230,230,
1718652600000,231,230,230,
1718653200000,231,230,230,
1718653800000,230,230,230,
1718654400000,231,229,230,
1718655000000,231,230,229,
1718655600000,231,229,230,
1718656200000,230,229,230,
1718656800000,231,230,230,
1718657400000,231,230,230,
1718658000000,230,230,230,
1718658600000,230,230,230,
1718659200000,231,230,230,
1718659800000,230,230,230,
1718660400000,230,229,230,
1718661000000,230,229,230,
1718661600000,230,230,230,
1718662200000,231,230,230,
1718662800000,230,230,230,
1718663400000,230,230,230,
1718664000000,230,229,230,
1718664600000,232,231,231,
1718665200000,231,230,230,
1718665800000,230,229,230,
1718666400000,230,229,230,
1718667000000,231,230,230,
1718667600000,230,229,230,
1718668200000,230,229,230,
1718668800000,231,229,230,
1718669400000,230,229,230,
1718670000000,231,229,229,
1718670600000,231,230,229,
1718671200000,231,230,230,
1718671800000,230,230,230,
1718672400000,230,229,230,
1718673000000,230,229,230,
1718673600000,231,229,230,
1718674200000,231,229,229,
1718674800000,230,230,230,
1718675400000,230,230,230,
1718676000000,230,230,230,
1718676600000,230,230,230,
1718677200000,230,230,230,
1718677800000,230,230,229,
1718678400000,231,230,230,
1718679000000,231,230,229,
1718679600000,230,230,229,
1718680200000,231,230,229,
1718680800000,231,229,230,
1718681400000,231,230,229,
1718682000000,230,230,230,
1718682600000,231,229,230,
1718683200000,231,230,229,
1718683800000,231,230,230,
1718684400000,230,230,229,
1718685000000,230,229,229,
1718685600000,230,229,229,
1718686200000,230,229,229,
1718686800000,230,229,229,
1718687400000,230,229,229,
1718688000000,230,229,229,
1718688600000,231,229,228,
1718689200000,231,230,230,
1718689800000,230,230,229,
1718690400000,230,228,228,
1718691000000,230,229,230,
1718691600000,230,229,229,
1718692200000,229,228,229,
1718692800000,230,229,229,
1718693400000,230,228,228,
1718694000000,230,229,229,
1718694600000,230,229,229,
1718695200000,230,229,229,
1718695800000,230,229,229,
1718696400000,230,229,229,
1718697000000,230,229,229,
1718697600000,230,229,229,
1718698200000,230,229,229,
1718698800000,230,230,229,
1718699400000,230,229,229,
1718700000000,230,229,229,
1718700600000,230,229,229,
1718701200000,230,229,229,
1718701800000,230,229,229,
1718702400000,230,229,229,
1718703000000,230,229,229,
1718703600000,230,229,230,
1718704200000,230,229,229,
1718704800000,230,229,228,
1718705400000,230,229,229,
1718706000000,230,229,228,
1718706600000,230,230,229,
1718707200000,230,229,230,
1718707800000,230,229,229,
1718708400000,230,229,229,
1718709000000,230,229,229,
1718709600000,230,230,229,
1718710200000,230,229,229,
1718710800000,230,229,229,
1718711400000,230,229,229,
