intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sun Jun 02 2024|  TO Sun Jun 09 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1717266600000,231,230,230,
1717267200000,230,229,230,
1717267800000,230,229,230,
1717268400000,230,229,230,
1717269000000,230,229,230,
1717269600000,231,230,230,
1717270200000,230,229,230,
1717270800000,231,230,230,
1717271400000,230,229,230,
1717272000000,231,230,230,
1717272600000,232,230,230,
1717273200000,230,230,230,
1717273800000,231,229,230,
1717274400000,230,230,230,
1717275000000,231,229,230,
1717275600000,231,230,230,
1717276200000,231,230,230,
1717276800000,230,229,230,
1717277400000,231,230,230,
1717278000000,231,230,230,
1717278600000,231,230,230,
1717279200000,231,230,230,
1717279800000,231,230,230,
1717280400000,232,230,231,
1717281000000,230,229,230,
1717281600000,231,230,230,
1717282200000,231,229,230,
1717282800000,232,230,230,
1717283400000,230,229,230,
1717284000000,231,230,230,
1717284600000,232,230,231,
1717285199000,230,230,230,
1717285800000,231,230,230,
1717286400000,231,230,231,
1717287000000,231,230,230,
1717287600000,232,230,230,
1717288200000,231,229,230,
1717288800000,232,230,231,
1717289400000,231,230,231,
1717290000000,231,230,230,
1717290600000,231,230,230,
1717291200000,231,230,230,
1717291800000,231,230,230,
1717292400000,231,229,230,
1717293000000,231,230,230,
1717293600000,231,230,230,
1717294200000,231,230,230,
1717294800000,230,230,230,
1717295400000,231,230,230,
1717296000000,231,229,230,
1717296600000,230,230,230,
1717297200000,231,230,230,
1717297800000,231,230,230,
1717298400000,232,231,231,
1717299000000,230,229,230,
1717299600000,231,230,230,
1717300200000,231,231,230,
1717300800000,231,229,229,
1717301400000,230,229,230,
1717302000000,231,229,229,
1717302600000,231,229,230,
1717303200000,230,229,230,
1717303800000,230,229,230,
1717304400000,231,229,230,
1717305000000,230,229,230,
1717305600000,230,229,230,
1717306200000,230,229,229,
1717306800000,230,229,229,
1717307400000,230,229,230,
1717308000000,230,229,230,
1717308600000,230,229,229,
1717309200000,231,229,230,
1717309800000,230,229,230,
1717310400000,231,229,230,
1717311000000,230,229,230,
1717311600000,230,229,229,
1717312200000,231,229,229,
1717312800000,231,229,229,
1717313400000,230,230,230,
1717314000000,231,229,229,
1717314600000,231,229,229,
1717315200000,231,229,230,
1717315800000,230,229,230,
1717316400000,231,229,230,
1717317000000,231,229,230,
1717317600000,231,229,230,
1717318200000,231,230,230,
1717318800000,231,229,229,
1717319400000,231,230,229,
1717320000000,230,229,229,
1717320600000,230,229,229,
1717321200000,230,230,230,
1717321800000,232,230,230,
1717322400000,230,229,230,
1717323000000,231,229,230,
1717323600000,230,231,230,
1717324200000,231,229,230,
1717324800000,231,229,229,
1717325400000,230,229,229,
1717326000000,231,229,230,
1717326600000,230,230,230,
1717327200000,230,229,229,
1717327800000,230,229,229,
1717328400000,230,230,230,
1717329000000,230,229,230,
1717329600000,231,229,230,
1717330200000,231,229,230,
1717330800000,231,230,230,
1717331400000,231,229,230,
1717332000000,231,229,230,
1717332600000,231,230,230,
1717333200000,231,229,230,
1717333800000,230,229,229,
1717334400000,230,230,230,
1717335000000,230,229,229,
1717335600000,230,229,229,
1717336200000,230,230,230,
1717336800000,230,229,229,
1717337400000,232,230,230,
1717338000000,230,229,230,
1717338600000,231,230,230,
1717339200000,231,230,230,
1717339800000,230,230,230,
1717340400000,231,230,230,
1717341000000,232,231,230,
1717341600000,231,231,230,
1717342200000,230,230,230,
1717342800000,230,230,230,
1717343400000,231,230,230,
1717344000000,231,230,230,
1717344600000,230,230,230,
1717345200000,231,230,230,
1717345800000,231,230,230,
1717346400000,231,230,230,
1717347000000,231,230,230,
1717347600000,230,230,231,
1717348200000,230,230,229,
1717348800000,230,230,230,
1717349400000,230,229,230,
1717350000000,231,230,230,
1717350600000,231,230,230,
1717351200000,231,230,230,
1717351800000,231,230,230,
1717352400000,230,230,230,
1717353000000,231,230,230,
1717353600000,230,230,230,
1717354200000,230,230,230,
1717354800000,231,230,230,
1717355400000,231,230,230,
1717356000000,230,230,230,
1717356600000,231,229,230,
1717357200000,231,230,230,
1717357800000,230,230,230,
1717358400000,231,230,230,
1717359000000,231,230,230,
1717359600000,231,229,229,
1717360200000,231,230,230,
1717360800000,231,230,230,
1717361400000,231,230,230,
1717362000000,232,230,230,
1717362600000,231,230,230,
1717363200000,231,230,230,
1717363800000,231,230,230,
1717364400000,231,230,230,
1717365000000,232,230,230,
1717365600000,231,230,230,
1717366200000,231,230,230,
1717366800000,231,230,230,
1717367400000,231,230,230,
1717368000000,231,230,230,
1717368600000,230,229,230,
1717369200000,230,230,230,
1717369800000,230,229,230,
1717370400000,231,230,230,
1717371000000,231,229,230,
1717371600000,231,230,230,
1717372200000,230,230,230,
1717372800000,231,230,230,
1717373400000,230,229,230,
1717374000000,230,229,230,
1717374600000,231,230,230,
1717375200000,230,229,230,
1717375800000,230,229,230,
1717376399000,232,230,231,
1717377000000,231,230,230,
1717377600000,231,230,230,
1717378200000,231,230,230,
1717378800000,230,230,230,
1717379400000,231,230,230,
1717380000000,231,230,230,
1717380600000,231,230,230,
1717381200000,231,229,230,
1717381800000,231,230,230,
1717382400000,230,230,230,
1717383000000,231,230,230,
1717383600000,231,230,230,
1717384200000,231,230,230,
1717384800000,231,230,230,
1717385400000,230,230,230,
1717386000000,232,231,230,
1717386600000,231,230,229,
1717387200000,231,230,229,
1717387800000,231,230,229,
1717388400000,231,230,229,
1717389000000,230,230,229,
1717389600000,230,230,230,
1717390200000,230,229,229,
1717390800000,230,230,230,
1717391400000,230,229,229,
1717392000000,231,230,229,
1717392600000,230,229,229,
1717393200000,230,229,229,
1717393800000,231,230,229,
1717394400000,230,229,229,
1717395000000,229,229,229,
1717395600000,230,229,229,
1717396200000,230,229,229,
1717396800000,230,229,229,
1717397400000,230,229,229,
1717398000000,230,229,229,
1717398600000,229,229,229,
1717399200000,229,229,229,
1717399800000,230,230,229,
1717400400000,230,229,229,
1717401000000,230,229,229,
1717401600000,230,229,230,
1717402200000,230,229,229,
1717402800000,231,230,230,
1717403400000,230,229,229,
1717404000000,231,230,230,
1717404600000,230,229,229,
1717405200000,231,230,230,
1717405800000,229,230,229,
1717406400000,230,229,230,
1717407000000,229,229,229,
1717407600000,229,229,229,
1717408200000,229,229,229,
1717408800000,230,229,229,
1717409400000,229,229,229,
1717410000000,229,229,229,
1717410600000,231,230,229,
1717411200000,231,230,230,
1717411800000,230,229,229,
1717412400000,229,230,230,
1717413000000,229,229,229,
1717413600000,230,229,229,
1717414200000,230,229,229,
1717414800000,229,229,229,
1717415400000,230,228,229,
1717416000000,230,229,229,
1717416600000,229,229,229,
1717417200000,230,229,229,
1717417800000,230,229,229,
1717418400000,230,229,230,
1717419000000,230,229,229,
1717419600000,230,229,229,
1717420200000,230,229,229,
1717420800000,230,229,230,
1717421400000,230,229,229,
1717422000000,230,229,229,
1717422600000,230,229,229,
1717423200000,230,229,229,
1717423800000,230,229,230,
1717424400000,230,229,229,
1717425000000,230,229,229,
1717425600000,230,230,230,
1717426200000,230,229,230,
1717426800000,231,230,230,
1717427400000,230,229,230,
1717428000000,230,230,230,
1717428600000,230,230,230,
1717429200000,230,229,230,
1717429800000,230,230,230,
1717430400000,230,230,230,
1717431000000,230,230,230,
1717431600000,230,229,229,
1717432200000,230,229,229,
1717432800000,231,230,230,
1717433400000,230,230,230,
1717434000000,230,229,229,
1717434600000,231,230,230,
1717435200000,230,229,229,
1717435800000,230,230,230,
1717436400000,230,230,229,
1717437000000,230,229,229,
1717437600000,230,230,230,
1717438200000,231,230,229,
1717438800000,230,230,229,
1717439400000,230,230,229,
1717440000000,231,231,230,
1717440600000,230,230,229,
1717441200000,230,230,229,
1717441800000,230,230,229,
1717442400000,230,230,230,
1717443000000,231,230,230,
1717443600000,230,230,230,
1717444200000,230,229,230,
1717444800000,231,230,230,
1717445400000,231,230,230,
1717446000000,231,230,230,
1717446600000,230,230,230,
1717447200000,230,230,230,
1717447800000,230,230,230,
1717448400000,230,229,230,
1717449000000,230,229,230,
1717449600000,231,229,230,
1717450200000,231,229,230,
1717450800000,231,229,230,
1717451400000,230,229,230,
1717452000000,230,230,231,
1717452600000,230,229,230,
1717453200000,230,229,230,
1717453800000,230,229,230,
1717454400000,230,230,231,
1717455000000,230,230,230,
1717455600000,230,229,230,
1717456200000,231,229,230,
1717456800000,230,229,230,
1717457400000,231,229,230,
1717458000000,230,229,230,
1717458600000,231,230,230,
1717459200000,230,229,230,
1717459800000,231,230,230,
1717460400000,230,230,230,
1717461000000,231,229,230,
1717461600000,230,230,230,
1717462200000,231,230,230,
1717462800000,231,230,230,
1717463400000,231,230,230,
1717464000000,230,230,230,
1717464600000,230,230,230,
1717465200000,231,230,230,
1717465800000,230,229,230,
1717466400000,231,230,230,
1717467000000,231,230,230,
1717467600000,230,230,230,
1717468200000,231,230,229,
1717468800000,231,230,230,
1717469400000,230,230,229,
1717470000000,231,230,229,
1717470600000,230,230,230,
1717471200000,231,230,229,
1717471800000,230,230,229,
1717472400000,230,230,229,
1717473000000,230,230,229,
1717473600000,230,229,230,
1717474200000,230,230,230,
1717474800000,230,229,229,
1717475400000,230,229,229,
1717476000000,230,229,229,
1717476600000,230,229,229,
1717477200000,230,230,229,
1717477800000,230,229,229,
1717478400000,229,229,229,
1717479000000,230,229,229,
1717479600000,230,229,228,
1717480200000,230,229,229,
1717480800000,229,229,229,
1717481400000,230,229,228,
1717482000000,230,228,229,
1717482600000,230,229,228,
1717483200000,229,228,228,
1717483800000,229,229,229,
1717484400000,230,229,229,
1717485000000,230,229,229,
1717485600000,230,229,229,
1717486200000,230,229,229,
1717486800000,230,230,229,
1717487400000,230,229,229,
1717488000000,230,229,230,
1717488600000,230,229,229,
1717489200000,229,229,229,
1717489800000,230,229,229,
1717490400000,229,229,229,
1717491000000,230,230,229,
1717491600000,229,229,229,
1717492200000,230,229,229,
1717492800000,231,230,230,
1717493400000,230,229,229,
1717494000000,230,229,229,
1717494600000,230,230,230,
1717495200000,230,229,230,
1717495800000,231,230,230,
1717496400000,230,229,229,
1717497000000,230,229,229,
1717497600000,229,229,229,
1717498200000,230,229,229,
1717498800000,230,229,229,
1717499400000,230,229,229,
1717500000000,230,229,229,
1717500600000,229,229,229,
1717501200000,230,229,228,
1717501800000,230,229,229,
1717502400000,230,229,229,
1717503000000,230,229,229,
1717503600000,230,229,229,
1717504200000,230,229,229,
1717504800000,230,229,229,
1717505400000,230,229,229,
1717506000000,231,229,229,
1717506600000,230,230,229,
1717507200000,230,229,230,
1717507800000,230,229,229,
1717508400000,230,229,229,
1717509000000,230,229,229,
1717509600000,231,230,230,
1717510200000,230,229,229,
1717510800000,231,229,230,
1717511400000,231,229,230,
1717512000000,230,229,229,
1717512600000,230,229,229,
1717513200000,230,229,229,
1717513800000,230,229,229,
1717514400000,230,229,229,
1717515000000,230,229,229,
1717515600000,230,229,229,
1717516200000,230,229,229,
1717516800000,230,230,229,
1717517400000,230,230,229,
1717518000000,230,230,230,
1717518600000,230,229,229,
1717519200000,231,231,230,
1717519800000,230,230,229,
1717520400000,230,230,229,
1717521000000,231,230,229,
1717521600000,230,230,229,
1717522200000,230,229,229,
1717522800000,230,230,229,
1717523400000,230,229,229,
1717524000000,230,229,229,
1717524600000,231,229,229,
1717525200000,230,230,229,
1717525800000,230,229,229,
1717526400000,230,230,229,
1717527000000,230,229,230,
1717527600000,230,229,230,
1717528200000,230,230,230,
1717528800000,230,229,230,
1717529400000,230,229,230,
1717530000000,231,229,230,
1717530600000,231,230,230,
1717531200000,231,230,230,
1717531800000,230,229,230,
1717532400000,230,230,230,
1717533000000,232,231,231,
1717533600000,230,230,230,
1717534200000,231,229,230,
1717534800000,230,229,230,
1717535400000,230,230,230,
1717536000000,231,230,230,
1717536600000,231,230,230,
1717537200000,230,230,230,
1717537800000,231,230,230,
1717538400000,231,230,230,
1717539000000,232,230,230,
1717539600000,231,229,230,
1717540200000,230,230,230,
1717540800000,231,229,230,
1717541400000,230,229,230,
1717542000000,230,230,230,
1717542600000,231,229,230,
1717543200000,230,230,230,
1717543800000,230,230,230,
1717544400000,231,230,230,
1717545000000,231,230,230,
1717545600000,231,231,231,
1717546200000,232,230,231,
1717546800000,231,230,230,
1717547400000,231,230,230,
1717548000000,231,230,230,
1717548600000,231,230,230,
1717549200000,231,230,230,
1717549800000,231,230,230,
1717550400000,231,230,230,
1717551000000,231,230,229,
1717551600000,231,231,231,
1717552200000,231,231,230,
1717552800000,231,229,230,
1717553400000,231,230,229,
1717554000000,230,230,230,
1717554600000,231,230,229,
1717555200000,231,230,229,
1717555800000,230,230,229,
1717556400000,231,230,229,
1717557000000,231,229,229,
1717557600000,230,230,230,
1717558200000,231,230,230,
1717558800000,231,229,230,
1717559400000,231,229,230,
1717560000000,231,229,229,
1717560600000,231,230,230,
1717561200000,232,231,230,
1717561800000,230,230,230,
1717562400000,230,229,229,
1717563000000,230,229,229,
1717563600000,230,229,229,
1717564200000,230,229,230,
1717564800000,230,229,229,
