intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Jun 26 2024|  TO Wed Jul 03 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1719340200000,231,230,231,
1719340800000,230,230,230,
1719341400000,230,230,230,
1719342000000,231,231,230,
1719342600000,230,230,230,
1719343200000,230,230,230,
1719343800000,230,230,230,
1719344400000,230,229,230,
1719345000000,230,230,230,
1719345600000,230,229,230,
1719346200000,231,230,230,
1719346800000,231,230,230,
1719347400000,230,230,230,
1719348000000,230,230,230,
1719348600000,230,229,230,
1719349200000,231,231,231,
1719349800000,230,229,230,
1719350400000,230,230,230,
1719351000000,231,231,230,
1719351600000,231,230,230,
1719352200000,230,230,230,
1719352800000,230,230,230,
1719353400000,230,230,230,
1719354000000,230,230,230,
1719354600000,231,229,230,
1719355200000,230,230,230,
1719355800000,230,230,230,
1719356400000,231,229,230,
1719357000000,231,230,230,
1719357600000,230,230,230,
1719358200000,230,229,230,
1719358800000,230,230,230,
1719359400000,230,230,230,
1719360000000,230,230,230,
1719360600000,231,230,230,
1719361200000,230,230,230,
1719361800000,230,230,230,
1719362400000,231,230,230,
1719363000000,230,230,230,
1719363600000,230,230,230,
1719364200000,230,230,230,
1719364800000,230,230,230,
1719365400000,230,230,230,
1719366000000,231,231,230,
1719366600000,231,230,230,
1719367200000,230,230,230,
1719367800000,231,230,230,
1719368400000,230,230,230,
1719369000000,230,230,230,
1719369600000,230,230,230,
1719370200000,230,230,229,
1719370800000,230,230,230,
1719371400000,230,229,229,
1719372000000,230,230,230,
1719372600000,230,230,230,
1719373200000,230,230,230,
1719373800000,230,230,229,
1719374400000,230,230,229,
1719375000000,230,230,230,
1719375600000,231,230,230,
1719376200000,230,230,230,
1719376800000,230,230,230,
1719377400000,231,231,230,
1719378000000,230,229,229,
1719378600000,229,229,229,
1719379200000,230,230,230,
1719379800000,230,229,229,
1719380400000,229,229,229,
1719381000000,230,229,229,
1719381600000,230,229,229,
1719382200000,229,229,229,
1719382800000,230,229,229,
1719383400000,230,228,228,
1719384000000,230,229,229,
1719384600000,231,230,229,
1719385200000,230,229,229,
1719385800000,230,229,229,
1719386400000,231,230,229,
1719387000000,229,229,229,
1719387600000,230,229,229,
1719388200000,230,229,229,
1719388800000,230,229,229,
1719389400000,230,229,229,
1719390000000,230,229,229,
1719390600000,230,230,230,
1719391200000,230,229,229,
1719391800000,230,229,229,
1719392400000,230,229,229,
1719393000000,230,229,229,
1719393600000,230,230,230,
1719394200000,230,229,229,
1719394800000,231,230,229,
1719395400000,230,229,229,
1719396000000,230,229,229,
1719396600000,230,229,229,
1719397200000,230,229,229,
1719397800000,230,229,229,
1719398400000,230,228,228,
1719399000000,230,228,229,
1719399600000,230,229,229,
1719400200000,230,229,229,
1719400800000,230,229,229,
1719401400000,231,230,229,
1719402000000,230,229,229,
1719402600000,231,230,230,
1719403200000,230,229,229,
1719403800000,230,229,229,
1719404400000,230,229,229,
1719405000000,231,229,229,
1719405600000,231,228,229,
1719406200000,231,228,229,
1719406800000,230,229,230,
1719407400000,230,229,229,
1719408000000,230,229,229,
1719408600000,230,229,229,
1719409200000,230,229,230,
1719409800000,230,229,230,
1719410400000,231,229,230,
1719411000000,231,229,230,
1719411600000,230,229,230,
1719412200000,230,229,230,
1719412800000,230,229,230,
1719413400000,230,229,230,
1719414000000,231,229,230,
1719414600000,231,229,230,
1719415200000,230,229,230,
1719415800000,230,229,230,
1719416400000,230,229,230,
1719417000000,230,229,230,
1719417600000,231,230,231,
1719418200000,230,229,230,
1719418800000,231,230,230,
1719419400000,230,229,230,
1719420000000,230,229,231,
1719420600000,230,229,230,
1719421200000,230,229,230,
1719421800000,230,230,230,
1719422400000,231,230,230,
1719423000000,230,229,230,
1719423600000,230,229,230,
1719424200000,230,229,230,
1719424800000,230,230,231,
1719425400000,230,229,231,
1719426000000,230,229,230,
1719426600000,230,230,230,
1719427200000,230,229,230,
1719427800000,230,229,230,
1719428400000,230,229,230,
1719429000000,230,229,230,
1719429600000,230,229,230,
1719430200000,230,230,230,
1719430800000,230,229,230,
1719431400000,230,229,230,
1719432000000,230,229,230,
1719432600000,230,229,230,
1719433200000,230,230,230,
1719433800000,230,229,230,
1719434400000,230,229,230,
1719435000000,230,230,230,
1719435600000,230,230,230,
1719436200000,230,229,230,
1719436800000,231,230,231,
1719437400000,230,229,230,
1719438000000,230,230,230,
1719438600000,231,230,231,
1719439200000,230,230,230,
1719439800000,230,230,230,
1719440400000,230,229,230,
1719441000000,230,230,230,
1719441600000,230,230,230,
1719442200000,230,230,230,
1719442800000,230,230,230,
1719443400000,230,230,230,
1719444000000,231,230,230,
1719444600000,230,230,230,
1719445200000,230,230,230,
1719445800000,230,230,230,
1719446400000,231,230,230,
1719447000000,230,229,230,
1719447600000,230,230,230,
1719448200000,230,229,230,
1719448800000,230,229,230,
1719449400000,230,229,230,
1719450000000,230,229,230,
1719450600000,230,230,230,
1719451200000,230,230,230,
1719451800000,230,229,230,
1719452400000,230,229,230,
1719453000000,230,229,230,
1719453600000,230,229,230,
1719454200000,230,230,230,
1719454800000,230,229,230,
1719455400000,230,229,230,
1719456000000,230,229,230,
1719456600000,230,230,230,
1719457200000,230,230,230,
1719457800000,230,230,230,
1719458400000,230,230,230,
1719459000000,230,230,230,
1719459600000,231,229,229,
1719460200000,230,230,230,
1719460800000,231,231,230,
1719461400000,231,230,230,
1719462000000,230,230,230,
1719462600000,230,230,229,
1719463200000,230,229,229,
1719463800000,230,229,229,
1719464400000,231,230,230,
1719465000000,229,230,231,
1719465600000,230,230,230,
1719466200000,230,229,230,
1719466800000,229,229,229,
1719467400000,230,230,230,
1719468000000,230,229,229,
1719468600000,231,230,229,
1719469200000,230,229,229,
1719469800000,230,229,229,
