intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Mar 14 2024|  TO Thu Mar 21 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1710354600000,230,229,230,
1710355200000,230,229,230,
1710355800000,230,229,230,
1710356400000,230,229,230,
1710357000000,230,229,230,
1710357600000,230,229,230,
1710358200000,230,229,230,
1710358800000,230,229,230,
1710359400000,230,230,230,
1710360000000,230,229,230,
1710360600000,230,230,230,
1710361200000,230,230,230,
1710361800000,230,229,230,
1710362400000,230,230,230,
1710363000000,230,229,230,
1710363600000,230,229,230,
1710364200000,230,229,230,
1710364800000,230,229,230,
1710365400000,230,229,230,
1710366000000,230,229,230,
1710366600000,230,229,230,
1710367200000,230,230,230,
1710367800000,230,229,230,
1710368400000,230,229,230,
1710369000000,230,229,230,
1710369600000,230,229,230,
1710370200000,230,229,230,
1710370800000,230,229,230,
1710371400000,230,229,230,
1710372000000,230,229,230,
1710372600000,230,229,230,
1710373200000,230,229,230,
1710373800000,230,229,230,
1710374400000,230,229,230,
1710375000000,230,229,230,
1710375600000,230,229,230,
1710376200000,231,229,230,
1710376800000,230,229,230,
1710377400000,230,230,230,
1710378000000,231,230,231,
1710378600000,231,230,230,
1710379200000,230,230,230,
1710379800000,230,230,230,
1710380400000,230,230,231,
1710381000000,230,230,230,
1710381600000,230,229,230,
1710382200000,230,229,230,
1710382800000,230,229,230,
1710383400000,230,229,230,
1710384000000,231,229,230,
1710384600000,230,230,230,
1710385200000,230,229,230,
1710385800000,230,229,230,
1710386400000,230,229,230,
1710387000000,230,229,230,
1710387600000,230,230,230,
1710388200000,230,229,230,
1710388800000,230,229,229,
1710389400000,230,229,229,
1710390000000,230,229,229,
1710390600000,230,229,229,
1710391200000,230,229,229,
1710391800000,230,229,229,
1710392400000,230,229,229,
1710393000000,229,229,229,
1710393600000,230,229,229,
1710394200000,230,228,229,
1710394800000,229,228,229,
1710395400000,230,228,228,
1710396000000,230,229,228,
1710396600000,231,230,230,
1710397200000,230,228,228,
1710397800000,229,228,228,
1710398400000,230,229,229,
1710399000000,229,229,229,
1710399600000,229,228,228,
1710400200000,229,229,228,
1710400800000,230,228,228,
1710401400000,229,228,230,
1710402000000,230,228,229,
1710402600000,229,228,229,
1710403200000,229,228,229,
1710403800000,230,229,230,
1710404400000,229,229,229,
1710405000000,229,228,229,
1710405600000,229,228,229,
1710406200000,229,228,229,
1710406800000,229,228,229,
1710407400000,229,228,229,
1710408000000,229,228,229,
1710408600000,229,228,229,
1710409200000,229,228,229,
1710409800000,229,228,229,
1710410400000,229,228,229,
1710411000000,229,228,229,
1710411600000,229,228,229,
1710412200000,230,229,230,
1710412800000,229,228,229,
1710413400000,229,228,229,
1710414000000,229,228,229,
1710414600000,229,228,229,
1710415200000,229,228,230,
1710415800000,229,228,229,
1710416400000,229,229,229,
1710417000000,229,229,229,
1710417600000,230,229,229,
1710418200000,230,229,229,
1710418800000,229,229,229,
1710419400000,229,228,230,
1710420000000,229,228,229,
1710420600000,230,229,230,
1710421200000,229,229,230,
1710421800000,230,229,230,
1710422400000,231,228,230,
1710423000000,230,229,230,
1710423600000,229,229,230,
1710424200000,230,229,229,
1710424800000,230,229,229,
1710425400000,230,229,230,
1710426000000,230,229,230,
1710426600000,230,229,230,
1710427200000,230,229,230,
1710427800000,230,229,230,
1710428400000,230,229,230,
1710429000000,230,229,230,
1710429600000,230,229,230,
1710430200000,230,229,230,
1710430800000,229,229,230,
1710431400000,230,229,230,
1710432000000,230,229,230,
1710432600000,230,229,230,
1710433200000,230,229,230,
1710433800000,230,229,230,
1710434400000,230,229,230,
1710435000000,230,229,230,
1710435600000,230,229,231,
1710436200000,230,229,230,
1710436800000,230,229,230,
1710437400000,230,229,230,
1710438000000,229,229,230,
1710438600000,230,229,230,
1710439200000,231,229,231,
1710439800000,230,229,230,
1710440400000,230,229,230,
1710441000000,229,229,230,
1710441600000,230,229,230,
1710442200000,230,229,230,
1710442800000,230,229,230,
1710443400000,230,229,230,
1710444000000,230,229,230,
1710444600000,230,229,230,
1710445200000,230,229,230,
1710445800000,230,229,230,
1710446400000,230,229,230,
1710447000000,230,229,230,
1710447600000,230,229,230,
1710448200000,230,229,230,
1710448800000,230,230,230,
1710449400000,230,229,230,
1710450000000,230,229,231,
1710450600000,230,229,230,
1710451200000,230,229,230,
1710451800000,230,229,230,
1710452400000,230,229,230,
1710453000000,230,229,230,
1710453600000,230,229,230,
1710454200000,230,229,230,
1710454800000,230,229,230,
1710455400000,230,229,230,
