intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sat Mar 23 2024|  TO Sat Mar 30 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1711132200000,230,229,230,
1711132800000,230,229,230,
1711133400000,230,229,230,
1711134000000,230,229,230,
1711134600000,230,229,230,
1711135200000,230,229,230,
1711135800000,230,229,230,
1711136400000,230,229,230,
1711137000000,230,229,230,
1711137600000,230,229,230,
1711138200000,230,230,231,
1711138800000,230,230,230,
1711139400000,230,229,230,
1711140000000,231,230,231,
1711140600000,230,229,230,
1711141200000,230,229,230,
1711141800000,230,230,230,
1711142400000,230,230,230,
1711143000000,230,230,230,
1711143600000,230,229,230,
1711144200000,230,229,229,
1711144800000,230,230,230,
1711145400000,230,229,230,
1711146000000,230,230,230,
1711146600000,230,229,230,
1711147200000,230,229,230,
1711147800000,231,231,230,
1711148400000,230,230,230,
1711149000000,231,230,230,
1711149600000,230,230,230,
1711150200000,230,229,230,
1711150800000,230,229,230,
1711151400000,230,230,230,
1711152000000,230,229,230,
1711152600000,230,230,230,
1711153200000,230,229,230,
1711153800000,230,230,230,
1711154400000,230,229,231,
1711155000000,230,230,230,
1711155599000,230,230,230,
1711156200000,230,229,230,
1711156800000,230,229,230,
1711157400000,230,230,230,
1711158000000,230,230,230,
1711158600000,230,229,230,
1711159200000,230,229,230,
1711159800000,230,229,230,
1711160400000,230,230,230,
1711161000000,230,229,230,
1711161600000,230,229,230,
1711162200000,230,229,230,
1711162800000,231,229,230,
1711163400000,230,229,230,
1711164000000,230,229,230,
1711164600000,230,229,230,
1711165200000,230,229,230,
1711165800000,230,229,229,
1711166400000,231,229,230,
1711167000000,231,230,230,
1711167600000,230,229,229,
1711168200000,230,229,230,
1711168800000,230,229,230,
1711169400000,230,229,230,
1711170000000,230,229,230,
1711170600000,230,229,229,
1711171200000,230,229,229,
