intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sun Mar 31 2024|  TO Sun Apr 07 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1711823400000,230,229,230,
1711824000000,230,229,230,
1711824600000,230,230,231,
1711825200000,230,229,230,
1711825800000,230,230,230,
1711826400000,230,229,230,
1711827000000,230,230,231,
1711827600000,230,230,231,
1711828200000,230,229,231,
1711828800000,230,229,230,
1711829400000,230,230,230,
1711830000000,230,230,231,
1711830600000,230,229,230,
1711831200000,230,230,230,
1711831800000,230,230,231,
1711832400000,230,230,231,
1711833000000,230,229,230,
1711833600000,230,229,230,
1711834200000,230,230,231,
1711834800000,230,230,231,
1711835400000,229,229,230,
1711836000000,230,229,230,
1711836600000,230,230,230,
1711837200000,230,230,231,
1711837800000,230,230,230,
1711838400000,230,230,230,
1711839000000,230,230,231,
1711839600000,230,230,230,
1711840200000,230,229,230,
1711840800000,230,229,230,
1711841400000,230,230,230,
1711842000000,230,229,230,
1711842600000,229,230,230,
1711843200000,230,230,230,
1711843800000,230,230,231,
1711844400000,231,230,231,
1711845000000,230,229,230,
1711845600000,230,230,230,
1711846200000,230,230,230,
1711846800000,230,230,230,
1711847400000,230,230,230,
1711848000000,230,230,230,
1711848600000,230,230,230,
1711849200000,230,230,230,
1711849800000,230,230,230,
1711850400000,230,229,230,
1711851000000,230,230,230,
1711851600000,230,230,230,
1711852200000,230,230,230,
1711852800000,230,230,230,
1711853400000,230,229,230,
1711854000000,230,230,230,
1711854600000,230,229,230,
1711855200000,230,230,231,
1711855800000,230,229,230,
1711856400000,230,230,230,
1711857000000,230,230,230,
1711857600000,230,230,231,
1711858200000,230,230,230,
1711858800000,230,229,230,
1711859400000,230,229,230,
1711860000000,230,229,230,
1711860600000,230,230,230,
1711861200000,230,229,230,
1711861800000,230,229,230,
1711862400000,230,230,230,
1711863000000,230,229,230,
1711863600000,230,229,230,
1711864200000,230,229,230,
1711864800000,230,229,230,
1711865400000,230,229,230,
1711866000000,231,229,230,
1711866600000,230,229,230,
1711867200000,230,229,230,
1711867800000,230,229,230,
1711868400000,230,229,229,
1711869000000,230,229,230,
1711869600000,230,229,230,
1711870200000,230,229,230,
1711870800000,230,229,230,
1711871400000,230,229,230,
1711872000000,230,229,230,
1711872600000,230,229,230,
1711873200000,230,229,230,
1711873800000,230,229,230,
1711874400000,230,230,231,
1711875000000,230,229,230,
1711875600000,230,229,231,
1711876200000,230,229,230,
1711876800000,230,229,230,
1711877400000,230,229,230,
1711878000000,230,229,229,
1711878600000,230,229,230,
1711879200000,230,229,230,
1711879800000,230,229,230,
1711880400000,230,229,230,
1711881000000,230,229,230,
1711881600000,230,230,230,
1711882200000,230,229,230,
1711882800000,230,230,230,
1711883400000,230,229,230,
1711884000000,230,229,230,
1711884600000,230,229,230,
1711885200000,230,229,230,
1711885800000,230,229,230,
1711886400000,230,230,230,
1711887000000,231,229,230,
1711887600000,230,230,230,
1711888200000,230,229,230,
1711888800000,230,230,230,
1711889400000,230,229,230,
1711890000000,230,230,230,
1711890600000,230,229,230,
1711891200000,230,230,231,
1711891800000,230,230,230,
1711892400000,230,229,230,
1711893000000,230,229,230,
1711893600000,230,229,230,
1711894200000,230,229,230,
1711894800000,230,229,230,
1711895400000,230,229,230,
1711896000000,230,230,231,
1711896600000,230,229,230,
1711897200000,230,229,230,
1711897800000,230,229,230,
1711898400000,230,230,231,
1711899000000,230,229,230,
1711899600000,230,229,230,
1711900200000,230,229,230,
1711900800000,231,230,230,
1711901400000,231,230,231,
1711902000000,230,229,230,
1711902600000,230,229,230,
1711903200000,230,229,230,
1711903800000,230,230,230,
1711904400000,230,229,230,
1711905000000,231,229,230,
1711905600000,230,229,230,
1711906200000,230,229,230,
1711906800000,230,229,230,
1711907400000,230,229,231,
1711908000000,231,229,231,
1711908600000,230,229,230,
1711909200000,230,229,230,
1711909800000,230,230,230,
1711910400000,230,229,230,
1711911000000,230,229,230,
1711911600000,230,229,230,
1711912200000,230,230,230,
1711912800000,230,230,231,
1711913400000,230,229,230,
1711914000000,230,229,230,
1711914600000,230,230,230,
1711915200000,230,229,230,
1711915800000,231,230,230,
1711916400000,230,230,231,
1711917000000,230,230,230,
1711917600000,230,230,230,
1711918200000,230,229,230,
1711918800000,230,230,230,
1711919400000,230,230,230,
1711920000000,230,230,231,
1711920600000,230,230,231,
1711921200000,230,230,231,
1711921800000,230,230,230,
1711922400000,230,230,231,
1711923000000,230,230,230,
1711923600000,230,230,230,
1711924200000,230,230,230,
1711924800000,230,229,230,
1711925400000,230,230,230,
1711926000000,230,230,230,
1711926600000,230,230,230,
1711927200000,230,230,230,
1711927800000,230,229,230,
1711928400000,230,230,230,
1711929000000,230,230,230,
1711929600000,230,230,230,
1711930200000,230,230,230,
1711930800000,230,230,230,
1711931400000,230,230,230,
1711932000000,230,230,230,
1711932600000,230,230,230,
1711933200000,230,230,230,
1711933800000,230,230,230,
1711934400000,229,230,230,
1711935000000,230,229,230,
1711935600000,230,229,230,
1711936200000,230,229,232,
1711936800000,230,229,231,
1711937400000,230,229,230,
1711938000000,231,229,230,
1711938600000,230,229,230,
1711939200000,230,230,230,
1711939800000,230,229,230,
1711940400000,230,230,230,
1711941000000,230,229,230,
1711941600000,230,230,230,
1711942200000,230,229,230,
1711942800000,230,230,230,
1711943400000,230,229,230,
1711944000000,230,229,229,
1711944600000,231,229,231,
1711945200000,230,229,229,
1711945800000,230,229,229,
1711946400000,230,229,228,
1711947000000,230,229,229,
1711947600000,231,230,230,
1711948200000,230,229,229,
1711948800000,230,229,229,
1711949400000,230,229,229,
1711950000000,230,228,229,
1711950600000,230,229,229,
1711951200000,229,228,229,
1711951800000,229,228,230,
1711952400000,230,228,228,
1711953000000,229,228,228,
1711953600000,229,228,229,
1711954200000,230,229,229,
1711954800000,230,228,228,
