intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Mar 06 2024|  TO Wed Mar 13 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1709663400000,230,229,230,
1709664000000,230,229,230,
1709664600000,230,229,230,
1709665200000,230,229,230,
1709665800000,230,229,230,
1709666400000,230,229,230,
1709667000000,230,229,230,
1709667600000,230,229,230,
1709668200000,230,229,230,
1709668800000,230,229,230,
1709669400000,230,230,231,
1709670000000,230,229,230,
1709670600000,230,229,231,
1709671200000,230,229,230,
1709671800000,230,229,230,
1709672400000,230,229,231,
1709673000000,230,229,230,
1709673600000,231,230,231,
1709674200000,230,229,230,
1709674800000,230,229,230,
1709675400000,230,229,230,
1709676000000,230,229,230,
1709676600000,230,230,230,
1709677200000,230,229,230,
1709677800000,230,229,230,
1709678400000,230,229,230,
1709679000000,230,229,230,
1709679600000,230,229,230,
1709680200000,230,229,230,
1709680800000,230,229,231,
1709681400000,230,229,231,
1709682000000,230,229,230,
1709682600000,230,229,230,
1709683200000,230,229,230,
1709683800000,230,229,230,
1709684400000,230,229,230,
1709685000000,230,229,230,
1709685600000,230,229,230,
1709686200000,230,229,230,
1709686800000,230,230,232,
1709687400000,231,230,230,
1709688000000,232,229,231,
1709688600000,231,229,230,
1709689200000,231,229,231,
1709689800000,230,229,231,
1709690400000,230,229,231,
1709691000000,230,229,230,
1709691600000,231,229,230,
1709692200000,230,229,231,
1709692800000,230,229,230,
1709693400000,230,229,230,
1709694000000,230,229,230,
1709694600000,230,229,230,
1709695200000,230,229,230,
1709695800000,230,229,230,
1709696400000,230,229,230,
1709697000000,230,229,230,
1709697600000,231,230,230,
1709698200000,230,229,230,
1709698800000,230,229,229,
1709699400000,230,229,229,
1709700000000,230,229,229,
1709700600000,230,229,229,
1709701200000,230,229,229,
1709701800000,229,229,229,
1709702400000,230,229,229,
1709703000000,230,229,229,
1709703600000,229,229,229,
1709704200000,230,229,229,
1709704800000,230,229,229,
1709705400000,230,229,229,
1709706000000,230,229,229,
1709706600000,230,228,229,
1709707200000,230,228,229,
1709707800000,230,229,230,
1709708400000,230,228,229,
1709709000000,230,228,229,
1709709600000,230,228,229,
1709710200000,229,229,229,
1709710800000,229,228,229,
1709711400000,230,229,230,
1709712000000,230,229,229,
1709712600000,229,228,229,
1709713200000,229,229,229,
1709713800000,230,229,229,
1709714400000,229,229,229,
1709715000000,230,229,229,
1709715600000,229,228,229,
1709716200000,229,228,229,
1709716800000,229,228,230,
1709717400000,229,228,229,
1709718000000,229,228,229,
1709718600000,229,228,229,
1709719200000,229,229,229,
1709719800000,229,228,229,
1709720400000,229,228,229,
1709721000000,229,228,229,
1709721600000,229,229,230,
1709722200000,229,228,229,
1709722800000,229,228,229,
1709723400000,230,228,229,
1709724000000,230,229,230,
1709724600000,230,228,229,
1709725200000,231,229,230,
1709725800000,231,229,230,
1709726400000,230,228,230,
1709727000000,230,229,230,
1709727600000,230,229,229,
1709728200000,230,229,230,
1709728800000,229,229,230,
1709729400000,230,228,229,
1709730000000,230,229,229,
1709730600000,230,229,230,
1709731200000,230,229,230,
1709731800000,230,229,230,
1709732400000,229,229,230,
1709733000000,229,229,230,
1709733600000,230,229,230,
1709734200000,230,228,230,
1709734800000,230,229,229,
1709735400000,230,229,230,
1709736000000,230,229,230,
1709736600000,230,229,230,
1709737200000,230,229,230,
1709737800000,230,229,230,
1709738400000,231,229,230,
1709739000000,230,229,230,
1709739600000,230,229,230,
1709740200000,230,229,230,
1709740800000,230,229,230,
1709741400000,230,229,230,
1709742000000,230,229,230,
1709742600000,230,229,230,
1709743200000,230,229,230,
1709743800000,230,229,230,
1709744400000,230,229,230,
1709745000000,230,229,230,
1709745600000,230,229,230,
1709746200000,230,229,230,
1709746800000,230,229,230,
1709747400000,230,229,230,
1709748000000,230,229,230,
1709748600000,230,229,231,
