intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Fri May 10 2024|  TO Fri May 17 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1715279400000,231,230,230,
1715280000000,232,230,231,
1715280600000,231,230,230,
1715281200000,231,230,230,
1715281800000,231,230,230,
1715282400000,231,230,229,
1715283000000,230,230,230,
1715283600000,231,230,230,
1715284200000,231,230,231,
1715284800000,231,230,230,
1715285400000,231,230,230,
1715286000000,231,230,230,
1715286600000,231,230,230,
1715287200000,231,230,230,
1715287800000,231,230,230,
1715288400000,230,229,230,
1715289000000,230,230,230,
1715289600000,231,230,230,
1715290200000,230,229,230,
1715290800000,230,230,230,
1715291400000,231,230,230,
1715292000000,230,230,230,
1715292600000,230,230,230,
1715293200000,231,230,230,
1715293800000,230,230,230,
1715294400000,231,230,230,
1715295000000,230,230,230,
1715295600000,230,230,230,
1715296200000,231,230,230,
1715296800000,230,230,230,
1715297400000,230,229,230,
1715298000000,230,230,230,
1715298600000,232,231,230,
1715299200000,231,230,230,
1715299800000,231,230,229,
1715300400000,231,230,230,
1715301000000,230,230,230,
1715301600000,231,230,230,
1715302200000,231,230,230,
1715302800000,231,230,230,
1715303400000,231,230,230,
1715304000000,231,230,230,
1715304600000,231,230,230,
1715305200000,231,230,230,
1715305800000,231,230,230,
1715306400000,231,230,230,
1715307000000,231,229,230,
1715307600000,231,230,230,
1715308200000,231,230,230,
1715308800000,231,230,230,
1715309400000,231,230,230,
1715310000000,231,230,229,
1715310600000,231,230,229,
1715311200000,231,230,229,
1715311800000,230,230,229,
1715312400000,231,230,229,
1715313000000,230,230,229,
1715313600000,230,230,229,
1715314200000,231,231,229,
1715314800000,231,231,230,
1715315400000,230,230,229,
1715316000000,230,230,229,
1715316600000,230,229,229,
1715317200000,229,229,229,
1715317800000,230,229,229,
1715318400000,230,230,229,
