intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sat May 18 2024|  TO Sat May 25 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1715970600000,230,230,230,
1715971200000,230,229,230,
1715971800000,231,230,230,
1715972400000,230,230,230,
1715973000000,230,230,230,
1715973600000,230,230,230,
1715974200000,230,230,230,
1715974800000,230,230,230,
1715975400000,230,229,229,
1715976000000,231,230,230,
1715976600000,230,230,230,
1715977200000,230,230,230,
1715977800000,230,230,230,
1715978400000,230,230,230,
1715979000000,231,230,230,
1715979600000,230,230,230,
1715980200000,230,229,230,
1715980800000,230,230,230,
1715981400000,230,230,230,
1715982000000,231,230,230,
1715982600000,230,230,230,
1715983200000,230,230,230,
1715983800000,230,230,230,
1715984400000,230,230,230,
1715985000000,230,230,230,
1715985600000,231,229,230,
1715986200000,230,230,230,
1715986800000,230,230,230,
1715987400000,230,230,230,
1715988000000,230,230,230,
1715988600000,230,230,230,
1715989200000,231,230,231,
1715989800000,230,229,230,
1715990400000,231,230,230,
1715991000000,231,231,231,
1715991600000,230,230,230,
1715992200000,230,230,230,
1715992800000,230,230,230,
1715993400000,230,230,230,
1715994000000,230,230,230,
1715994600000,230,230,230,
1715995200000,230,230,230,
1715995800000,230,230,230,
1715996400000,230,230,230,
1715997000000,230,230,230,
1715997600000,230,230,230,
1715998200000,230,230,230,
1715998800000,230,230,230,
1715999400000,230,230,229,
1716000000000,230,230,230,
1716000600000,230,230,230,
1716001200000,231,230,229,
1716001800000,231,230,230,
1716002400000,230,230,229,
1716003000000,231,231,230,
1716003600000,230,230,230,
1716004200000,231,230,229,
1716004800000,231,229,230,
1716005400000,231,230,230,
1716006000000,230,230,230,
1716006600000,230,230,230,
1716007200000,230,230,230,
1716007800000,230,229,230,
1716008400000,230,229,230,
1716009000000,231,229,230,
1716009600000,230,229,230,
1716010200000,231,229,229,
1716010800000,230,229,229,
1716011400000,230,229,229,
1716012000000,230,229,229,
1716012600000,230,229,229,
1716013200000,230,229,229,
1716013800000,230,229,229,
1716014400000,231,229,230,
1716015000000,230,229,230,
1716015600000,231,229,230,
1716016200000,230,229,229,
1716016800000,230,229,229,
1716017400000,230,229,230,
1716018000000,230,230,230,
1716018600000,231,230,230,
1716019200000,231,230,230,
1716019800000,230,229,229,
1716020400000,230,229,229,
1716021000000,230,229,229,
1716021600000,230,229,229,
1716022200000,230,229,230,
1716022800000,230,229,229,
1716023400000,230,229,229,
1716024000000,230,230,230,
1716024600000,231,229,229,
1716025200000,230,229,230,
1716025800000,230,229,230,
1716026400000,230,229,230,
1716027000000,230,229,230,
1716027600000,230,229,230,
1716028200000,230,229,229,
1716028800000,230,229,230,
1716029400000,230,229,230,
1716030000000,230,229,229,
1716030600000,230,229,229,
1716031200000,230,229,229,
1716031800000,230,229,230,
1716032400000,230,229,229,
1716033000000,230,229,230,
1716033600000,230,229,230,
1716034200000,230,229,230,
1716034800000,230,229,230,
1716035400000,230,229,230,
1716036000000,231,230,230,
1716036600000,230,229,230,
1716037200000,230,229,230,
1716037800000,230,229,230,
1716038400000,230,229,229,
1716039000000,230,229,229,
1716039600000,230,229,230,
1716040200000,230,229,230,
1716040800000,230,229,229,
1716041400000,230,229,231,
1716042000000,231,229,230,
1716042600000,231,229,230,
1716043200000,230,230,229,
1716043800000,231,229,230,
1716044400000,230,229,230,
1716045000000,230,230,230,
1716045600000,230,230,230,
1716046200000,231,230,230,
1716046800000,230,230,230,
1716047400000,231,230,230,
1716048000000,230,229,230,
1716048600000,231,229,230,
1716049200000,231,229,230,
1716049800000,231,229,230,
1716050400000,230,229,230,
1716051000000,231,230,230,
1716051600000,231,229,230,
1716052200000,231,230,230,
1716052800000,230,230,230,
1716053400000,230,229,230,
1716054000000,231,229,230,
1716054600000,230,230,230,
1716055200000,230,230,230,
1716055800000,230,230,230,
1716056400000,231,230,230,
1716057000000,231,229,230,
1716057600000,230,229,230,
1716058200000,230,229,230,
1716058800000,230,230,230,
1716059400000,231,229,230,
1716060000000,230,229,230,
1716060600000,231,229,230,
1716061200000,230,229,230,
1716061800000,231,229,231,
1716062400000,230,229,230,
1716063000000,231,230,230,
1716063600000,231,229,230,
1716064200000,231,229,230,
1716064800000,231,230,230,
1716065400000,232,230,231,
1716066000000,231,229,230,
1716066600000,231,229,230,
1716067200000,231,230,230,
1716067800000,231,229,230,
1716068400000,230,229,230,
1716069000000,231,230,230,
1716069600000,230,230,230,
1716070200000,231,230,230,
1716070800000,230,229,230,
1716071400000,230,229,230,
1716072000000,231,230,230,
1716072600000,230,229,230,
1716073200000,231,230,230,
1716073800000,231,230,230,
1716074400000,231,231,231,
1716075000000,230,230,230,
1716075600000,231,230,230,
1716076200000,231,230,230,
1716076800000,230,229,230,
1716077400000,231,230,230,
1716078000000,231,229,230,
1716078600000,230,229,230,
1716079200000,231,229,230,
1716079800000,230,230,230,
1716080400000,231,230,230,
1716081000000,231,229,230,
1716081600000,230,229,230,
1716082200000,231,229,230,
1716082800000,230,230,230,
1716083400000,230,230,230,
1716084000000,231,229,230,
1716084600000,231,229,230,
1716085200000,231,230,231,
1716085800000,231,230,230,
1716086400000,231,230,230,
1716087000000,231,230,230,
1716087600000,231,230,230,
1716088200000,230,230,230,
1716088800000,231,230,230,
1716089400000,231,230,230,
1716090000000,231,230,230,
1716090600000,231,230,230,
1716091200000,231,230,230,
1716091800000,231,229,230,
1716092400000,231,230,230,
1716093000000,230,230,230,
1716093600000,230,230,230,
1716094200000,230,230,230,
1716094800000,230,230,229,
1716095400000,230,230,229,
1716096000000,230,230,229,
1716096600000,230,230,229,
1716097200000,230,230,229,
1716097800000,230,230,229,
1716098400000,230,230,229,
1716099000000,230,230,230,
1716099600000,230,230,229,
1716100200000,230,230,229,
1716100800000,230,230,229,
1716101400000,230,230,229,
1716102000000,230,230,229,
1716102600000,230,230,229,
1716103200000,230,230,229,
1716103800000,230,230,229,
1716104400000,230,230,229,
1716105000000,230,230,229,
1716105600000,230,230,229,
1716106200000,230,230,229,
1716106800000,231,231,230,
1716107400000,230,230,229,
1716108000000,230,230,229,
1716108600000,230,230,229,
1716109200000,230,230,229,
1716109800000,230,230,229,
1716110400000,230,230,229,
1716111000000,230,230,229,
1716111600000,230,230,229,
1716112200000,230,230,229,
1716112800000,230,230,229,
1716113400000,230,230,229,
1716114000000,230,230,229,
1716114600000,230,230,229,
1716115200000,230,230,229,
1716115800000,230,230,229,
1716116400000,230,230,230,
1716117000000,230,230,229,
1716117600000,231,231,230,
1716118200000,229,230,229,
1716118800000,230,230,231,
1716119400000,230,230,229,
1716120000000,230,229,229,
1716120600000,231,231,230,
1716121200000,231,229,230,
1716121800000,230,229,230,
1716122400000,230,229,230,
1716123000000,230,229,230,
1716123600000,230,229,230,
1716124200000,230,229,229,
1716124800000,230,230,230,
1716125400000,230,229,230,
1716126000000,230,230,229,
1716126600000,231,230,229,
1716127200000,231,230,230,
1716127800000,231,230,229,
1716128400000,230,230,229,
1716129000000,230,230,230,
1716129600000,230,230,230,
1716130200000,230,230,229,
1716130800000,230,230,230,
1716131400000,231,229,230,
1716132000000,230,230,230,
1716132600000,230,230,230,
1716133200000,230,230,230,
1716133800000,230,230,229,
1716134400000,230,229,230,
1716135000000,230,230,230,
1716135600000,231,230,230,
1716136200000,230,230,230,
1716136800000,230,230,230,
1716137400000,231,230,230,
1716138000000,231,230,230,
1716138600000,231,230,230,
1716139200000,231,230,230,
1716139800000,231,230,230,
1716140400000,231,230,230,
1716141000000,231,230,230,
1716141600000,231,230,230,
1716142200000,231,230,230,
1716142800000,230,230,230,
1716143400000,230,230,230,
1716144000000,230,230,231,
1716144600000,230,230,230,
1716145200000,231,229,230,
1716145800000,231,230,230,
1716146400000,231,230,230,
1716147000000,231,230,230,
1716147600000,232,231,231,
1716148200000,231,230,230,
1716148800000,231,230,230,
1716149400000,231,230,230,
1716150000000,230,229,230,
1716150600000,230,230,230,
