intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu May 02 2024|  TO Thu May 09 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1714588200000,230,229,230,
1714588800000,230,229,229,
1714589400000,230,229,229,
1714590000000,230,229,229,
1714590600000,231,229,230,
1714591200000,231,230,230,
1714591800000,230,229,230,
1714592400000,230,230,230,
1714593000000,231,230,230,
1714593600000,231,230,231,
1714594200000,231,230,230,
1714594800000,230,230,230,
1714595400000,230,229,230,
1714596000000,230,230,230,
1714596600000,230,230,230,
1714597200000,230,229,229,
1714597800000,231,229,230,
1714598400000,230,229,230,
1714599000000,230,229,230,
1714599600000,230,230,230,
1714600200000,231,230,230,
1714600800000,231,230,230,
1714601400000,230,229,230,
1714602000000,230,229,230,
1714602600000,230,230,230,
1714603200000,230,229,230,
1714603800000,230,230,230,
1714604400000,230,229,230,
1714605000000,230,229,230,
1714605600000,230,229,230,
1714606200000,230,229,230,
1714606800000,231,229,230,
1714607400000,230,230,230,
1714608000000,230,230,230,
1714608600000,230,229,230,
1714609200000,230,230,230,
1714609800000,231,230,230,
1714610400000,230,229,230,
1714611000000,231,230,230,
1714611600000,230,229,230,
1714612200000,230,229,229,
1714612800000,230,229,230,
1714613400000,230,229,230,
1714614000000,230,229,230,
1714614600000,230,229,230,
1714615200000,230,229,229,
1714615800000,230,229,229,
1714616400000,230,229,229,
1714617000000,230,229,229,
1714617600000,230,229,230,
1714618200000,230,229,230,
1714618800000,230,229,229,
1714619400000,230,229,229,
1714620000000,230,229,229,
1714620600000,230,229,230,
1714621200000,231,229,230,
1714621800000,230,229,229,
1714622400000,230,229,229,
1714623000000,229,230,229,
1714623600000,230,229,229,
1714624200000,230,229,229,
1714624800000,230,230,228,
1714625400000,230,229,229,
1714626000000,230,228,228,
1714626600000,230,229,229,
1714627200000,230,229,229,
1714627800000,229,228,228,
1714628400000,229,228,229,
1714629000000,229,228,228,
1714629600000,230,228,229,
1714630200000,230,228,230,
1714630800000,229,228,228,
1714631400000,229,228,229,
1714632000000,230,228,229,
1714632600000,230,228,228,
1714633200000,229,228,228,
1714633800000,229,228,228,
1714634400000,229,228,229,
1714635000000,230,228,228,
1714635600000,229,228,228,
1714636200000,229,228,228,
1714636800000,230,229,230,
1714637400000,230,229,229,
1714638000000,230,229,229,
1714638600000,229,228,229,
1714639200000,230,228,229,
1714639800000,230,229,229,
1714640400000,229,228,228,
1714641000000,230,229,229,
1714641600000,230,228,228,
1714642200000,230,228,229,
1714642800000,230,228,228,
1714643400000,230,228,228,
