intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sun May 26 2024|  TO Sat Jun 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1716661800000,230,230,230,
1716662400000,230,230,230,
1716663000000,231,230,230,
1716663600000,230,229,230,
1716664200000,231,230,230,
1716664800000,231,230,230,
1716665400000,231,230,230,
1716666000000,230,230,230,
1716666600000,230,230,230,
1716667200000,231,230,230,
1716667800000,231,230,230,
1716668400000,231,230,230,
1716669000000,231,230,230,
1716669600000,230,230,230,
1716670200000,231,230,230,
1716670800000,231,230,231,
1716671400000,231,230,230,
1716672000000,231,230,230,
1716672600000,230,230,230,
1716673200000,231,230,230,
1716673800000,231,230,230,
1716674400000,231,230,230,
1716675000000,231,230,230,
1716675600000,230,230,230,
1716676200000,231,230,230,
1716676800000,232,230,231,
1716677400000,231,230,230,
1716678000000,231,231,230,
1716678600000,230,230,230,
1716679200000,230,230,230,
1716679800000,230,230,230,
1716680400000,230,230,230,
1716681000000,230,230,230,
1716681600000,230,230,230,
1716682200000,230,230,230,
1716682800000,230,230,230,
1716683400000,230,230,230,
1716684000000,230,230,230,
1716684600000,230,230,230,
1716685200000,230,230,229,
1716685800000,230,230,230,
1716686400000,231,230,230,
1716687000000,230,230,230,
1716687600000,231,230,230,
1716688200000,231,230,230,
1716688800000,230,230,230,
1716689400000,232,230,231,
1716690000000,230,230,230,
1716690600000,230,230,230,
1716691200000,231,230,230,
1716691800000,230,230,230,
1716692400000,231,229,230,
1716693000000,231,230,230,
1716693600000,230,230,230,
1716694200000,230,229,230,
1716694800000,230,230,230,
1716695400000,231,229,230,
1716696000000,230,230,230,
1716696600000,231,230,229,
1716697200000,231,229,230,
1716697800000,231,230,231,
1716698400000,231,230,230,
1716699000000,230,230,229,
1716699600000,231,229,229,
1716700200000,230,230,230,
1716700800000,230,229,229,
1716701400000,231,230,230,
1716702000000,230,230,230,
1716702600000,231,229,229,
1716703200000,231,229,229,
1716703800000,231,229,229,
1716704400000,230,229,230,
1716705000000,231,230,230,
1716705600000,231,229,229,
1716706200000,230,230,230,
1716706800000,231,229,229,
1716707400000,230,229,229,
1716708000000,231,230,230,
1716708600000,230,229,229,
1716709200000,231,229,230,
