intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sun Nov 12 2023|  TO Sun Nov 19 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1699727400000,231,229,230,
1699728000000,231,229,231,
1699728600000,231,229,231,
1699729200000,230,230,230,
1699729800000,231,229,230,
1699730400000,231,229,230,
1699731000000,231,229,231,
1699731600000,231,229,230,
1699732200000,231,229,231,
1699732800000,231,230,230,
1699733400000,231,229,230,
1699734000000,230,229,230,
1699734600000,231,229,231,
1699735200000,231,229,231,
1699735800000,231,230,231,
1699736400000,230,230,230,
1699737000000,231,229,231,
1699737600000,230,229,230,
1699738200000,231,229,230,
1699738800000,231,230,231,
1699739400000,232,230,231,
1699740000000,231,230,232,
1699740600000,231,230,232,
1699741200000,231,230,230,
1699741800000,230,230,230,
1699742400000,230,229,231,
1699743000000,230,230,230,
1699743600000,231,230,231,
1699744200000,230,230,230,
1699744800000,231,230,231,
1699745400000,230,230,231,
1699746000000,231,229,231,
1699746600000,231,229,231,
1699747200000,231,229,230,
1699747800000,230,229,230,
1699748400000,231,230,231,
1699749000000,230,229,231,
1699749600000,231,229,231,
1699750200000,231,230,231,
1699750800000,232,230,231,
1699751400000,231,230,230,
1699752000000,231,230,231,
1699752600000,231,230,231,
1699753200000,231,230,230,
1699753800000,231,230,231,
1699754400000,231,230,231,
1699755000000,231,230,230,
1699755600000,231,229,231,
1699756200000,231,230,230,
1699756800000,231,230,232,
1699757400000,232,230,231,
1699758000000,231,230,231,
1699758600000,231,229,230,
1699759200000,231,229,230,
1699759800000,230,229,230,
1699760400000,231,229,231,
1699761000000,230,229,230,
1699761600000,231,229,230,
1699762200000,231,229,231,
1699762800000,231,229,230,
1699763400000,231,229,230,
1699764000000,230,229,230,
1699764600000,230,229,230,
1699765200000,231,229,230,
1699765800000,231,230,230,
1699766400000,231,230,230,
1699767000000,231,229,230,
1699767600000,231,229,230,
1699768200000,231,229,230,
1699768800000,231,229,230,
1699769400000,231,229,231,
1699770000000,231,229,231,
1699770600000,231,229,230,
1699771200000,231,229,230,
1699771800000,231,229,230,
1699772400000,231,229,230,
1699773000000,231,229,230,
1699773600000,230,229,230,
1699774200000,230,229,230,
1699774800000,231,229,230,
1699775400000,231,229,230,
1699775999000,231,229,230,
1699776600000,230,230,230,
1699777200000,231,229,230,
1699777800000,230,229,230,
1699778400000,231,229,231,
1699779000000,230,229,229,
1699779600000,231,229,230,
1699780200000,231,229,230,
1699780800000,231,229,230,
1699781400000,231,229,231,
1699782000000,231,230,230,
1699782600000,231,229,230,
1699783200000,231,230,230,
1699783800000,231,229,230,
1699784400000,231,229,230,
1699785000000,231,229,230,
1699785600000,231,229,230,
1699786200000,231,229,230,
1699786800000,231,229,230,
1699787400000,231,230,230,
1699788000000,231,229,230,
1699788600000,230,229,230,
