intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Mon Nov 20 2023|  TO Mon Nov 27 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1700418600000,230,229,230,
1700419200000,231,229,230,
1700419800000,230,229,230,
1700420400000,231,230,231,
1700421000000,231,229,230,
1700421600000,230,229,230,
1700422200000,230,229,230,
1700422800000,231,230,231,
1700423400000,231,229,230,
1700424000000,231,229,230,
1700424600000,231,229,230,
1700425200000,230,230,230,
1700425800000,230,229,230,
1700426400000,231,229,230,
1700427000000,231,229,230,
1700427600000,230,230,230,
1700428199000,231,229,230,
1700428200000,231,229,230,
1700428800000,231,229,230,
1700429400000,231,230,230,
1700430000000,231,230,231,
1700430600000,231,230,230,
1700431200000,232,230,231,
1700431800000,231,230,230,
1700432400000,231,230,230,
1700433000000,230,229,230,
1700433600000,231,230,230,
1700434200000,230,230,230,
1700434800000,231,229,230,
1700435400000,231,230,230,
1700436000000,230,229,230,
1700436600000,230,229,230,
1700437200000,230,229,230,
1700437800000,230,229,230,
1700438400000,230,229,230,
1700439000000,231,230,231,
1700439600000,230,230,230,
1700440200000,230,230,230,
1700440800000,231,229,230,
1700441400000,230,230,230,
1700442000000,232,230,231,
1700442600000,231,230,230,
1700443200000,230,229,230,
1700443800000,230,230,230,
1700444400000,231,229,230,
1700445000000,231,230,230,
1700445600000,231,229,230,
1700446200000,230,229,230,
1700446800000,231,229,230,
1700447400000,230,229,230,
1700448000000,231,229,230,
1700448600000,231,230,230,
1700449200000,231,229,230,
1700449800000,231,229,230,
1700450400000,231,229,230,
1700451000000,231,229,230,
1700451600000,231,229,230,
1700452200000,231,229,230,
1700452800000,231,229,229,
1700453400000,231,229,229,
1700454000000,230,229,230,
1700454600000,230,229,230,
1700455200000,231,229,230,
1700455800000,231,229,231,
1700456400000,231,229,230,
1700457000000,231,229,229,
1700457600000,230,229,229,
1700458200000,230,229,229,
1700458800000,231,230,231,
1700459400000,231,229,229,
1700460000000,231,230,230,
1700460600000,230,229,229,
1700461200000,230,230,230,
1700461800000,230,229,229,
1700462400000,230,229,229,
1700463000000,230,229,229,
1700463600000,229,229,229,
1700464200000,230,230,229,
1700464800000,230,229,229,
1700465400000,229,229,229,
1700466000000,229,229,229,
1700466600000,229,230,230,
1700467200000,230,229,229,
1700467800000,230,230,231,
1700468400000,230,229,229,
1700469000000,230,229,229,
1700469600000,231,229,230,
1700470200000,230,229,229,
1700470800000,230,229,229,
1700471400000,230,229,229,
