intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Tue Nov 28 2023|  TO Tue Dec 05 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1701109800000,230,229,230,
1701110400000,230,229,230,
1701111000000,230,229,230,
1701111600000,230,229,231,
1701112200000,230,229,231,
1701112800000,230,229,231,
1701113400000,230,229,230,
1701114000000,231,229,230,
1701114600000,231,230,231,
1701115200000,230,229,230,
1701115800000,230,229,230,
1701116400000,230,230,230,
1701117000000,230,229,230,
1701117600000,230,229,230,
1701118200000,231,229,230,
1701118800000,231,230,231,
1701119400000,230,229,230,
1701120000000,231,229,231,
1701120600000,230,230,231,
1701121200000,230,229,230,
1701121800000,230,230,230,
1701122400000,230,229,230,
1701123000000,231,229,230,
1701123600000,229,230,230,
1701124200000,230,229,230,
1701124800000,231,229,231,
1701125400000,230,229,231,
1701126000000,230,229,231,
1701126600000,230,229,231,
1701127200000,230,229,232,
1701127800000,230,230,231,
1701128400000,230,230,230,
1701129000000,230,229,230,
1701129600000,230,230,230,
1701130200000,230,229,230,
1701130800000,230,229,230,
1701131400000,230,229,231,
1701132000000,230,229,230,
1701132600000,230,230,231,
1701133200000,230,229,230,
1701133800000,230,229,231,
1701134400000,230,229,230,
1701135000000,230,229,230,
1701135600000,230,229,230,
1701136200000,230,229,230,
1701136800000,230,230,230,
1701137400000,230,230,230,
1701138000000,230,230,231,
1701138600000,230,229,231,
1701139200000,230,229,231,
1701139800000,232,230,231,
1701140400000,231,230,231,
1701141000000,231,229,230,
1701141600000,231,230,230,
1701142200000,230,229,230,
1701142800000,231,229,230,
1701143400000,231,229,230,
1701144000000,230,229,230,
1701144600000,230,229,230,
1701145200000,230,229,230,
1701145800000,230,229,230,
1701146400000,230,229,230,
1701147000000,230,229,229,
1701147600000,230,230,230,
1701148200000,231,229,231,
1701148800000,230,229,229,
1701149400000,230,230,230,
1701150000000,230,229,229,
1701150600000,229,229,229,
1701151200000,230,229,229,
1701151800000,230,229,229,
1701152400000,230,229,230,
1701153000000,230,229,229,
1701153600000,230,229,229,
1701154200000,230,229,229,
1701154800000,230,229,229,
1701155400000,229,229,230,
1701156000000,230,229,230,
1701156600000,230,229,229,
1701157200000,229,229,229,
1701157800000,230,229,229,
1701158400000,230,229,230,
1701159000000,230,229,229,
1701159600000,230,229,230,
1701160200000,230,229,229,
1701160800000,230,229,229,
1701161400000,230,229,229,
1701162000000,230,229,230,
1701162600000,230,229,229,
1701163200000,230,229,229,
1701163800000,230,229,229,
1701164400000,230,229,229,
1701165000000,230,229,230,
1701165600000,230,229,229,
1701166200000,230,229,229,
1701166800000,230,229,230,
1701167400000,230,229,230,
1701168000000,230,229,230,
1701168600000,230,229,230,
1701169200000,230,229,230,
1701169800000,230,229,230,
1701170400000,230,229,231,
1701171000000,230,229,230,
1701171600000,230,229,231,
1701172200000,230,229,230,
1701172800000,231,229,230,
1701173400000,230,229,230,
1701174000000,230,229,230,
1701174600000,230,229,230,
1701175200000,230,229,230,
