intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sat Nov 04 2023|  TO Sat Nov 11 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1699036200000,231,230,230,
1699036800000,230,230,230,
1699037400000,231,229,231,
1699038000000,230,230,230,
1699038600000,231,230,230,
1699039200000,230,230,230,
1699039800000,230,230,230,
1699040400000,230,229,229,
1699041000000,230,230,230,
1699041600000,231,230,230,
1699042200000,230,230,230,
1699042800000,230,230,230,
1699043400000,230,230,229,
1699044000000,230,230,230,
1699044600000,230,229,231,
1699045200000,230,230,229,
1699045800000,231,230,231,
1699046400000,231,231,231,
1699047000000,230,230,230,
1699047600000,230,229,229,
1699048200000,231,230,231,
1699048800000,231,230,230,
1699049400000,232,231,231,
1699050000000,231,231,231,
1699050600000,230,230,230,
1699051200000,230,229,230,
1699051800000,231,230,230,
1699052400000,230,230,230,
1699053000000,231,230,230,
1699053600000,230,229,230,
1699054200000,230,229,230,
1699054800000,231,229,230,
1699055400000,230,230,231,
1699056000000,231,230,230,
1699056600000,230,229,230,
1699057200000,230,230,230,
1699057800000,230,230,230,
1699058400000,230,230,230,
1699059000000,231,230,231,
1699059600000,230,230,230,
1699060200000,231,230,230,
1699060800000,230,230,230,
1699061400000,231,230,230,
1699062000000,230,230,230,
1699062600000,230,230,230,
1699063200000,230,230,231,
1699063800000,230,230,230,
1699064400000,231,229,230,
1699065000000,231,230,231,
1699065600000,230,229,230,
1699066200000,230,230,230,
1699066800000,231,230,229,
1699067400000,232,231,230,
1699068000000,231,230,231,
1699068600000,231,231,230,
1699069200000,230,229,230,
1699069800000,231,230,230,
1699070400000,231,230,231,
1699071000000,231,230,230,
1699071600000,230,230,229,
1699072200000,231,231,230,
1699072800000,231,230,229,
1699073400000,230,229,229,
1699074000000,230,229,229,
1699074600000,230,230,229,
1699075200000,230,229,229,
1699075800000,230,230,229,
1699076400000,230,229,229,
1699077000000,230,229,230,
1699077600000,229,229,230,
1699078200000,230,229,229,
1699078800000,230,229,229,
1699079400000,230,229,229,
1699080000000,230,229,230,
1699080600000,230,229,230,
1699081200000,230,229,229,
1699081800000,230,229,229,
1699082400000,230,229,229,
1699083000000,230,229,229,
1699083600000,230,229,230,
1699084200000,230,229,230,
1699084800000,230,229,229,
1699085400000,230,229,229,
1699086000000,230,229,229,
1699086600000,230,229,229,
1699087200000,230,229,230,
1699087800000,230,229,230,
1699088400000,230,229,229,
1699089000000,230,229,229,
1699089600000,230,229,229,
1699090200000,230,229,229,
1699090800000,230,229,229,
1699091400000,230,229,230,
1699092000000,230,229,230,
1699092600000,230,230,230,
1699093200000,230,229,229,
1699093800000,230,229,229,
1699094400000,230,229,229,
1699095000000,230,229,229,
1699095600000,231,230,230,
1699096200000,231,230,229,
1699096800000,230,229,229,
1699097400000,230,229,229,
1699098000000,230,229,229,
1699098600000,230,229,229,
1699099200000,231,229,231,
1699099800000,231,229,230,
1699100400000,230,229,230,
1699101000000,230,229,230,
1699101600000,230,229,230,
1699102200000,230,229,230,
1699102800000,230,228,231,
1699103400000,230,229,230,
1699104000000,230,229,230,
1699104600000,231,229,230,
1699105200000,230,229,230,
1699105800000,230,229,230,
1699106400000,231,229,230,
1699107000000,230,229,230,
1699107600000,230,229,230,
1699108200000,230,229,230,
1699108800000,231,229,230,
1699109400000,231,230,230,
1699110000000,231,229,230,
1699110600000,230,229,230,
1699111200000,231,229,230,
1699111800000,231,229,230,
1699112400000,231,229,230,
1699113000000,231,229,230,
1699113600000,231,230,230,
1699114200000,230,229,230,
1699114800000,230,229,230,
1699115400000,230,229,230,
1699116000000,231,230,230,
1699116600000,231,230,230,
1699117200000,231,229,230,
1699117800000,230,229,230,
1699118400000,230,229,230,
1699119000000,231,229,230,
1699119600000,230,229,230,
1699120200000,230,229,230,
1699120800000,231,230,231,
1699121400000,230,229,230,
1699122000000,230,229,230,
1699122600000,230,229,230,
1699123200000,230,229,230,
1699123800000,230,229,230,
1699124400000,230,229,230,
1699125000000,230,229,230,
1699125600000,230,229,229,
1699126200000,230,229,230,
1699126800000,231,229,230,
1699127400000,230,229,230,
1699128000000,230,229,230,
1699128600000,230,229,230,
1699129200000,230,229,230,
1699129800000,231,230,230,
1699130400000,231,229,230,
1699131000000,231,228,231,
1699131600000,230,229,230,
1699132200000,232,230,231,
1699132800000,231,230,230,
1699133400000,230,229,230,
1699134000000,231,230,230,
1699134600000,231,230,231,
1699135200000,231,230,230,
1699135800000,231,230,231,
1699136400000,230,229,230,
1699137000000,230,229,230,
1699137600000,231,230,231,
1699138200000,230,229,230,
1699138800000,232,230,232,
1699139400000,231,229,230,
1699140000000,231,230,231,
1699140600000,230,229,230,
1699141200000,231,229,230,
1699141800000,231,229,230,
1699142400000,230,229,230,
1699143000000,231,230,230,
1699143600000,231,230,230,
1699144200000,230,229,230,
1699144800000,230,229,230,
