intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Oct 11 2023|  TO Wed Oct 18 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1696962600000,230,229,230,
1696963200000,230,230,230,
1696963800000,230,230,231,
1696964400000,230,229,230,
1696965000000,230,229,230,
1696965600000,230,229,230,
1696966200000,230,229,230,
1696966800000,230,229,230,
1696967400000,230,229,230,
1696968000000,231,230,230,
1696968600000,230,230,230,
1696969200000,230,230,231,
1696969800000,230,230,231,
1696970400000,230,229,231,
1696971000000,230,229,231,
1696971600000,230,229,230,
1696972200000,230,230,230,
1696972800000,230,230,231,
1696973400000,230,230,231,
1696974000000,230,230,231,
1696974600000,231,230,231,
1696975200000,230,230,230,
1696975800000,230,230,231,
1696976400000,230,230,231,
1696977000000,230,229,230,
1696977600000,230,230,230,
1696978200000,231,230,231,
1696978800000,230,230,232,
1696979400000,230,230,231,
1696980000000,230,230,230,
1696980600000,231,230,231,
1696981200000,230,229,230,
1696981800000,230,229,231,
1696982400000,230,230,231,
1696983000000,230,229,230,
1696983600000,231,230,230,
1696984200000,230,229,230,
1696984800000,230,229,230,
1696985400000,231,230,230,
1696986000000,230,229,230,
1696986600000,230,229,230,
1696987200000,230,229,231,
1696987800000,230,229,231,
1696988400000,230,229,230,
1696989000000,231,229,231,
1696989600000,230,230,230,
1696990200000,230,229,231,
1696990800000,230,230,230,
1696991400000,230,229,230,
1696992000000,230,229,230,
1696992600000,231,230,230,
1696993200000,231,229,230,
1696993800000,230,229,230,
1696994400000,230,229,230,
1696995000000,230,229,230,
1696995600000,230,229,230,
1696996200000,231,229,230,
1696996800000,230,230,230,
1696997400000,230,229,230,
1696998000000,230,231,229,
1696998600000,230,229,229,
1696999200000,230,229,229,
1696999800000,230,229,229,
1697000400000,230,229,229,
1697001000000,230,231,229,
1697001600000,229,229,229,
1697002200000,229,229,229,
1697002800000,229,229,229,
1697003400000,230,230,229,
1697004000000,229,229,229,
1697004600000,230,230,230,
1697005200000,229,229,229,
1697005800000,229,229,229,
1697006400000,229,229,229,
1697007000000,229,229,229,
1697007600000,229,229,229,
1697008200000,229,229,229,
1697008800000,229,229,229,
1697009400000,229,229,229,
1697010000000,230,229,229,
1697010600000,230,229,229,
1697011200000,230,229,229,
1697011800000,230,229,229,
1697012400000,230,229,230,
1697013000000,230,229,229,
1697013600000,230,229,229,
1697014200000,229,229,229,
1697014800000,229,228,229,
1697015400000,229,229,229,
1697016000000,229,229,228,
1697016600000,229,229,228,
1697017200000,229,229,229,
1697017800000,229,229,229,
1697018400000,229,229,229,
1697019000000,230,229,228,
1697019600000,230,229,230,
1697020200000,229,229,229,
1697020800000,229,228,230,
1697021400000,230,228,229,
1697022000000,230,228,229,
1697022600000,229,228,229,
1697023200000,230,228,229,
1697023800000,230,228,229,
1697024400000,230,228,229,
1697025000000,230,229,230,
1697025600000,230,228,229,
1697026200000,230,228,229,
1697026800000,230,229,229,
1697027400000,230,229,229,
1697028000000,230,229,229,
1697028600000,230,229,229,
1697029200000,230,229,229,
1697029800000,230,229,229,
1697030400000,231,229,230,
1697031000000,230,229,229,
1697031600000,231,229,229,
1697032200000,230,229,229,
1697032800000,230,229,229,
1697033400000,230,229,230,
1697034000000,230,229,230,
1697034600000,230,229,230,
1697035200000,230,229,230,
1697035800000,230,229,230,
1697036400000,230,229,230,
1697037000000,230,229,230,
1697037600000,230,229,230,
1697038200000,230,229,230,
1697038800000,230,229,230,
1697039400000,230,229,230,
1697040000000,230,229,230,
1697040600000,230,229,230,
1697041200000,230,229,230,
1697041800000,230,229,230,
1697042400000,230,229,230,
1697043000000,230,229,230,
1697043600000,231,229,230,
1697044200000,231,229,230,
1697044800000,231,229,230,
1697045400000,231,229,230,
1697046000000,231,229,230,
1697046600000,230,229,230,
1697047200000,230,229,230,
1697047800000,230,229,230,
1697048400000,230,229,230,
1697049000000,230,229,230,
1697049600000,230,229,230,
1697050200000,230,229,230,
1697050800000,230,229,230,
1697051400000,230,229,230,
1697052000000,230,229,230,
1697052600000,231,229,230,
