intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Oct 19 2023|  TO Thu Oct 26 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1697653800000,230,230,230,
1697654400000,230,230,230,
1697655000000,230,230,230,
1697655600000,230,230,230,
1697656200000,230,230,230,
1697656800000,231,230,231,
1697657400000,230,230,230,
1697658000000,230,230,230,
1697658600000,230,230,230,
1697659198000,230,229,230,
1697659200000,230,229,230,
1697659800000,230,230,231,
1697660400000,230,231,230,
1697661000000,230,230,230,
1697661600000,230,230,230,
1697662200000,230,230,230,
1697662800000,230,230,230,
1697663400000,230,230,230,
1697664000000,230,230,230,
1697664600000,230,230,230,
1697665200000,230,230,230,
1697665800000,230,230,230,
1697666400000,230,230,230,
1697667000000,230,230,230,
1697667600000,230,230,230,
1697668200000,230,230,230,
1697668800000,230,230,230,
1697669400000,230,230,230,
1697670000000,231,231,231,
1697670600000,231,230,230,
1697671200000,231,230,231,
1697671800000,230,230,230,
1697672400000,230,230,230,
1697673000000,230,230,230,
1697673600000,230,230,230,
1697674200000,230,230,230,
1697674800000,230,230,230,
1697675400000,230,230,230,
1697676000000,230,230,230,
1697676600000,230,230,230,
1697677200000,230,230,230,
1697677800000,230,230,230,
1697678400000,230,230,230,
1697679000000,230,230,230,
1697679600000,230,230,230,
1697680200000,230,230,230,
1697680800000,230,230,230,
1697681400000,230,230,230,
1697682000000,230,230,229,
1697682600000,230,229,229,
1697683200000,230,230,230,
1697683800000,230,230,230,
1697684400000,230,230,230,
1697685000000,230,230,230,
1697685600000,230,230,230,
1697686200000,230,230,230,
1697686800000,230,230,230,
1697687400000,230,230,230,
1697688000000,230,230,230,
1697688600000,229,229,230,
1697689200000,230,229,230,
1697689800000,230,229,229,
1697690400000,230,229,229,
1697691000000,230,229,229,
1697691600000,230,229,228,
1697692200000,230,229,229,
1697692800000,229,229,229,
1697693400000,229,228,229,
1697694000000,229,229,228,
1697694600000,229,229,229,
1697695200000,229,230,229,
1697695800000,229,230,228,
1697696400000,229,229,228,
1697697000000,229,229,229,
1697697600000,229,229,228,
1697698200000,229,229,229,
1697698800000,229,229,228,
1697699400000,229,229,228,
1697700000000,229,229,229,
1697700600000,229,229,229,
1697701200000,229,229,229,
1697701800000,229,229,229,
1697702400000,229,228,228,
1697703000000,229,229,229,
1697703600000,229,229,229,
1697704200000,229,229,229,
1697704800000,230,230,229,
1697705400000,229,229,229,
1697706000000,229,229,229,
1697706600000,229,229,229,
1697707200000,229,229,229,
1697707800000,229,229,229,
1697708400000,229,229,228,
1697709000000,229,228,228,
1697709600000,229,229,229,
1697710200000,229,229,229,
1697710800000,229,229,229,
1697711400000,229,229,228,
1697712000000,229,229,229,
1697712600000,229,229,228,
1697713200000,229,229,228,
1697713800000,229,229,228,
1697714400000,229,229,228,
1697715000000,230,229,230,
1697715600000,230,229,229,
1697716200000,230,228,229,
1697716800000,230,228,229,
1697717400000,230,228,229,
1697718000000,230,228,229,
1697718600000,230,229,230,
1697719200000,231,228,230,
1697719800000,230,228,230,
1697720400000,230,228,230,
1697721000000,230,229,230,
1697721600000,230,229,229,
1697722200000,230,229,229,
1697722800000,230,229,229,
1697723400000,230,229,230,
1697724000000,230,229,230,
1697724600000,230,229,230,
1697725200000,230,229,230,
1697725800000,230,229,230,
1697726400000,230,229,230,
1697727000000,230,229,230,
1697727600000,230,230,231,
1697728200000,230,229,230,
1697728800000,230,229,230,
1697729400000,230,230,230,
1697730000000,230,229,230,
1697730600000,230,229,230,
1697731200000,230,229,230,
1697731800000,230,229,230,
1697732400000,230,229,230,
1697733000000,230,229,231,
1697733600000,230,230,230,
1697734200000,230,230,230,
1697734800000,230,229,230,
1697735400000,230,229,230,
1697736000000,230,229,230,
1697736600000,230,229,231,
1697737200000,230,229,230,
1697737800000,230,229,230,
1697738400000,230,229,230,
1697739000000,230,229,230,
1697739600000,230,229,230,
1697740200000,230,230,230,
1697740800000,230,229,230,
1697741400000,230,229,230,
1697742000000,230,229,230,
1697742600000,230,229,230,
1697743200000,230,229,230,
1697743800000,230,229,230,
1697744400000,230,230,231,
1697745000000,230,230,231,
1697745600000,230,229,230,
1697746200000,230,229,230,
1697746800000,230,230,231,
1697747400000,230,229,230,
1697748000000,230,229,230,
1697748600000,230,229,230,
1697749200000,230,229,230,
1697749800000,230,229,232,
1697750400000,230,229,230,
1697751000000,230,230,231,
1697751600000,230,229,230,
1697752200000,230,229,230,
1697752800000,230,229,230,
1697753400000,230,229,230,
1697754000000,230,229,230,
1697754600000,230,229,230,
1697755200000,230,229,230,
1697755800000,230,229,230,
1697756400000,230,229,230,
1697757000000,230,229,230,
1697757600000,230,229,230,
1697758200000,230,229,230,
1697758800000,230,230,231,
1697759400000,230,230,231,
1697760000000,230,230,230,
1697760600000,230,229,230,
1697761200000,230,230,230,
1697761800000,230,229,230,
1697762400000,230,230,230,
1697763000000,230,230,231,
1697763600000,230,230,230,
1697764200000,230,230,231,
1697764800000,230,230,230,
1697765400000,230,230,230,
1697766000000,230,230,231,
1697766600000,230,230,231,
1697767200000,231,230,232,
1697767800000,230,230,231,
1697768400000,230,230,231,
1697769000000,230,230,230,
1697769600000,230,230,231,
