intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Fri Oct 27 2023|  TO Fri Nov 03 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1698345000000,230,230,231,
1698345600000,230,229,230,
1698346200000,230,229,230,
1698346800000,231,230,230,
1698347400000,230,229,230,
1698348000000,230,229,230,
1698348600000,230,229,230,
1698349200000,231,230,231,
1698349800000,230,229,230,
1698350400000,230,230,230,
1698351000000,230,230,231,
1698351600000,230,230,230,
1698352200000,230,229,230,
1698352800000,230,230,231,
1698353400000,230,230,231,
1698354000000,230,230,230,
1698354600000,230,230,230,
1698355200000,230,230,230,
1698355800000,231,230,231,
1698356400000,231,230,231,
1698357000000,231,230,231,
1698357600000,230,229,230,
1698358200000,230,230,230,
1698358800000,230,230,230,
1698359400000,230,230,230,
1698360000000,230,230,231,
1698360600000,230,230,231,
1698361200000,231,230,231,
1698361800000,230,230,230,
1698362400000,230,230,231,
1698363000000,230,229,230,
1698363600000,230,230,231,
1698364200000,231,231,232,
1698364800000,230,230,231,
1698365400000,230,230,232,
1698366000000,230,230,230,
1698366600000,230,230,230,
1698367200000,230,230,231,
1698367800000,230,230,231,
1698368400000,230,230,230,
1698369000000,230,230,230,
1698369600000,230,230,230,
1698370200000,230,230,231,
1698370800000,230,230,231,
1698371400000,231,231,232,
1698372000000,230,230,231,
1698372600000,230,229,230,
1698373200000,230,229,230,
1698373800000,230,230,231,
1698374400000,230,229,230,
1698375000000,230,229,231,
1698375600000,230,230,231,
1698376200000,230,230,230,
1698376800000,230,229,230,
1698377400000,230,229,231,
1698378000000,230,229,231,
1698378600000,230,229,230,
1698379200000,230,229,230,
1698379800000,230,229,230,
1698380400000,229,229,230,
1698381000000,229,230,230,
1698381600000,230,230,230,
1698382200000,230,229,230,
1698382800000,229,229,230,
1698383400000,230,229,230,
1698384000000,229,229,230,
1698384600000,229,229,230,
1698385200000,230,230,229,
1698385800000,229,229,229,
1698386400000,229,229,229,
1698387000000,229,229,229,
1698387600000,229,229,229,
1698388200000,230,229,229,
1698388800000,229,229,229,
1698389400000,230,229,229,
1698390000000,230,229,229,
1698390600000,229,228,229,
1698391200000,230,229,229,
1698391800000,229,229,230,
1698392400000,229,229,229,
1698393000000,229,229,230,
1698393600000,229,229,230,
1698394200000,229,229,230,
1698394800000,229,229,230,
1698395400000,229,229,229,
1698396000000,229,229,230,
1698396600000,229,229,230,
1698397200000,229,229,229,
1698397800000,229,229,230,
1698398400000,229,229,229,
1698399000000,229,229,229,
1698399600000,229,229,229,
1698400200000,229,229,229,
1698400800000,229,229,229,
1698401400000,229,229,229,
1698402000000,230,229,229,
1698402600000,229,229,229,
1698403200000,229,229,229,
1698403800000,229,229,229,
1698404400000,229,229,229,
1698405000000,229,229,229,
1698405600000,229,229,229,
1698406200000,229,229,229,
1698406800000,230,229,230,
1698407400000,230,229,230,
1698408000000,230,229,230,
1698408600000,230,229,230,
1698409200000,230,229,230,
1698409800000,230,229,230,
1698410400000,230,229,230,
1698411000000,230,229,230,
1698411600000,230,229,230,
1698412200000,231,230,230,
1698412800000,230,229,230,
1698413400000,230,229,230,
1698414000000,230,230,231,
1698414600000,230,229,230,
1698415200000,230,229,230,
1698415800000,230,229,230,
1698416400000,230,229,230,
1698417000000,230,229,230,
1698417600000,230,229,230,
1698418200000,231,230,231,
1698418800000,230,230,230,
1698419400000,230,229,230,
1698420000000,230,229,230,
1698420600000,230,230,231,
1698421200000,230,230,230,
1698421800000,230,229,230,
1698422400000,230,230,230,
1698423000000,230,230,231,
1698423600000,231,230,231,
1698424200000,230,229,230,
1698424800000,230,230,230,
1698425400000,230,230,230,
1698426000000,230,230,230,
1698426600000,230,230,231,
1698427200000,230,230,230,
1698427800000,231,230,231,
1698428400000,230,230,230,
1698429000000,230,230,230,
1698429600000,230,230,230,
1698430200000,231,230,231,
1698430800000,231,230,231,
1698431400000,230,230,230,
1698432000000,230,230,230,
1698432600000,230,230,230,
1698433200000,230,230,231,
1698433800000,230,230,230,
1698434400000,231,230,231,
1698435000000,230,230,230,
1698435600000,230,230,231,
1698436200000,230,230,231,
1698436800000,231,230,231,
1698437400000,230,230,230,
1698438000000,230,230,231,
1698438600000,231,230,232,
1698439200000,230,230,231,
1698439800000,230,230,231,
1698440400000,230,230,230,
1698441000000,230,230,231,
1698441600000,231,230,232,
1698442200000,230,230,232,
1698442800000,230,230,232,
1698443400000,230,230,231,
1698444000000,231,230,231,
1698444600000,230,229,231,
1698445200000,230,230,231,
1698445800000,230,230,231,
1698446400000,230,230,231,
1698447000000,230,230,230,
1698447600000,230,230,231,
1698448200000,230,230,230,
1698448800000,231,230,231,
1698449400000,231,230,231,
1698450000000,230,230,230,
1698450600000,230,230,230,
1698451200000,231,230,231,
1698451800000,230,230,231,
1698452400000,231,231,231,
1698453000000,230,229,230,
1698453600000,230,229,230,
1698454200000,230,230,230,
1698454800000,230,229,230,
1698455400000,230,230,230,
1698456000000,230,229,231,
1698456600000,230,230,230,
1698457200000,230,230,230,
1698457800000,230,230,230,
1698458400000,230,229,230,
1698459000000,230,229,230,
1698459600000,230,229,230,
1698460200000,230,230,230,
1698460800000,230,229,231,
1698461400000,230,229,231,
1698462000000,231,230,231,
1698462600000,230,229,230,
1698463200000,230,229,230,
1698463800000,230,229,230,
1698464400000,230,229,230,
1698465000000,230,229,230,
1698465600000,230,229,230,
1698466200000,230,229,230,
1698466800000,230,229,230,
1698467400000,230,229,230,
1698468000000,230,229,230,
1698468600000,230,229,230,
1698469200000,230,229,230,
1698469800000,230,229,230,
1698470400000,230,229,230,
1698471000000,230,229,230,
1698471600000,230,229,231,
1698472200000,230,229,231,
1698472800000,231,230,231,
1698473400000,230,229,230,
1698474000000,230,229,230,
1698474600000,231,229,230,
1698475200000,230,229,230,
1698475800000,231,230,231,
1698476400000,230,229,230,
1698477000000,231,230,231,
1698477600000,230,230,230,
1698478200000,231,230,231,
1698478800000,230,229,230,
1698479400000,230,229,230,
1698480000000,230,229,230,
1698480600000,230,229,230,
1698481200000,230,230,230,
1698481800000,230,230,230,
1698482400000,230,229,230,
1698483000000,230,230,230,
1698483600000,230,229,230,
1698484200000,231,230,231,
1698484800000,230,229,230,
1698485400000,230,229,230,
1698486000000,230,229,230,
1698486600000,229,229,231,
1698487200000,230,229,230,
1698487800000,230,229,230,
1698488400000,231,230,231,
1698489000000,230,229,230,
1698489600000,230,230,230,
1698490200000,231,230,231,
1698490800000,230,229,230,
1698491400000,230,229,230,
1698492000000,230,229,230,
1698492600000,230,229,230,
1698493200000,230,229,230,
1698493800000,230,229,230,
1698494400000,230,229,230,
1698495000000,230,229,230,
1698495600000,230,229,230,
1698496200000,230,229,230,
1698496800000,230,229,230,
1698497400000,231,230,231,
1698498000000,230,229,230,
1698498600000,230,229,230,
1698499200000,230,229,230,
1698499800000,230,229,230,
1698500400000,230,229,230,
1698501000000,230,229,231,
1698501600000,231,229,230,
1698502200000,230,229,230,
1698502800000,230,229,230,
1698503400000,230,229,230,
1698504000000,230,229,230,
1698504600000,230,229,230,
1698505200000,230,230,230,
1698505800000,230,230,230,
1698506400000,230,230,230,
1698507000000,230,230,230,
1698507600000,230,230,230,
1698508200000,230,230,230,
1698508800000,231,230,231,
1698509400000,230,229,230,
1698510000000,230,229,230,
1698510600000,230,229,230,
1698511200000,230,230,230,
1698511800000,230,230,230,
1698512400000,230,230,230,
1698513000000,230,230,230,
1698513600000,231,230,231,
1698514200000,230,230,230,
1698514800000,230,230,230,
1698515400000,230,229,230,
1698516000000,231,230,231,
1698516600000,230,229,230,
1698517200000,230,229,230,
1698517800000,230,230,231,
1698518400000,230,229,230,
1698519000000,230,230,230,
1698519600000,230,229,230,
1698520200000,230,229,230,
1698520800000,230,229,230,
1698521400000,231,230,231,
1698522000000,230,229,230,
1698522600000,230,229,230,
1698523200000,230,229,230,
1698523800000,230,229,230,
1698524400000,230,229,230,
1698525000000,230,229,230,
1698525600000,230,229,230,
1698526200000,230,229,230,
1698526800000,230,229,230,
1698527400000,230,230,231,
1698528000000,231,230,231,
1698528600000,230,230,230,
1698529200000,230,230,231,
1698529800000,230,230,231,
1698530400000,230,230,231,
1698531000000,230,230,231,
1698531600000,230,230,231,
1698532200000,230,230,231,
1698532800000,230,230,231,
1698533400000,230,229,230,
1698534000000,230,229,230,
1698534600000,230,230,230,
1698535200000,230,230,231,
1698535800000,230,230,231,
1698536400000,230,229,231,
1698537000000,231,230,232,
1698537600000,230,230,231,
1698538200000,230,230,231,
1698538800000,230,230,232,
1698539400000,230,229,230,
1698540000000,230,230,230,
1698540600000,230,230,231,
1698541200000,231,230,231,
1698541800000,231,230,231,
1698542400000,230,230,230,
1698543000000,230,229,231,
1698543600000,230,230,231,
1698544200000,230,230,231,
1698544800000,230,230,231,
1698545400000,230,230,231,
1698546000000,230,230,230,
1698546600000,230,229,230,
1698547200000,230,229,230,
1698547800000,230,229,230,
1698548400000,230,229,230,
1698549000000,230,229,230,
1698549600000,230,230,230,
1698550200000,230,229,230,
1698550800000,230,230,231,
1698551400000,230,230,231,
1698552000000,230,230,230,
1698552600000,231,230,231,
1698553200000,230,229,231,
1698553800000,230,229,230,
1698554400000,230,229,230,
1698555000000,230,229,230,
1698555600000,230,230,230,
1698556200000,230,229,230,
1698556800000,230,229,230,
1698557400000,230,229,230,
1698558000000,230,229,230,
1698558600000,230,230,230,
1698559200000,230,229,230,
1698559800000,230,229,230,
1698560400000,230,229,230,
1698560999000,230,229,230,
1698561600000,230,229,230,
1698562200000,230,229,230,
1698562800000,230,229,231,
1698563400000,230,229,230,
1698564000000,231,230,231,
1698564600000,230,229,230,
1698565200000,230,230,230,
1698565800000,230,230,230,
1698566400000,230,229,230,
1698567000000,230,229,230,
1698567600000,230,229,229,
1698568200000,230,229,230,
1698568800000,230,229,229,
1698569400000,230,229,230,
1698570000000,230,229,230,
1698570600000,230,229,229,
1698571200000,230,229,229,
1698571800000,230,229,230,
1698572400000,230,229,230,
1698573000000,230,230,231,
1698573600000,230,229,230,
1698574200000,230,229,230,
1698574800000,230,229,229,
1698575400000,230,229,229,
1698576000000,230,229,229,
1698576600000,230,229,229,
1698577200000,230,229,229,
1698577800000,231,229,230,
1698578400000,230,229,230,
1698579000000,230,229,230,
1698579600000,230,229,230,
1698580200000,230,229,230,
1698580800000,230,229,230,
1698581400000,230,229,230,
1698582000000,230,229,229,
1698582600000,230,229,229,
1698583200000,230,229,230,
1698583800000,230,229,229,
1698584400000,230,229,230,
1698585000000,230,229,229,
1698585600000,230,229,229,
1698586200000,230,230,230,
1698586800000,230,229,230,
1698587400000,230,229,230,
1698588000000,230,229,230,
1698588600000,230,230,230,
1698589200000,230,230,230,
1698589800000,230,230,230,
1698590400000,230,230,230,
1698591000000,230,230,230,
1698591600000,230,229,230,
1698592200000,230,229,230,
1698592800000,230,230,230,
1698593400000,230,229,230,
1698594000000,230,229,230,
1698594600000,230,230,230,
1698595200000,230,230,230,
1698595800000,230,229,230,
1698596400000,230,230,230,
1698597000000,230,229,230,
1698597600000,231,230,231,
1698598200000,231,230,230,
1698598800000,230,230,231,
1698599400000,230,230,230,
1698600000000,230,229,230,
1698600600000,230,229,230,
1698601200000,230,229,230,
1698601800000,230,229,230,
1698602400000,231,230,230,
1698603000000,230,229,230,
1698603600000,230,229,230,
1698604200000,230,229,230,
1698604800000,230,229,230,
1698605400000,230,229,230,
1698606000000,230,229,230,
1698606600000,230,229,230,
1698607200000,230,230,230,
1698607800000,230,229,230,
1698608400000,230,229,230,
1698609000000,230,229,230,
1698609600000,230,229,230,
1698610200000,230,229,230,
1698610800000,230,230,230,
1698611400000,230,229,230,
1698612000000,230,229,230,
1698612600000,230,230,231,
1698613200000,230,229,230,
1698613800000,230,229,230,
1698614400000,230,229,230,
1698615000000,230,229,231,
1698615600000,230,229,231,
1698616200000,230,229,231,
1698616800000,230,230,231,
1698617400000,230,229,230,
1698618000000,230,229,230,
1698618600000,230,230,231,
1698619200000,230,229,230,
1698619800000,230,230,230,
1698620400000,230,230,230,
1698621000000,231,230,231,
1698621600000,230,230,230,
1698622200000,230,230,230,
1698622800000,230,230,230,
1698623400000,231,230,231,
1698624000000,230,230,230,
1698624600000,230,230,230,
1698625200000,230,230,230,
1698625800000,230,229,230,
1698626400000,230,229,230,
1698627000000,230,229,230,
1698627600000,230,229,230,
1698628200000,230,230,230,
1698628800000,230,230,230,
1698629400000,231,231,231,
1698630000000,231,230,231,
1698630600000,230,230,231,
1698631200000,230,230,230,
1698631800000,230,229,231,
1698632400000,230,229,230,
1698633000000,230,229,230,
1698633600000,230,229,230,
1698634200000,230,229,230,
1698634800000,230,230,231,
1698635400000,230,230,230,
1698636000000,231,230,231,
1698636600000,230,229,230,
1698637200000,230,229,230,
1698637800000,230,229,230,
1698638400000,230,229,230,
1698639000000,231,230,231,
1698639600000,230,230,229,
1698640200000,230,229,229,
1698640800000,230,229,229,
1698641400000,229,229,229,
1698642000000,229,229,229,
1698642600000,229,229,229,
1698643200000,229,229,229,
1698643800000,229,229,229,
1698644400000,229,229,229,
1698645000000,229,229,229,
1698645600000,229,229,229,
1698646200000,229,229,229,
1698646800000,229,229,229,
1698647400000,230,229,229,
1698648000000,229,229,229,
1698648600000,229,229,228,
1698649200000,229,229,229,
1698649800000,230,229,229,
1698650400000,229,229,229,
1698651000000,230,229,229,
1698651600000,230,229,230,
1698652200000,230,229,229,
1698652800000,230,229,229,
1698653400000,229,229,229,
1698654000000,230,229,229,
1698654600000,230,229,230,
1698655200000,229,229,229,
1698655800000,229,229,229,
1698656400000,229,229,229,
1698657000000,229,228,229,
1698657600000,229,228,229,
1698658200000,229,229,229,
1698658800000,231,229,230,
1698659400000,230,229,229,
1698660000000,229,228,228,
1698660600000,229,229,229,
1698661200000,229,228,228,
1698661800000,229,229,229,
1698662400000,229,229,229,
1698663000000,229,229,229,
1698663600000,230,229,229,
1698664200000,229,229,229,
1698664800000,230,229,229,
1698665400000,229,228,229,
1698666000000,230,230,229,
1698666600000,230,229,230,
1698667200000,230,229,229,
1698667800000,230,229,229,
1698668400000,230,229,229,
1698669000000,229,229,229,
1698669600000,230,229,229,
1698670200000,230,229,229,
1698670800000,230,229,230,
1698671400000,230,229,229,
1698672000000,230,229,230,
1698672600000,230,229,230,
1698673200000,230,229,230,
1698673800000,230,229,230,
1698674400000,230,229,230,
1698675000000,230,229,230,
1698675600000,230,229,230,
1698676200000,230,229,230,
1698676800000,230,229,229,
1698677400000,230,230,230,
1698678000000,230,229,230,
1698678600000,230,230,230,
1698679200000,231,230,231,
1698679800000,230,230,230,
1698680400000,230,230,230,
1698681000000,230,229,230,
1698681600000,231,230,230,
1698682200000,230,229,230,
1698682800000,230,229,230,
1698683400000,230,229,229,
1698684000000,230,229,230,
1698684600000,230,229,230,
1698685200000,230,229,230,
1698685800000,230,229,230,
1698686400000,230,229,230,
1698687000000,230,229,230,
1698687600000,230,230,230,
1698688200000,230,229,230,
1698688800000,230,229,230,
1698689400000,230,229,230,
1698690000000,230,230,230,
1698690600000,230,229,230,
1698691200000,230,230,230,
1698691800000,231,230,231,
1698692400000,230,229,230,
1698693000000,231,230,230,
1698693600000,230,229,231,
1698694200000,230,229,230,
1698694800000,230,230,230,
1698695400000,230,230,230,
1698696000000,230,229,230,
1698696600000,230,231,230,
1698697200000,230,229,230,
1698697800000,230,229,230,
1698698400000,230,229,230,
1698699000000,230,230,230,
1698699600000,230,229,230,
1698700200000,230,230,231,
1698700800000,230,229,230,
1698701400000,230,230,230,
1698702000000,230,229,230,
1698702600000,230,229,230,
1698703200000,230,230,231,
1698703800000,231,230,230,
1698704400000,231,230,231,
1698705000000,230,230,230,
1698705600000,230,230,230,
1698706200000,231,230,231,
1698706800000,230,230,230,
1698707400000,231,230,230,
1698708000000,231,229,230,
1698708600000,230,230,230,
1698709200000,230,229,230,
1698709800000,230,230,230,
1698710400000,230,230,231,
1698711000000,230,230,231,
1698711600000,230,230,230,
1698712200000,230,229,230,
1698712800000,230,229,230,
1698713400000,230,230,231,
1698714000000,230,230,231,
1698714600000,230,230,230,
1698715200000,230,230,230,
1698715800000,230,230,230,
1698716400000,231,230,231,
1698717000000,230,230,230,
1698717600000,230,230,230,
1698718200000,230,230,231,
1698718800000,230,229,230,
1698719400000,230,229,230,
1698720000000,230,230,230,
1698720600000,231,230,230,
1698721200000,231,230,230,
1698721800000,230,230,230,
1698722400000,230,230,230,
1698723000000,230,229,230,
1698723600000,230,229,230,
1698724200000,230,229,230,
1698724800000,231,230,231,
1698725400000,230,230,230,
1698726000000,230,229,230,
1698726600000,230,229,229,
1698727200000,230,229,229,
1698727800000,230,229,230,
1698728400000,231,230,230,
1698729000000,229,230,230,
1698729600000,230,229,229,
1698730200000,229,229,229,
1698730800000,229,229,229,
1698731400000,230,229,229,
1698732000000,229,229,229,
1698732600000,229,229,229,
1698733200000,229,229,229,
1698733800000,229,229,229,
1698734400000,230,229,229,
1698735000000,229,228,229,
1698735600000,230,229,229,
1698736200000,229,229,229,
1698736800000,229,229,229,
1698737400000,229,229,230,
1698738000000,229,229,230,
1698738600000,229,229,229,
1698739200000,229,229,229,
1698739800000,229,229,229,
1698740400000,229,229,229,
1698741000000,229,229,229,
1698741600000,229,229,229,
1698742200000,229,229,229,
1698742800000,229,229,230,
1698743400000,229,229,229,
1698744000000,229,229,229,
1698744600000,229,230,229,
1698745200000,229,229,229,
1698745800000,229,229,229,
1698746400000,229,229,229,
1698747000000,230,229,230,
1698747600000,229,229,229,
1698748200000,229,229,229,
1698748800000,229,229,229,
1698749400000,229,229,229,
1698750000000,229,229,229,
1698750600000,229,229,229,
1698751200000,229,229,230,
1698751800000,229,229,229,
1698752400000,230,229,229,
1698752999000,230,229,230,
1698753600000,230,229,230,
1698754200000,230,229,229,
1698754800000,230,229,230,
1698755400000,230,229,229,
1698756000000,230,229,229,
1698756600000,230,229,230,
1698757200000,230,229,230,
1698757800000,230,229,230,
1698758400000,230,229,230,
1698759000000,230,230,230,
1698759600000,230,229,230,
1698760200000,230,229,230,
1698760800000,230,229,230,
1698761400000,230,229,230,
1698762000000,230,229,230,
1698762600000,230,229,230,
1698763200000,230,229,230,
1698763800000,230,229,230,
1698764400000,230,229,230,
1698765000000,230,229,230,
1698765600000,230,229,230,
1698766200000,230,229,230,
1698766800000,230,229,230,
1698767400000,231,230,231,
1698768000000,231,230,230,
1698768600000,230,229,230,
1698769200000,230,229,230,
1698769800000,230,229,230,
1698770400000,230,229,230,
1698771000000,230,229,230,
1698771600000,230,229,230,
1698772200000,230,230,230,
1698772800000,230,229,230,
1698773400000,230,230,230,
1698774000000,230,229,230,
1698774600000,230,230,230,
1698775200000,231,230,231,
1698775800000,231,230,231,
1698776400000,230,230,231,
1698777000000,230,229,230,
1698777600000,230,229,230,
1698778200000,230,230,230,
1698778800000,230,230,230,
1698779400000,230,230,230,
1698780000000,231,230,231,
1698780600000,231,230,231,
1698781200000,230,229,230,
1698781800000,231,230,231,
1698782400000,230,230,230,
1698783000000,230,229,230,
1698783600000,230,230,231,
1698784200000,230,229,230,
1698784800000,230,230,231,
1698785400000,231,230,231,
1698786000000,230,229,230,
1698786600000,231,229,231,
1698787200000,230,229,230,
1698787800000,230,229,230,
1698788400000,230,229,230,
1698789000000,230,230,230,
1698789600000,230,230,231,
1698790200000,231,230,231,
1698790800000,230,230,230,
1698791400000,230,229,230,
1698792000000,230,229,230,
1698792600000,230,230,230,
1698793200000,230,230,230,
1698793800000,230,229,231,
1698794400000,230,230,230,
1698795000000,230,230,231,
1698795600000,230,230,231,
1698796200000,231,230,230,
1698796800000,230,230,230,
1698797400000,230,230,230,
1698798000000,230,230,230,
1698798600000,230,229,230,
1698799200000,230,229,231,
1698799800000,231,230,231,
1698800400000,230,229,231,
1698801000000,230,230,231,
1698801600000,230,230,230,
1698802200000,230,229,231,
1698802800000,231,230,231,
1698803400000,230,230,231,
1698804000000,230,230,230,
1698804600000,230,230,230,
1698805200000,230,229,230,
1698805800000,230,230,230,
1698806400000,230,229,230,
1698807000000,230,229,230,
1698807600000,230,229,230,
1698808200000,230,230,230,
1698808800000,230,230,230,
1698809400000,230,229,230,
1698810000000,230,230,230,
1698810600000,231,230,230,
1698811200000,231,229,230,
1698811800000,230,229,230,
1698812400000,230,229,230,
1698813000000,230,229,230,
1698813600000,230,230,230,
1698814200000,230,230,230,
1698814800000,231,230,230,
1698815400000,230,229,230,
1698816000000,231,230,230,
1698816600000,231,229,230,
1698817200000,230,229,229,
1698817800000,230,229,229,
1698818400000,230,229,229,
1698819000000,230,229,229,
1698819600000,230,229,229,
1698820200000,230,229,229,
1698820800000,231,230,230,
1698821400000,230,229,229,
1698822000000,230,229,229,
1698822600000,230,230,230,
1698823200000,230,229,229,
1698823800000,230,229,229,
1698824400000,230,229,230,
1698825000000,231,230,230,
1698825600000,230,229,229,
1698826200000,230,229,229,
1698826800000,230,229,229,
1698827400000,230,229,229,
1698828000000,230,229,229,
1698828600000,231,229,230,
1698829200000,230,229,229,
1698829800000,230,229,230,
1698830400000,230,229,230,
1698831000000,231,230,230,
1698831600000,230,229,230,
1698832200000,231,230,229,
1698832800000,231,229,230,
1698833400000,230,229,230,
1698834000000,230,229,230,
1698834600000,231,229,231,
1698835200000,230,229,229,
1698835800000,230,229,230,
1698836400000,230,229,230,
1698837000000,230,229,230,
1698837600000,230,229,230,
1698838200000,230,229,230,
1698838800000,231,229,230,
1698839400000,230,229,230,
1698840000000,231,230,230,
1698840600000,230,229,230,
1698841200000,230,229,230,
1698841800000,230,229,230,
1698842400000,231,229,230,
1698843000000,230,229,230,
1698843600000,230,229,230,
1698844200000,230,229,230,
1698844800000,230,229,230,
1698845400000,230,229,230,
1698846000000,231,230,230,
1698846600000,230,229,230,
1698847200000,230,229,230,
1698847800000,230,229,230,
1698848400000,231,230,230,
1698849000000,230,229,231,
1698849600000,230,229,230,
1698850200000,231,230,231,
1698850800000,231,229,231,
1698851400000,231,229,230,
1698852000000,231,229,231,
1698852600000,230,229,230,
1698853200000,231,229,231,
1698853800000,231,230,231,
1698854400000,230,229,230,
1698855000000,230,229,230,
1698855600000,231,230,230,
1698856200000,231,230,231,
1698856800000,230,230,231,
1698857400000,231,229,230,
1698858000000,230,229,230,
1698858600000,231,230,231,
1698859200000,231,230,230,
1698859800000,230,229,230,
1698860400000,231,230,231,
1698861000000,230,230,230,
1698861600000,231,230,230,
1698862200000,231,230,230,
1698862800000,230,230,230,
1698863400000,230,229,231,
1698864000000,231,230,230,
1698864600000,231,230,230,
1698865200000,230,229,230,
1698865800000,231,231,231,
1698866400000,231,230,231,
1698867000000,231,230,231,
1698867600000,230,229,230,
1698868200000,231,229,230,
1698868800000,230,230,230,
1698869400000,230,230,231,
1698870000000,231,230,231,
1698870600000,231,230,231,
1698871200000,231,230,231,
1698871800000,231,230,231,
1698872400000,230,229,230,
1698873000000,230,230,230,
1698873600000,231,230,231,
1698874200000,231,230,231,
1698874800000,230,229,231,
1698875400000,230,230,230,
1698876000000,230,229,230,
1698876600000,230,230,231,
1698877200000,230,229,230,
1698877800000,231,230,231,
1698878400000,230,230,230,
1698879000000,230,229,230,
