intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Tue Oct 03 2023|  TO Tue Oct 10 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1696271400000,230,229,230,
1696272000000,230,229,230,
1696272600000,231,230,231,
1696273200000,230,229,230,
1696273800000,230,229,230,
1696274400000,230,230,231,
1696275000000,231,230,231,
1696275600000,230,230,230,
1696276200000,230,230,230,
1696276800000,230,230,230,
1696277400000,230,230,231,
1696278000000,230,230,230,
1696278600000,230,230,231,
1696279200000,230,230,231,
1696279800000,230,229,230,
1696280400000,230,230,231,
1696281000000,230,230,231,
1696281600000,230,230,231,
1696282200000,230,230,230,
1696282800000,230,230,231,
1696283400000,230,230,230,
1696284000000,230,230,231,
1696284600000,230,230,231,
1696285200000,230,229,230,
1696285800000,230,230,230,
1696286400000,230,230,231,
1696287000000,230,230,230,
1696287600000,230,230,231,
1696288200000,231,230,231,
1696288800000,230,230,231,
1696289400000,230,230,231,
1696290000000,230,229,230,
1696290600000,230,230,231,
1696291200000,230,230,230,
1696291800000,230,230,230,
1696292400000,231,230,230,
1696293000000,230,230,231,
1696293600000,230,230,230,
1696294200000,230,230,230,
1696294800000,230,230,231,
1696295400000,230,230,230,
1696296000000,230,230,230,
1696296600000,231,230,230,
1696297200000,230,230,230,
1696297800000,230,230,230,
1696298400000,230,230,230,
1696299000000,230,230,231,
1696299600000,230,230,230,
1696300200000,230,230,231,
1696300800000,230,230,230,
1696301400000,230,230,230,
1696302000000,230,229,230,
1696302600000,230,230,230,
1696303200000,230,229,231,
1696303800000,230,230,231,
1696304400000,230,230,231,
1696305000000,230,229,230,
1696305600000,230,230,230,
1696306200000,230,230,229,
1696306800000,231,230,230,
1696307400000,230,229,228,
1696308000000,230,230,229,
1696308600000,229,229,229,
1696309200000,230,229,229,
1696309800000,229,229,229,
1696310400000,229,229,229,
1696311000000,229,229,229,
1696311600000,229,230,229,
1696312200000,229,229,229,
1696312800000,229,230,230,
1696313400000,229,229,228,
1696314000000,229,230,230,
1696314600000,229,229,228,
1696315200000,229,229,229,
1696315800000,229,229,229,
1696316400000,229,229,228,
1696317000000,229,229,229,
1696317600000,230,229,228,
1696318200000,229,229,228,
1696318800000,229,230,229,
1696319400000,230,229,229,
1696320000000,229,229,229,
1696320600000,229,229,228,
1696321200000,230,230,230,
1696321800000,229,230,229,
1696322400000,229,231,229,
1696323000000,229,230,230,
1696323600000,229,229,229,
1696324200000,229,230,229,
1696324800000,229,229,229,
1696325400000,229,229,229,
1696326000000,229,229,229,
1696326600000,229,230,230,
1696327200000,229,230,230,
1696327800000,229,229,229,
1696328400000,229,229,230,
1696329000000,229,229,229,
1696329600000,229,229,229,
1696330200000,229,229,229,
1696330800000,229,229,229,
