intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Fri Sep 01 2023|  TO Fri Sep 08 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1693506600000,230,230,230,
1693507200000,230,230,230,
1693507800000,231,231,231,
1693508400000,230,229,229,
1693509000000,230,229,229,
1693509600000,230,230,230,
1693510800000,230,229,229,
1693511400000,231,230,231,
1693512000000,231,229,229,
1693512600000,230,229,229,
1693513200000,230,230,229,
1693513800000,230,230,230,
1693514400000,231,230,229,
1693515000000,230,230,230,
1693515600000,230,229,231,
1693516200000,231,230,229,
1693516800000,231,231,230,
1693517400000,230,230,230,
1693518000000,230,230,229,
1693518600000,230,230,229,
1693519200000,230,230,229,
1693519800000,231,230,231,
1693520400000,230,229,229,
1693521000000,230,230,229,
1693521600000,231,230,230,
1693522200000,230,230,229,
1693522800000,231,230,231,
1693524000000,230,229,229,
1693524599000,231,230,231,
1693524600000,230,230,231,
1693525200000,230,230,230,
1693525800000,230,230,229,
1693526400000,231,231,230,
1693527000000,230,230,230,
1693527600000,230,230,230,
1693528200000,231,230,230,
1693528800000,231,230,229,
1693529400000,230,230,230,
1693530000000,231,230,230,
1693530600000,231,231,230,
1693531146000,230,230,230,
1693531200000,230,230,230,
1693531800000,230,230,230,
1693532234000,230,229,230,
1693532400000,231,230,230,
1693533000000,230,230,229,
1693533455000,231,230,230,
1693534200000,231,230,230,
1693534776000,231,230,230,
1693534800000,231,230,230,
1693535400000,231,230,230,
1693536000000,231,230,231,
1693536600000,231,230,230,
1693537200000,230,230,230,
1693537800000,231,230,230,
1693538399000,231,230,230,
1693538400000,231,230,230,
1693539000000,230,230,230,
1693539600000,230,229,229,
1693540200000,230,230,230,
1693540800000,230,230,229,
1693541400000,231,229,229,
1693542000000,230,230,229,
1693542600000,231,230,229,
1693543200000,229,230,228,
1693543800000,230,230,229,
1693544400000,229,230,228,
1693545000000,230,230,229,
1693545600000,229,230,228,
1693546200000,229,229,228,
1693546800000,229,229,228,
1693547400000,229,229,228,
1693548000000,230,229,229,
1693548600000,230,230,229,
1693549200000,230,230,229,
1693549800000,230,230,230,
1693550400000,230,230,229,
1693550993000,229,229,229,
1693551000000,231,230,230,
1693551600000,230,229,229,
1693552200000,230,229,229,
1693552800000,230,229,230,
1693553350000,229,229,229,
1693553400000,229,229,229,
1693554000000,230,229,229,
1693554600000,230,229,229,
1693555149000,230,230,230,
1693555200000,229,229,229,
1693555800000,229,229,229,
1693556275000,229,230,230,
1693556400000,229,229,229,
1693557000000,229,230,230,
1693557600000,229,230,229,
1693558200000,228,229,228,
1693558641000,229,229,228,
1693558800000,229,229,229,
1693559400000,229,229,228,
1693560000000,229,229,228,
1693560600000,229,230,229,
1693561200000,229,229,229,
1693561800000,229,229,228,
1693562400000,228,229,229,
1693563000000,229,229,229,
1693563600000,229,229,228,
1693564200000,229,228,228,
1693564800000,229,229,228,
1693565400000,229,229,228,
1693566000000,229,229,229,
1693566600000,229,228,229,
1693567182000,229,229,230,
