intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sun Sep 17 2023|  TO Sun Sep 24 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1694889000000,230,230,230,
1694889600000,231,230,230,
1694890200000,230,230,230,
1694890800000,231,230,230,
1694891400000,231,230,231,
1694892000000,231,230,230,
1694892600000,230,230,230,
1694893200000,231,230,231,
1694893800000,231,230,230,
1694894400000,230,230,230,
1694895000000,230,230,230,
1694895600000,230,230,230,
1694896200000,230,230,230,
1694896800000,231,230,231,
1694897400000,231,231,231,
1694898000000,230,230,230,
1694898600000,230,230,230,
1694899200000,230,230,230,
1694899800000,230,230,230,
1694900395000,230,230,230,
1694900400000,230,230,230,
1694901000000,230,230,230,
1694901600000,231,231,230,
1694902200000,230,230,230,
1694902800000,230,230,231,
1694903400000,230,230,230,
1694904000000,230,230,230,
1694904600000,230,230,230,
1694905200000,230,230,230,
1694905800000,230,230,230,
1694906400000,230,230,230,
1694907000000,230,230,230,
1694907600000,230,230,230,
1694908200000,230,230,230,
1694908799000,230,230,230,
1694908800000,230,231,231,
1694909400000,230,230,230,
1694910000000,230,230,230,
1694910600000,230,230,230,
1694911200000,230,230,230,
1694911800000,230,230,230,
1694912400000,230,230,230,
1694913000000,230,230,230,
1694914200000,230,230,230,
1694914800000,230,230,230,
1694915400000,230,230,230,
1694916000000,231,230,230,
1694916600000,230,230,230,
1694917200000,230,230,231,
1694917800000,230,230,230,
1694918400000,231,230,231,
1694919000000,230,230,231,
1694919600000,230,230,230,
1694920200000,231,231,230,
1694920800000,231,229,230,
1694921400000,230,229,230,
1694922000000,230,229,230,
1694922600000,230,230,230,
1694923800000,230,230,230,
1694924400000,230,230,230,
1694925000000,230,229,230,
1694925600000,230,230,230,
1694926200000,230,229,230,
1694926800000,231,230,230,
1694927400000,230,230,230,
1694928000000,230,229,230,
1694928600000,230,230,230,
1694929200000,230,230,231,
1694929800000,230,230,230,
1694930400000,230,230,230,
1694931000000,230,230,231,
1694931600000,230,230,230,
1694932800000,230,230,230,
1694933400000,230,229,230,
1694934000000,230,229,230,
1694934600000,230,229,230,
1694935200000,230,229,230,
1694935800000,230,229,230,
1694936400000,230,230,230,
1694937000000,230,230,230,
1694937600000,230,230,230,
1694938200000,230,230,230,
1694938800000,231,230,231,
1694939400000,230,230,230,
1694940000000,230,230,230,
1694940600000,230,230,230,
1694941200000,230,230,230,
1694941800000,230,229,229,
1694942400000,230,230,230,
1694943000000,230,229,230,
1694944800000,230,230,230,
1694945400000,230,229,230,
1694946000000,231,230,231,
1694946583000,230,230,230,
1694946600000,230,230,230,
1694947200000,230,229,230,
1694947800000,231,230,231,
1694948400000,230,230,230,
1694949000000,231,230,230,
1694949600000,230,229,230,
1694950200000,230,230,230,
1694950800000,230,230,230,
1694951400000,231,230,230,
1694952000000,230,230,230,
1694952600000,230,230,229,
1694953200000,230,230,230,
1694953800000,230,230,230,
1694954400000,230,230,230,
1694955000000,231,230,231,
1694955600000,230,230,230,
1694956199000,230,230,230,
1694956200000,230,230,230,
1694956800000,230,230,229,
1694957400000,230,230,230,
1694958000000,230,230,230,
1694958600000,230,230,230,
1694959200000,230,230,230,
1694959800000,231,230,231,
1694960400000,230,230,230,
1694961000000,231,230,231,
1694961600000,230,230,230,
1694962200000,230,229,230,
1694962800000,230,230,230,
1694963400000,230,229,230,
1694963932000,230,229,230,
1694964000000,230,230,230,
1694964600000,230,230,230,
1694965200000,230,230,230,
1694965800000,230,230,230,
1694966400000,230,230,231,
1694966872000,230,230,229,
1694967000000,230,229,230,
1694967600000,230,230,230,
1694968200000,230,230,230,
1694968800000,230,230,230,
1694969400000,230,230,230,
1694970000000,230,230,230,
1694970600000,230,230,230,
1694971200000,230,230,230,
1694971800000,231,230,230,
1694972400000,230,230,230,
1694973000000,230,230,230,
1694973600000,230,230,230,
1694974200000,230,230,230,
1694974800000,230,229,230,
1694975400000,230,230,230,
1694976000000,230,230,230,
1694976600000,230,230,230,
1694977200000,232,230,231,
1694977800000,230,230,230,
1694978400000,230,230,230,
1694979000000,230,230,230,
1694979600000,231,230,230,
1694980200000,230,230,230,
1694980800000,230,230,230,
1694981400000,231,230,230,
1694982000000,230,230,230,
1694982600000,230,230,230,
1694983200000,230,230,230,
1694983800000,231,230,231,
1694984400000,230,230,230,
1694985000000,230,230,230,
1694985600000,231,230,230,
1694986200000,230,230,230,
1694986800000,230,230,230,
1694987361000,231,230,231,
1694987400000,231,230,231,
1694988000000,231,230,231,
1694988534000,231,230,231,
1694988600000,230,230,230,
1694989200000,230,230,230,
1694989800000,230,230,230,
1694991000000,231,230,231,
1694991600000,230,230,230,
1694992200000,231,230,231,
1694992800000,231,230,231,
1694993400000,230,230,230,
1694994000000,230,230,230,
1694994600000,230,230,230,
1694995200000,230,230,230,
1694995800000,231,231,231,
1694996400000,231,230,231,
1694997000000,230,230,231,
1694997600000,231,230,231,
1694998200000,231,230,231,
1694998800000,230,230,230,
1694999400000,230,230,230,
1695000000000,231,230,230,
1695000600000,230,230,230,
1695001164000,230,230,230,
1695001200000,230,230,230,
1695001800000,231,230,230,
1695002400000,230,230,231,
1695003000000,230,230,230,
1695003600000,231,230,231,
1695004200000,230,230,230,
1695004800000,230,230,230,
1695005400000,230,230,230,
1695006000000,231,230,230,
1695006600000,230,230,230,
1695007200000,230,230,230,
1695007800000,230,230,230,
1695008369000,230,230,230,
1695008400000,230,230,230,
1695009000000,230,230,230,
1695009599000,230,230,230,
1695010200000,230,230,230,
1695010800000,230,230,230,
1695011400000,230,230,230,
1695012000000,230,230,229,
1695012600000,230,230,229,
1695013200000,230,230,228,
1695013800000,230,230,230,
1695014400000,230,231,230,
1695015000000,229,230,229,
1695015600000,229,230,229,
1695016200000,229,230,229,
1695016800000,229,230,229,
1695017399000,229,230,229,
1695017400000,229,230,229,
1695018600000,230,229,229,
1695019200000,229,229,228,
1695019800000,230,229,229,
1695020400000,229,229,230,
1695021000000,229,230,230,
1695021600000,229,230,229,
1695022200000,229,230,229,
1695022800000,229,230,229,
1695023400000,230,230,229,
1695024000000,230,229,229,
1695024543000,230,230,229,
1695024600000,230,230,229,
1695025200000,230,229,229,
1695025800000,229,229,229,
1695026400000,230,230,229,
1695027000000,230,230,229,
1695027600000,230,229,230,
1695028200000,230,229,230,
1695028800000,229,229,229,
1695029242000,230,230,229,
1695029400000,230,230,229,
1695030600000,230,230,230,
1695031200000,229,230,229,
1695031800000,230,230,230,
1695032400000,229,229,229,
1695033000000,230,229,229,
1695033600000,230,230,229,
1695034119000,229,230,229,
1695034200000,229,230,229,
1695034800000,229,229,229,
1695035400000,230,230,229,
1695036000000,229,230,229,
1695036600000,229,230,229,
1695037200000,230,230,230,
1695037800000,229,230,229,
1695038399000,230,230,230,
1695038400000,230,230,230,
1695039000000,230,230,229,
1695039600000,230,229,229,
1695040141000,230,230,230,
1695040200000,230,230,230,
1695040800000,230,230,230,
1695041400000,231,230,230,
1695042000000,230,230,230,
1695042600000,230,230,230,
1695043200000,230,230,230,
1695043800000,231,230,230,
1695044400000,230,230,230,
1695045000000,230,230,230,
1695045600000,230,230,230,
1695046200000,230,230,230,
1695046800000,230,230,230,
1695047400000,230,229,230,
1695048000000,230,230,230,
1695048600000,230,230,230,
1695049200000,230,230,231,
1695049800000,231,230,231,
1695050400000,230,230,230,
1695051000000,230,229,230,
1695051600000,230,230,231,
1695052200000,231,230,231,
1695052800000,230,229,230,
1695053400000,230,229,230,
1695054000000,229,229,230,
1695054600000,230,230,230,
1695055200000,230,230,231,
1695055800000,230,230,230,
1695056400000,230,230,230,
1695057000000,230,230,230,
1695057600000,230,229,230,
1695058200000,231,230,231,
1695058800000,230,230,230,
1695059400000,230,230,230,
1695059954000,230,229,230,
1695060000000,230,230,230,
1695060600000,230,230,230,
1695061200000,230,230,230,
1695061800000,230,230,230,
1695062400000,230,230,230,
1695063000000,230,230,230,
1695063600000,230,230,230,
1695064200000,231,230,230,
1695064800000,231,230,231,
1695065400000,230,230,230,
1695066000000,231,231,231,
1695066600000,231,230,231,
1695067200000,230,230,230,
1695067800000,230,230,230,
1695068400000,230,230,230,
1695069000000,230,230,230,
1695069600000,230,230,231,
1695070200000,230,229,230,
1695070800000,230,230,230,
1695071400000,231,231,231,
1695072000000,230,230,230,
1695072600000,230,230,231,
1695073200000,230,230,231,
1695073800000,230,230,230,
1695074400000,230,230,230,
1695075000000,231,230,231,
1695075600000,231,231,232,
1695076200000,230,230,231,
1695076800000,230,230,230,
1695077400000,231,230,230,
1695078000000,230,230,230,
1695078600000,230,230,231,
1695079200000,231,230,231,
1695079800000,230,230,230,
1695080400000,231,230,230,
1695080999000,230,230,231,
1695081000000,230,230,231,
1695081600000,230,230,230,
1695082200000,231,231,231,
1695082800000,230,230,230,
1695083400000,230,230,230,
1695083767000,230,230,230,
1695084000000,231,231,231,
1695084600000,231,231,231,
1695085200000,230,230,230,
1695085800000,230,230,230,
1695086400000,230,230,231,
1695086994000,230,230,231,
1695087000000,230,230,231,
1695087600000,230,230,231,
1695088200000,230,230,230,
1695088800000,230,230,230,
1695089400000,231,231,231,
1695090000000,230,230,230,
1695090600000,230,230,230,
1695091200000,230,230,230,
1695091647000,230,230,230,
1695091800000,230,229,230,
1695092400000,230,230,230,
1695093000000,230,230,230,
1695093600000,230,230,230,
1695094200000,231,230,230,
1695094800000,230,230,230,
1695095400000,230,230,230,
1695096000000,230,230,230,
1695096600000,230,230,230,
1695097200000,231,230,230,
1695097800000,231,230,231,
1695098400000,230,230,230,
1695099000000,231,230,230,
1695099600000,230,230,230,
1695100200000,230,229,229,
1695100800000,230,230,229,
1695101400000,230,230,230,
1695101992000,230,230,230,
1695102000000,230,229,230,
1695102600000,230,230,229,
1695103200000,230,230,229,
1695103568000,230,229,229,
1695103800000,230,229,229,
1695104400000,230,229,229,
1695105000000,230,229,229,
1695105600000,230,230,229,
1695106200000,230,231,228,
1695106800000,230,231,228,
1695107400000,230,230,228,
1695108000000,230,230,229,
1695108600000,230,230,228,
1695109200000,230,230,228,
1695109800000,231,231,230,
1695110400000,230,230,229,
1695111000000,230,230,229,
1695111600000,230,230,229,
1695112200000,230,230,229,
1695112790000,230,230,229,
1695112800000,230,230,229,
1695113400000,230,230,229,
1695114000000,230,230,229,
1695114600000,230,229,229,
1695115200000,230,230,230,
1695115800000,230,230,229,
1695116400000,230,230,229,
1695116999000,230,229,230,
1695117000000,230,229,230,
1695117600000,231,230,231,
1695118200000,231,230,231,
1695118800000,230,229,229,
1695119400000,230,230,230,
1695120000000,230,230,230,
1695120600000,230,229,229,
1695121200000,230,230,230,
1695121800000,230,229,229,
1695122400000,230,230,229,
1695123000000,230,230,229,
1695123600000,230,230,229,
1695124200000,230,230,230,
1695124800000,230,230,229,
1695125400000,230,230,229,
1695126000000,230,230,229,
1695126600000,230,230,229,
1695127200000,230,230,229,
1695127800000,230,230,229,
1695128400000,230,230,230,
1695129000000,231,230,231,
1695129600000,230,229,230,
1695130200000,230,230,230,
1695130800000,230,230,229,
1695131400000,230,231,230,
1695132000000,231,230,230,
1695132491000,230,230,230,
1695132600000,230,230,230,
1695133200000,230,230,230,
1695133800000,230,230,229,
1695134400000,230,230,229,
1695135000000,230,230,230,
1695135600000,230,230,230,
1695136200000,231,231,231,
1695136800000,230,230,230,
1695137400000,230,230,230,
1695138000000,230,230,229,
1695138569000,231,230,231,
1695138600000,230,230,230,
1695139200000,231,230,231,
1695139800000,230,231,231,
1695140400000,230,230,230,
1695141000000,230,230,230,
1695141600000,230,230,230,
1695142200000,231,231,231,
1695142800000,231,230,231,
1695143400000,230,230,231,
1695144000000,231,230,230,
1695144600000,230,230,230,
1695145200000,230,230,230,
1695145799000,230,230,230,
1695145800000,230,230,230,
1695146400000,230,230,231,
1695147000000,230,230,230,
1695147600000,230,230,230,
1695148200000,230,230,230,
1695148800000,230,229,231,
1695149400000,230,230,230,
1695150000000,230,230,230,
1695150600000,230,229,230,
1695151200000,230,230,230,
1695151800000,230,230,230,
1695152400000,230,230,231,
1695153000000,230,230,231,
1695153600000,230,230,230,
1695154200000,230,230,231,
1695154800000,230,230,230,
1695155400000,230,229,230,
1695156000000,230,230,231,
1695156600000,231,230,230,
1695157200000,230,230,230,
1695157800000,231,231,230,
1695158400000,231,230,230,
1695159000000,230,230,231,
1695159600000,230,230,230,
1695160200000,230,230,230,
1695160800000,231,229,230,
1695161400000,230,230,230,
1695162000000,230,230,231,
1695162600000,230,230,231,
1695163200000,231,230,231,
1695163800000,230,230,230,
1695164331000,230,230,230,
1695164400000,231,231,231,
1695165000000,230,230,230,
1695165600000,231,230,231,
1695166200000,230,230,230,
1695166800000,231,230,230,
1695167400000,230,230,230,
1695168000000,230,230,230,
1695168600000,231,230,231,
1695169200000,230,230,230,
1695169800000,230,230,230,
1695170256000,231,230,231,
1695170400000,230,230,231,
1695171000000,231,230,231,
1695171600000,231,230,230,
1695172200000,231,231,231,
1695172800000,231,230,230,
1695173400000,230,230,231,
1695174000000,230,230,230,
1695174600000,230,230,230,
1695175200000,230,230,230,
1695175800000,230,230,230,
1695176398000,230,230,230,
1695176400000,230,230,230,
1695177000000,230,230,230,
1695177600000,230,230,231,
1695178163000,230,229,230,
1695178200000,231,230,230,
1695178800000,230,230,230,
1695179400000,230,230,230,
1695180000000,230,230,230,
1695180600000,230,229,230,
1695181200000,231,229,231,
1695181800000,230,229,230,
1695182400000,231,230,231,
1695183000000,229,230,229,
1695183559000,230,230,228,
1695183600000,229,230,228,
1695184200000,229,230,228,
1695184800000,229,230,228,
1695185400000,230,229,229,
1695186000000,230,230,229,
1695186600000,230,229,229,
1695187200000,229,229,228,
1695187800000,229,230,228,
1695188400000,229,230,228,
1695189000000,229,230,228,
1695189600000,230,230,229,
1695190200000,229,229,227,
1695190800000,229,229,228,
1695191400000,229,229,228,
1695192000000,229,230,228,
1695192600000,229,229,228,
1695193200000,229,230,227,
1695193800000,230,230,228,
1695194378000,231,230,229,
1695194400000,230,229,228,
1695195000000,229,229,228,
1695195600000,230,230,228,
1695196200000,230,230,228,
1695196800000,230,229,228,
1695197400000,230,229,228,
1695198000000,229,229,229,
1695198600000,230,229,229,
1695199200000,230,229,229,
1695199800000,230,230,230,
1695200400000,229,229,229,
1695201000000,230,230,228,
1695201600000,230,229,229,
1695202200000,230,230,229,
1695202800000,230,230,230,
1695203400000,230,229,228,
1695204000000,230,229,228,
1695204600000,229,229,228,
1695205200000,229,229,228,
1695205800000,230,229,229,
1695206400000,230,229,228,
1695207000000,229,229,228,
1695207600000,229,229,229,
1695208189000,229,229,229,
1695208200000,229,229,229,
1695208800000,229,230,229,
1695209400000,230,229,229,
1695210000000,230,230,228,
1695210600000,231,230,230,
1695211200000,230,230,229,
1695211800000,230,230,230,
1695212400000,230,229,229,
1695213000000,230,230,230,
1695213600000,230,230,229,
1695214200000,231,230,230,
1695214800000,230,230,229,
1695215400000,231,230,230,
1695216000000,229,230,229,
1695216600000,230,229,229,
1695217200000,230,229,230,
1695217800000,230,230,231,
1695218400000,229,230,230,
1695219000000,230,229,230,
1695219600000,229,230,230,
1695220200000,230,230,230,
1695220800000,230,230,230,
1695221400000,230,230,230,
1695222000000,230,230,230,
1695222600000,230,229,230,
1695223200000,230,230,231,
1695223800000,230,230,230,
1695224400000,231,231,231,
1695225000000,229,230,230,
1695225600000,230,230,230,
1695226200000,230,230,230,
1695226800000,230,230,230,
1695227400000,230,230,230,
1695228000000,229,230,230,
1695228600000,230,230,230,
1695229200000,230,230,230,
1695229800000,230,230,230,
1695230400000,230,230,230,
1695231000000,230,230,230,
1695231600000,231,230,230,
1695232200000,231,230,231,
1695232800000,230,230,231,
1695233400000,231,230,230,
1695234000000,230,230,230,
1695234600000,230,230,230,
1695235200000,231,231,231,
1695235800000,230,229,230,
1695236400000,231,231,231,
1695237000000,230,230,230,
1695237600000,230,230,230,
1695238200000,230,229,230,
1695238800000,231,230,230,
1695239400000,231,231,231,
1695240000000,230,230,230,
1695240600000,230,230,230,
1695241200000,229,230,230,
1695241800000,231,230,230,
1695242400000,230,230,230,
1695243000000,230,230,230,
1695243600000,230,230,231,
1695244200000,230,230,230,
1695244800000,230,230,230,
1695245400000,230,230,230,
1695246000000,230,230,230,
1695246600000,230,230,230,
1695247200000,230,230,230,
1695247800000,230,230,230,
1695248400000,230,230,230,
1695249000000,230,230,230,
1695249600000,230,230,230,
1695250200000,231,230,230,
1695250800000,230,230,230,
1695251400000,230,230,230,
1695252000000,231,230,230,
1695252600000,230,230,230,
1695253200000,230,230,231,
1695253800000,231,230,231,
1695254400000,230,230,230,
1695255000000,230,230,230,
1695255600000,230,230,230,
1695256200000,230,230,230,
1695256800000,230,230,230,
1695257400000,230,230,230,
1695258000000,231,231,231,
1695258600000,230,230,230,
1695259200000,230,230,230,
1695259800000,230,230,230,
1695260400000,231,230,230,
1695261000000,230,229,230,
1695261600000,230,230,230,
1695262200000,230,230,230,
1695262800000,230,229,230,
1695263400000,230,230,230,
1695264000000,230,229,230,
1695264600000,230,230,230,
1695265200000,230,230,230,
1695265800000,230,230,230,
1695266400000,230,230,230,
1695267000000,230,230,230,
1695267600000,230,230,230,
1695268200000,230,230,230,
1695268800000,230,230,228,
1695269400000,229,230,229,
1695270000000,231,231,230,
1695270600000,230,230,229,
1695271200000,231,230,229,
1695271800000,230,230,230,
1695272400000,230,230,229,
1695273000000,229,230,229,
1695273600000,230,230,229,
1695274200000,229,230,229,
1695274800000,229,230,229,
1695275400000,229,230,229,
1695276000000,229,230,228,
1695276600000,229,231,229,
1695277200000,229,230,229,
1695277800000,229,230,229,
1695278400000,229,229,229,
1695279000000,229,229,229,
1695279600000,229,230,228,
1695280200000,229,230,229,
1695280800000,229,231,229,
1695281400000,229,229,229,
1695282000000,229,229,229,
1695282600000,229,229,229,
1695283200000,229,230,229,
1695283800000,230,230,229,
1695284400000,230,229,229,
1695285000000,230,230,229,
1695285600000,230,230,230,
1695286200000,230,230,229,
1695286800000,230,230,229,
1695287400000,230,229,230,
1695288000000,229,229,229,
1695288600000,230,229,229,
1695289200000,229,230,229,
1695289800000,229,229,229,
1695290400000,229,229,229,
1695291000000,230,229,228,
1695291600000,230,229,229,
1695292200000,230,229,229,
1695292800000,230,229,228,
1695293400000,230,230,229,
1695294000000,230,230,229,
1695294600000,230,229,229,
1695295200000,230,229,229,
1695295800000,229,229,229,
1695296400000,230,229,229,
1695297000000,229,229,230,
1695297600000,229,229,229,
1695298200000,229,229,229,
1695298800000,229,229,230,
1695299400000,229,229,230,
1695300000000,229,229,229,
1695300600000,229,229,230,
1695301200000,230,229,230,
1695301800000,230,229,230,
1695302400000,230,229,230,
1695303000000,230,229,230,
1695303600000,230,229,230,
1695304200000,230,229,230,
1695304800000,230,229,230,
1695305400000,230,229,230,
1695306000000,230,229,230,
