intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Mon Sep 25 2023|  TO Mon Oct 02 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1695580200000,230,230,231,
1695580800000,231,230,231,
1695581400000,231,230,230,
1695582000000,231,230,230,
1695582600000,230,230,230,
1695583200000,230,230,230,
1695583800000,230,230,231,
1695584400000,230,230,230,
1695585000000,230,229,230,
1695585600000,230,230,230,
1695586200000,231,231,230,
1695586800000,231,231,231,
1695587400000,230,229,230,
1695588000000,230,230,231,
1695588600000,230,230,230,
1695589200000,231,230,231,
1695589800000,230,230,230,
1695590400000,230,229,230,
1695591000000,230,230,231,
1695591600000,230,230,230,
1695592200000,231,230,231,
1695592800000,230,230,230,
1695593400000,230,230,230,
1695594000000,230,230,230,
1695594600000,230,230,230,
1695595200000,230,230,230,
1695595800000,230,230,230,
1695596400000,230,230,230,
1695597000000,230,230,230,
1695597600000,230,229,230,
1695598200000,230,230,230,
1695598800000,230,230,230,
1695599400000,230,231,231,
1695600000000,230,230,230,
1695600600000,231,230,230,
1695601200000,230,230,230,
1695601800000,230,230,230,
1695602400000,230,230,231,
1695603000000,230,230,231,
1695603600000,231,230,230,
1695604200000,231,230,230,
1695604800000,230,230,230,
1695605400000,231,230,230,
1695606000000,230,230,230,
1695606600000,231,230,231,
1695607200000,230,230,231,
1695607800000,231,230,231,
1695608400000,231,230,230,
1695609000000,230,230,230,
1695609600000,230,230,230,
1695610200000,230,230,230,
1695610800000,231,230,231,
1695611400000,231,230,231,
1695612000000,230,230,230,
1695612600000,230,229,230,
1695613200000,231,229,230,
1695613800000,230,229,230,
1695614400000,230,230,230,
1695615000000,230,230,229,
1695615600000,230,230,229,
1695616200000,230,230,229,
1695616800000,231,230,230,
1695617400000,230,229,229,
1695618000000,230,229,229,
1695618600000,229,229,228,
1695619200000,230,229,228,
1695619800000,229,229,229,
1695620400000,229,229,229,
1695621000000,229,229,228,
1695621600000,229,229,228,
1695622200000,229,228,229,
1695622800000,230,229,228,
1695623400000,230,229,229,
1695624000000,229,229,228,
1695624600000,229,229,228,
1695625200000,230,229,229,
1695625800000,230,229,227,
1695626400000,230,229,228,
1695627000000,230,229,228,
1695627600000,230,229,228,
1695628200000,230,229,229,
1695628800000,230,229,228,
1695629400000,229,229,228,
1695630000000,229,229,228,
1695630600000,230,229,229,
1695631200000,229,228,229,
1695631800000,229,229,228,
1695632400000,229,229,228,
1695633000000,229,228,228,
1695633600000,229,229,228,
1695634200000,228,228,229,
1695634800000,228,229,228,
1695635400000,229,228,229,
1695636000000,228,228,228,
1695636600000,229,228,229,
